# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000025.92
metadata : {}


# id : NWRW1800000025.92.1.1
[수도권]“이 버스, 소화기가 없네… 안전항목 빵점”

[수도권]“이	[/SS+수도/NNG+권/XSN+]/SS+“/SS+이/MMD
내린	내리/VV+ㄴ/ETM
곳은	곳/NNG+은/JX
서대문구	서대문구/NNP
창천동	창천동/NNP
신촌	신촌/NNP
현대백화점	현대백화점/NNP
앞.	앞/NNG+./SF


# id : NWRW1800000025.92.4.7
시간은 20분가량 걸렸다.

시간은	시간/NNG+은/JX
20분가량	20/SN+분/NNB+가량/XSN
걸렸다.	걸리/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.92.5.1
버스에서 내린 마 씨는 ‘버스운행 실태 점검표’ 한 장을 꺼내 열 개 항목에 대해 곰곰이 생각하며 잘못된 부분부터 점수를 매기기 시작했다.

버스에서	버스/NNG+에서/JKB
내린	내리/VV+ㄴ/ETM
마	마/NNP
씨는	씨/NNB+는/JX
‘버스운행	‘/SS+버스/NNG+운행/NNG
실태	실태/NNG
점검표’	점검표/NNG+’/SS
한	한/MMN
장을	장/NNB+을/JKO
꺼내	꺼내/VV+어/EC
열	열/NR
개	개/NNB
항목에	항목/NNG+에/JKB
대해	대하/VV+아/EC
곰곰이	곰곰이/MAG
생각하며	생각/NNG+하/XSV+며/EC
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
부분부터	부분/NNG+부터/JX
점수를	점수/NNG+를/JKO
매기기	매기/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.92.5.2
“버스기사들은 가슴에 명찰을 달아야 하는데 기사 복장을 보니 명찰이 없었습니다.”

“버스기사들은	“/SS+버스/NNG+기사/NNG+들/XSN+은/JX
가슴에	가슴/NNG+에/JKB
명찰을	명찰/NNG+을/JKO
달아야	달/VV+아야/EC
하는데	하/VX+는데/EC
기사	기사/NNG
복장을	복장/NNG+을/JKO
보니	보/VV+니/EC
명찰이	명찰/NNG+이/JKS
없었습니다.”	없/VA+었/EP+습니다/EF+./SF+”/SS


# id : NWRW1800000025.92.5.3
마 씨는 ‘운전자 근무복 착용상태’ 칸에 8점(10점 만점)을 적었다.

마	마/NNP
씨는	씨/NNB+는/JX
‘운전자	‘/SS+운전자/NNG
근무복	근무복/NNG
착용상태’	착용/NNG+상태/NNG+’/SS
칸에	칸/NNG+에/JKB
8점(10점	8/SN+점/NNB+(/SS+10/SN+점/NNB
만점)을	만점/NNG+)/SS+을/JKO
적었다.	적/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.92.5.4
시내버스의 경우 복장규정을 잘 지키는 편이지만 마을버스는 아직까지 잘 지켜지지 않을 때가 많다는 것.

시내버스의	시내버스/NNG+의/JKG
경우	경우/NNG
복장규정을	복장/NNG+규정/NNG+을/JKO
잘	잘/MAG
지키는	지키/VV+는/ETM
편이지만	편/NNB+이/VCP+지만/EC
마을버스는	마을버스/NNG+는/JX
아직까지	아직/MAG+까지/JX
지켜지지	지키/VV+어/EC+지/VX+지/EC
않을	않/VX+을/ETM
때가	때/NNG+가/JKS
많다는	많/VA+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000025.92.5.5
손잡이 등 곳곳에 도색이 떨어져나간 것도 감점을 받았다.

손잡이	손잡이/NNG
등	등/NNB
곳곳에	곳곳/NNG+에/JKB
도색이	도색/NNG+이/JKS
떨어져나간	떨어지/VV+어/EC+나가/VX+ㄴ/ETM
것도	것/NNB+도/JX
감점을	감점/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.92.5.6
마 씨는 ‘시설물 유지상태’ 항목에도 ‘8’을 썼다.

마	마/NNP
씨는	씨/NNB+는/JX
‘시설물	‘/SS+시설물/NNG
유지상태’	유지/NNG+상태/NNG+’/SS
항목에도	항목/NNG+에/JKB+도/JX
‘8’을	‘/SS+8/SN+’/SS+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.92.5.7
그 외 항목은 모두 10점 만점.

그	그/MMD
외	외/NNB
항목은	항목/NNG+은/JX
모두	모두/MAG
10점	10/SN+점/NNB
만점.	만점/NNG+./SF


# id : NWRW1800000025.92.5.8
총점은 100점 만점에 96점이었다.

총점은	총점/NNG+은/JX
100점	100/SN+점/NNB
만점에	만점/NNG+에/JKB
96점이었다.	96/SN+점/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000025.92.5.9
“지리를 모르는 승객에게 친절하게 갈아탈 버스를 설명해 줬고 급출발, 급정거 없이 신호도 잘 지켰으니까요.”

“지리를	“/SS+지리/NNG+를/JKO
모르는	모르/VV+는/ETM
승객에게	승객/NNG+에게/JKB
친절하게	친절/NNG+하/XSA+게/EC
갈아탈	갈아타/VV+ㄹ/ETM
버스를	버스/NNG+를/JKO
설명해	설명/NNG+하/XSV+아/EC
줬고	주/VX+었/EP+고/EC
급출발,	급출발/NNG+,/SP
급정거	급정거/NNG
없이	없이/MAG
신호도	신호/NNG+도/JX
잘	잘/MAG
지켰으니까요.”	지키/VV+었/EP+으니까/EC+요/JX+./SF+”/SS


# id : NWRW1800000025.92.6.1
같은 장소로 돌아올 때는 마을버스가 아닌 초록색 지선버스에 올라탔다.

같은	같/VA+은/ETM
장소로	장소/NNG+로/JKB
돌아올	돌아오/VV+ㄹ/ETM
때는	때/NNG+는/JX
마을버스가	마을버스/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
초록색	초록색/NNG
지선버스에	지선/NNG+버스/NNG+에/JKB
올라탔다.	올라타/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.92.6.2
마을버스보다 크고 사람도 많이 타는 편이라 마 씨는 더 꼼꼼히 관찰했다.

마을버스보다	마을버스/NNG+보다/JKB
크고	크/VA+고/EC
사람도	사람/NNG+도/JX
많이	많이/MAG
타는	타/VV+는/ETM
편이라	편/NNB+이/VCP+라/EC
마	마/NNP
씨는	씨/NNB+는/JX
더	더/MAG
꼼꼼히	꼼꼼히/MAG
관찰했다.	관찰/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.92.6.3
허리를 굽히거나 일어서서 여기저기 살펴보기도 했다.

허리를	허리/NNG+를/JKO
굽히거나	굽히/VV+거나/EC
일어서서	일어서/VV+어서/EC
여기저기	여기저기/NNG
살펴보기도	살펴보/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.92.6.4
버스에서 내린 마 씨는 “마을버스보다 상태가 안 좋다”고 말했다.

버스에서	버스/NNG+에서/JKB
내린	내리/VV+ㄴ/ETM
마	마/NNP
씨는	씨/NNB+는/JX
“마을버스보다	“/SS+마을버스/NNG+보다/JKB
상태가	상태/NNG+가/JKS
안	안/MAG
좋다”고	좋/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.92.6.5
운전석 주변에는 꼭 갖춰야 할 소화기가 보이지 않았다.

운전석	운전석/NNG
주변에는	주변/NNG+에/JKB+는/JX
꼭	꼭/MAG
갖춰야	갖추/VV+어야/EC
할	하/VX+ㄹ/ETM
소화기가	소화기/NNG+가/JKS
보이지	보이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000025.92.6.6
안전시설물 항목은 0점이 됐다.

안전시설물	안전/NNG+시설물/NNG
항목은	항목/NNG+은/JX
0점이	0/SN+점/NNB+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.92.6.7
창틀을 손바닥으로 슥 닦자 시커먼 먼지도 묻어났다.

창틀을	창틀/NNG+을/JKO
손바닥으로	손바닥/NNG+으로/JKB
슥	슥/MAG
닦자	닦/VV+자/EC
시커먼	시커멓/VA+ㄴ/ETM
먼지도	먼지/NNG+도/JX
묻어났다.	묻어나/VV+았/EP+다/EF+./SF


# id : NWRW1800000025.92.6.8
청소상태 항목에서 2점 감점, 내릴 때 누르는 벨 중 2개는 전구가 작동하지 않는 것도 마 씨의 눈에 포착됐다.

청소상태	청소/NNG+상태/NNG
항목에서	항목/NNG+에서/JKB
2점	2/SN+점/NNB
감점,	감점/NNG+,/SP
내릴	내리/VV+ㄹ/ETM
때	때/NNG
누르는	누르/VV+는/ETM
벨	벨/NNG
중	중/NNB
2개는	2/SN+개/NNB+는/JX
전구가	전구/NNG+가/JKS
작동하지	작동/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
것도	것/NNB+도/JX
마	마/NNP
씨의	씨/NNB+의/JKG
눈에	눈/NNG+에/JKB
포착됐다.	포착/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000025.92.6.9
관련항목 2점 감점으로 총점은 86점.

관련항목	관련/NNG+항목/NNG
2점	2/SN+점/NNB
감점으로	감점/NNG+으로/JKB
총점은	총점/NNG+은/JX
86점.	86/SN+점/NNB+./SF


# id : NWRW1800000025.92.7.1
○ “버스 서비스 질 높이는 것이 목표”

○	○/SW
“버스	“/SS+버스/NNG
서비스	서비스/NNG
질	질/NNG
높이는	높이/VV+는/ETM
것이	것/NNB+이/JKS
목표”	목표/NNG+”/SS


# id : NWRW1800000025.92.8.1
평가단은 평가항목에 없는 각종 민원을 구청에 직접 전달하는 역할도 한다.

평가단은	평가단/NNG+은/JX
평가항목에	평가/NNG+항목/NNG+에/JKB
없는	없/VA+는/ETM
각종	각종/NNG
민원을	민원/NNG+을/JKO
구청에	구청/NNG+에/JKB
직접	직접/MAG
전달하는	전달/NNG+하/XSV+는/ETM
역할도	역할/NNG+도/JX
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.92.8.2
마 씨는 이날 도착한 신촌 현대백화점 앞 중앙차로 버스정류장에 쓰레기통이 설치돼 있지 않은 점을 지적했다.

마	마/NNP
씨는	씨/NNB+는/JX
이날	이날/NNG
도착한	도착/NNG+하/XSV+ㄴ/ETM
신촌	신촌/NNP
현대백화점	현대백화점/NNP
앞	앞/NNG
중앙차로	중앙/NNG+차로/NNG
버스정류장에	버스/NNG+정류장/NNG+에/JKB
쓰레기통이	쓰레기통/NNG+이/JKS
설치돼	설치/NNG+되/XSV+어/EC
있지	있/VX+지/EC
않은	않/VX+은/ETM
점을	점/NNG+을/JKO
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.92.8.3
벤치와 바닥에서 굴러다니는 빈 종이컵 등이 눈에 띄었다.

벤치와	벤치/NNG+와/JC
바닥에서	바닥/NNG+에서/JKB
굴러다니는	굴러다니/VV+는/ETM
빈	비/VV+ㄴ/ETM
종이컵	종이컵/NNG
등이	등/NNB+이/JKS
눈에	눈/NNG+에/JKB
띄었다.	띄/VV+었/EP+다/EF+./SF


# id : NWRW1800000025.92.8.4
마 씨는 “젊은이들이 많이 이용하는 정류장인 만큼 빨리 쓰레기통을 설치해야 할 것”이라고 말했다.

마	마/NNP
씨는	씨/NNB+는/JX
“젊은이들이	“/SS+젊은이/NNG+들/XSN+이/JKS
많이	많이/MAG
이용하는	이용/NNG+하/XSV+는/ETM
정류장인	정류장/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
빨리	빨리/MAG
쓰레기통을	쓰레기통/NNG+을/JKO
설치해야	설치/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000025.92.9.1
마포구 주민들로 구성된 버스 구민평가단은 올해 9월 말까지 활동할 예정이다.

마포구	마포구/NNP
주민들로	주민/NNG+들/XSN+로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
버스	버스/NNG
구민평가단은	구민/NNG+평가단/NNG+은/JX
올해	올해/NNG
9월	9/SN+월/NNB
말까지	말/NNB+까지/JX
활동할	활동/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.92.9.2
생활하면서 탑승한 버스에 대해 차량시설물 관리, 운전자 행태, 차량운전 행태 등 총 10가지 항목을 총 100점 만점으로 평가해 구청에 전달한다.

생활하면서	생활/NNG+하/XSV+면서/EC
탑승한	탑승/NNG+하/XSV+ㄴ/ETM
버스에	버스/NNG+에/JKB
대해	대하/VV+아/EC
차량시설물	차량/NNG+시설물/NNG
관리,	관리/NNG+,/SP
운전자	운전자/NNG
행태,	행태/NNG+,/SP
차량운전	차량/NNG+운전/NNG
행태	행태/NNG
등	등/NNB
총	총/MMA
10가지	10/SN+가지/NNB
항목을	항목/NNG+을/JKO
100점	100/SN+점/NNB
만점으로	만점/NNG+으로/JKB
평가해	평가/NNG+하/XSV+아/EC
구청에	구청/NNG+에/JKB
전달한다.	전달/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000025.92.9.3
구는 9월 말까지 평가 결과를 모은 뒤 이를 두 번에 걸쳐 각 버스업체에 전달할 예정이다.

구는	구/NNG+는/JX
9월	9/SN+월/NNB
말까지	말/NNB+까지/JX
평가	평가/NNG
결과를	결과/NNG+를/JKO
모은	모으/VV+ㄴ/ETM
뒤	뒤/NNG
이를	이/NP+를/JKO
두	두/MMN
번에	번/NNB+에/JKB
걸쳐	걸치/VV+어/EC
각	각/MMD
버스업체에	버스업체/NNG+에/JKB
전달할	전달/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.92.9.4
좋은 평가를 받은 버스업체는 정기단속에서 빼주거나 향후 행정처분 수위를 낮춰주는 등 인센티브도 준다.

좋은	좋/VA+은/ETM
평가를	평가/NNG+를/JKO
받은	받/VV+은/ETM
버스업체는	버스업체/NNG+는/JX
정기단속에서	정기/NNG+단속/NNG+에서/JKB
빼주거나	빼/VV+어/EC+주/VX+거나/EC
향후	향후/NNG
행정처분	행정/NNG+처분/NNG
수위를	수위/NNG+를/JKO
낮춰주는	낮추/VV+어/EC+주/VX+는/ETM
등	등/NNB
인센티브도	인센티브/NNG+도/JX
준다.	주/VV+ㄴ다/EF+./SF


# id : NWRW1800000025.92.9.5
그러나 심각하게 법규를 위반한 사항이 적발될 때는 필요한 행정처분을 즉시 취할 방침이다.

그러나	그러나/MAJ
심각하게	심각하/VA+게/EC
법규를	법규/NNG+를/JKO
위반한	위반/NNG+하/XSV+ㄴ/ETM
사항이	사항/NNG+이/JKS
적발될	적발/NNG+되/XSV+ㄹ/ETM
때는	때/NNG+는/JX
필요한	필요/NNG+하/XSA+ㄴ/ETM
행정처분을	행정/NNG+처분/NNG+을/JKO
즉시	즉시/MAG
취할	취하/VV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000025.92.9.6
신영섭 마포구청장은 “단속이나 처벌보다는 계도 중심으로 운영해 버스 서비스의 질이 높아지도록 노력하겠다”고 말했다.

신영섭	신영섭/NNP
마포구청장은	마포구청장/NNG+은/JX
“단속이나	“/SS+단속/NNG+이나/JC
처벌보다는	처벌/NNG+보다/JKB+는/JX
계도	계도/NNG
중심으로	중심/NNG+으로/JKB
운영해	운영/NNG+하/XSV+아/EC
버스	버스/NNG
서비스의	서비스/NNG+의/JKG
질이	질/NNG+이/JKS
높아지도록	높아지/VV+도록/EC
노력하겠다”고	노력/NNG+하/XSV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


