# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.88
metadata : {}


# id : NWRW1800000030.88.1.1
"높은 산보다 동네 야산 오르고 밤 11시에 잠자리 드세요"

"높은	"/SS+높/VA+은/ETM
"예를	"/SS+예/NNG+를/JKO
들어,	들/VV+어/EC+,/SP
높은	높/VA+은/ETM
산을	산/NNG+을/JKO
등산하기보다	등산/NNG+하/XSV+기/ETN+보다/JKB
동네	동네/NNG
야산을	야산/NNG+을/JKO
땀이	땀/NNG+이/JKS
조금	조금/MAG
날	나/VV+ㄹ/ETM
오르라"고	오르/VV+라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.88.6.2
그는 "과격한 운동으로 신진대사가 너무 빨라지면 DNA가 파괴돼 오히려 암을 유발하기 때문"이라고 말했다.

그는	그/NP+는/JX
"과격한	"/SS+과격하/VA+ㄴ/ETM
운동으로	운동/NNG+으로/JKB
신진대사가	신진대사/NNG+가/JKS
너무	너무/MAG
빨라지면	빠르/VA+아/EC+지/VX+면/EC
DNA가	DNA/SL+가/JKS
파괴돼	파괴/NNG+되/XSV+어/EC
오히려	오히려/MAG
암을	암/NNG+을/JKO
유발하기	유발/NNG+하/XSV+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.88.6.3
수면에 대해서는 "똑같은 시간을 자더라도 되도록 밤 11시를 전후해 잠자리에 들라"고 조언했다.

수면에	수면/NNG+에/JKB
대해서는	대하/VV+아서/EC+는/JX
"똑같은	"/SS+똑같/VA+은/ETM
시간을	시간/NNG+을/JKO
자더라도	자더/VV+라도/EC
되도록	되도록/MAG
밤	밤/NNG
11시를	11/SN+시/NNB+를/JKO
전후해	전후/NNG+하/XSV+아/EC
잠자리에	잠자리/NNG+에/JKB
들라"고	들/VV+라/EF+"/SS+고/JKQ
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.88.6.4
항산화와 면역증강 작용을 하는 호르몬인 멜라토닌이 밤 10시 반부터 분비가 증가하기 시작해 새벽 2시에 최고조가 되기 때문이다.

항산화와	항산화/NNG+와/JC
면역증강	면역/NNG+증강/NNG
작용을	작용/NNG+을/JKO
하는	하/VV+는/ETM
호르몬인	호르몬/NNG+이/VCP+ㄴ/ETM
멜라토닌이	멜라토닌/NNG+이/JKS
밤	밤/NNG
10시	10/SN+시/NNB
반부터	반/NNG+부터/JX
분비가	분비/NNG+가/JKS
증가하기	증가/NNG+하/XSV+기/ETN
시작해	시작/NNG+하/XSV+아/EC
새벽	새벽/NNG
2시에	2/SN+시/NNB+에/JKB
최고조가	최/XPN+고조/NNG+가/JKC
되기	되/VV+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000030.88.7.1
백남선 원장은 "또 하나의 요인은 의사, 환자, 보호자 사이의 신뢰"라고 말했다.

백남선	백남선/NNP
원장은	원장/NNG+은/JX
"또	"/SS+또/MAG
하나의	하나/NR+의/JKG
요인은	요인/NNG+은/JX
의사,	의사/NNG+,/SP
환자,	환자/NNG+,/SP
보호자	보호자/NNG
사이의	사이/NNG+의/JKG
신뢰"라고	신뢰/NNG+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.88.7.2
지난 23일 이대여성암전문병원이 개최한 암환자 장기생존 축하파티에 참석한 조영남(63·경기 의정부시)씨는 2001년 2기 유방암 수술을 받은 뒤 10년간 주치의인 백 원장에게 진료받고 있다.

지난	지나/VV+ㄴ/ETM
23일	23/SN+일/NNB
이대여성암전문병원이	이대여성암전문병원/NNP+이/JKS
개최한	개최/NNG+하/XSV+ㄴ/ETM
암환자	암/NNG+환자/NNG
장기생존	장기/NNG+생존/NNG
축하파티에	축하/NNG+파티/NNG+에/JKB
참석한	참석/NNG+하/XSV+ㄴ/ETM
조영남(63·경기	조영남/NNP+(/SS+63/SN+·/SP+경기/NNP
의정부시)씨는	의정부시/NNP+)/SS+씨/NNB+는/JX
2001년	2001/SN+년/NNB
2기	2/SN+기/NNG
유방암	유방암/NNG
수술을	수술/NNG+을/JKO
받은	받/VV+은/ETM
뒤	뒤/NNG
10년간	10/SN+년/NNB+간/XSN
주치의인	주치의/NNG+이/VCP+ㄴ/ETM
백	백/NNP
원장에게	원장/NNG+에게/JKB
진료받고	진료/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.88.7.3
조씨는 "나와 비슷한 시기에 유방암에 걸려 치료받은 환자 중 완치돼 지금까지 만나는 사람들은 주치의를 믿고 긍정적인 생각을 가졌던 사람"이라고 말했다.

조씨는	조/NNP+씨/NNB+는/JX
"나와	"/SS+나/NP+와/JKB
비슷한	비슷하/VA+ㄴ/ETM
시기에	시기/NNG+에/JKB
유방암에	유방암/NNG+에/JKB
걸려	걸리/VV+어/EC
치료받은	치료/NNG+받/XSV+은/ETM
환자	환자/NNG
중	중/NNB
완치돼	완치/NNG+되/XSV+어/EC
지금까지	지금/NNG+까지/JX
만나는	만나/VV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
주치의를	주치의/NNG+를/JKO
믿고	믿/VV+고/EC
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
생각을	생각/NNG+을/JKO
가졌던	가지/VV+었/EP+던/ETM
사람"이라고	사람/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.88.7.4
백 원장은 "의사를 믿으면서 낙관적인 자세로 치료받는 사람은 완치돼서 오래 살고, 매사에 부정적인 환자는 결국 암을 극복하지 못하는 경향이 있다"고 말했다.

백	백/NNP
원장은	원장/NNG+은/JX
"의사를	"/SS+의사/NNG+를/JKO
믿으면서	믿/VV+으면서/EC
낙관적인	낙관/NNG+적/XSN+이/VCP+ㄴ/ETM
자세로	자세/NNG+로/JKB
치료받는	치료/NNG+받/XSV+는/ETM
사람은	사람/NNG+은/JX
완치돼서	완치/NNG+되/XSV+어서/EC
오래	오래/MAG
살고,	살/VV+고/EC+,/SP
매사에	매사/NNG+에/JKB
부정적인	부정/NNG+적/XSN+이/VCP+ㄴ/ETM
환자는	환자/NNG+는/JX
결국	결국/NNG
암을	암/NNG+을/JKO
극복하지	극복/NNG+하/XSV+지/EC
못하는	못하/VX+는/ETM
경향이	경향/NNG+이/JKS
있다"고	있/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


