# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.117
metadata : {}


# id : NWRW1800000033.117.1.1
生과 死 경계에 선 회색인들의 사투… ‘더 그레이’

生과	生/SH+과/JC
일으킨	일으키/VV+ㄴ/ETM
오트웨이는	오트웨이/NNP+는/JX
부서진	부서지/VV+ㄴ/ETM
비행기	비행기/NNG
잔해와	잔해/NNG+와/JC
시신들,	시신/NNG+들/XSN+,/SP
그리고	그리고/MAJ
8명의	8/SN+명/NNB+의/JKG
생존자와	생존자/NNG+와/JKB
마주한다.	마주/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.117.8.1
생존자를 한 명씩 사냥하는 늑대의 공포도 관객을 옥죈다.

생존자를	생존자/NNG+를/JKO
한	한/MMN
명씩	명/NNB+씩/XSN
사냥하는	사냥/NNG+하/XSV+는/ETM
늑대의	늑대/NNG+의/JKG
공포도	공포/NNG+도/JX
관객을	관객/NNG+을/JKO
옥죈다.	옥죄/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.117.8.2
제작진은 체조 선수들에게 늑대 옷을 입혀 연기하도록 했고 여기에 컴퓨터그래픽(CG)을 더해 늑대의 공격을 소름 끼칠 만큼 자세히 묘사했다.

제작진은	제작진/NNG+은/JX
체조	체조/NNG
선수들에게	선수/NNG+들/XSN+에게/JKB
늑대	늑대/NNG
옷을	옷/NNG+을/JKO
입혀	입히/VV+어/EC
연기하도록	연기/NNG+하/XSV+도록/EC
했고	하/VX+았/EP+고/EC
여기에	여기/NP+에/JKB
컴퓨터그래픽(CG)을	컴퓨터/NNG+그래픽/NNG+(/SS+CG/SL+)/SS+을/JKO
더해	더/MAG+하/XSV+아/EC
늑대의	늑대/NNG+의/JKG
공격을	공격/NNG+을/JKO
소름	소름/NNG
끼칠	끼치/VV+ㄹ/ETM
만큼	만큼/NNB
자세히	자세히/MAG
묘사했다.	묘사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.117.8.3
후반부 늑대에게 쫓긴 생존자가 계곡물에 빠져 떠내려가는 장면의 카메라 워크도 돋보인다.

후반부	후반부/NNG
늑대에게	늑대/NNG+에게/JKB
쫓긴	쫓기/VV+ㄴ/ETM
생존자가	생존자/NNG+가/JKS
계곡물에	계곡물/NNG+에/JKB
빠져	빠지/VV+어/EC
떠내려가는	떠내려가/VV+는/ETM
장면의	장면/NNG+의/JKG
카메라	카메라/NNG
워크도	워크/NNG+도/JX
돋보인다.	돋보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.117.8.4
급류에 휩쓸려 허우적대는 출연자의 머리에 카메라를 달아 찍은 듯한 화면에 숨이 턱 막힌다.

급류에	급류/NNG+에/JKB
휩쓸려	휩쓸리/VV+어/EC
허우적대는	허우적대/VV+는/ETM
출연자의	출연자/NNG+의/JKG
머리에	머리/NNG+에/JKB
카메라를	카메라/NNG+를/JKO
달아	달/VV+아/EC
찍은	찍/VV+은/ETM
듯한	듯/NNB+하/XSA+ㄴ/ETM
화면에	화면/NNG+에/JKB
숨이	숨/NNG+이/JKS
턱	턱/MAG
막힌다.	막히/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.117.9.1
○ ‘에이리언’+‘글래디에이터’+‘블랙 호크 다운’

○	○/SW
‘에이리언’+‘글래디에이터’+‘블랙	‘/SS+에이리언/NNP+’/SS++/SW+‘/SS+글래디에이터/NNP+’/SS++/SW+‘/SS+블랙/NNP
호크	호크/NNP
다운’	다운/NNP+’/SS


# id : NWRW1800000033.117.10.1
뛰어난 영상과 더불어 이 영화의 장점은 생과 사를 응시하는 담대한 시선이다.

뛰어난	뛰어나/VA+ㄴ/ETM
영상과	영상/NNG+과/JKB
더불어	더불/VV+어/EC
이	이/MMD
영화의	영화/NNG+의/JKG
장점은	장점/NNG+은/JX
생과	생/NNG+과/JC
사를	사/NNG+를/JKO
응시하는	응시/NNG+하/XSV+는/ETM
담대한	담대/NNG+하/XSA+ㄴ/ETM
시선이다.	시선/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.117.10.2
영화는 등장인물 중 누구도 슈퍼 히어로로 그리지 않는다.

영화는	영화/NNG+는/JX
등장인물	등장인물/NNG
중	중/NNB
누구도	누구/NP+도/JX
슈퍼	슈퍼/NNG
히어로로	히어로/NNG+로/JKB
그리지	그리/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000033.117.10.3
생존을 위해 처절한 사투를 벌여야 하는 나약한 인간 존재의 비루함을 드러낼 뿐이다.

생존을	생존/NNG+을/JKO
위해	위하/VV+아/EC
처절한	처절/NNG+하/XSA+ㄴ/ETM
사투를	사투/NNG+를/JKO
벌여야	벌이/VV+어야/EC
하는	하/VX+는/ETM
나약한	나약/NNG+하/XSA+ㄴ/ETM
인간	인간/NNG
존재의	존재/NNG+의/JKG
비루함을	비루하/VA+ㅁ/ETN+을/JKO
드러낼	드러내/VV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.117.11.1
생존자들의 리더인 오트웨이는 삶의 의미를 잃고 비행기를 타기 전날 밤 자살을 기도한 마음 약한 인물이다.

생존자들의	생존자/NNG+들/XSN+의/JKG
리더인	리더/NNG+이/VCP+ㄴ/ETM
오트웨이는	오트웨이/NNP+는/JX
삶의	삶/NNG+의/JKG
의미를	의미/NNG+를/JKO
잃고	잃/VV+고/EC
비행기를	비행기/NNG+를/JKO
타기	타/VV+기/ETN
전날	전날/NNG
밤	밤/NNG
자살을	자살/NNG+을/JKO
기도한	기도/NNG+하/XSV+ㄴ/ETM
마음	마음/NNG
약한	약하/VA+ㄴ/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.117.11.2
늑대와의 사투 과정에서 살아야겠다는 의지를 불태우지만 생의 의미에 대해 끊임없이 회의한다.

늑대와의	늑대/NNG+와/JKB+의/JKG
사투	사투/NNG
과정에서	과정/NNG+에서/JKB
살아야겠다는	살/VV+아야/EC+하/VX+겠/EP+다는/ETM
의지를	의지/NNG+를/JKO
불태우지만	불태우/VV+지만/EC
생의	생/NNG+의/JKG
의미에	의미/NNG+에/JKB
대해	대하/VV+아/EC
끊임없이	끊임없이/MAG
회의한다.	회의/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.117.11.3
늑대와 싸우는 이유는 생명의 위협에 대한 무조건적 반사로 보인다.

늑대와	늑대/NNG+와/JKB
싸우는	싸우/VV+는/ETM
이유는	이유/NNG+는/JX
생명의	생명/NNG+의/JKG
위협에	위협/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
무조건적	무/XPN+조건/NNG+적/XSN
반사로	반사/NNG+로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.117.12.1
이런 시선은 제작자인 리들리 스콧 감독의 전작에서 익히 보아온 방식이다.

이런	이런/MMD
시선은	시선/NNG+은/JX
제작자인	제작자/NNG+이/VCP+ㄴ/ETM
리들리	리들리/NNP
스콧	스콧/NNP
감독의	감독/NNG+의/JKG
전작에서	전작/NNG+에서/JKB
익히	익히/MAG
보아온	보/VV+아/EC+오/VX+ㄴ/ETM
방식이다.	방식/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.117.12.2
그는 우주 괴물과 ‘암컷 대 암컷’으로 싸우는 여전사 리플리(‘에이리언’), 장군에서 싸움 노예로 전락한 막시무스(‘글래디에이터’), 전투가 아닌 생존을 위해 싸우는 미군들(‘블랙 호크 다운’)을 통해 이런 관점을 드러낸 바 있다.

그는	그/NP+는/JX
우주	우주/NNG
괴물과	괴물/NNG+과/JKB
‘암컷	‘/SS+암컷/NNG
대	대/NNB
암컷’으로	암컷/NNG+’/SS+으로/JKB
싸우는	싸우/VV+는/ETM
여전사	여전사/NNG
리플리(‘에이리언’),	리플리/NNP+(/SS+‘/SS+에이리언/NNP+’/SS+)/SS+,/SP
장군에서	장군/NNG+에서/JKB
싸움	싸움/NNG
노예로	노예/NNG+로/JKB
전락한	전락/NNG+하/XSV+ㄴ/ETM
막시무스(‘글래디에이터’),	막시무스/NNP+(/SS+‘/SS+글래디에이터/NNP+’/SS+)/SS+,/SP
전투가	전투/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
생존을	생존/NNG+을/JKO
위해	위하/VV+아/EC
미군들(‘블랙	미군/NNG+들/XSN+(/SS+‘/SS+블랙/NNP
호크	호크/NNP
다운’)을	다운/NNP+’/SS+)/SS+을/JKO
통해	통하/VV+아/EC
이런	이런/MMD
관점을	관점/NNG+을/JKO
드러낸	드러내/VV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.117.13.1
‘쉰들러 리스트’ ‘테이큰’ ‘스타워즈 에피소드1’ 등 굵직한 작품들에 출연했던 리엄 니슨의 안정된 연기가 극의 완성도를 더한다.

‘쉰들러	‘/SS+쉰들러/NNP
리스트’	리스트/NNG+’/SS
‘테이큰’	‘/SS+테이큰/NNP+’/SS
‘스타워즈	‘/SS+스타워즈/NNP
에피소드1’	에피소드/NNG+1/SN+’/SS
등	등/NNB
굵직한	굵직하/VA+ㄴ/ETM
작품들에	작품/NNG+들/XSN+에/JKB
출연했던	출연/NNG+하/XSV+았/EP+던/ETM
리엄	리엄/NNP
니슨의	니슨/NNP+의/JKG
안정된	안정/NNG+되/XSV+ㄴ/ETM
연기가	연기/NNG+가/JKS
극의	극/NNG+의/JKG
완성도를	완성도/NNG+를/JKO
더한다.	더/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.117.13.2
단편 소설 ‘고스트 워커스’가 원작.

단편	단편/NNG
소설	소설/NNG
‘고스트	‘/SS+고스트/NNP
워커스’가	워커스/NNP+’/SS+가/JKS
원작.	원작/NNG+./SF


# id : NWRW1800000033.117.13.3
15세 이상.

15세	15/SN+세/NNB
이상.	이상/NNG+./SF


