# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.11
metadata : {}


# id : NWRW1800000026.11.1.1
[新세종시 플랜] 鄭총리 "과거의 잘못, 국가의 미래 위해 바로잡는 것"

[新세종시	[/SS+新/SH+세종시/NNP
리허설을	리허설/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
간간이	간간이/MAG
미소를	미소/NNG+를/JKO
짓던	짓/VV+던/ETM
것과	것/NNB+과/JKB
달리	달리/MAG
상기된	상기/NNG+되/XSV+ㄴ/ETM
표정이었다.	표정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000026.11.2.3
정 총리가 이날 전국에 생중계된 기자회견을 통해 수정안을 발표하는 데 걸린 시간은 14분.

정	정/NNP
총리가	총리/NNG+가/JKS
이날	이날/NNG
전국에	전국/NNG+에/JKB
생중계된	생/XPN+중계/NNG+되/XSV+ㄴ/ETM
기자회견을	기자/NNG+회견/NNG+을/JKO
통해	통하/VV+아/EC
수정안을	수정안/NNG+을/JKO
발표하는	발표/NNG+하/XSV+는/ETM
데	데/NNB
걸린	걸리/VV+ㄴ/ETM
시간은	시간/NNG+은/JX
14분.	14/SN+분/NNB+./SF


# id : NWRW1800000026.11.2.4
작년 9월 취임 후 석 달여간 준비해온 수정안을 국민 앞에 내놓는 데 대한 부담 때문인지 연설 도중 목소리가 떨리기도 했다.

작년	작년/NNG
9월	9/SN+월/NNB
취임	취임/NNG
후	후/NNG
석	석/MMN
달여간	달/NNB+여/XSN+간/XSN
준비해온	준비/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
수정안을	수정안/NNG+을/JKO
국민	국민/NNG
앞에	앞/NNG+에/JKB
내놓는	내놓/VV+는/ETM
데	데/NNB
대한	대하/VV+ㄴ/ETM
부담	부담/NNG
때문인지	때문/NNB+이/VCP+ㄴ지/EC
연설	연설/NNG
도중	도중/NNG
목소리가	목소리/NNG+가/JKS
떨리기도	떨리/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.11.3.1
정 총리는 이날 회견에서 '국가' '국익' '미래'란 단어를 여러 차례 사용했다.

정	정/NNP
총리는	총리/NNG+는/JX
이날	이날/NNG
회견에서	회견/NNG+에서/JKB
'국가'	'/SS+국가/NNG+'/SS
'국익'	'/SS+국익/NNG+'/SS
'미래'란	'/SS+미래/NNG+'/SS+이/VCP+란/ETM
단어를	단어/NNG+를/JKO
여러	여러/MMN
차례	차례/NNG
사용했다.	사용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.11.3.2
총리실 참모는 "정 총리가 주도한 세종시 수정은 '과거의 잘못된 결정(원안)을 국가의 미래와 국익을 위해 바로잡는 것'이란 점을 강조한 것"이라고 했다.

총리실	총리실/NNG
참모는	참모/NNG+는/JX
"정	"/SS+정/NNP
총리가	총리/NNG+가/JKS
주도한	주도/NNG+하/XSV+ㄴ/ETM
세종시	세종시/NNP
수정은	수정/NNG+은/JX
'과거의	'/SS+과거/NNG+의/JKG
잘못된	잘못/MAG+되/XSV+ㄴ/ETM
결정(원안)을	결정/NNG+(/SS+원안/NNG+)/SS+을/JKO
국가의	국가/NNG+의/JKG
미래와	미래/NNG+와/JC
국익을	국익/NNG+을/JKO
위해	위하/VV+아/EC
바로잡는	바로잡/VV+는/ETM
것'이란	것/NNB+'/SS+이/VCP+란/ETM
점을	점/NNG+을/JKO
강조한	강조/NNG+하/XSV+ㄴ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.11.4.1
정 총리는 "세종시 수정은 충청권은 물론 대한민국이 50년, 100년 먹고살 '제3의 쌀'을 창조하는 일"이라며 "자칫 잘못하면 국가적으로 막대한 손실이 발생하는 프로젝트인 만큼 정치적 고려나 지역적 이해관계가 끼어들 수가 없다"고 했다.

정	정/NNP
총리는	총리/NNG+는/JX
"세종시	"/SS+세종시/NNP
수정은	수정/NNG+은/JX
충청권은	충청/NNP+권/XSN+은/JX
물론	물론/MAG
대한민국이	대한민국/NNP+이/JKS
50년,	50/SN+년/NNB+,/SP
100년	100/SN+년/NNB
먹고살	먹고살/VV+ㄹ/ETM
'제3의	'/SS+제/XPN+3/SN+의/JKG
쌀'을	쌀/NNG+'/SS+을/JKO
창조하는	창조/NNG+하/XSV+는/ETM
일"이라며	일/NNG+"/SS+이/VCP+라며/EC
"자칫	"/SS+자칫/MAG
잘못하면	잘못/MAG+하/XSV+면/EC
국가적으로	국가/NNG+적/XSN+으로/JKB
막대한	막대하/VA+ㄴ/ETM
손실이	손실/NNG+이/JKS
발생하는	발생/NNG+하/XSV+는/ETM
프로젝트인	프로젝트/NNG+이/VCP+ㄴ/ETM
만큼	만큼/NNB
정치적	정치/NNG+적/XSN
고려나	고려/NNG+나/JC
지역적	지역/NNG+적/XSN
이해관계가	이해관계/NNG+가/JKS
끼어들	끼어들/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.11.4.2
그는 또 "세종시 같은 국가적 대사를 결정하는 기준은 단순 명료하다. 어느 방안이 국민과 국가의 이익을 극대화하느냐, 그 이상도 이하도 아니다"라고 했다.

그는	그/NP+는/JX
또	또/MAG
"세종시	"/SS+세종시/NNP
같은	같/VA+은/ETM
국가적	국가/NNG+적/XSN
대사를	대사/NNG+를/JKO
결정하는	결정/NNG+하/XSV+는/ETM
기준은	기준/NNG+은/JX
단순	단순/NNG
명료하다.	명료하/VA+다/EF+./SF
어느	어느/MMD
방안이	방안/NNG+이/JKS
국민과	국민/NNG+과/JC
국가의	국가/NNG+의/JKG
이익을	이익/NNG+을/JKO
극대화하느냐,	극대/NNG+화/XSN+하/XSV+느냐/EF+,/SP
그	그/NP
이상도	이상/NNG+도/JX
이하도	이하/NNG+도/JX
아니다"라고	아니/VCN+다/EF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.11.5.1
정 총리는 수정안 발표 뒤 오후에는 대전으로 내려가 국립현충원을 참배하고 지역 방송에 출연해 충청주민을 상대로 수정안의 내용을 설명했다.

정	정/NNP
총리는	총리/NNG+는/JX
수정안	수정안/NNG
발표	발표/NNG
뒤	뒤/NNG
오후에는	오후/NNG+에/JKB+는/JX
대전으로	대전/NNP+으로/JKB
내려가	내려가/VV+아/EC
국립현충원을	국립현충원/NNP+을/JKO
참배하고	참배/NNG+하/XSV+고/EC
지역	지역/NNG
방송에	방송/NNG+에/JKB
출연해	출연/NNG+하/XSV+아/EC
충청주민을	충청/NNP+주민/NNG+을/JKO
상대로	상대/NNG+로/JKB
수정안의	수정안/NNG+의/JKG
내용을	내용/NNG+을/JKO
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.11.5.2
그는 현충원 방명록에 '세종시를 국가발전의 전진기지로 만들겠다'고 적었고, 용산 철거민 시위를 진압하다 순직한 김남훈 경사의 묘역도 참배했다.

그는	그/NP+는/JX
현충원	현충원/NNP
방명록에	방명록/NNG+에/JKB
'세종시를	'/SS+세종시/NNP+를/JKO
국가발전의	국가/NNG+발전/NNG+의/JKG
전진기지로	전진/NNG+기지/NNG+로/JKB
만들겠다'고	만들/VV+겠/EP+다/EF+'/SS+고/JKQ
적었고,	적/VA+었/EP+고/EC+,/SP
용산	용산/NNP
철거민	철거민/NNG
시위를	시위/NNG+를/JKO
진압하다	진압/NNG+하/XSV+다/EC
순직한	순직/NNG+하/XSV+ㄴ/ETM
김남훈	김남훈/NNP
경사의	경사/NNG+의/JKG
묘역도	묘역/NNG+도/JX
참배했다.	참배/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.11.5.3
정 총리는 충청 방문 뒤 "수정안이 국회에서 통과되지 않으면 보상금을 적게 받은 서민층 이주민들이 피해를 보게 되는 만큼 엄중한 부담을 느낀다. 국민들이 나의 충정을 이해해줬으면 좋겠다"고 했다고 한다.

정	정/NNP
총리는	총리/NNG+는/JX
충청	충청/NNP
방문	방문/NNG
뒤	뒤/NNG
"수정안이	"/SS+수정안/NNG+이/JKS
국회에서	국회/NNG+에서/JKB
통과되지	통과/NNG+되/XSV+지/EC
않으면	않/VX+으면/EC
보상금을	보상금/NNG+을/JKO
적게	적/VA+게/EC
받은	받/VV+은/ETM
서민층	서민/NNG+층/XSN
이주민들이	이주민/NNG+들/XSN+이/JKS
피해를	피해/NNG+를/JKO
보게	보/VV+게/EC
되는	되/VV+는/ETM
만큼	만큼/NNB
엄중한	엄중/NNG+하/XSA+ㄴ/ETM
부담을	부담/NNG+을/JKO
느낀다.	느끼/VV+ㄴ다/EF+./SF
국민들이	국민/NNG+들/XSN+이/JKS
나의	나/NP+의/JKG
충정을	충정/NNG+을/JKO
이해해줬으면	이해/NNG+하/XSV+아/EC+주/VX+었/EP+으면/EC
좋겠다"고	좋/VA+겠/EP+다/EF+"/SS+고/JKQ
했다고	하/VV+았/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


