# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.187
metadata : {}


# id : NWRW1800000052.187.1.1
1946~82년 아동·청소년 인권유린 ‘선감학원’ 진상조사·위령사업 물꼬

1946~82년	1946/SN+~/SO+82/SN+년/NNB
‘선감학원 인권 유린 사건’이란 일제강점기에 일본이 대동아전쟁의 전사를 확보한다는 명분으로 1942~1945년 당시 8~18살의 아동·청소년들을 안산시 선감도 선감학원에 강제로 입소시켜 노역과 폭행, 학대·고문·굶김 등을 자행했던 선감학원이 1946년 경기도로 관할권이 이관되어 1982년 폐쇄될 때까지도 지속적으로 인권을 유린한 사건을 말한다.

‘선감학원	‘/SS+선감학원/NNP
인권	인권/NNG
유린	유린/NNG
사건’이란	사건/NNG+’/SS+이란/JX
일제강점기에	일제/NNG+강점기/NNG+에/JKB
일본이	일본/NNP+이/JKS
대동아전쟁의	대/XPN+동아/NNP+전쟁/NNG+의/JKG
전사를	전사/NNG+를/JKO
확보한다는	확보/NNG+하/XSV+ㄴ다는/ETM
명분으로	명분/NNG+으로/JKB
1942~1945년	1942/SN+~/SO+1945/SN+년/NNB
당시	당시/NNG
8~18살의	8/SN+~/SO+18/SN+살/NNB+의/JKG
아동·청소년들을	아동/NNG+·/SP+청소년/NNG+들/XSN+을/JKO
안산시	안산시/NNP
선감도	선감도/NNP
선감학원에	선감학원/NNP+에/JKB
강제로	강제/NNG+로/JKB
입소시켜	입소/NNG+시키/XSV+어/EC
노역과	노역/NNG+과/JC
폭행,	폭행/NNG+,/SP
학대·고문·굶김	학대/NNG+·/SP+고문/NNG+·/SP+굶기/VV+ㅁ/ETN
등을	등/NNB+을/JKO
자행했던	자행/NNG+하/XSV+았/EP+던/ETM
선감학원이	선감학원/NNP+이/JKS
1946년	1946/SN+년/NNB
경기도로	경기도/NNP+로/JKB
관할권이	관할/NNG+권/XSN+이/JKS
이관되어	이관/NNG+되/XSV+어/EC
1982년	1982/SN+년/NNB
폐쇄될	폐쇄/NNG+되/XSV+ㄹ/ETM
때까지도	때/NNG+까지/JX+도/JX
지속적으로	지속/NNG+적/XSN+으로/JKB
인권을	인권/NNG+을/JKO
유린한	유린/NNG+하/XSV+ㄴ/ETM
사건을	사건/NNG+을/JKO
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.187.6.1
이번에 예고된 조례안은 경기도지사가 선감학원 사건 피해조사 및 희생자 명예회복을 위한 시책을 마련하고, 담당부서를 지정하도록 했다.

이번에	이번/NNG+에/JKB
예고된	예고/NNG+되/XSV+ㄴ/ETM
조례안은	조례안/NNG+은/JX
경기도지사가	경기/NNP+도지사/NNG+가/JKS
선감학원	선감학원/NNP
사건	사건/NNG
피해조사	피해/NNG+조사/NNG
및	및/MAG
희생자	희생자/NNG
명예회복을	명예/NNG+회복/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
시책을	시책/NNG+을/JKO
마련하고,	마련/NNG+하/XSV+고/EC+,/SP
담당부서를	담당/NNG+부서/NNG+를/JKO
지정하도록	지정/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.187.6.2
이와 함께 희생자 유해 발굴, 유적지 정비·관리, 위령제 봉행, 유적지 순례, 선감학원 관련 문화·학술사업 및 추념사업 등에 행정적·재정적 지원을 도지사가 하도록 했다.

이와	이/NP+와/JKB
함께	함께/MAG
희생자	희생자/NNG
유해	유해/NNG
발굴,	발굴/NNG+,/SP
유적지	유적지/NNG
정비·관리,	정비/NNG+·/SP+관리/NNG+,/SP
위령제	위령제/NNG
봉행,	봉행/NNG+,/SP
순례,	순례/NNG+,/SP
선감학원	선감학원/NNP
관련	관련/NNG
문화·학술사업	문화/NNG+·/SP+학술/NNG+사업/NNG
및	및/MAG
추념사업	추념/NNG+사업/NNG
등에	등/NNB+에/JKB
행정적·재정적	행정/NNG+적/XSN+·/SP+재정/NNG+적/XSN
지원을	지원/NNG+을/JKO
도지사가	도지사/NNG+가/JKS
하도록	하/VV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.187.7.1
조례는 경기도 자치행정국장 등 5명의 공무원과 선감학원 사건 생존자 대표 2명, 선감도 지역 주민 대표 2명, 도의원 3명, 변호사 등을 포함한 20명 이내의 위원으로 구성된 지원위원회를 두도록 했다.

조례는	조례/NNG+는/JX
경기도	경기도/NNP
자치행정국장	자치행정국장/NNG
등	등/NNB
5명의	5/SN+명/NNB+의/JKG
공무원과	공무원/NNG+과/JC
선감학원	선감학원/NNP
사건	사건/NNG
생존자	생존자/NNG
대표	대표/NNG
2명,	2/SN+명/NNB+,/SP
선감도	선감도/NNP
지역	지역/NNG
주민	주민/NNG
도의원	도/NNG+의원/NNG
3명,	3/SN+명/NNB+,/SP
변호사	변호사/NNG
등을	등/NNB+을/JKO
포함한	포함/NNG+하/XSV+ㄴ/ETM
20명	20/SN+명/NNB
이내의	이내/NNG+의/JKG
위원으로	위원/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
지원위원회를	지원/NNG+위원회/NNG+를/JKO
두도록	두/VV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.187.7.2
위원회는 구성된 날부터 2년 이내에 선감학원 사건 관련 자료의 수집 및 분석을 완료한 뒤 6개월 내에 보고서를 의회에 제출하도록 했다.

위원회는	위원회/NNG+는/JX
구성된	구성/NNG+되/XSV+ㄴ/ETM
날부터	날/NNG+부터/JX
2년	2/SN+년/NNB
이내에	이내/NNG+에/JKB
선감학원	선감학원/NNP
사건	사건/NNG
관련	관련/NNG
자료의	자료/NNG+의/JKG
수집	수집/NNG
및	및/MAG
분석을	분석/NNG+을/JKO
완료한	완료/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
6개월	6/SN+개월/NNB
내에	내/NNB+에/JKB
보고서를	보고서/NNG+를/JKO
의회에	의회/NNG+에/JKB
제출하도록	제출/NNG+하/XSV+도록/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.187.8.1
이번 조례안은 28일부터 다음달 4일까지 열리는 도의회 임시회에서 심의된다.

이번	이번/NNG
조례안은	조례안/NNG+은/JX
28일부터	28/SN+일/NNB+부터/JX
다음달	다음/NNG+달/NNG
4일까지	4/SN+일/NNB+까지/JX
열리는	열리/VV+는/ETM
도의회	도/NNG+의회/NNG
임시회에서	임시회/NNG+에서/JKB
심의된다.	심의/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.187.8.2
정대운 의원은 “다시는 반복되어서는 안 될 아픈 역사를 돌아보고 인권 유린으로 희생된 피해자들의 명예가 회복되기를 기대한다”고 말했다.

정대운	정대운/NNP
의원은	의원/NNG+은/JX
“다시는	“/SS+다시/MAG+는/JX
반복되어서는	반복/NNG+되/XSV+어서/EC+는/JX
안	안/MAG
될	되/VV+ㄹ/ETM
아픈	아프/VA+ㄴ/ETM
역사를	역사/NNG+를/JKO
돌아보고	돌아보/VV+고/EC
인권	인권/NNG
유린으로	유린/NNG+으로/JKB
희생된	희생/NNG+되/XSV+ㄴ/ETM
피해자들의	피해자/NNG+들/XSN+의/JKG
명예가	명예/NNG+가/JKS
회복되기를	회복/NNG+되/XSV+기/ETN+를/JKO
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


