# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.361
metadata : {}


# id : NWRW1800000036.361.1.1
중국어선 단속 해경 등 수당 인상

중국어선	중국/NNP+어선/NNG
공무원	공무원/NNG
61만여명의	61/SN+만/NR+여/XSN+명/NNB+의/JKG
보수를	보수/NNG+를/JKO
지난해에	지난해/NNG+에/JKB
견줘	견주/VV+어/EC
3.5%	3/SN+./SP+5/SN+%/SW
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.361.5.2
대통령 연봉은 1억7909만원에서 733만원(4.1%) 증가한 1억8642만원으로 올랐는데, 직급보조비·정액급식비를 더하면 총액은 지난해보다 2억2638만원으로 지난해보다 3.3% 오른 액수다.

대통령	대통령/NNG
연봉은	연봉/NNG+은/JX
1억7909만원에서	1/SN+억/NR+7909/SN+만/NR+원/NNB+에서/JKB
733만원(4.1%)	733/SN+만/NR+원/NNB+(/SS+4/SN+./SP+1/SN+%/SW+)/SS
증가한	증가/NNG+하/XSV+ㄴ/ETM
1억8642만원으로	1/SN+억/NR+8642/SN+만/NR+원/NNB+으로/JKB
올랐는데,	오르/VV+았/EP+는데/EC+,/SP
직급보조비·정액급식비를	직급/NNG+보조비/NNG+·/SP+정액/NNG+급식비/NNG+를/JKO
더하면	더/MAG+하/XSV+면/EC
총액은	총액/NNG+은/JX
지난해보다	지난해/NNG+보다/JKB
2억2638만원으로	2/SN+억/NR+2638/SN+만/NR+원/NNB+으로/JKB
3.3%	3/SN+./SP+3/SN+%/SW
오른	오르/VV+ㄴ/ETM
액수다.	액수/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.361.5.3
국무총리는 1억4452만원, 장관은 1억627만원, 차관은 1억320만원, 서울특별시장은 1억627만원으로 올렸다.

국무총리는	국무총리/NNG+는/JX
1억4452만원,	1/SN+억/NR+4452/SN+만/NR+원/NNB+,/SP
장관은	장관/NNG+은/JX
1억627만원,	1/SN+억/NR+627/SN+만/NR+원/NNB+,/SP
차관은	차관/NNG+은/JX
1억320만원,	1/SN+억/NR+320/SN+만/NR+원/NNB+,/SP
서울특별시장은	서울특별시장/NNG+은/JX
1억627만원으로	1/SN+억/NR+627/SN+만/NR+원/NNB+으로/JKB
올렸다.	올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.361.5.4
또 세종시 등으로 부처가 이전하는 공무원들의 이사 지원비를 늘리고, 셋째 이후 출산 자녀에 대한 가족수당도 인상했다.

또	또/MAG
세종시	세종시/NNP
등으로	등/NNB+으로/JKB
부처가	부처/NNG+가/JKS
이전하는	이전/NNG+하/XSV+는/ETM
공무원들의	공무원/NNG+들/XSN+의/JKG
이사	이사/NNG
지원비를	지원비/NNG+를/JKO
늘리고,	늘리/VV+고/EC+,/SP
셋째	셋째/NNG
이후	이후/NNG
출산	출산/NNG
자녀에	자녀/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
가족수당도	가족/NNG+수당/NNG+도/JX
인상했다.	인상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.361.5.5
정부는 이런 내용의 공무원 보수 규정 개정안을 이날 국무회의에서 통과시켰다.

정부는	정부/NNG+는/JX
이런	이런/MMD
내용의	내용/NNG+의/JKG
공무원	공무원/NNG
보수	보수/NNG
규정	규정/NNG
개정안을	개정안/NNG+을/JKO
이날	이날/NNG
국무회의에서	국무/NNG+회의/NNG+에서/JKB
통과시켰다.	통과/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000036.361.6.1
신영숙 행정안전부 성과급여기획과장은 “4%가량인 지난해 물가인상률과 민간기업 보수 등을 고려해 공무원 보수 인상률을 정했다”고 말했다.

신영숙	신영숙/NNP
행정안전부	행정/NNG+안전부/NNG
성과급여기획과장은	성과/NNG+급여/NNG+기획과장/NNG+은/JX
“4%가량인	“/SS+4/SN+%/SW+가량/XSN+이/VCP+ㄴ/ETM
지난해	지난해/NNG
물가인상률과	물가/NNG+인상/NNG+률/XSN+과/JC
민간기업	민간/NNG+기업/NNG
보수	보수/NNG
등을	등/NNB+을/JKO
고려해	고려/NNG+하/XSV+아/EC
공무원	공무원/NNG
인상률을	인상/NNG+률/XSN+을/JKO
정했다”고	정하/VV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.361.6.2
행안부가 외부기관에 용역을 맡겨 확인한 민간기업 대비 공무원 보수는 2010년 말 현재 84.4% 수준이다.

행안부가	행안부/NNG+가/JKS
외부기관에	외부/NNG+기관/NNG+에/JKB
용역을	용역/NNG+을/JKO
맡겨	맡기/VV+어/EC
확인한	확인/NNG+하/XSV+ㄴ/ETM
민간기업	민간/NNG+기업/NNG
대비	대비/NNG
공무원	공무원/NNG
보수는	보수/NNG+는/JX
2010년	2010/SN+년/NNB
말	말/NNB
현재	현재/MAG
84.4%	84/SN+./SP+4/SN+%/SW
수준이다.	수준/NNG+이/VCP+다/EF+./SF


