# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000036.398
metadata : {}


# id : NWRW1800000036.398.1.1
조기문, 학력도 직업도 오리무중…주변사람도 실체 잘 몰라

조기문,	조기문/NNP+,/SP
‘사기꾼’이라고	‘/SS+사기/NNG+꾼/XSN+’/SS+이라고/JKQ
폄하하는	폄하/NNG+하/XSV+는/ETM
이들도	이/NNB+들/XSN+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000036.398.4.1
그는 연세대(77학번) 출신이라고 속여 정치활동 입지를 넓혀가다가 거짓으로 들통나 망신을 사기도 했으나, 여전히 부산지역 정가에서 당당하게 활동하고 있다.

그는	그/NP+는/JX
연세대(77학번)	연세대/NNP+(/SS+77/SN+학번/NNG+)/SS
출신이라고	출신/NNG+이/VCP+라고/EC
속여	속이/VV+어/EC
정치활동	정치/NNG+활동/NNG
입지를	입지/NNG+를/JKO
넓혀가다가	넓히/VV+어/EC+가/VX+다가/EC
거짓으로	거짓/NNG+으로/JKB
들통나	들통나/VV+아/EC
망신을	망신/NNG+을/JKO
사기도	사/VV+기/ETN+도/JX
했으나,	하/VX+았/EP+으나/EC+,/SP
여전히	여전히/MAG
부산지역	부산지역/NNP
정가에서	정가/NNG+에서/JKB
당당하게	당당/MAG+하/XSA+게/EC
활동하고	활동/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000036.398.4.2
이번 사건에 함께 연루된 현기환(53) 전 새누리당 의원은 조씨에게 속아 그를 선배로 부르다가 뒤늦게 거짓임을 알고 가슴을 쳤다고 한다.

이번	이번/NNG
사건에	사건/NNG+에/JKB
함께	함께/MAG
연루된	연루/NNG+되/XSV+ㄴ/ETM
현기환(53)	현기환/NNP+(/SS+53/SN+)/SS
전	전/MMD
새누리당	새누리당/NNP
의원은	의원/NNG+은/JX
조씨에게	조/NNP+씨/NNB+에게/JKB
속아	속/VV+아/EC
그를	그/NP+를/JKO
선배로	선배/NNG+로/JKB
부르다가	부르/VV+다가/EC
뒤늦게	뒤늦/VA+게/EC
거짓임을	거짓/NNG+이/VCP+ㅁ/ETN+을/JKO
알고	알/VV+고/EC
가슴을	가슴/NNG+을/JKO
쳤다고	치/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000036.398.5.1
지역 정계의 말을 종합하면, 조씨는 2002년 이영수 국민성공실천연합 대표가 이끌었던 이회창 대선 후보의 외곽조직인 ‘클린파워’의 부산본부장으로 부산 정치권에 처음 등장한다.

지역	지역/NNG
정계의	정계/NNG+의/JKG
말을	말/NNG+을/JKO
종합하면,	종합/NNG+하/XSV+면/EC+,/SP
조씨는	조/NNP+씨/NNB+는/JX
2002년	2002/SN+년/NNB
이영수	이영수/NNP
국민성공실천연합	국민성공실천연합/NNP
대표가	대표/NNG+가/JKS
이끌었던	이끌/VV+었/EP+던/ETM
이회창	이회창/NNP
대선	대선/NNG
후보의	후보/NNG+의/JKG
외곽조직인	외곽/NNG+조직/NNG+이/VCP+ㄴ/ETM
‘클린파워’의	‘/SS+클린파워/NNP+’/SS+의/JKG
부산본부장으로	부산/NNP+본부장/NNG+으로/JKB
부산	부산/NNP
정치권에	정치/NNG+권/XSN+에/JKB
처음	처음/NNG
등장한다.	등장/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.398.5.2
당시 그를 만난 인사는 “실제로 활동하는 사람은 열명도 안 되는데, 여기저기서 가입 서명을 받아서 회원 수가 엄청나게 많다고 장사하고 다니는 전형적인 정치 브로커였다”고 기억을 되살렸다.

당시	당시/NNG
그를	그/NP+를/JKO
만난	만나/VV+ㄴ/ETM
인사는	인사/NNG+는/JX
“실제로	“/SS+실제로/MAG
활동하는	활동/NNG+하/XSV+는/ETM
사람은	사람/NNG+은/JX
열명도	열/NR+명/NNB+도/JX
안	안/MAG
되는데,	되/VV+는데/EC+,/SP
여기저기서	여기저기/NNG+서/JKB
가입	가입/NNG
서명을	서명/NNG+을/JKO
받아서	받/VV+아서/EC
회원	회원/NNG
수가	수/NNG+가/JKS
엄청나게	엄청나/VA+게/EC
많다고	많/VA+다고/EC
장사하고	장사/NNG+하/XSV+고/EC
다니는	다니/VV+는/ETM
전형적인	전형/NNG+적/XSN+이/VCP+ㄴ/ETM
정치	정치/NNG
브로커였다”고	브로커/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
기억을	기억/NNG+을/JKO
되살렸다.	되살리/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.398.6.1
이런 그를 당시 한나라당 부산시당 위원장이던 권철현 전 의원이 연세대 후배로 알고 부산시당 홍보위원장에 임명해 결과적으로 정치적 날개를 달아줬다는 것이 지역 정계의 공통된 분석이다.

이런	이런/MMD
그를	그/NP+를/JKO
당시	당시/NNG
한나라당	한나라당/NNP
부산시당	부산시/NNP+당/NNG
위원장이던	위원장/NNG+이/VCP+던/ETM
권철현	권철현/NNP
전	전/MMD
의원이	의원/NNG+이/JKS
연세대	연세대/NNP
후배로	후배/NNG+로/JKB
알고	알/VV+고/EC
홍보위원장에	홍보/NNG+위원장/NNG+에/JKB
임명해	임명/NNG+하/XSV+아/EC
결과적으로	결과/NNG+적/XSN+으로/JKB
정치적	정치/NNG+적/XSN
날개를	날개/NNG+를/JKO
달아줬다는	달/VV+아/EC+주/VX+었/EP+다는/ETM
것이	것/NNB+이/JKS
지역	지역/NNG
정계의	정계/NNG+의/JKG
공통된	공통/NNG+되/XSV+ㄴ/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000036.398.6.2
권 전 의원은 “각 지구당 등에서 추천한 사람들을 그대로 당직에 임명했을 뿐”이라고 밝혔다.

권	권/NNP
전	전/MMD
의원은	의원/NNG+은/JX
“각	“/SS+각/MMD
지구당	지구당/NNG
등에서	등/NNB+에서/JKB
추천한	추천/NNG+하/XSV+ㄴ/ETM
사람들을	사람/NNG+들/XSN+을/JKO
그대로	그대로/MAG
당직에	당직/NNG+에/JKB
임명했을	임명/NNG+하/XSV+았/EP+을/ETM
뿐”이라고	뿐/NNB+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000036.398.7.1
조씨는 2010년 6·2 지방선거 때 부산시교육감 선거에 출마한 현영희(61·여) 새누리당 의원의 선거운동을 도맡아 하는 과정에서 현 의원에게 능력을 인정받으면서 신뢰를 쌓았다.

조씨는	조/NNP+씨/NNB+는/JX
2010년	2010/SN+년/NNB
6·2	6/SN+·/SP+2/SN
지방선거	지방/NNG+선거/NNG
때	때/NNG
부산시교육감	부산시/NNP+교육감/NNG
선거에	선거/NNG+에/JKB
출마한	출마/NNG+하/XSV+ㄴ/ETM
현영희(61·여)	현영희/NNP+(/SS+61/SN+·/SP+여/NNG+)/SS
새누리당	새누리당/NNP
의원의	의원/NNG+의/JKG
선거운동을	선거/NNG+운동/NNG+을/JKO
도맡아	도맡/VV+아/EC
하는	하/VX+는/ETM
과정에서	과정/NNG+에서/JKB
현	현/MMD
의원에게	의원/NNG+에게/JKB
능력을	능력/NNG+을/JKO
인정받으면서	인정/NNG+받/XSV+으면서/EC
신뢰를	신뢰/NNG+를/JKO
쌓았다.	쌓/VV+았/EP+다/EF+./SF


# id : NWRW1800000036.398.7.2
현 의원이 4·11 총선 때 부산 동구 선거구에 출마하려고 사무실을 차리자, 캠프 책임자로도 참여했다.

현	현/MMD
의원이	의원/NNG+이/JKS
4·11	4/SN+·/SP+11/SN
총선	총선/NNG
때	때/NNG
부산	부산/NNP
동구	동구/NNP
선거구에	선거구/NNG+에/JKB
출마하려고	출마/NNG+하/XSV+려고/EC
사무실을	사무실/NNG+을/JKO
차리자,	차리/VV+자/EC+,/SP
캠프	캠프/NNG
책임자로도	책임자/NNG+로/JKB+도/JX
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000036.398.7.3
정의화 의원에게 밀려 공천에 탈락한 현 의원이 비례대표 신청을 하자 그를 위해 공천위원 등을 겨냥한 로비에 나선 것이 이번 사건으로 터져나왔다고 지역 정가에선 분석한다.

정의화	정의화/NNP
의원에게	의원/NNG+에게/JKB
밀려	밀리/VV+어/EC
공천에	공천/NNG+에/JKB
탈락한	탈락/NNG+하/XSV+ㄴ/ETM
현	현/MMD
의원이	의원/NNG+이/JKS
비례대표	비례/NNG+대표/NNG
신청을	신청/NNG+을/JKO
하자	하/VV+자/EC
그를	그/NP+를/JKO
위해	위하/VV+아/EC
공천위원	공천/NNG+위원/NNG
등을	등/NNB+을/JKO
겨냥한	겨냥/NNG+하/XSV+ㄴ/ETM
로비에	로비/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것이	것/NNB+이/JKS
이번	이번/NNG
사건으로	사건/NNG+으로/JKB
터져나왔다고	터지/VV+어/EC+나오/VV+았/EP+다고/EC
지역	지역/NNG
정가에선	정가/NNG+에서/JKB+ㄴ/JX
분석한다.	분석/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000036.398.8.1
조씨는 홍준표 전 대표와 김정권 전 사무총장, 홍 전 대표의 측근으로 알려진 박창달 전 의원, 이영수 국민성공실천연합 대표와도 친밀한 관계로 알려져 있다.

조씨는	조/NNP+씨/NNB+는/JX
홍준표	홍준표/NNP
전	전/MMD
대표와	대표/NNG+와/JC
김정권	김정권/NNP
사무총장,	사무총장/NNG+,/SP
홍	홍/NNP
대표의	대표/NNG+의/JKG
측근으로	측근/NNG+으로/JKB
알려진	알리/VV+어/EC+지/VX+ㄴ/ETM
박창달	박창달/NNP
의원,	의원/NNG+,/SP
이영수	이영수/NNP
국민성공실천연합	국민성공실천연합/NNP
대표와도	대표/NNG+와/JKB+도/JX
친밀한	친밀/NNG+하/XSA+ㄴ/ETM
관계로	관계/NNG+로/JKB
알려져	알려지/VV+어/EC
있다.	있/VX+다/EF+./SF


