# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.257
metadata : {}


# id : NWRW1800000028.257.1.1
V리그 공인구 5년만에 교체

V리그	V/SL+리그/NNG
사용했지만	사용/NNG+하/XSV+았/EP+지만/EC
신형	신형/NNG
천연고무와	천연고무/NNG+와/JC
합성고무를	합성/NNG+고무/NNG+를/JKO
혼합해	혼합/NNG+하/XSV+아/EC
탄성을	탄성/NNG+을/JKO
보강했다.	보강/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.257.3.2
이로 인해 반발력이 늘고 터치감은 향상됐다.

이로	이/NP+로/JKB
인해	인/NNG+하/XSV+아/EC
반발력이	반발력/NNG+이/JKS
늘고	늘/VV+고/EC
터치감은	터치감/NNG+은/JX
향상됐다.	향상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000028.257.3.3
원단 표면을 딤플 모양으로 처리해 촉감 개선과 미끄럼방지 효과까지 추구했다.

원단	원단/NNG
표면을	표면/NNG+을/JKO
딤플	딤플/NNG
모양으로	모양/NNG+으로/JKB
처리해	처리/NNG+하/XSV+아/EC
촉감	촉감/NNG
개선과	개선/NNG+과/JC
미끄럼방지	미끄럼/NNG+방지/NNG
효과까지	효과/NNG+까지/JX
추구했다.	추구/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.257.3.4
재질과 표면처리의 변화로 신형 공은 탄력이 높으면서도 비행 안정감을 최적화시킴으로써 종전보다 정확하고 집중력 있는 경기력을 기대할 수 있다는 게 제조업체 스타스포츠 쪽 설명이다.

재질과	재질/NNG+과/JC
표면처리의	표면/NNG+처리/NNG+의/JKG
변화로	변화/NNG+로/JKB
신형	신형/NNG
공은	공/NNG+은/JX
탄력이	탄력/NNG+이/JKS
높으면서도	높/VA+으면서/EC+도/JX
비행	비행/NNG
안정감을	안정감/NNG+을/JKO
최적화시킴으로써	최적/NNG+화/XSN+시키/XSV+ㅁ/ETN+으로써/JKB
종전보다	종전/NNG+보다/JKB
정확하고	정확/NNG+하/XSA+고/EC
집중력	집중력/NNG
있는	있/VA+는/ETM
경기력을	경기력/NNG+을/JKO
기대할	기대/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
게	거/NNB+이/JKS
제조업체	제조업체/NNG
스타스포츠	스타스포츠/NNP
쪽	쪽/NNB
설명이다.	설명/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.257.4.1
새로운 사용구의 등장은 종전 사용구가 국제적인 사용구에 비해 경쟁력이 떨어진다는 지적이 바탕이 됐다.

새로운	새롭/VA+ㄴ/ETM
사용구의	사용/NNG+구/NNG+의/JKG
등장은	등장/NNG+은/JX
종전	종전/NNG
사용구가	사용/NNG+구/NNG+가/JKS
국제적인	국제/NNG+적/XSN+이/VCP+ㄴ/ETM
사용구에	사용/NNG+구/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
경쟁력이	경쟁력/NNG+이/JKS
떨어진다는	떨어지/VV+ㄴ다는/ETM
지적이	지적/NNG+이/JKS
바탕이	바탕/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.257.4.2
현재 국제배구대회에서는 일본에서 제작한 국제배구연맹 공인구 미카사가 사용되고 있다.

현재	현재/MAG
국제배구대회에서는	국제/NNG+배구/NNG+대회/NNG+에서/JKB+는/JX
일본에서	일본/NNP+에서/JKB
제작한	제작/NNG+하/XSV+ㄴ/ETM
국제배구연맹	국제배구연맹/NNP
공인구	공인구/NNG
미카사가	미카사/NNP+가/JKS
사용되고	사용/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.257.4.3
이 공은 국내 사용구보다 반발력이 훨씬 뛰어나 국가대표 선수들이 적응에 애를 먹었다.

이	이/MMD
공은	공/NNG+은/JX
국내	국내/NNG
사용구보다	사용/NNG+구/NNG+보다/JKB
반발력이	반발력/NNG+이/JKS
훨씬	훨씬/MAG
뛰어나	뛰어나/VA+아/EC
국가대표	국가/NNG+대표/NNG
선수들이	선수/NNG+들/XSN+이/JKS
적응에	적응/NNG+에/JKB
애를	애/NNG+를/JKO
먹었다.	먹/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.257.4.4
대한배구협회와 한국배구연맹은 국내 사용구의 문제점을 공감해 스타스포츠 쪽에 의견을 개진하게 됐고, 결국 미카사에 견줘 손색이 없는 사용구를 출시하기에 이르렀다.

대한배구협회와	대한배구협회/NNP+와/JC
한국배구연맹은	한국배구연맹/NNP+은/JX
국내	국내/NNG
사용구의	사용/NNG+구/NNG+의/JKG
문제점을	문제점/NNG+을/JKO
공감해	공감/NNG+하/XSV+아/EC
스타스포츠	스타스포츠/NNP
쪽에	쪽/NNB+에/JKB
의견을	의견/NNG+을/JKO
개진하게	개진/NNG+하/XSV+게/EC
됐고,	되/VV+었/EP+고/EC+,/SP
결국	결국/MAG
미카사에	미카사/NNP+에/JKB
견줘	견주/VV+어/EC
손색이	손색/NNG+이/JKS
없는	없/VA+는/ETM
사용구를	사용/NNG+구/NNG+를/JKO
출시하기에	출시/NNG+하/XSV+기에/EC
이르렀다.	이르/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.257.4.5
그랜드챔피온은 미카사와 동일한 원단과 제작공법을 도입했다.

그랜드챔피온은	그랜드/NNG+챔피온/NNG+은/JX
미카사와	미카사/NNP+와/JKB
동일한	동일/NNG+하/XSA+ㄴ/ETM
원단과	원단/NNG+과/JC
제작공법을	제작/NNG+공법/NNG+을/JKO
도입했다.	도입/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.257.4.6
결국 안정된 리시브가 보장되는 종전의 배구공보다는 고탄력 특성을 바탕으로 빠르고 박진감 넘치는 경기를 기대할 수 있게 됐다.

결국	결국/MAG
안정된	안정/NNG+되/XSV+ㄴ/ETM
리시브가	리시브/NNG+가/JKS
보장되는	보장/NNG+되/XSV+는/ETM
종전의	종전/NNG+의/JKG
배구공보다는	배구공/NNG+보다/JKB+는/JX
고탄력	고/XPN+탄력/NNG
특성을	특성/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
빠르고	빠르/VA+고/EC
박진감	박진감/NNG
넘치는	넘치/VV+는/ETM
경기를	경기/NNG+를/JKO
기대할	기대/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
됐다.	되/VV+었/EP+다/EF+./SF


