# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.45
metadata : {}


# id : NWRW1800000033.45.1.1
“구직 대신 편의점 창업”… 20,30대 가맹점주 급증

“구직	“/SS+구직/NNG
편의점 창업에 20, 30대가 몰리는 이유는 다른 프랜차이즈 업종에 비해 초기 투자비용이 적게 들고 상권만 잘 잡으면 비교적 안정적인 수익을 낼 수 있기 때문으로 풀이된다.

편의점	편의점/NNG
창업에	창업/NNG+에/JKB
20,	20/SN+,/SP
30대가	30/SN+대/NNB+가/JKS
몰리는	몰리/VV+는/ETM
이유는	이유/NNG+는/JX
다른	다른/MMD
프랜차이즈	프랜차이즈/NNG
업종에	업종/NNG+에/JKB
비해	비/NNG+하/XSV+아/EC
초기	초기/NNG
투자비용이	투자/NNG+비용/NNG+이/JKS
적게	적/VA+게/EC
들고	들/VV+고/EC
상권만	상권/NNG+만/JX
잘	잘/MAG
잡으면	잡/VV+으면/EC
비교적	비교/NNG+적/XSN
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
수익을	수익/NNG+을/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
있기	있/VA+기/ETN
때문으로	때문/NNB+으로/JKB
풀이된다.	풀이/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.45.6.2
CU 관계자는 “창업을 할 때 인테리어 비용을 본사가 지원하기 때문에 경제적인 부담이 적은 편”이라고 말했다.

CU	CU/SL
관계자는	관계자/NNG+는/JX
“창업을	“/SS+창업/NNG+을/JKO
할	하/VV+ㄹ/ETM
때	때/NNG
인테리어	인테리어/NNG
비용을	비용/NNG+을/JKO
본사가	본사/NNG+가/JKS
지원하기	지원/NNG+하/XSV+기/ETN
때문에	때문/NNB+에/JKB
경제적인	경제/NNG+적/XSN+이/VCP+ㄴ/ETM
부담이	부담/NNG+이/JKS
적은	적/VA+은/ETM
편”이라고	편/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.45.7.1
또 20, 30대는 학생시절 편의점에서 아르바이트를 경험한 사람이 많아 편의점 창업을 친숙하게 느끼는 점도 한몫한 것으로 분석된다.

또	또/MAG
20,	20/SN+,/SP
30대는	30/SN+대/NNB+는/JX
학생시절	학생/NNG+시절/NNG
편의점에서	편의점/NNG+에서/JKB
아르바이트를	아르바이트/NNG+를/JKO
경험한	경험/NNG+하/XSV+ㄴ/ETM
사람이	사람/NNG+이/JKS
많아	많/VA+아/EC
편의점	편의점/NNG
창업을	창업/NNG+을/JKO
친숙하게	친숙/NNG+하/XSA+게/EC
느끼는	느끼/VV+는/ETM
점도	점/NNG+도/JX
한몫한	한몫/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
분석된다.	분석/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.45.7.2
편의점업계 관계자는 “젊은층이 편의점 창업에 대해 투자손실 위험이 작다고 보고 있다”고 전했다.

편의점업계	편의점/NNG+업계/NNG
관계자는	관계자/NNG+는/JX
“젊은층이	“/SS+젊/VA+은/ETM+층/NNG+이/JKS
편의점	편의점/NNG
창업에	창업/NNG+에/JKB
대해	대하/VV+아/EC
투자손실	투자/NNG+손실/NNG
위험이	위험/NNG+이/JKS
작다고	작/VA+다고/EC
보고	보/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


