# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.333
metadata : {}


# id : NWRW1800000045.333.1.1
與野 중진끼리 위원장 나눠먹기

與野	與野/SH
특위를	특위/NNG+를/JKO
구성하다	구성/NNG+하/XSV+다/EC
보니	보/VX+니/EC
특위가	특위/NNG+가/JKS
‘개점휴업’	‘/SS+개점휴업/NNG+’/SS
상태에	상태/NNG+에/JKB
빠지는	빠지/VV+는/ETM
일이	일/NNG+이/JKS
적지	적/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.333.5.4
위원장의 의지가 없으면 회기 중에는 상임위가 우선시되고 비회기 중에는 지역구 활동에만 신경을 쓰는 일도 빈번히 벌어진다.

위원장의	위원장/NNG+의/JKG
의지가	의지/NNG+가/JKS
없으면	없/VA+으면/EC
회기	회기/NNG
중에는	중/NNB+에/JKB+는/JX
상임위가	상임위/NNG+가/JKS
우선시되고	우선/NNG+시/XSN+되/XSV+고/EC
비회기	비/XPN+회기/NNG
지역구	지역구/NNG
활동에만	활동/NNG+에/JKB+만/JX
신경을	신경/NNG+을/JKO
쓰는	쓰/VV+는/ETM
일도	일/NNG+도/JX
빈번히	빈번히/MAG
벌어진다.	벌어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.333.6.1
상임위에서 충분히 할 수 있는 일임에도 별도의 특위를 만드는 것도 문제다.

상임위에서	상임위/NNG+에서/JKB
충분히	충분히/MAG
할	하/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
일임에도	일/NNG+이/VCP+ㅁ/ETN+에/JKB+도/JX
별도의	별도/NNG+의/JKG
특위를	특위/NNG+를/JKO
만드는	만들/VV+는/ETM
것도	것/NNB+도/JX
문제다.	문제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.333.6.2
특위는 주로 여러 상임위 소관 업무가 겹치는 경우에 구성된다.

특위는	특위/NNG+는/JX
주로	주로/MAG
여러	여러/MMN
상임위	상임위/NNG
소관	소관/NNG
업무가	업무/NNG+가/JKS
겹치는	겹치/VV+는/ETM
경우에	경우/NNG+에/JKB
구성된다.	구성/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.333.6.3
그러나 남북관계 및 교류협력 발전 특위처럼 외교통일위와 소관 부처가 상당히 겹치는 특위도 적지 않다.

그러나	그러나/MAJ
남북관계	남북/NNP+관계/NNG
및	및/MAG
교류협력	교류/NNG+협력/NNG
발전	발전/NNG
특위처럼	특위/NNG+처럼/JKB
외교통일위와	외교/NNG+통일위/NNG+와/JC
소관	소관/NNG
부처가	부처/NNG+가/JKS
상당히	상당히/MAG
겹치는	겹치/VV+는/ETM
특위도	특위/NNG+도/JX
적지	적/VA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000045.333.6.4
재선의 한 야당 의원은 “특위는 특정한 사안에 대해 성과를 내는 게 목적이지만 성과 없이 ‘무늬만 특위’로 끝나는 경우가 많다”고 꼬집었다.

재선의	재선/NNG+의/JKG
한	한/MMN
야당	야당/NNG
의원은	의원/NNG+은/JX
“특위는	“/SS+특위/NNG+는/JX
특정한	특정/NNG+하/XSA+ㄴ/ETM
사안에	사안/NNG+에/JKB
대해	대하/VV+아/EC
성과를	성과/NNG+를/JKO
내는	내/VV+는/ETM
게	거/NNB+이/JKS
목적이지만	목적/NNG+이/VCP+지만/EC
성과	성과/NNG
없이	없이/MAG
‘무늬만	‘/SS+무늬/NNG+만/JX
특위’로	특위/NNG+’/SS+로/JKB
끝나는	끝나/VV+는/ETM
경우가	경우/NNG+가/JKS
많다”고	많/VA+다/EF+”/SS+고/JKQ
꼬집었다.	꼬집/VV+었/EP+다/EF+./SF


