# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.21
metadata : {}


# id : NWRW1800000028.21.1.1
광주·전남 단체장, 세종시 대응 ‘미지근’

광주·전남	광주/NNP+·/SP+전남/NNP
하고,	하/VX+고/EC+,/SP
전남	전남/NNP
광양	광양/NNP
미소금융	미소/NNG+금융/NNG
개점식에	개점식/NNG+에/JKB
참석하기	참석/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
‘동부권’으로	‘/SS+동부/NNG+권/XSN+’/SS+으로/JKB
향했다.	향하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.21.3.3
한 시민단체 관계자는 “도지사는 행정가가 아니라 정치인이다.

한	한/MMN
시민단체	시민/NNG+단체/NNG
관계자는	관계자/NNG+는/JX
“도지사는	“/SS+도지사/NNG+는/JX
행정가가	행정가/NNG+가/JKC
아니라	아니/VCN+라/EC
정치인이다.	정치인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.21.3.4
지역 현안에 대해 여론을 대변해야 하는데도 지나치게 소극적이다”라고 비판했다.

지역	지역/NNG
현안에	현안/NNG+에/JKB
대해	대하/VV+아/EC
여론을	여론/NNG+을/JKO
대변해야	대변/NNG+하/XSV+아야/EC
하는데도	하/VX+는데/EC+도/JX
지나치게	지나치/VA+게/EC
소극적이다”라고	소극/NNG+적/XSN+이/VCP+다/EF+”/SS+라고/JKQ
비판했다.	비판/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.21.4.1
박 지사는 12일 청와대에서 열린 시도지사 오찬 간담회에도 참석하지 않았다.

박	박/NNP
지사는	지사/NNG+는/JX
12일	12/SN+일/NNB
청와대에서	청와대/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
시도지사	시도지사/NNG
오찬	오찬/NNG
간담회에도	간담회/NNG+에/JKB+도/JX
참석하지	참석/NNG+하/XSV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.21.4.2
세종시 수정안에 대한 지역의 비판적인 여론을 직접 전달할 수 있는 자리였지만, ‘법원행’을 선택했다.

세종시	세종시/NNP
수정안에	수정안/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
지역의	지역/NNG+의/JKG
비판적인	비판/NNG+적/XSN+이/VCP+ㄴ/ETM
여론을	여론/NNG+을/JKO
직접	직접/MAG
전달할	전달/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
자리였지만,	자리/NNG+이/VCP+었/EP+지만/EC+,/SP
‘법원행’을	‘/SS+법원행/NNG+’/SS+을/JKO
선택했다.	선택/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.21.4.3
업무추진비를 부당하게 사용한 혐의로 불구속 기소돼 첫 공판이 열린 날이었기 때문이다.

업무추진비를	업무/NNG+추진비/NNG+를/JKO
부당하게	부당/NNG+하/XSA+게/EC
사용한	사용/NNG+하/XSV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
불구속	불/XPN+구속/NNG
기소돼	기소/NNG+되/XSV+어/EC
첫	첫/MMN
공판이	공판/NNG+이/JKS
열린	열리/VV+ㄴ/ETM
날이었기	날/NNG+이/VCP+었/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000028.21.4.4
이날 청와대 오찬에는 16개 광역단체장 중 박 지사만 유일하게 불참했다.

이날	이날/NNG
청와대	청와대/NNP
오찬에는	오찬/NNG+에/JKB+는/JX
16개	16/SN+개/NNB
광역단체장	광역/NNG+단체장/NNG
중	중/NNB
박	박/NNP
지사만	지사/NNG+만/JX
유일하게	유일/NNG+하/XSA+게/EC
불참했다.	불참/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.21.4.5
전남도 관계자는 “청와대에서 시도지사 오찬 나흘 전에서 참석 여부를 물었지만, 이미 재판 일정이 잡혀 있어 이를 바꾸지 않았다”고 말했다.

전남도	전남도/NNP
관계자는	관계자/NNG+는/JX
“청와대에서	“/SS+청와대/NNP+에서/JKB
시도지사	시도지사/NNG
오찬	오찬/NNG
나흘	나흘/NNG
전에서	전/NNG+에서/JKB
참석	참석/NNG
여부를	여부/NNG+를/JKO
물었지만,	묻/VV+었/EP+지만/EC+,/SP
이미	이미/MAG
재판	재판/NNG
일정이	일정/NNG+이/JKS
잡혀	잡히/VV+어/EC
있어	있/VX+어/EC
이를	이/NP+를/JKO
바꾸지	바꾸/VV+지/EC
않았다”고	않/VX+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.21.5.1
박 지사의 ‘뜨뜻미지근한 정치적 행보’는 이번만이 아니다.

박	박/NNP
지사의	지사/NNG+의/JKG
‘뜨뜻미지근한	‘/SS+뜨뜻미지근하/VA+ㄴ/ETM
정치적	정치/NNG+적/XSN
행보’는	행보/NNG+’/SS+는/JX
이번만이	이번/NNG+만/JX+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000028.21.5.2
박 지사는 2008년 이명박 정부의 ‘5+2 광역경제권 계획’과 관련해 ‘호남 소외’ 논란이 일었을 때도 “정부와 지자체가 계속 갈등을 빚는 것은 바람직하지 않다”며 신중 기조를 유지했다.

박	박/NNP
지사는	지사/NNG+는/JX
2008년	2008/SN+년/NNB
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
‘5+2	‘/SS+5/SN++/SW+2/SN
광역경제권	광역/NNG+경제/NNG+권/XSN
계획’과	계획/NNG+’/SS+과/JKB
관련해	관련/NNG+하/XSV+아/EC
‘호남	‘/SS+호남/NNP
소외’	소외/NNG+’/SS
논란이	논란/NNG+이/JKS
일었을	일/VV+었/EP+을/ETM
때도	때/NNG+도/JX
“정부와	“/SS+정부/NNG+와/JC
지자체가	지자체/NNG+가/JKS
계속	계속/MAG
갈등을	갈등/NNG+을/JKO
빚는	빚/VV+는/ETM
것은	것/NNB+은/JX
바람직하지	바람직하/VA+지/EC
않다”며	않/VX+다/EF+”/SS+며/EC
신중	신중/NNG
기조를	기조/NNG+를/JKO
유지했다.	유지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.21.5.3
이는 박광태 광주시장이 당시 광역경제권 권역 재조정을 요구하며 강력하게 반발했던 것과 비교되기도 했다.

이는	이/NP+는/JX
박광태	박광태/NNP
광주시장이	광주시장/NNG+이/JKS
당시	당시/NNG
광역경제권	광역/NNG+경제/NNG+권/XSN
권역	권역/NNG
재조정을	재/XPN+조정/NNG+을/JKO
요구하며	요구/NNG+하/XSV+며/EC
강력하게	강력/NNG+하/XSA+게/EC
반발했던	반발/NNG+하/XSV+았/EP+던/ETM
것과	것/NNB+과/JKB
비교되기도	비교/NNG+되/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.21.6.1
광주시도 지난 11일 세종시 수정안 발표 직후 광주시장 입지자들이 국가적 혼란을 경고하며 시민대책기구를 제안했는데도 별다른 반응을 보이지 않았다.

광주시도	광주시/NNP+도/JX
지난	지나/VV+ㄴ/ETM
11일	11/SN+일/NNB
세종시	세종시/NNP
수정안	수정안/NNG
발표	발표/NNG
직후	직후/NNG
광주시장	광주시장/NNG
입지자들이	입지자/NNG+들/XSN+이/JKS
국가적	국가/NNG+적/XSN
혼란을	혼란/NNG+을/JKO
경고하며	경고/NNG+하/XSV+며/EC
시민대책기구를	시민/NNG+대책/NNG+기구/NNG+를/JKO
제안했는데도	제안/NNG+하/XSV+았/EP+는데/EC+도/JX
별다른	별다르/VA+ㄴ/ETM
반응을	반응/NNG+을/JKO
보이지	보이/VV+지/EC
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.21.6.2
시는 반응을 묻는 언론의 성화로 발표 6시간 뒤에야 2쪽짜리 자료를 내놨다.

시는	시/NNG+는/JX
반응을	반응/NNG+을/JKO
묻는	묻/VV+는/ETM
언론의	언론/NNG+의/JKG
성화로	성화/NNG+로/JKB
발표	발표/NNG
6시간	6/SN+시간/NNB
뒤에야	뒤/NNG+에/JKB+야/JX
2쪽짜리	2/SN+쪽/NNG+짜리/XSN
자료를	자료/NNG+를/JKO
내놨다.	내놓/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.21.6.3
발표 내용도 “지역에 미치는 영향을 분석하고, 다른 자치단체와 연대해서 정부에 지원대책을 요구하겠다”는 정도에 그쳤다.

발표	발표/NNG
내용도	내용/NNG+도/JX
“지역에	“/SS+지역/NNG+에/JKB
미치는	미치/VV+는/ETM
영향을	영향/NNG+을/JKO
분석하고,	분석/NNG+하/XSV+고/EC+,/SP
다른	다른/MMD
자치단체와	자치/NNG+단체/NNG+와/JKB
연대해서	연대/NNG+하/XSV+아서/EC
정부에	정부/NNG+에/JKB
지원대책을	지원/NNG+대책/NNG+을/JKO
요구하겠다”는	요구/NNG+하/XSV+겠/EP+다/EF+”/SS+는/ETM
정도에	정도/NNG+에/JKB
그쳤다.	그치/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.21.7.1
하루 뒤인 12일 박 시장은 청와대 시도지사 오찬 자리에서 “이명박 대통령이 광산업과 클린디젤차산업에 관심을 쏟아 감사해왔는데 세종시 수정안을 보고는 지역민들의 우려가 크다”고 항의했으나 이후 별다른 후속 대응책을 내놓지 못하고 있다.

하루	하루/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
12일	12/SN+일/NNB
박	박/NNP
시장은	시장/NNG+은/JX
청와대	청와대/NNP
시도지사	시도지사/NNG
오찬	오찬/NNG
자리에서	자리/NNG+에서/JKB
“이명박	“/SS+이명박/NNP
대통령이	대통령/NNG+이/JKS
광산업과	광산업/NNG+과/JC
클린디젤차산업에	클린/NNG+디젤차/NNG+산업/NNG+에/JKB
관심을	관심/NNG+을/JKO
쏟아	쏟/VV+아/EC
감사해왔는데	감사/NNG+하/XSV+아/EC+오/VX+았/EP+는데/EC
세종시	세종시/NNP
수정안을	수정안/NNG+을/JKO
보고는	보/VV+고/EC+는/JX
지역민들의	지역민/NNG+들/XSN+의/JKG
우려가	우려/NNG+가/JKS
크다”고	크/VA+다/EF+”/SS+고/JKQ
항의했으나	항의/NNG+하/XSV+았/EP+으나/EC
이후	이후/NNG
별다른	별다르/VA+ㄴ/ETM
후속	후속/NNG
대응책을	대응책/NNG+을/JKO
내놓지	내놓/VV+지/EC
못하고	못하/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.21.7.2
이는 지난 7일 김범일 대구시장과 김관용 경북지사가 각각 기자회견을 열어 세종시 수정안으로 지역의 대형사업에 차질이 예상된다며 일찍부터 대응에 나선 것과 대조된다.

이는	이/NP+는/JX
지난	지나/VV+ㄴ/ETM
7일	7/SN+일/NNB
김범일	김범일/NNP
대구시장과	대구시장/NNG+과/JC
김관용	김관용/NNP
경북지사가	경북/NNP+지사/NNG+가/JKS
각각	각각/MAG
기자회견을	기자/NNG+회견/NNG+을/JKO
열어	열/VV+어/EC
세종시	세종시/NNP
수정안으로	수정안/NNG+으로/JKB
지역의	지역/NNG+의/JKG
대형사업에	대형/NNG+사업/NNG+에/JKB
차질이	차질/NNG+이/JKS
예상된다며	예상/NNG+되/XSV+ㄴ다며/EC
일찍부터	일찍/MAG+부터/JX
대응에	대응/NNG+에/JKB
나선	나서/VV+ㄴ/ETM
것과	것/NNB+과/JKB
대조된다.	대조/NNG+되/XSV+ㄴ다/EF+./SF


