# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.259
metadata : {}


# id : NWRW1800000054.259.1.1
맨유, 래시퍼드마저 없었다면…

맨유,	맨유/NNP+,/SP
등장했다.	등장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.259.6.2
2016년 2월 미트윌란(덴마크)과의 2015~16 유로파리그 32강 2차전 경기를 앞두고 주전 공격수들이 부상으로 줄줄이 빠지자 당시 반할 감독이 유소년 팀에 있던 그를 끌어올렸다.

2016년	2016/SN+년/NNB
2월	2/SN+월/NNB
미트윌란(덴마크)과의	미트윌란/NNG+(/SS+덴마크/NNP+)/SS+과/JKB+의/JKG
2015~16	2015/SN+~/SO+16/SN
유로파리그	유로파/NNP+리그/NNG
32강	32/SN+강/NNB
2차전	2/SN+차전/NNB
경기를	경기/NNG+를/JKO
앞두고	앞두/VV+고/EC
주전	주전/NNG
공격수들이	공격수/NNG+들/XSN+이/JKS
부상으로	부상/NNG+으로/JKB
줄줄이	줄줄이/MAG
빠지자	빠지/VV+자/EC
당시	당시/NNG
반할	반할/NNP
감독이	감독/NNG+이/JKS
유소년	유소년/NNG
팀에	팀/NNG+에/JKB
있던	있/VA+던/ETM
그를	그/NP+를/JKO
끌어올렸다.	끌어올리/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.259.6.3
그는 이 경기에서 2골을 폭발시키며 5대1 대승을 도와 팀을 16강으로 진출시켰다.

그는	그/NP+는/JX
이	이/MMD
경기에서	경기/NNG+에서/JKB
2골을	2/SN+골/NNG+을/JKO
폭발시키며	폭발/NNG+시키/XSV+며/EC
5대1	5/SN+대/NNB+1/SN
대승을	대승/NNG+을/JKO
도와	돕/VV+아/EC
팀을	팀/NNG+을/JKO
16강으로	16/SN+강/NNB+으로/JKB
진출시켰다.	진출/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.259.6.4
이후 강팀 아스널, 맨시티와의 경기에서도 골을 넣으며 기대에 부응했다.

이후	이후/NNG
강팀	강팀/NNG
아스널,	아스널/NNP+,/SP
맨시티와의	맨시티/NNP+와/JKB+의/JKG
경기에서도	경기/NNG+에서/JKB+도/JX
골을	골/NNG+을/JKO
넣으며	넣/VV+으며/EC
기대에	기대/NNG+에/JKB
부응했다.	부응/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.259.6.5
래시퍼드는 그해 5월 잉글랜드 A대표팀에도 발탁됐다.

래시퍼드는	래시퍼드/NNP+는/JX
그해	그해/NNG
5월	5/SN+월/NNB
잉글랜드	잉글랜드/NNP
A대표팀에도	A/SL+대표/NNG+팀/NNG+에/JKB+도/JX
발탁됐다.	발탁/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000054.259.7.1
승승장구하던 그에게 시련이 찾아왔다.

승승장구하던	승승장구/NNG+하/XSV+던/ETM
그에게	그/NP+에게/JKB
시련이	시련/NNG+이/JKS
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.259.7.2
맨유가 '우승청부사' 이브라히모비치를 영입하며 입지가 줄어든 것이다.

맨유가	맨유/NNP+가/JKS
'우승청부사'	'/SS+우승/NNG+청부사/NNG+'/SS
이브라히모비치를	이브라히모비치/NNP+를/JKO
영입하며	영입/NNG+하/XSV+며/EC
입지가	입지/NNG+가/JKS
줄어든	줄어들/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.259.7.3
그는 공격수가 아닌 날개 자리로 경기에 나서거나 아예 출전하지 못했다.

그는	그/NP+는/JX
공격수가	공격수/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
날개	날개/NNG
자리로	자리/NNG+로/JKB
경기에	경기/NNG+에/JKB
나서거나	나서/VV+거나/EC
아예	아예/MAG
출전하지	출전/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.259.7.4
그 사이 경기력이 떨어져 지난해 9월 말부터 올 4월초까지 리그에서 한 골도 넣지 못했다.

그	그/MMD
사이	사이/NNG
경기력이	경기력/NNG+이/JKS
떨어져	떨어지/VV+어/EC
지난해	지난해/NNG
9월	9/SN+월/NNB
말부터	말/NNB+부터/JX
올	올/NNG
4월초까지	4/SN+월/NNB+초/NNB+까지/JX
리그에서	리그/NNG+에서/JKB
한	한/MMN
골도	골/NNG+도/JX
넣지	넣/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000054.259.7.5
이브라히모비치가 기복 심한 경기력을 보이면서 기회가 다시 찾아왔다.

이브라히모비치가	이브라히모비치/NNP+가/JKS
기복	기복/NNG
심한	심하/VA+ㄴ/ETM
경기력을	경기력/NNG+을/JKO
보이면서	보이/VV+면서/EC
기회가	기회/NNG+가/JKS
다시	다시/MAG
찾아왔다.	찾아오/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.259.7.6
래시퍼드는 4월 선덜랜드, 첼시전에서 연속골을 터뜨리며 팀 승리에 이바지했다.

래시퍼드는	래시퍼드/NNP+는/JX
4월	4/SN+월/NNB
선덜랜드,	선덜랜드/NNP+,/SP
첼시전에서	첼시전/NNG+에서/JKB
연속골을	연속/NNG+골/NNG+을/JKO
터뜨리며	터뜨리/VV+며/EC
팀	팀/NNG
승리에	승리/NNG+에/JKB
이바지했다.	이바지/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.259.7.7
유로파리그에서도 8강 2차전과 4강 1차전에서 골을 넣는 '원맨쇼'를 펼쳤다.

유로파리그에서도	유로파/NNP+리그/NNG+에서/JKB+도/JX
8강	8/SN+강/NNB
2차전과	2/SN+차전/NNB+과/JC
4강	4/SN+강/NNB
1차전에서	1/SN+차전/NNB+에서/JKB
골을	골/NNG+을/JKO
넣는	넣/VV+는/ETM
'원맨쇼'를	'/SS+원맨쇼/NNG+'/SS+를/JKO
펼쳤다.	펼치/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.259.7.8
이제 그는 '유망주'를 넘어 당당히 '주전'으로 발돋움했다는 평가를 받는다.

이제	이제/MAG
그는	그/NP+는/JX
'유망주'를	'/SS+유망주/NNG+'/SS+를/JKO
넘어	넘/VV+어/EC
당당히	당당히/MAG
'주전'으로	'/SS+주전/NNG+'/SS+으로/JKB
발돋움했다는	발돋움/NNG+하/XSV+았/EP+다는/ETM
평가를	평가/NNG+를/JKO
받는다.	받/VV+는다/EF+./SF


