# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.129
metadata : {}


# id : NWRW1800000045.129.1.1
직접 참여하고 체험하는 문화 예술의 즐거움

직접	직접/MAG
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.129.3.2
김할머니는 지난해 3월 한국시각장애인복지관에서 우연히 단소를 배운 뒤 그 매력에 푹 빠졌다.

김할머니는	김/NNP+할머니/NNG+는/JX
지난해	지난해/NNG
3월	3/SN+월/NNB
한국시각장애인복지관에서	한국/NNP+시각/NNG+장애인/NNG+복지관/NNG+에서/JKB
우연히	우연히/MAG
단소를	단소/NNG+를/JKO
배운	배우/VV+ㄴ/ETM
뒤	뒤/NNG
그	그/MMD
매력에	매력/NNG+에/JKB
푹	푹/MAG
빠졌다.	빠지/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.129.3.3
악보를 볼 수 없어 강사가 일일이

악보를	악보/NNG+를/JKO
볼	보/VV+ㄹ/ETM
수	수/NNB
없어	없/VA+어/EC
강사가	강사/NNG+가/JKS
일일이	일일이/MAG


# id : NWRW1800000045.129.4.1
손으로 단소 구멍을 누르는 순서와 길이를 알려줘야 할 정도로 힘든 과정을 거쳤지만 이젠 동요쯤은 능숙하게 연주할 수 있다.

손으로	손/NNG+으로/JKB
단소	단소/NNG
구멍을	구멍/NNG+을/JKO
누르는	누르/VV+는/ETM
순서와	순서/NNG+와/JC
길이를	길이/NNG+를/JKO
알려줘야	알려주/VV+어야/EC
할	하/VX+ㄹ/ETM
정도로	정도/NNG+로/JKB
힘든	힘들/VA+ㄴ/ETM
과정을	과정/NNG+을/JKO
거쳤지만	거치/VV+었/EP+지만/EC
이젠	이제/NNG+ㄴ/JX
동요쯤은	동요/NNG+쯤/XSN+은/JX
능숙하게	능숙하/VA+게/EC
연주할	연주/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000045.129.4.2
요즘 김할머니는 ‘아리랑’과 ‘섬집 아기’를 맹연습하고 있다.

요즘	요즘/NNG
김할머니는	김/NNP+할머니/NNG+는/JX
‘아리랑’과	‘/SS+아리랑/NNG+’/SS+과/JC
‘섬집	‘/SS+섬/NNG+집/NNG
아기’를	아기/NNG+’/SS+를/JKO
맹연습하고	맹연습/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.129.4.3
26∼30일 부산 일원에서 열리는 ‘세계문화예술교육 주간’ 행사 개막식에

26∼30일	26/SN+∼/SO+30/SN+일/NNB
부산	부산/NNP
일원에서	일원/NNP+에서/JKB
열리는	열리/VV+는/ETM
‘세계문화예술교육	‘/SS+세계/NNG+문화/NNG+예술/NNG+교육/NNG
주간’	주간/NNG+’/SS
행사	행사/NNG
개막식에	개막식/NNG+에/JKB


# id : NWRW1800000045.129.5.1
연주자로 초청됐기 때문이다.》

연주자로	연주자/NNG+로/JKB
초청됐기	초청/NNG+되/XSV+었/EP+기/ETN
때문이다.》	때문/NNB+이/VCP+다/EF+./SF+》/SS


# id : NWRW1800000045.129.6.1
김 할머니는 “복지관에서 단소를 배운 것도 즐거운데 큰 행사에서 연주를 하게 돼 더욱 즐겁다”며 “사람 몸이 천 냥이면 눈이 구백 냥이라고 하는데, 저는 백 냥만 갖고 사니까 앞으로도 열 배 더 노력해 많은 사람에게 내 연주를 들려주고 싶다”고 말했다.

김	김/NNP
할머니는	할머니/NNG+는/JX
“복지관에서	“/SS+복지관/NNG+에서/JKB
단소를	단소/NNG+를/JKO
배운	배우/VV+ㄴ/ETM
것도	것/NNB+도/JX
즐거운데	즐겁/VA+ㄴ데/EC
큰	크/VA+ㄴ/ETM
행사에서	행사/NNG+에서/JKB
연주를	연주/NNG+를/JKO
하게	하/VV+게/EC
돼	되/VV+어/EC
더욱	더욱/MAG
즐겁다”며	즐겁/VA+다/EF+”/SS+며/EC
“사람	“/SS+사람/NNG
몸이	몸/NNG+이/JKS
천	천/NR
냥이면	냥/NNB+이/VCP+면/EC
눈이	눈/NNG+이/JKS
구백	구백/NR
냥이라고	냥/NNB+이/VCP+라고/EC
하는데,	하/VV+는데/EC+,/SP
저는	저/NP+는/JX
백	백/NR
냥만	냥/NNB+만/JX
갖고	갖/VV+고/EC
사니까	살/VV+니까/EC
앞으로도	앞/NNG+으로/JKB+도/JX
열	열/NR
배	배/NNG
더	더/MAG
노력해	노력/NNG+하/XSV+아/EC
많은	많/VA+은/ETM
사람에게	사람/NNG+에게/JKB
내	나/NP+의/JKG
들려주고	들려주/VV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.129.7.1
유네스코가 2011년 매년 5월 넷째 주를 ‘세계문화예술교육 주간’으로 정한 뒤 국내에서도 2012년부터 관련 행사가 열리고 있다.

유네스코가	유네스코/NNP+가/JKS
2011년	2011/SN+년/NNB
매년	매년/MAG
5월	5/SN+월/NNB
넷째	넷째/NR
주를	주/NNG+를/JKO
‘세계문화예술교육	‘/SS+세계/NNG+문화/NNG+예술/NNG+교육/NNG
주간’으로	주간/NNG+’/SS+으로/JKB
정한	정하/VV+ㄴ/ETM
뒤	뒤/NNG
국내에서도	국내/NNG+에서/JKB+도/JX
2012년부터	2012/SN+년/NNB+부터/JX
관련	관련/NNG
행사가	행사/NNG+가/JKS
열리고	열리/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.129.7.2
김 할머니처럼 생활 속에 문화와 예술이 자연스럽게 스며들도록 교육하고 그 가치와 중요성을 되새겨보자는 취지의 행사다.

김	김/NNP
할머니처럼	할머니/NNG+처럼/JKB
생활	생활/NNG
속에	속/NNG+에/JKB
문화와	문화/NNG+와/JC
예술이	예술/NNG+이/JKS
자연스럽게	자연/NNG+스럽/XSA+게/EC
스며들도록	스며들/VV+도록/EC
교육하고	교육/NNG+하/XSV+고/EC
그	그/MMD
가치와	가치/NNG+와/JC
중요성을	중요/NNG+성/XSN+을/JKO
되새겨보자는	되새기/VV+어/EC+보/VX+자는/ETM
취지의	취지/NNG+의/JKG
행사다.	행사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.129.7.3
올해 처음으로 수도권 중심에서 벗어나 부산 중심의 경상권 일대에서 열린다.

올해	올해/NNG
처음으로	처음/NNG+으로/JKB
수도권	수도/NNG+권/XSN
중심에서	중심/NNG+에서/JKB
벗어나	벗어나/VV+아/EC
부산	부산/NNP
중심의	중심/NNG+의/JKG
경상권	경상/NNP+권/XSN
일대에서	일대/NNG+에서/JKB
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.129.7.4
‘마음, 꽃길을 열다’란 슬로건(사진)으로 열리는 이번 행사는 역시 일반인의 참여 프로그램이 많은 게 특징이다.

‘마음,	‘/SS+마음/NNG+,/SP
꽃길을	꽃길/NNG+을/JKO
열다’란	열/VV+다/EF+’/SS+란/ETM
슬로건(사진)으로	슬로건/NNG+(/SS+사진/NNG+)/SS+으로/JKB
열리는	열리/VV+는/ETM
이번	이번/NNG
행사는	행사/NNG+는/JX
역시	역시/MAG
일반인의	일반인/NNG+의/JKG
참여	참여/NNG
프로그램이	프로그램/NNG+이/JKS
많은	많/VA+은/ETM
게	거/NNB+이/JKS
특징이다.	특징/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.129.8.1
26일 오후 5시 부산 중앙동 비욘드 개러지에서 열리는 개막식 ‘마음 정원’은 관객석과 무대를 구분하지 않는 독특한 방식으로 진행된다.

26일	26/SN+일/NNB
오후	오후/NNG
5시	5/SN+시/NNB
부산	부산/NNP
중앙동	중앙동/NNP
비욘드	비욘드/NNP
개러지에서	개러지/NNG+에서/JKB
열리는	열리/VV+는/ETM
개막식	개막식/NNG
‘마음	‘/SS+마음/NNG
정원’은	정원/NNG+’/SS+은/JX
관객석과	관객석/NNG+과/JC
무대를	무대/NNG+를/JKO
구분하지	구분/NNG+하/XSV+지/EC
않는	않/VX+는/ETM
독특한	독특/NNG+하/XSA+ㄴ/ETM
방식으로	방식/NNG+으로/JKB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.129.8.2
김 할머니와 ‘꿈의 오케스트라’의 클라리넷 주자 천승운 군(12)의 연주, 중학교 2학년생으로 구성된 ‘꽃중딩 무용단’의 공연은 물론이고 현대무용단 ‘모던 테이블’과 목관 5중주 앙상블 ‘엘라스’의 초청 공연도 모두 200여 명의 참가자와 섞인 채 진행된다.

김	김/NNP
할머니와	할머니/NNG+와/JC
‘꿈의	‘/SS+꿈/NNG+의/JKG
오케스트라’의	오케스트라/NNG+’/SS+의/JKG
클라리넷	클라리넷/NNG
주자	주자/NNG
천승운	천승운/NNP
군(12)의	군/NNB+(/SS+12/SN+)/SS+의/JKG
연주,	연주/NNG+,/SP
중학교	중학교/NNG
2학년생으로	2/SN+학년/NNG+생/XSN+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
‘꽃중딩	‘/SS+꽃/NNG+중딩/NNG
무용단’의	무용단/NNG+’/SS+의/JKG
공연은	공연/NNG+은/JX
물론이고	물론/NNG+이/VCP+고/EC
현대무용단	현대/NNG+무용단/NNG
‘모던	‘/SS+모던/NNG
테이블’과	테이블/NNG+’/SS+과/JC
목관	목관/NNG
5중주	5/SN+중주/NNG
앙상블	앙상블/NNG
‘엘라스’의	‘/SS+엘라스/NNP+’/SS+의/JKG
초청	초청/NNG
공연도	공연/NNG+도/JX
모두	모두/MAG
200여	200/SN+여/XSN
명의	명/NNB+의/JKG
참가자와	참가자/NNG+와/JKB
섞인	섞이/VV+ㄴ/ETM
채	채/NNB
진행된다.	진행/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000045.129.8.3
함께 진행되는 박민권 문화체육관광부 1차관, 데이비드슨 헵번 전 유네스코 의장, 민동석 유네스코 한국위원회 사무총장, 주성혜 한국문화예술교육진흥원 원장의 초청 강연도 마찬가지다.

함께	함께/MAG
진행되는	진행/NNG+되/XSV+는/ETM
박민권	박민권/NNP
문화체육관광부	문화/NNG+체육/NNG+관광부/NNG
1차관,	1/SN+차관/NNG+,/SP
데이비드슨	데이비드슨/NNP
헵번	헵번/NNP
전	전/MMD
유네스코	유네스코/NNP
의장,	의장/NNG+,/SP
민동석	민동석/NNP
한국위원회	한국위원회/NNP
사무총장,	사무총장/NNG+,/SP
주성혜	주성혜/NNP
한국문화예술교육진흥원	한국문화예술교육진흥원/NNP
원장의	원장/NNG+의/JKG
초청	초청/NNG
강연도	강연/NNG+도/JX
마찬가지다.	마찬가지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.129.9.1
일반인 참가 행사로는 26∼30일 열리는 ‘예술가와 꽃장난’이 눈에 띈다.

일반인	일반인/NNG
참가	참가/NNG
행사로는	행사/NNG+로/JKB+는/JX
26∼30일	26/SN+∼/SO+30/SN+일/NNB
열리는	열리/VV+는/ETM
‘예술가와	‘/SS+예술가/NNG+와/JC
꽃장난’이	꽃/NNG+장난/NNG+’/SS+이/JKS
눈에	눈/NNG+에/JKB
띈다.	띄/VV+ㄴ다/EF+./SF


# id : NWRW1800000045.129.9.2
사진 미술 연극 사운드 등 다양한 분야의 예술가와 함께 일반인이 작품을 만드는 것.

사진	사진/NNG
미술	미술/NNG
연극	연극/NNG
사운드	사운드/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
분야의	분야/NNG+의/JKG
예술가와	예술가/NNG+와/JKB
함께	함께/MAG
일반인이	일반인/NNG+이/JKS
작품을	작품/NNG+을/JKO
만드는	만들/VV+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000045.129.10.1
27일 오후 6시 부산 중앙동 또따또가에서 열리는 ‘열 살 영상제’는 문화예술교육 지원법 제정 10주년을 기념해 10세 아이들이 사전에 만든 영상물을 상영하고 현장에서 즉석으로 영상물을 만들어본다.

27일	27/SN+일/NNB
오후	오후/NNG
6시	6/SN+시/NNB
부산	부산/NNP
중앙동	중앙동/NNP
또따또가에서	또따또가/NNP+에서/JKB
열리는	열리/VV+는/ETM
‘열	‘/SS+열/NR
살	살/NNB
영상제’는	영상제/NNG+’/SS+는/JX
문화예술교육	문화/NNG+예술/NNG+교육/NNG
지원법	지원법/NNG
제정	제정/NNG
10주년을	10/SN+주년/NNB+을/JKO
기념해	기념/NNG+하/XSV+아/EC
10세	10/SN+세/NNB
아이들이	아이/NNG+들/XSN+이/JKS
사전에	사전/NNG+에/JKB
만든	만들/VV+ㄴ/ETM
영상물을	영상물/NNG+을/JKO
상영하고	상영/NNG+하/XSV+고/EC
현장에서	현장/NNG+에서/JKB
즉석으로	즉석/NNG+으로/JKB
만들어본다.	만들/VV+어/EC+보/VX+ㄴ다/EF+./SF


# id : NWRW1800000045.129.10.2
영상제에 ‘아무도 없는 놀이공원’이란 제목의 영상물로 참가한 박서진 양(서울 잠동초 5년)은 스스로 음악을 먼저 정하고 줄거리를 짜고, 직접 그린 그림을 영상으로 구성해 작품을 만들었다.

영상제에	영상제/NNG+에/JKB
‘아무도	‘/SS+아무/NP+도/JX
없는	없/VA+는/ETM
놀이공원’이란	놀이공원/NNG+’/SS+이/VCP+란/ETM
제목의	제목/NNG+의/JKG
영상물로	영상물/NNG+로/JKB
참가한	참가/NNG+하/XSV+ㄴ/ETM
박서진	박서진/NNP
양(서울	양/NNB+(/SS+서울/NNP
잠동초	잠동초/NNP
5년)은	5/SN+년/NNB+)/SS+은/JX
스스로	스스로/MAG
음악을	음악/NNG+을/JKO
먼저	먼저/MAG
정하고	정하/VV+고/EC
줄거리를	줄거리/NNG+를/JKO
짜고,	짜/VV+고/EC+,/SP
직접	직접/MAG
그린	그리/VV+ㄴ/ETM
그림을	그림/NNG+을/JKO
영상으로	영상/NNG+으로/JKB
구성해	구성/NNG+하/XSV+아/EC
작품을	작품/NNG+을/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000045.129.10.3
박 양의 어머니 송미경 씨(42)는 “짧은 영상 안에 스토리도 있고, 본인이 말하고 싶은 주제도 분명해 놀랐다”며 “이번 영상제 참가를 통해 아이가 자신감을 많이 키운 것 같다”고 말했다.

박	박/NNP
양의	양/NNB+의/JKG
어머니	어머니/NNG
송미경	송미경/NNP
씨(42)는	씨/NNB+(/SS+42/SN+)/SS+는/JX
“짧은	“/SS+짧/VA+은/ETM
영상	영상/NNG
안에	안/NNG+에/JKB
스토리도	스토리/NNG+도/JX
있고,	있/VA+고/EC+,/SP
본인이	본인/NNG+이/JKS
말하고	말/NNG+하/XSV+고/EC
싶은	싶/VX+은/ETM
주제도	주제/NNG+도/JX
분명해	분명/MAG+하/XSA+아/EC
놀랐다”며	놀라/VV+았/EP+다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
영상제	영상제/NNG
참가를	참가/NNG+를/JKO
통해	통하/VV+아/EC
아이가	아이/NNG+가/JKS
자신감을	자신감/NNG+을/JKO
많이	많이/MAG
키운	키우/VV+ㄴ/ETM
것	것/NNB
같다”고	같/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.129.11.1
‘바다의 예술선’(29일 오후 4시)은 부산 서동미로시장의 상인들이 지역예술가, 민속학자 등과 자신들의 이야기를 담은 결과물을 제작 전시하는 이색 프로젝트다.

‘바다의	‘/SS+바다/NNG+의/JKG
예술선’(29일	예술선/NNG+’/SS+(/SS+29/SN+일/NNB
오후	오후/NNG
4시)은	4/SN+시/NNB+)/SS+은/JX
부산	부산/NNP
서동미로시장의	서동미로시장/NNP+의/JKG
상인들이	상인/NNG+들/XSN+이/JKS
지역예술가,	지역/NNG+예술가/NNG+,/SP
민속학자	민속학자/NNG
등과	등/NNB+과/JC
자신들의	자신/NNG+들/XSN+의/JKG
이야기를	이야기/NNG+를/JKO
담은	담/VV+은/ETM
결과물을	결과물/NNG+을/JKO
제작	제작/NNG
전시하는	전시/NNG+하/XSV+는/ETM
이색	이색/NNG
프로젝트다.	프로젝트/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000045.129.12.1
최태지 전 국립발레단장이 자신의 뒤를 이어 발레리나의 길을 걷고 있는 딸 최리나 씨와 함께 모녀 참가자들과 대화를 나누며 발레 동작을 가르쳐주는 ‘춤이 있는 엄마의 정원’, 성우 서혜정 씨와 함께하는 ‘낭독의 재발견’ 등도 흥미롭다.

최태지	최태지/NNP
전	전/MMD
국립발레단장이	국립발레단장/NNG+이/JKS
자신의	자신/NNG+의/JKG
뒤를	뒤/NNG+를/JKO
이어	잇/VV+어/EC
발레리나의	발레리나/NNG+의/JKG
길을	길/NNG+을/JKO
걷고	걷/VV+고/EC
있는	있/VA+는/ETM
딸	딸/NNG
최리나	최리나/NNP
씨와	씨/NNB+와/JKB
함께	함께/MAG
모녀	모녀/NNG
참가자들과	참가자/NNG+들/XSN+과/JKB
대화를	대화/NNG+를/JKO
나누며	나누/VV+며/EC
발레	발레/NNG
동작을	동작/NNG+을/JKO
가르쳐주는	가르치/VV+어/EC+주/VX+는/ETM
‘춤이	‘/SS+춤/NNG+이/JKS
엄마의	엄마/NNG+의/JKG
정원’,	정원/NNG+’/SS+,/SP
성우	성우/NNG
서혜정	서혜정/NNP
함께하는	함께/MAG+하/XSV+는/ETM
‘낭독의	‘/SS+낭독/NNG+의/JKG
재발견’	재/XPN+발견/NNG+’/SS
등도	등/NNB+도/JX
흥미롭다.	흥미/NNG+롭/XSA+다/EF+./SF


