# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.85
metadata : {}


# id : NWRW1800000033.85.1.1
미군 해외첩보망 CIA 수준으로

미군	미군/NNG
해외정보망을	해외/NNG+정보망/NNG+을/JKO
중앙정보국(CIA)	중앙정보국/NNP+(/SS+CIA/SL+)/SS
수준으로	수준/NNG+으로/JKB
크게	크/VA+게/EC
확대하고	확대/NNG+하/XSV+고/EC
정보원	정보원/NNG
수백	수백/NR
명을	명/NNB+을/JKO
해외로	해외/NNG+로/JKB
보내	보내/VV+어/EC
정보	정보/NNG
수집	수집/NNG
활동에	활동/NNG+에/JKB
주력하기로	주력/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.85.4.1
워싱턴포스트는 2일 “펜타곤의 해외 정보원 증강계획이 마무리되면 앞으로 5년 뒤에는 전 세계에서 모두 1600여 명이 활동하게 될 것”이라고 보도했다.

워싱턴포스트는	워싱턴포스트/NNP+는/JX
2일	2/SN+일/NNB
“펜타곤의	“/SS+펜타곤/NNP+의/JKG
해외	해외/NNG
정보원	정보원/NNG
증강계획이	증강/NNG+계획/NNG+이/JKS
마무리되면	마무리/NNG+되/XSV+면/EC
앞으로	앞/NNG+으로/JKB
5년	5/SN+년/NNB
뒤에는	뒤/NNG+에/JKB+는/JX
전	전/MMN
세계에서	세계/NNG+에서/JKB
모두	모두/MAG
1600여	1600/SN+여/XSN
명이	명/NNB+이/JKS
활동하게	활동/NNG+하/XSV+게/EC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.85.4.2
해외 정보원들은 CIA에서 훈련을 받고 미 합동특수전사령부(JSOC)와 공조하면서 펜타곤의 실질적인 지휘를 받아 해외 정보수집 임무를 수행한다.

해외	해외/NNG
정보원들은	정보원/NNG+들/XSN+은/JX
CIA에서	CIA/SL+에서/JKB
훈련을	훈련/NNG+을/JKO
받고	받/VV+고/EC
미	미/NNP
합동특수전사령부(JSOC)와	합동특수전사령부/NNP+(/SS+JSOC/SL+)/SS+와/JKB
공조하면서	공조/NNG+하/XSV+면서/EC
펜타곤의	펜타곤/NNP+의/JKG
실질적인	실질/NNG+적/XSN+이/VCP+ㄴ/ETM
지휘를	지휘/NNG+를/JKO
받아	받/VV+아/EC
정보수집	정보/NNG+수집/NNG
임무를	임무/NNG+를/JKO
수행한다.	수행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.85.5.1
이는 10여 년 동안 이라크와 아프간 등 2개의 전쟁에서 중요한 활동을 해온 DIA의 기능을 재편해 중국의 군사력 증강과 북한의 핵과 미사일 활동으로 미국의 주요 안보위협지역으로 떠오르고 있는 동아시아에서 정보력을 강화하기 위한 조치다.

이는	이/NP+는/JX
10여	10/SN+여/XSN
년	년/NNB
동안	동안/NNG
이라크와	이라크/NNP+와/JC
아프간	아프간/NNP
등	등/NNB
2개의	2/SN+개/NNB+의/JKG
전쟁에서	전쟁/NNG+에서/JKB
중요한	중요/NNG+하/XSA+ㄴ/ETM
활동을	활동/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
DIA의	DIA/SL+의/JKG
기능을	기능/NNG+을/JKO
재편해	재편/NNG+하/XSV+아/EC
중국의	중국/NNP+의/JKG
군사력	군사력/NNG
증강과	증강/NNG+과/JC
북한의	북한/NNP+의/JKG
핵과	핵/NNG+과/JC
미사일	미사일/NNG
활동으로	활동/NNG+으로/JKB
미국의	미국/NNP+의/JKG
주요	주요/NNG
안보위협지역으로	안보/NNG+위협/NNG+지역/NNG+으로/JKB
떠오르고	떠오르/VV+고/EC
있는	있/VX+는/ETM
동아시아에서	동아시아/NNP+에서/JKB
정보력을	정보력/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
조치다.	조치/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.85.5.2
아프리카에서의 이슬람 무장세력과 북한과 이란의 무기 거래 등에 대한 정보활동도 강화된다.

아프리카에서의	아프리카/NNP+에서/JKB+의/JKG
이슬람	이슬람/NNG
무장세력과	무장/NNG+세력/NNG+과/JC
북한과	북한/NNP+과/JKB
이란의	이란/NNP+의/JKG
무기	무기/NNG
거래	거래/NNG
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
정보활동도	정보/NNG+활동/NNG+도/JX
강화된다.	강화/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.85.6.1
마이클 플린 국방정보국장은 “이번 계획은 DIA의 업무조정 차원을 넘어 국가안보의 중대한 변화”라고 밝혔다.

마이클	마이클/NNP
플린	플린/NNP
국방정보국장은	국방/NNG+정보국장/NNG+은/JX
“이번	“/SS+이번/NNG
계획은	계획/NNG+은/JX
DIA의	DIA/SL+의/JKG
업무조정	업무/NNG+조정/NNG
차원을	차원/NNG+을/JKO
넘어	넘/VV+어/EC
국가안보의	국가/NNG+안보/NNG+의/JKG
중대한	중대/NNG+하/XSA+ㄴ/ETM
변화”라고	변화/NNG+”/SS+라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.85.6.2
미군이 이라크와 아프간에서 철수한 뒤 군 정보조직이 미국의 국가안보에 대한 상시적인 위협에 대비하고 CIA나 정예 군 작전조직과 긴밀하게 공조하는 체제를 갖추겠다는 전략이다.

미군이	미군/NNG+이/JKS
이라크와	이라크/NNP+와/JC
아프간에서	아프간/NNP+에서/JKB
철수한	철수/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
군	군/NNG
정보조직이	정보/NNG+조직/NNG+이/JKS
미국의	미국/NNP+의/JKG
국가안보에	국가/NNG+안보/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
상시적인	상시/NNG+적/XSN+이/VCP+ㄴ/ETM
위협에	위협/NNG+에/JKB
대비하고	대비/NNG+하/XSV+고/EC
CIA나	CIA/SL+나/JC
정예	정예/NNG
작전조직과	작전/NNG+조직/NNG+과/JKB
긴밀하게	긴밀하/VA+게/EC
공조하는	공조/NNG+하/XSV+는/ETM
체제를	체제/NNG+를/JKO
갖추겠다는	갖추/VV+겠/EP+다는/ETM
전략이다.	전략/NNG+이/VCP+다/EF+./SF


