# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000030.166
metadata : {}


# id : NWRW1800000030.166.1.1
[사랑만이 희망입니다] "와!" 태권도복 입은 아이들 오랜만에 환한 웃음

[사랑만이	[/SS+사랑/NNG+만/JX+이/JKS
상도체육관	상도체육관/NNP
최중구(40·7단)	최중구/NNP+(/SS+40/SN+·/SP+7/SN+단/NNG+)/SS
관장과	관장/NNG+과/JC
반씨가	반/NNP+씨/NNB+가/JKS
참석했다.	참석/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.166.4.1
이종천 연구원은 엘살바도르 학생들 50명에게 태권도복을 선물하고 흰 띠를 둘러줬다.

이종천	이종천/NNP
연구원은	연구원/NNG+은/JX
엘살바도르	엘살바도르/NNP
학생들	학생/NNG+들/XSN
50명에게	50/SN+명/NNB+에게/JKB
태권도복을	태권도복/NNG+을/JKO
선물하고	선물/NNG+하/XSV+고/EC
흰	희/VA+ㄴ/ETM
띠를	띠/NNG+를/JKO
둘러줬다.	두르/VV+어/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.166.4.2
아이들은 난생처음 입어보는 흰 도복이 어색한지 서로 힐끔거렸다.

아이들은	아이/NNG+들/XSN+은/JX
난생처음	난생처음/NNG
입어보는	입/VV+어/EC+보/VX+는/ETM
흰	희/VA+ㄴ/ETM
도복이	도복/NNG+이/JKS
어색한지	어색하/VA+ㄴ지/EC
서로	서로/MAG
힐끔거렸다.	힐끔거리/VV+었/EP+다/EF+./SF


# id : NWRW1800000030.166.4.3
앞차기를 하다 엉덩방아를 찧기 일쑤였다.

앞차기를	앞/NNG+차기/NNG+를/JKO
하다	하/VV+다/EC
엉덩방아를	엉덩방아/NNG+를/JKO
찧기	찧/VV+기/ETN
일쑤였다.	일쑤/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000030.166.4.4
그때마다 웃음이 피어올랐다.

그때마다	그때/NNG+마다/JX
웃음이	웃음/NNG+이/JKS
피어올랐다.	피어오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.166.5.1
양진방 태권도협회 사무총장은 "태권도장의 목표는 올바른 사람을 키우는 것"이라며 "올바른 사람이 되려면 나보다 어려운 이웃을 돌아보는 마음이 반드시 필요하다"고 말했다.

양진방	양진방/NNP
태권도협회	태권도협회/NNP
사무총장은	사무총장/NNG+은/JX
"태권도장의	"/SS+태권도장/NNG+의/JKG
목표는	목표/NNG+는/JX
올바른	올바르/VA+ㄴ/ETM
사람을	사람/NNG+을/JKO
키우는	키우/VV+는/ETM
것"이라며	것/NNB+"/SS+이/VCP+라며/EC
"올바른	"/SS+올바르/VA+ㄴ/ETM
사람이	사람/NNG+이/JKC
되려면	되/VV+려면/EC
나보다	나/NP+보다/JKB
어려운	어렵/VA+ㄴ/ETM
이웃을	이웃/NNG+을/JKO
돌아보는	돌아보/VV+는/ETM
마음이	마음/NNG+이/JKS
반드시	반드시/MAG
필요하다"고	필요/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000030.166.5.2
이 학교의 마리아(14)는 미국에 있는 아버지가 보내주는 돈으로 7명의 남매와 함께 살고 있다.

이	이/MMD
학교의	학교/NNG+의/JKG
마리아(14)는	마리아/NNP+(/SS+14/SN+)/SS+는/JX
미국에	미국/NNP+에/JKB
있는	있/VA+는/ETM
아버지가	아버지/NNG+가/JKS
보내주는	보내/VV+어/EC+주/VX+는/ETM
돈으로	돈/NNG+으로/JKB
7명의	7/SN+명/NNB+의/JKG
남매와	남매/NNG+와/JKB
함께	함께/MAG
살고	살/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000030.166.5.3
격파 시범을 보인 반씨가 공책과 연필, 옷과 신발을 선물하고 소녀의 손을 꼭 잡아줬다.

격파	격파/NNG
시범을	시범/NNG+을/JKO
보인	보이/VV+ㄴ/ETM
반씨가	반/NNP+씨/NNB+가/JKS
공책과	공책/NNG+과/JC
연필,	연필/NNG+,/SP
옷과	옷/NNG+과/JC
신발을	신발/NNG+을/JKO
선물하고	선물/NNG+하/XSV+고/EC
소녀의	소녀/NNG+의/JKG
손을	손/NNG+을/JKO
꼭	꼭/MAG
잡아줬다.	잡/VV+아/EC+주/VX+었/EP+다/EF+./SF


# id : NWRW1800000030.166.5.4
초등학교 6학년인 마리아는 '의사가 되고 싶다'는 희망을 갖고 있지만 할머니는 "형편 때문에 중학교 가기 어려울 것"이라고 했다.

초등학교	초등학교/NNG
6학년인	6/SN+학년/NNG+이/VCP+ㄴ/ETM
마리아는	마리아/NNP+는/JX
'의사가	'/SS+의사/NNG+가/JKC
되고	되/VV+고/EC
싶다'는	싶/VX+다/EF+'/SS+는/ETM
희망을	희망/NNG+을/JKO
갖고	갖/VV+고/EC
있지만	있/VX+지만/EC
할머니는	할머니/NNG+는/JX
"형편	"/SS+형편/NNG
때문에	때문/NNB+에/JKB
중학교	중학교/NNG
가기	가/VV+기/ETN
어려울	어렵/VA+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000030.166.5.5
반씨는 "아이들이 꿈조차 꿀 수 없게 만드는 이곳의 현실이 너무 가혹하다"고 말했다.

반씨는	반/NNP+씨/NNB+는/JX
"아이들이	"/SS+아이/NNG+들/XSN+이/JKS
꿈조차	꿈/NNG+조차/JX
꿀	꾸/VV+ㄹ/ETM
수	수/NNB
없게	없/VA+게/EC
만드는	만들/VV+는/ETM
이곳의	이곳/NP+의/JKG
현실이	현실/NNG+이/JKS
너무	너무/MAG
가혹하다"고	가혹/NNG+하/XSA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


