# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000040.307
metadata : {}


# id : NWRW1800000040.307.1.1
[싱크탱크 시각] 남과 북 ‘20년 뒤의 만남’ / 김보근

[싱크탱크	[/SS+싱크탱크/NNG
이후	이후/NNG
처음	처음/NNG
20년인	20/SN+년/NNB+이/VCP+ㄴ/ETM
1970년대	1970/SN+년대/NNB
초반까지는	초반/NNG+까지/JX+는/JX
북의	북/NNP+의/JKG
경제력이	경제력/NNG+이/JKS
남을	남/NNP+을/JKO
앞섰다.	앞서/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.307.5.2
△소련에서 들여온 ‘선진 공장관리기법’을 국유화된 대형 공장들에 일괄 적용한 것이나 △땀 흘리는 노동을 중시하는 임금체계와 남한보다 높은 노동참가율 △전후복구를 위한 사회주의권의 원조 등이 북한의 성취에 영향을 주었다고 생각한다.

△소련에서	△/SW+소련/NNP+에서/JKB
들여온	들여오/VV+ㄴ/ETM
‘선진	‘/SS+선진/NNG
공장관리기법’을	공장/NNG+관리/NNG+기법/NNG+’/SS+을/JKO
국유화된	국유/NNG+화/XSN+되/XSV+ㄴ/ETM
대형	대형/NNG
공장들에	공장/NNG+들/XSN+에/JKB
일괄	일괄/NNG
적용한	적용/NNG+하/XSV+ㄴ/ETM
것이나	것/NNB+이나/JX
△땀	△/SW+땀/NNG
흘리는	흘리/VV+는/ETM
노동을	노동/NNG+을/JKO
중시하는	중시/NNG+하/XSV+는/ETM
임금체계와	임금/NNG+체계/NNG+와/JC
남한보다	남한/NNP+보다/JKB
높은	높/VA+은/ETM
노동참가율	노동/NNG+참가/NNG+율/XSN
△전후복구를	△/SW+전후/NNG+복구/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
사회주의권의	사회주의/NNG+권/XSN+의/JKG
원조	원조/NNG
등이	등/NNB+이/JKS
북한의	북한/NNP+의/JKG
성취에	성취/NNG+에/JKB
영향을	영향/NNG+을/JKO
주었다고	주/VV+었/EP+다고/EC
생각한다.	생각/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000040.307.6.1
1990년대 초까지 이어진 다음 20년 동안 남북관계는 역전됐다.

1990년대	1990/SN+년대/NNB
초까지	초/NNB+까지/JX
이어진	이어지/VV+ㄴ/ETM
다음	다음/NNG
20년	20/SN+년/NNB
동안	동안/NNG
남북관계는	남북/NNP+관계/NNG+는/JX
역전됐다.	역전/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000040.307.6.2
경제규모가 커질수록 북한의 계획경제 시스템이 비효율성을 드러냈고, 1980년대에 시작된 극소전자(ME)혁명이 세계경제를 ‘노동력 중심’에서 ‘기술력 중심’으로 재편했기 때문이다.

경제규모가	경제/NNG+규모/NNG+가/JKS
커질수록	커지/VV+ㄹ수록/EC
북한의	북한/NNP+의/JKG
계획경제	계획/NNG+경제/NNG
시스템이	시스템/NNG+이/JKS
비효율성을	비/XPN+효율/NNG+성/XSN+을/JKO
드러냈고,	드러내/VV+었/EP+고/EC+,/SP
1980년대에	1980/SN+년대/NNB+에/JKB
시작된	시작/NNG+되/XSV+ㄴ/ETM
극소전자(ME)혁명이	극소/NNG+전자/NNG+(/SS+ME/SL+)/SS+혁명/NNG+이/JKS
세계경제를	세계/NNG+경제/NNG+를/JKO
‘노동력	‘/SS+노동력/NNG
중심’에서	중심/NNG+’/SS+에서/JKB
‘기술력	‘/SS+기술력/NNG
중심’으로	중심/NNG+’/SS+으로/JKB
재편했기	재편/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.307.6.3
이제 높은 노동참가율은 핵심 변수가 아니었다.

이제	이제/MAG
높은	높/VA+은/ETM
노동참가율은	노동/NNG+참가/NNG+율/XSN+은/JX
핵심	핵심/NNG
변수가	변수/NNG+가/JKC
아니었다.	아니/VCN+었/EP+다/EF+./SF


# id : NWRW1800000040.307.6.4
남한은 이런 변화의 흐름을 잘 탔다.

남한은	남한/NNP+은/JX
이런	이런/MMD
변화의	변화/NNG+의/JKG
흐름을	흐름/NNG+을/JKO
잘	잘/MAG
탔다.	타/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.307.6.5
1987년 6월항쟁도 일정한 역할을 했다.

1987년	1987/SN+년/NNB
6월항쟁도	6/SN+월/NNB+항쟁/NNG+도/JX
일정한	일정/NNG+하/XSA+ㄴ/ETM
역할을	역할/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.307.6.6
6월항쟁은 남한의 자본들에 ‘저임경제 청산’의 압력으로 작용함으로써 적기에 기술투자가 이루어지는 데 기여했다.

6월항쟁은	6/SN+월/NNB+항쟁/NNG+은/JX
남한의	남한/NNP+의/JKG
자본들에	자본/NNG+들/XSN+에/JKB
‘저임경제	‘/SS+저임/NNG+경제/NNG
청산’의	청산/NNG+’/SS+의/JKG
압력으로	압력/NNG+으로/JKB
작용함으로써	작용/NNG+하/XSV+ㅁ/ETN+으로써/JKB
적기에	적기/NNG+에/JKB
기술투자가	기술/NNG+투자/NNG+가/JKS
이루어지는	이루어지/VV+는/ETM
데	데/NNB
기여했다.	기여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.307.6.7
남한 경제는 이 재편기에 상층으로 가는 발판을 마련했다.

남한	남한/NNP
경제는	경제/NNG+는/JX
이	이/MMD
재편기에	재편기/NNG+에/JKB
상층으로	상층/NNG+으로/JKB
가는	가/VV+는/ETM
발판을	발판/NNG+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.307.7.1
‘그 뒤 20년’에는 김영삼·이명박 정부에서 흡수통일을 공공연히 얘기할 정도로 남북의 격차가 커졌다.

‘그	‘/SS+그/MMD
뒤	뒤/NNG
20년’에는	20/SN+년/NNB+’/SS+에/JKB+는/JX
김영삼·이명박	김영삼/NNP+·/SP+이명박/NNP
정부에서	정부/NNG+에서/JKB
흡수통일을	흡수/NNG+통일/NNG+을/JKO
공공연히	공공연히/MAG
얘기할	얘기/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
남북의	남북/NNP+의/JKG
격차가	격차/NNG+가/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000040.307.7.2
이런 상황에서 북이 19년 만에 육성 신년사를 발표한 것이다.

이런	이런/MMD
상황에서	상황/NNG+에서/JKB
북이	북/NNP+이/JKS
19년	19/SN+년/NNB
만에	만/NNB+에/JKB
육성	육성/NNG
신년사를	신년사/NNG+를/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.307.8.1
그렇다면 앞으로 20년 뒤 북한 경제는 얼마나 달라질 수 있을까?

그렇다면	그렇/VA+다면/EC
앞으로	앞/NNG+으로/JKB
20년	20/SN+년/NNB
뒤	뒤/NNG
북한	북한/NNP
경제는	경제/NNG+는/JX
얼마나	얼마나/MAG
달라질	달라지/VV+ㄹ/ETM
수	수/NNB
있을까?	있/VA+을까/EF+?/SF


# id : NWRW1800000040.307.8.2
북한 경제가 활력을 되찾으려면 ‘시장경제 수용, 대규모 자본투자, 그리고 체제 보장’이라는 세 요소가 필요하다.

북한	북한/NNP
경제가	경제/NNG+가/JKS
활력을	활력/NNG+을/JKO
되찾으려면	되찾/VV+으려면/EC
‘시장경제	‘/SS+시장/NNG+경제/NNG
수용,	수용/NNG+,/SP
대규모	대/XPN+규모/NNG
자본투자,	자본/NNG+투자/NNG+,/SP
그리고	그리고/MAJ
체제	체제/NNG
보장’이라는	보장/NNG+’/SS+이/VCP+라는/ETM
세	세/MMN
요소가	요소/NNG+가/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000040.307.8.3
지금까지 이 세 요소를 확보하는 유일한 길은 ‘미국과의 수교’였다.

지금까지	지금/NNG+까지/JX
이	이/MMD
세	세/MMN
요소를	요소/NNG+를/JKO
확보하는	확보/NNG+하/XSV+는/ETM
유일한	유일/NNG+하/XSA+ㄴ/ETM
길은	길/NNG+은/JX
‘미국과의	‘/SS+미국/NNP+과/JKB+의/JKG
수교’였다.	수교/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000040.307.8.4
그런데 서서히 ‘중국을 통한 발전’도 대안으로 떠올랐다.

그런데	그런데/MAJ
서서히	서서히/MAG
‘중국을	‘/SS+중국/NNP+을/JKO
통한	통하/VV+ㄴ/ETM
발전’도	발전/NNG+’/SS+도/JX
대안으로	대안/NNG+으로/JKB
떠올랐다.	떠오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000040.307.8.5
북한의 자신감 회복은 이런 ‘또다른 길’의 발견과 관련이 있을지 모른다.

북한의	북한/NNP+의/JKG
자신감	자신감/NNG
회복은	회복/NNG+은/JX
이런	이런/MMD
‘또다른	‘/SS+또/MAG+다른/MMD
길’의	길/NNG+’/SS+의/JKG
발견과	발견/NNG+과/JKB
관련이	관련/NNG+이/JKS
있을지	있/VA+을지/EF
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.307.9.1
중국 자본이 큰 규모로 북한에 들어가는 ‘또다른 길’을 생각해보자.

중국	중국/NNP
자본이	자본/NNG+이/JKS
큰	크/VA+ㄴ/ETM
규모로	규모/NNG+로/JKB
북한에	북한/NNP+에/JKB
들어가는	들어가/VV+는/ETM
‘또다른	‘/SS+또/MAG+다른/MMD
길’을	길/NNG+’/SS+을/JKO
생각해보자.	생각/NNG+하/XSV+아/EC+보/VX+자/EF+./SF


# id : NWRW1800000040.307.9.2
북한은 중국 자본을 통해 시장사회주의의 장점을 배울 것이다.

북한은	북한/NNP+은/JX
중국	중국/NNP
자본을	자본/NNG+을/JKO
통해	통하/VV+아/EC
시장사회주의의	시장/NNG+사회주의/NNG+의/JKG
장점을	장점/NNG+을/JKO
배울	배우/VV+ㄹ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.307.9.3
또 중국 자본이 북한 전역에 널리 퍼지면 미국의 ‘침략’ 가능성도 크게 낮아진다.

또	또/MAG
중국	중국/NNP
자본이	자본/NNG+이/JKS
북한	북한/NNP
전역에	전역/NNG+에/JKB
널리	널리/MAG
퍼지면	퍼지/VV+면/EC
미국의	미국/NNP+의/JKG
‘침략’	‘/SS+침략/NNG+’/SS
가능성도	가능/NNG+성/XSN+도/JX
크게	크/VA+게/EC
낮아진다.	낮/VA+아/EC+지/VX+ㄴ다/EF+./SF


# id : NWRW1800000040.307.9.4
물론 중국은 북한에 대한 지배력 강화라는 과실을 얻는다.

물론	물론/MAG
중국은	중국/NNP+은/JX
북한에	북한/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
지배력	지배력/NNG
강화라는	강화/NNG+이/VCP+라는/ETM
과실을	과실/NNG+을/JKO
얻는다.	얻/VV+는다/EF+./SF


# id : NWRW1800000040.307.9.5
결국 20년 뒤 북한은 크게 달라지겠지만, 고령화한 남한과의 협력에는 큰 관심을 안 보일 수 있다.

결국	결국/MAG
20년	20/SN+년/NNB
뒤	뒤/NNG
북한은	북한/NNP+은/JX
크게	크/VA+게/EC
달라지겠지만,	달라지/VV+겠/EP+지만/EC+,/SP
고령화한	고령/NNG+화/XSN+하/XSV+ㄴ/ETM
남한과의	남한/NNP+과/JKB+의/JKG
협력에는	협력/NNG+에/JKB+는/JX
큰	크/VA+ㄴ/ETM
관심을	관심/NNG+을/JKO
안	안/MAG
보일	보이/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000040.307.9.6
어쩌면 남과 북 모두에게 ‘통일’이란 단어조차 큰 의미가 없을지 모른다.

어쩌면	어쩌면/MAG
남과	남/NNP+과/JC
북	북/NNP
모두에게	모두/NNG+에게/JKB
‘통일’이란	‘/SS+통일/NNG+’/SS+이/VCP+란/ETM
단어조차	단어/NNG+조차/JX
큰	크/VA+ㄴ/ETM
의미가	의미/NNG+가/JKS
없을지	없/VA+을지/EF
모른다.	모르/VV+ㄴ다/EF+./SF


# id : NWRW1800000040.307.10.1
다행히 김정은 제1비서가 신년사에서 남북공동선언의 존중과 이행 의지를 밝혔고, 박근혜 당선인도 기존 남북 합의 정신을 존중하겠다고 말했다.

다행히	다행히/MAG
김정은	김정은/NNP
제1비서가	제/XPN+1/SN+비서/NNG+가/JKS
신년사에서	신년사/NNG+에서/JKB
남북공동선언의	남북/NNP+공동/NNG+선언/NNG+의/JKG
존중과	존중/NNG+과/JC
이행	이행/NNG
의지를	의지/NNG+를/JKO
밝혔고,	밝히/VV+었/EP+고/EC+,/SP
박근혜	박근혜/NNP
당선인도	당선인/NNG+도/JX
기존	기존/NNG
남북	남북/NNP
합의	합의/NNG
정신을	정신/NNG+을/JKO
존중하겠다고	존중/NNG+하/XSV+겠/EP+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000040.307.10.2
아직 남북이 함께 갈 길이 완전히 사라진 것은 아닌 셈이다.

아직	아직/MAG
남북이	남북/NNP+이/JKS
함께	함께/MAG
갈	가/VV+ㄹ/ETM
길이	길/NNG+이/JKS
완전히	완전히/MAG
사라진	사라지/VV+ㄴ/ETM
것은	것/NNB+은/JX
아닌	아니/VCN+ㄴ/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000040.307.10.3
‘20년 뒤 남북의 공동 번영’이라는 희망의 길을 아직은 버릴 때가 아니다.

‘20년	‘/SS+20/SN+년/NNB
뒤	뒤/NNG
남북의	남북/NNP+의/JKG
공동	공동/NNG
번영’이라는	번영/NNG+’/SS+이/VCP+라는/ETM
희망의	희망/NNG+의/JKG
길을	길/NNG+을/JKO
아직은	아직/MAG+은/JX
버릴	버리/VV+ㄹ/ETM
때가	때/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


