# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.464
metadata : {}


# id : NWRW1800000028.464.1.1
시민단체 ‘용산참사방지법’ 윤곽 나왔다

시민단체	시민/NNG+단체/NNG
발생하는	발생/NNG+하/XSV+는/ETM
인권침해라는	인권/NNG+침해/NNG+이/VCP+라는/ETM
점을	점/NNG+을/JKO
명시한	명시/NNG+하/XSV+ㄴ/ETM
데	데/NNB
큰	크/VA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있다”고	있/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.464.6.1
이 법안에는 기존의 여러 개발법규에서 세입자에게 제공하는 보상대책이 서로 충돌하는 문제를 해소하기 위해 보상 절차를 통일하는 내용도 담고 있다.

이	이/MMD
법안에는	법안/NNG+에/JKB+는/JX
기존의	기존/NNG+의/JKG
여러	여러/MMN
개발법규에서	개발/NNG+법규/NNG+에서/JKB
세입자에게	세입자/NNG+에게/JKB
제공하는	제공/NNG+하/XSV+는/ETM
보상대책이	보상/NNG+대책/NNG+이/JKS
서로	서로/MAG
충돌하는	충돌/NNG+하/XSV+는/ETM
문제를	문제/NNG+를/JKO
해소하기	해소/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
보상	보상/NNG
절차를	절차/NNG+를/JKO
통일하는	통일/NNG+하/XSV+는/ETM
내용도	내용/NNG+도/JX
담고	담/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.464.6.2
용산참사 이후 정치권과 국회에서도 제도 개선책을 논의해 도시 및 주거환경정비법, 공익사업에서 토지 등의 취득 및 보상에 관한 법률, 도시개발법 등의 개정이 있었지만 그동안 지적됐던 문제를 해결하기에 역부족이고 일부 개악된 조항도 있다는 평가를 받아왔다.

용산참사	용산/NNP+참사/NNG
이후	이후/NNG
정치권과	정치/NNG+권/XSN+과/JC
국회에서도	국회/NNG+에서/JKB+도/JX
제도	제도/NNG
개선책을	개선책/NNG+을/JKO
논의해	논의/NNG+하/XSV+아/EC
도시	도시/NNG
및	및/MAG
주거환경정비법,	주거/NNG+환경/NNG+정비법/NNG+,/SP
공익사업에서	공익사업/NNG+에서/JKB
토지	토지/NNG
등의	등/NNB+의/JKG
취득	취득/NNG
보상에	보상/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
법률,	법률/NNG+,/SP
도시개발법	도시/NNG+개발법/NNG
개정이	개정/NNG+이/JKS
있었지만	있/VA+었/EP+지만/EC
그동안	그동안/NNG
지적됐던	지적/NNG+되/XSV+었/EP+던/ETM
문제를	문제/NNG+를/JKO
해결하기에	해결/NNG+하/XSV+기/ETN+에/JKB
역부족이고	역부족/NNG+이/VCP+고/EC
일부	일부/NNG
개악된	개악/NNG+되/XSV+ㄴ/ETM
조항도	조항/NNG+도/JX
있다는	있/VA+다는/ETM
평가를	평가/NNG+를/JKO
받아왔다.	받/VV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.464.7.1
다음달 강제퇴거금지법 공청회에 발제자로 나서는 소라미 변호사(공익변호사그룹 공감)는 “주거권과 개발사업 시행원칙 등 법적 미비에 해당하는 내용을 특별법의 지위로 추진할 예정이어서 입법 가능성이 크다”며 “기존 법률과 상충되는 부분을 조율하는 게 향후 입법운동의 과제가 될 것”이라고 말했다.

다음달	다음/NNG+달/NNG
강제퇴거금지법	강제/NNG+퇴거/NNG+금지법/NNG
공청회에	공청회/NNG+에/JKB
발제자로	발제자/NNG+로/JKB
나서는	나서/VV+는/ETM
소라미	소라미/NNP
변호사(공익변호사그룹	변호사/NNG+(/SS+공익/NNG+변호사/NNG+그룹/NNG
공감)는	공감/NNP+)/SS+는/JX
“주거권과	“/SS+주거/NNG+권/XSN+과/JC
개발사업	개발/NNG+사업/NNG
시행원칙	시행/NNG+원칙/NNG
등	등/NNB
법적	법/NNG+적/XSN
미비에	미비/NNG+에/JKB
해당하는	해당/NNG+하/XSV+는/ETM
내용을	내용/NNG+을/JKO
특별법의	특별법/NNG+의/JKG
지위로	지위/NNG+로/JKB
추진할	추진/NNG+하/XSV+ㄹ/ETM
예정이어서	예정/NNG+이/VCP+어서/EC
입법	입법/NNG
가능성이	가능/NNG+성/XSN+이/JKS
크다”며	크/VA+다/EF+”/SS+며/EC
“기존	“/SS+기존/NNG
법률과	법률/NNG+과/JKB
상충되는	상충/NNG+되/XSV+는/ETM
부분을	부분/NNG+을/JKO
조율하는	조율/NNG+하/XSV+는/ETM
게	거/NNB+이/JKS
향후	향후/NNG
입법운동의	입법/NNG+운동/NNG+의/JKG
과제가	과제/NNG+가/JKC
될	되/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


