# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.276
metadata : {}


# id : NWRW1800000054.276.1.1
우승?

우승?	우승/NNG+?/SF
최경주와 강성훈, 배상문, 김민휘 등 한국 선수들도 샷을 가다듬으며 '안방의 반란'을 다짐했다.

최경주와	최경주/NNP+와/JC
강성훈,	강성훈/NNP+,/SP
배상문,	배상문/NNP+,/SP
김민휘	김민휘/NNP
등	등/NNB
한국	한국/NNP
선수들도	선수/NNG+들/XSN+도/JX
샷을	샷/NNG+을/JKO
가다듬으며	가다듬/VV+으며/EC
'안방의	'/SS+안방/NNG+의/JKG
반란'을	반란/NNG+'/SS+을/JKO
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.276.4.1
한국 최초로 열리는 미국 프로골프(PGA) 투어 정규 대회인 CJ컵(총상금 925만달러·약 105억원) 개막을 이틀 앞둔 17일 제주 나인브릿지 골프클럽.

한국	한국/NNP
최초로	최초/NNG+로/JKB
열리는	열리/VV+는/ETM
미국	미국/NNP
프로골프(PGA)	프로/NNG+골프/NNG+(/SS+PGA/SL+)/SS
투어	투어/NNG
정규	정규/NNG
대회인	대회/NNG+이/VCP+ㄴ/ETM
CJ컵(총상금	CJ/SL+컵/NNG+(/SS+총상금/NNG
925만달러·약	925/SN+만/NR+달러/NNB+·/SP+약/MMA
105억원)	105/SN+억/NR+원/NNB+)/SS
개막을	개막/NNG+을/JKO
이틀	이틀/NNG
앞둔	앞두/VV+ㄴ/ETM
17일	17/SN+일/NNB
제주	제주/NNP
나인브릿지	나인브릿지/NNP
골프클럽.	골프클럽/NNP+./SF


# id : NWRW1800000054.276.4.2
반팔을 입어도 될 만큼 따스한 날씨 속에 선수들이 연습 라운드를 돌았다.

반팔을	반팔/NNG+을/JKO
입어도	입/VV+어도/EC
될	되/VV+ㄹ/ETM
만큼	만큼/NNB
따스한	따스하/VA+ㄴ/ETM
날씨	날씨/NNG
속에	속/NNG+에/JKB
선수들이	선수/NNG+들/XSN+이/JKS
연습	연습/NNG
라운드를	라운드/NNG+를/JKO
돌았다.	돌/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.276.4.3
전날만 해도 초겨울 같은 날씨에 강한 비바람이 불었다.

전날만	전날/NNG+만/JX
해도	하/VV+아도/EC
초겨울	초겨울/NNG
같은	같/VA+은/ETM
날씨에	날씨/NNG+에/JKB
강한	강하/VA+ㄴ/ETM
비바람이	비바람/NNG+이/JKS
불었다.	불/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.276.4.4
처음 제주에 온 제이슨 데이는 "참 아름답고 멋진 곳인데, 날씨 변화가 정말 크다"며 "승부에 큰 변수가 될 것 같다"고 했다.

처음	처음/NNG
제주에	제주/NNP+에/JKB
온	오/VV+ㄴ/ETM
제이슨	제이슨/NNP
데이는	데이/NNP+는/JX
"참	"/SS+참/MAG
아름답고	아름답/VA+고/EC
멋진	멋지/VA+ㄴ/ETM
곳인데,	곳/NNG+이/VCP+ㄴ데/EC+,/SP
날씨	날씨/NNG
변화가	변화/NNG+가/JKS
정말	정말/MAG
크다"며	크/VA+다/EF+"/SS+며/EC
"승부에	"/SS+승부/NNG+에/JKB
큰	크/VA+ㄴ/ETM
변수가	변수/NNG+가/JKC
될	되/VV+ㄹ/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.276.5.1
2004년 이곳에서 열렸던 미국 여자프로골프(LPGA) 투어 CJ 나인브릿지 클래식 우승자인 박지은은 현장을 방문해 "그린의 착시 현상을 일으키는 '한라산 브레이크'와 하루에도 4계절이 오락가락하는 기온 변화가 승부의 관건이 될 것"이라고 했다.

2004년	2004/SN+년/NNB
이곳에서	이곳/NP+에서/JKB
열렸던	열리/VV+었/EP+던/ETM
미국	미국/NNP
여자프로골프(LPGA)	여자/NNG+프로/NNG+골프/NNG+(/SS+LPGA/SL+)/SS
투어	투어/NNG
CJ	CJ/SL
나인브릿지	나인브릿지/NNP
클래식	클래식/NNG
우승자인	우승자/NNG+이/VCP+ㄴ/ETM
박지은은	박지은/NNP+은/JX
현장을	현장/NNG+을/JKO
방문해	방문/NNG+하/XSV+아/EC
"그린의	"/SS+그린/NNG+의/JKG
착시	착시/NNG
현상을	현상/NNG+을/JKO
일으키는	일으키/VV+는/ETM
'한라산	'/SS+한라산/NNP
브레이크'와	브레이크/NNG+'/SS+와/JC
하루에도	하루/NNG+에/JKB+도/JX
4계절이	4/SN+계절/NNG+이/JKS
오락가락하는	오락가락/MAG+하/XSV+는/ETM
기온	기온/NNG
변화가	변화/NNG+가/JKS
승부의	승부/NNG+의/JKG
관건이	관건/NNG+이/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.276.6.1
이 대회 출전 선수 78명 중 한국 선수는 17명이다.

이	이/MMD
대회	대회/NNG
출전	출전/NNG
선수	선수/NNG
78명	78/SN+명/NNB
중	중/NNB
한국	한국/NNP
선수는	선수/NNG+는/JX
17명이다.	17/SN+명/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.276.6.2
김시우, 강성훈, 김민휘 등 3명이 PGA 페덱스컵 포인트 상위 60명에 포함돼 자력 출전했고 최경주와 배상문, 안병훈, 왕정훈, 김경태 등은 한국 선수를 배려하는 조건으로 출전했다.

김시우,	김시우/NNP+,/SP
강성훈,	강성훈/NNP+,/SP
김민휘	김민휘/NNP
등	등/NNB
3명이	3/SN+명/NNB+이/JKS
PGA	PGA/SL
페덱스컵	페덱스/NNP+컵/NNG
포인트	포인트/NNG
상위	상위/NNG
60명에	60/SN+명/NNB+에/JKB
포함돼	포함/NNG+되/XSV+어/EC
자력	자력/NNG
출전했고	출전/NNG+하/XSV+았/EP+고/EC
최경주와	최경주/NNP+와/JC
배상문,	배상문/NNP+,/SP
안병훈,	안병훈/NNP+,/SP
왕정훈,	왕정훈/NNP+,/SP
김경태	김경태/NNP
등은	등/NNB+은/JX
한국	한국/NNP
선수를	선수/NNG+를/JKO
배려하는	배려/NNG+하/XSV+는/ETM
조건으로	조건/NNG+으로/JKB
출전했다.	출전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.276.6.3
2002년부터 4년간 이곳서 열렸던 LPGA 투어 CJ나인브릿지 클래식 때는 박세리·안시현·박지은·이지영이 우승하며 한국 선수 '안방 불패' 기록을 썼다.

2002년부터	2002/SN+년/NNB+부터/JX
4년간	4/SN+년/NNB+간/XSN
이곳서	이곳/NP+서/JKB
열렸던	열리/VV+었/EP+던/ETM
LPGA	LPGA/SL
투어	투어/NNG
CJ나인브릿지	CJ나인브릿지/NNP
클래식	클래식/NNG
때는	때/NNG+는/JX
박세리·안시현·박지은·이지영이	박세리/NNP+·/SP+안시현/NNP+·/SP+박지은/NNP+·/SP+이지영/NNP+이/JKS
우승하며	우승/NNG+하/XSV+며/EC
한국	한국/NNP
선수	선수/NNG
'안방	'/SS+안방/NNG
불패'	불패/NNG+'/SS
기록을	기록/NNG+을/JKO
썼다.	쓰/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.276.6.4
당시 전성기를 자랑하던 안니카 소렌스탐(스웨덴)도 번번이 '제주 정복'에 실패하고는 "바람과 추위를 극복하기 힘들었다"고 토로한 일이 있다.

당시	당시/NNG
전성기를	전성기/NNG+를/JKO
자랑하던	자랑/NNG+하/XSV+던/ETM
안니카	안니카/NNP
소렌스탐(스웨덴)도	소렌스탐/NNP+(/SS+스웨덴/NNP+)/SS+도/JX
번번이	번번이/MAG
'제주	'/SS+제주/NNP
정복'에	정복/NNG+'/SS+에/JKB
실패하고는	실패/NNG+하/XSV+고/EC+는/JX
"바람과	"/SS+바람/NNG+과/JC
추위를	추위/NNG+를/JKO
극복하기	극복/NNG+하/XSV+기/ETN
힘들었다"고	힘들/VA+었/EP+다/EF+"/SS+고/JKQ
토로한	토로/NNG+하/XSV+ㄴ/ETM
일이	일/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.276.6.5
최경주는 "날씨가 좋다면 하루 5언더파씩 20언더파 정도 기록해야 우승할 수 있겠지만, 강풍과 추위가 찾아오면 전혀 다른 이야기가 될 것"이라고 했다.

최경주는	최경주/NNP+는/JX
"날씨가	"/SS+날씨/NNG+가/JKS
좋다면	좋/VA+다면/EC
하루	하루/NNG
5언더파씩	5/SN+언더/NNG+파/NNG+씩/XSN
20언더파	20/SN+언더/NNG+파/NNG
정도	정도/NNG
기록해야	기록/NNG+하/XSV+아야/EC
우승할	우승/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있겠지만,	있/VA+겠/EP+지만/EC+,/SP
강풍과	강풍/NNG+과/JC
추위가	추위/NNG+가/JKS
찾아오면	찾아오/VV+면/EC
전혀	전혀/MAG
다른	다른/MMD
이야기가	이야기/NNG+가/JKC
될	되/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


