# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.30
metadata : {}


# id : NWRW1800000038.30.1.1
오바마도 報恩인사… 캠프 '큰손'들 大使로 낙점

오바마도	오바마/NNP+도/JX
'전리품'으로	'/SS+전리품/NNG+'/SS+으로/JKB
여기는	여기/VV+는/ETM
것은	것/NNB+은/JX
이전	이전/NNG
대통령들과	대통령/NNG+들/XSN+과/JKB
다를	다르/VA+ㄹ/ETM
바	바/NNB
없다고	없/VA+다고/EC
현지	현지/NNG
언론들은	언론/NNG+들/XSN+은/JX
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.30.4.1
이 가운데 가장 관심을 끄는 인물은 프랑스 대사로 거론되는 유명 패션 잡지 보그의 편집장 애나 윈투어다.

이	이/NP
가운데	가운데/NNG
가장	가장/MAG
관심을	관심/NNG+을/JKO
끄는	끌/VV+는/ETM
인물은	인물/NNG+은/JX
프랑스	프랑스/NNP
대사로	대사/NNG+로/JKB
거론되는	거론/NNG+되/XSV+는/ETM
유명	유명/NNG
패션	패션/NNG
잡지	잡지/NNG
보그의	보그/NNP+의/JKG
편집장	편집장/NNG
애나	애나/NNP
윈투어다.	윈투어/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000038.30.4.2
그녀는 영화 '악마는 프라다를 입는다'의 실제 모델로 유명한 인물이다.

그녀는	그녀/NP+는/JX
영화	영화/NNG
'악마는	'/SS+악마/NNG+는/JX
프라다를	프라다/NNP+를/JKO
입는다'의	입/VV+는다/EF+'/SS+의/JKG
실제	실제/NNG
모델로	모델/NNG+로/JKB
유명한	유명/NNG+하/XSA+ㄴ/ETM
인물이다.	인물/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.30.4.3
윈투어는 퍼스트레이디 미셸 오바마의 의상 코디네이터 역할을 하다 지난 대통령 선거에서 모금 운동에 뛰어들어 남다른 수완을 발휘했다.

윈투어는	윈투어/NNP+는/JX
퍼스트레이디	퍼스트레이디/NNG
미셸	미셸/NNP
오바마의	오바마/NNP+의/JKG
의상	의상/NNG
코디네이터	코디네이터/NNG
역할을	역할/NNG+을/JKO
하다	하/VV+다/EC
지난	지나/VV+ㄴ/ETM
대통령	대통령/NNG
선거에서	선거/NNG+에서/JKB
모금	모금/NNG
운동에	운동/NNG+에/JKB
뛰어들어	뛰어들/VV+어/EC
남다른	남다르/VA+ㄴ/ETM
수완을	수완/NNG+을/JKO
발휘했다.	발휘/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.30.4.4
대선 직후부터 프랑스 주재 대사 후보로 거론됐고, 현재 막판 경합을 벌이는 것으로 알려졌다.

대선	대선/NNG
직후부터	직후/NNG+부터/JX
프랑스	프랑스/NNP
주재	주재/NNG
대사	대사/NNG
후보로	후보/NNG+로/JKB
거론됐고,	거론/NNG+되/XSV+었/EP+고/EC+,/SP
현재	현재/MAG
막판	막판/NNG
경합을	경합/NNG+을/JKO
벌이는	벌이/VV+는/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.30.5.1
선거 캠프의 재정위원장이었던 매튜 바전은 영국 대사가 유력하다.

선거	선거/NNG
캠프의	캠프/NNG+의/JKG
재정위원장이었던	재정/NNG+위원장/NNG+이/VCP+었/EP+던/ETM
매튜	매튜/NNP
바전은	바전/NNP+은/JX
영국	영국/NNP
대사가	대사/NNG+가/JKS
유력하다.	유력/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000038.30.5.2
바전은 IT 기업가 출신으로 2008년 대선 때 오바마에게 거액을 후원해 이듬해 스웨덴 주재 대사가 됐다.

바전은	바전/NNP+은/JX
IT	IT/SL
기업가	기업가/NNG
출신으로	출신/NNG+으로/JKB
2008년	2008/SN+년/NNB
대선	대선/NNG
때	때/NNG
오바마에게	오바마/NNP+에게/JKB
거액을	거액/NNG+을/JKO
후원해	후원/NNG+하/XSV+아/EC
이듬해	이듬해/NNG
스웨덴	스웨덴/NNP
주재	주재/NNG
대사가	대사/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000038.30.5.3
지난해 대선 때 다시 모금책으로 캠프에 합류해 적극적으로 뛴 끝에 이번에는 한 단계 더 높은 대사직을 노리고 있는 것이다.

지난해	지난해/NNG
대선	대선/NNG
때	때/NNG
다시	다시/MAG
모금책으로	모금책/NNG+으로/JKB
캠프에	캠프/NNG+에/JKB
합류해	합류/NNG+하/XSV+아/EC
적극적으로	적극/NNG+적/XSN+으로/JKB
뛴	뛰/VV+ㄴ/ETM
끝에	끝/NNG+에/JKB
이번에는	이번/NNG+에/JKB+는/JX
한	한/MMN
단계	단계/NNG
더	더/MAG
높은	높/VA+은/ETM
대사직을	대사직/NNG+을/JKO
노리고	노리/VV+고/EC
있는	있/VX+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.30.6.1
이탈리아 대사에는 존 필립스 변호사가 거론된다.

이탈리아	이탈리아/NNP
대사에는	대사/NNG+에/JKB+는/JX
존	존/NNP
필립스	필립스/NNP
변호사가	변호사/NNG+가/JKS
거론된다.	거론/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.30.6.2
필립스는 2008년 대선 때 오바마 캠프에서 활약한 방송 리포터 출신 린다 더글러스의 남편이다.

필립스는	필립스/NNP+는/JX
2008년	2008/SN+년/NNB
대선	대선/NNG
때	때/NNG
오바마	오바마/NNP
캠프에서	캠프/NNG+에서/JKB
활약한	활약/NNG+하/XSV+ㄴ/ETM
방송	방송/NNG
리포터	리포터/NNG
출신	출신/NNG
린다	린다/NNP
더글러스의	더글러스/NNP+의/JKG
남편이다.	남편/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.30.6.3
오바마 캠프의 '큰손'인 브루스 헤이먼 골드만삭스 파트너는 캐나다 대사에 내정된 것으로 전해졌다.

오바마	오바마/NNP
캠프의	캠프/NNG+의/JKG
'큰손'인	'/SS+큰손/NNG+'/SS+이/VCP+ㄴ/ETM
브루스	브루스/NNP
헤이먼	헤이먼/NNP
골드만삭스	골드만삭스/NNP
파트너는	파트너/NNG+는/JX
캐나다	캐나다/NNP
대사에	대사/NNG+에/JKB
내정된	내정/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000038.30.6.4
타임지는 이들 외에 백악관 실내 장식 담당자인 마이클 스미스, TV 프로듀서 컬린 벨, 테니스 전문 채널 사장 켄 솔로몬, 영화배우 조지 클루니도 오바마의 보은 인사(人事) 리스트에 올라있다고 보도했다.

타임지는	타임지/NNP+는/JX
이들	이/NP+들/XSN
외에	외/NNB+에/JKB
백악관	백악관/NNP
실내	실내/NNG
장식	장식/NNG
담당자인	담당자/NNG+이/VCP+ㄴ/ETM
마이클	마이클/NNP
스미스,	스미스/NNP+,/SP
TV	TV/SL
프로듀서	프로듀서/NNG
컬린	컬린/NNP
벨,	벨/NNP+,/SP
테니스	테니스/NNG
전문	전문/NNG
채널	채널/NNG
사장	사장/NNG
켄	켄/NNP
솔로몬,	솔로몬/NNP+,/SP
영화배우	영화배우/NNG
조지	조지/NNP
클루니도	클루니/NNP+도/JX
오바마의	오바마/NNP+의/JKG
보은	보은/NNG
인사(人事)	인사/NNG+(/SS+人事/SH+)/SS
리스트에	리스트/NNG+에/JKB
올라있다고	오르/VV+아/EC+있/VX+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.30.7.1
'보은 대사'들은 대체적으로 생활 여건이 좋고 민감한 외교 현안이 없는 서유럽과 카리브해 국가를 선호한다.

'보은	'/SS+보은/NNG
대사'들은	대사/NNG+'/SS+들/XSN+은/JX
대체적으로	대체/NNG+적/XSN+으로/JKB
생활	생활/NNG
여건이	여건/NNG+이/JKS
좋고	좋/VA+고/EC
민감한	민감/NNG+하/XSA+ㄴ/ETM
외교	외교/NNG
현안이	현안/NNG+이/JKS
없는	없/VA+는/ETM
서유럽과	서유럽/NNP+과/JC
카리브해	카리브해/NNP
국가를	국가/NNG+를/JKO
선호한다.	선호/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000038.30.7.2
미국 외교아카데미에 따르면 지난 60년간 정치적 배려 차원에서 임명된 대사들의 72%는 이 국가들로 파견됐다.

미국	미국/NNP
외교아카데미에	외교/NNG+아카데미/NNG+에/JKB
따르면	따르/VV+면/EC
지난	지나/VV+ㄴ/ETM
60년간	60/SN+년/NNB+간/XSN
정치적	정치/NNG+적/XSN
배려	배려/NNG
차원에서	차원/NNG+에서/JKB
임명된	임명/NNG+되/XSV+ㄴ/ETM
대사들의	대사/NNG+들/XSN+의/JKG
72%는	72/SN+%/SW+는/JX
이	이/MMD
국가들로	국가/NNG+들/XSN+로/JKB
파견됐다.	파견/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000038.30.8.1
반면 중앙아시아나 중동·아프리카 등 위험하고 현안이 많은 '험지'는 대부분 직업 외교관들의 몫이다.

반면	반면/NNG
중앙아시아나	중앙아시아/NNP+나/JC
중동·아프리카	중동/NNP+·/SP+아프리카/NNP
등	등/NNB
위험하고	위험/NNG+하/XSA+고/EC
현안이	현안/NNG+이/JKS
많은	많/VA+은/ETM
'험지'는	'/SS+험지/NNG+'/SS+는/JX
대부분	대/XPN+부분/NNG
직업	직업/NNG
외교관들의	외교관/NNG+들/XSN+의/JKG
몫이다.	몫/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000038.30.8.2
대표적인 곳이 지난해 피습 사건으로 대사가 사망한 리비아다.

대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
곳이	곳/NNG+이/JKS
지난해	지난해/NNG
피습	피습/NNG
사건으로	사건/NNG+으로/JKB
대사가	대사/NNG+가/JKS
사망한	사망/NNG+하/XSV+ㄴ/ETM
리비아다.	리비아/NNP+이/VCP+다/EF+./SF


# id : NWRW1800000038.30.8.3
오바마 대통령은 최근 리비아 대사에 여성 외교관인 데보라 존스 전 쿠웨이트 대사를 임명했다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
최근	최근/NNG
리비아	리비아/NNP
대사에	대사/NNG+에/JKB
여성	여성/NNG
외교관인	외교관/NNG+이/VCP+ㄴ/ETM
데보라	데보라/NNP
존스	존스/NNP
전	전/MMD
쿠웨이트	쿠웨이트/NNP
대사를	대사/NNG+를/JKO
임명했다.	임명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.30.8.4
로널드 뉴먼 외교아카데미 회장은 "외교 경쟁력을 위해서는 이런 구조를 고쳐야 한다"고 말했다고 타임이 전했다.

로널드	로널드/NNP
뉴먼	뉴먼/NNP
외교아카데미	외교/NNG+아카데미/NNG
회장은	회장/NNG+은/JX
"외교	"/SS+외교/NNG
경쟁력을	경쟁력/NNG+을/JKO
위해서는	위하/VV+아서/EC+는/JX
이런	이런/MMD
구조를	구조/NNG+를/JKO
고쳐야	고치/VV+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다고	말/NNG+하/XSV+았/EP+다고/EC
타임이	타임/NNP+이/JKS
전했다.	전하/VV+았/EP+다/EF+./SF


