# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.189
metadata : {}


# id : NWRW1800000029.189.1.1
“귀성길 설설, 귀경길 술술”

“귀성길	“/SS+귀성길/NNG
기준)을	기준/NNG+)/SS+을/JKO
추산해보면	추산/NNG+하/XSV+아/EC+보/VX+면/EC
귀성의	귀성/NNG+의/JKG
경우	경우/NNG
서울∼대전	서울/NNP+∼/SO+대전/NNP
5시간	5/SN+시간/NNB
10분,	10/SN+분/NNB+,/SP
서울∼부산	서울/NNP+∼/SO+부산/NNP
8시간	8/SN+시간/NNB
20분,	20/SN+분/NNB+,/SP
서울∼광주	서울/NNP+∼/SO+광주/NNP
7시간	7/SN+시간/NNB
30분,	30/SN+분/NNB+,/SP
서울∼강릉	서울/NNP+∼/SO+강릉/NNP
4시간	4/SN+시간/NNB
15분이	15/SN+분/NNB+이/JKS
걸릴	걸리/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예측했다.	예측/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.189.5.2
귀경의 경우 대전∼서울 3시간 50분, 부산∼서울 7시간 40분, 광주∼서울 5시간 50분, 강릉∼서울은 4시간 10분 등으로 분석됐다.

귀경의	귀경/NNG+의/JKG
경우	경우/NNG
대전∼서울	대전/NNP+∼/SO+서울/NNP
3시간	3/SN+시간/NNB
50분,	50/SN+분/NNB+,/SP
부산∼서울	부산/NNP+∼/SO+서울/NNP
7시간	7/SN+시간/NNB
40분,	40/SN+분/NNB+,/SP
광주∼서울	광주/NNP+∼/SO+서울/NNP
5시간	5/SN+시간/NNB
강릉∼서울은	강릉/NNP+∼/SO+서울/NNP+은/JX
4시간	4/SN+시간/NNB
10분	10/SN+분/NNB
등으로	등/NNB+으로/JKB
분석됐다.	분석/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.189.5.3
또 귀성은 2일 오전, 귀경은 3일 오후에 체증이 가장 심할 것으로 예측됐다.

또	또/MAG
귀성은	귀성/NNG+은/JX
2일	2/SN+일/NNB
오전,	오전/NNG+,/SP
귀경은	귀경/NNG+은/JX
3일	3/SN+일/NNB
오후에	오후/NNG+에/JKB
체증이	체증/NNG+이/JKS
가장	가장/MAG
심할	심하/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
예측됐다.	예측/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000029.189.5.4
국토부 관계자는 “설 연휴 기간이 긴 데다 연휴 다음 날이 주말이어서 귀경길은 교통이 분산될 것”이라고 설명했다.

국토부	국토부/NNG
관계자는	관계자/NNG+는/JX
“설	“/SS+설/NNG
연휴	연휴/NNG
기간이	기간/NNG+이/JKS
긴	길/VA+ㄴ/ETM
데다	데/NNB+다/JX
다음	다음/NNG
날이	날/NNG+이/JKS
주말이어서	주말/NNG+이/VCP+어서/EC
귀경길은	귀경길/NNG+은/JX
교통이	교통/NNG+이/JKS
분산될	분산/NNG+되/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.189.6.1
○ 교통편 증편과 도로 조기 개통 잇달아

○	○/SW
교통편	교통편/NNG
증편과	증편/NNG+과/JC
도로	도로/NNG
조기	조기/NNG
개통	개통/NNG
잇달아	잇달/VV+아/EC


# id : NWRW1800000029.189.7.1
국토부는 다음 달 1∼6일 ‘설 연휴 특별교통대책’을 시행한다.

국토부는	국토부/NNG+는/JX
다음	다음/NNG
달	달/NNG
1∼6일	1/SN+∼/SO+6/SN+일/NNB
‘설	‘/SS+설/NNG
연휴	연휴/NNG
특별교통대책’을	특별/NNG+교통/NNG+대책/NNG+’/SS+을/JKO
시행한다.	시행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.189.7.2
특별대책에 따르면 설 연휴 기간 열차는 평시보다 12.4% 증가한 649차량, 고속버스는 439대(7.3%), 비행기는 30편(7.9%), 여객선은 167회(22.7%)가 각각 늘어난다.

특별대책에	특별/NNG+대책/NNG+에/JKB
따르면	따르/VV+면/EC
설	설/NNG
연휴	연휴/NNG
기간	기간/NNG
열차는	열차/NNG+는/JX
평시보다	평시/NNG+보다/JKB
12.4%	12/SN+./SP+4/SN+%/SW
증가한	증가/NNG+하/XSV+ㄴ/ETM
649차량,	649/SN+차량/NNG+,/SP
고속버스는	고속버스/NNG+는/JX
439대(7.3%),	439/SN+대/NNG+(/SS+7/SN+./SP+3/SN+%/SW+)/SS+,/SP
비행기는	비행기/NNG+는/JX
30편(7.9%),	30/SN+편/NNB+(/SS+7/SN+./SP+9/SN+%/SW+)/SS+,/SP
여객선은	여객선/NNG+은/JX
167회(22.7%)가	167/SN+회/NNB+(/SS+22/SN+./SP+7/SN+%/SW+)/SS+가/JKS
각각	각각/MAG
늘어난다.	늘어나/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.189.8.1
또 교통량을 분산시키기 위해 고속도로는 완주∼순천(신설), 논산∼전주(확장) 구간(130.6km)이 조기 개통된다.

또	또/MAG
교통량을	교통량/NNG+을/JKO
분산시키기	분산/NNG+시키/XSV+기/ETN
위해	위하/VV+아/EC
고속도로는	고속/NNG+도로/NNG+는/JX
완주∼순천(신설),	완주/NNG+∼/SO+순천/NNP+(/SS+신설/NNG+)/SS+,/SP
논산∼전주(확장)	논산/NNP+∼/SO+전주/NNP+(/SS+확장/NNG+)/SS
구간(130.6km)이	구간/NNG+(/SS+130/SN+./SP+6/SN+km/SW+)/SS+이/JKS
조기	조기/NNG
개통된다.	개통/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.189.8.2
공사 중인 신갈∼호법(확장), 양지나들목∼용인휴게소 구간도 임시개방된다.

공사	공사/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
신갈∼호법(확장),	신갈/NNP+∼/SO+호법/NNP+(/SS+확장/NNG+)/SS+,/SP
양지나들목∼용인휴게소	양지나들목/NNP+∼/SO+용인휴게소/NNP
구간도	구간/NNG+도/JX
임시개방된다.	임시/NNG+개방/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.189.8.3
국도 현리∼신팔 등 19개 구간(146km), 내북∼운암 등 9개 구간(34.4km)도 추가 개방된다.

국도	국도/NNG
현리∼신팔	현리/NNP+∼/SO+신팔/NNP
등	등/NNB
19개	19/SN+개/NNB
구간(146km),	구간/NNG+(/SS+146/SN+km/SW+)/SS+,/SP
내북∼운암	내북/NNP+∼/SO+운암/NNP
9개	9/SN+개/NNB
구간(34.4km)도	구간/NNG+(/SS+34/SN+./SP+4/SN+km/SW+)/SS+도/JX
추가	추가/NNG
개방된다.	개방/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.189.8.4
오산∼안성 등 일부 구간은 갓길운행을 임시로 허용할 방침이다.

오산∼안성	오산/NNP+∼/SO+안성/NNP
등	등/NNB
일부	일부/NNG
구간은	구간/NNG+은/JX
갓길운행을	갓길/NNG+운행/NNG+을/JKO
임시로	임시/NNG+로/JKB
허용할	허용/NNG+하/XSV+ㄹ/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.189.9.1
또 경부고속도로 한남대교 남단∼신탄진나들목(141km) 상하행선에서 버스전용차로제 시행 시간이 평소보다 4시간 연장된다.

또	또/MAG
경부고속도로	경부고속도로/NNP
한남대교	한남대교/NNP
남단∼신탄진나들목(141km)	남단/NNG+∼/SO+신탄진나들목/NNP+(/SS+141/SN+km/SW+)/SS
상하행선에서	상하행선/NNG+에서/JKB
버스전용차로제	버스/NNG+전용/NNG+차로/NNG+제/XSN
시행	시행/NNG
시간이	시간/NNG+이/JKS
평소보다	평소/NNG+보다/JKB
4시간	4/SN+시간/NNB
연장된다.	연장/NNG+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.189.9.2
이에 따라 1일부터 4일까지 버스전용차로에는 오전 7시부터 다음 날 오전 1시까지 6인 이상 탑승한 9인승 이상의 승합차만 진입할 수 있다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
1일부터	1/SN+일/NNB+부터/JX
4일까지	4/SN+일/NNB+까지/JX
버스전용차로에는	버스/NNG+전용/NNG+차로/NNG+에/JKB+는/JX
오전	오전/NNG
7시부터	7/SN+시/NNB+부터/JX
다음	다음/NNG
날	날/NNG
1시까지	1/SN+시/NNB+까지/JX
6인	6/SN+인/NNG
이상	이상/NNG
탑승한	탑승/NNG+하/XSV+ㄴ/ETM
9인승	9인승/NNG
이상의	이상/NNG+의/JKG
승합차만	승합차/NNG+만/JX
진입할	진입/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000029.189.9.3
국토부 관계자는 “스마트폰 앱을 통해 고속도로 이동 소요시간 예측치를 제공할 것”이라고 설명했다.

국토부	국토부/NNG
관계자는	관계자/NNG+는/JX
“스마트폰	“/SS+스마트폰/NNG
앱을	앱/NNG+을/JKO
통해	통하/VV+아/EC
고속도로	고속/NNG+도로/NNG
이동	이동/NNG
소요시간	소요/NNG+시간/NNG
예측치를	예측/NNG+치/XSN+를/JKO
제공할	제공/NNG+하/XSV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.189.10.1
○ 명절 교통지옥을 없애려는 노력

○	○/SW
명절	명절/NNG
교통지옥을	교통지옥/NNG+을/JKO
없애려는	없애/VV+려는/ETM
노력	노력/NNG


# id : NWRW1800000029.189.11.1
교통연구원은 최근 ‘고속도로 통행예약제’ 도입에 대한 법률적 검토에 들어갔다.

교통연구원은	교통연구원/NNP+은/JX
최근	최근/NNG
‘고속도로	‘/SS+고속/NNG+도로/NNG
통행예약제’	통행/NNG+예약/NNG+제/XSN+’/SS
도입에	도입/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
법률적	법률/NNG+적/XSN
검토에	검토/NNG+에/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000029.189.11.2
명절 시 이용자가 사전에 고속도로 이용구간, 시간대를 예약하고 어길 시 벌금을 내는 제도다.

명절	명절/NNG
시	시/NNB
이용자가	이용자/NNG+가/JKS
사전에	사전/NNG+에/JKB
고속도로	고속/NNG+도로/NNG
이용구간,	이용/NNG+구간/NNG+,/SP
시간대를	시간대/NNG+를/JKO
예약하고	예약/NNG+하/XSV+고/EC
어길	어기/VV+ㄹ/ETM
벌금을	벌금/NNG+을/JKO
내는	내/VV+는/ETM
제도다.	제도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.189.11.3
또 △명절 시 시간대별로 요금을 달리하는 ‘고속도로 통행료 탄력제’ △요금소 등에서 적정 차량만 순차적으로 통과시키는 ‘톨게이트 키핑제’ △다인승 차량 전용도로 확대 등의 도입도 논의되고 있다.

또	또/MAG
△명절	△/SW+명절/NNG
시	시/NNB
시간대별로	시간대/NNG+별/XSN+로/JKB
요금을	요금/NNG+을/JKO
달리하는	달리/MAG+하/XSV+는/ETM
‘고속도로	‘/SS+고속/NNG+도로/NNG
통행료	통행료/NNG
탄력제’	탄력/NNG+제/XSN+’/SS
△요금소	△/SW+요금소/NNG
등에서	등/NNB+에서/JKB
적정	적정/NNG
차량만	차량/NNG+만/JX
순차적으로	순차/NNG+적/XSN+으로/JKB
통과시키는	통과/NNG+시키/XSV+는/ETM
‘톨게이트	‘/SS+톨게이트/NNG
키핑제’	키핑/NNG+제/XSN+’/SS
△다인승	△/SW+다인승/NNG
차량	차량/NNG
전용도로	전용/NNG+도로/NNG
확대	확대/NNG
등의	등/NNB+의/JKG
도입도	도입/NNG+도/JX
논의되고	논의/NNG+되/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.189.11.4
한양대 강경우 교통공학과 교수는 “전 국민의 절반 이상이 이동하는 특수한 상황에 맞는 특수한 교통대책이 시급하다”고 말했다.

한양대	한양대/NNP
강경우	강경우/NNP
교통공학과	교통/NNG+공학과/NNG
교수는	교수/NNG+는/JX
“전	“/SS+전/MMN
국민의	국민/NNG+의/JKG
절반	절반/NNG
이상이	이상/NNG+이/JKS
이동하는	이동/NNG+하/XSV+는/ETM
특수한	특수/NNG+하/XSA+ㄴ/ETM
상황에	상황/NNG+에/JKB
맞는	맞/VV+는/ETM
교통대책이	교통/NNG+대책/NNG+이/JKS
시급하다”고	시급하/VA+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


