# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.46
metadata : {}


# id : NWRW1800000046.46.1.1
극장 갔을 뿐인데… 런던이 펼쳐지네

극장	극장/NNG
올까지	올/NNG+까지/JX
사랑스럽다.	사랑/NNG+스럽/XSA+다/EF+./SF


# id : NWRW1800000046.46.5.6
배우 니콜 키드먼은 패딩턴을 박제로 만들기 위해 음모를 꾸미는 국립자연사박물관 박제사로 출연해 미워할 수 없는 악역 카리스마로 영화를 빛낸다.

배우	배우/NNG
니콜	니콜/NNP
키드먼은	키드먼/NNP+은/JX
패딩턴을	패딩턴/NNP+을/JKO
박제로	박제/NNG+로/JKB
만들기	만들/VV+기/ETN
위해	위하/VV+아/EC
음모를	음모/NNG+를/JKO
꾸미는	꾸미/VV+는/ETM
국립자연사박물관	국립자연사박물관/NNP
박제사로	박제사/NNG+로/JKB
출연해	출연/NNG+하/XSV+아/EC
미워할	미워하/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
악역	악역/NNG
카리스마로	카리스마/NNG+로/JKB
영화를	영화/NNG+를/JKO
빛낸다.	빛내/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.46.6.1
무엇보다 이 영화의 주인공은 런던 그 자체라고 할 수 있다.

무엇보다	무엇/NP+보다/JKB
이	이/MMD
영화의	영화/NNG+의/JKG
주인공은	주인공/NNG+은/JX
런던	런던/NNP
그	그/MMD
자체라고	자체/NNG+이/VCP+라고/EC
할	하/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.46.6.2
패딩턴이 살게 된 브라운씨네 집은 동화책 속에서 튀어나온 듯 알록달록한 런던 시내 윈저가든의 실제 주택.

패딩턴이	패딩턴/NNP+이/JKS
살게	살/VV+게/EC
된	되/VV+ㄴ/ETM
브라운씨네	브라운/NNP+씨/NNB+네/XSN
집은	집/NNG+은/JX
동화책	동화책/NNG
속에서	속/NNG+에서/JKB
튀어나온	튀어나오/VV+ㄴ/ETM
듯	듯/NNB
알록달록한	알록달록/MAG+하/XSA+ㄴ/ETM
런던	런던/NNP
시내	시내/NNG
윈저가든의	윈저가든/NNP+의/JKG
실제	실제/NNG
주택.	주택/NNG+./SF


# id : NWRW1800000046.46.6.3
하이드파크 근처 중산층 거주지다.

하이드파크	하이드파크/NNP
근처	근처/NNG
중산층	중산/NNG+층/XSN
거주지다.	거주지/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.46.6.4
처음 런던을 구경하는 아기 곰의 시선으로 빅벤, 타워브리지, 템스 강, 런던 아이 등 명소들을 둘러볼 수 있고, 붉은색 2층 버스와 통통한 검은색 택시 블랙 캡, 빨간 전화 부스 등 명물들도 눈을 즐겁게 한다.

처음	처음/NNG
런던을	런던/NNP+을/JKO
구경하는	구경/NNG+하/XSV+는/ETM
아기	아기/NNG
곰의	곰/NNG+의/JKG
시선으로	시선/NNG+으로/JKB
빅벤,	빅벤/NNP+,/SP
타워브리지,	타워브리지/NNP+,/SP
템스	템스/NNP
강,	강/NNG+,/SP
런던	런던/NNP
아이	아이/NNP
등	등/NNB
명소들을	명소/NNG+들/XSN+을/JKO
둘러볼	둘러보/VV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
붉은색	붉은색/NNG
2층	2/SN+층/NNG
버스와	버스/NNG+와/JC
통통한	통통/MAG+하/XSA+ㄴ/ETM
검은색	검은색/NNG
택시	택시/NNG
블랙	블랙/NNG
캡,	캡/NNG+,/SP
빨간	빨갛/VA+ㄴ/ETM
전화	전화/NNG
부스	부스/NNG
명물들도	명물/NNG+들/XSN+도/JX
눈을	눈/NNG+을/JKO
즐겁게	즐겁/VA+게/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000046.46.6.5
영화 '박물관이 살아있다' 시리즈는 미국 워싱턴DC의 자연사 박물관(1편), 스미스소니언 박물관(2편)을 거쳐 마지막 편에서 세계 최고의 소장품을 자랑하는 대영박물관에 도착했다.

영화	영화/NNG
'박물관이	'/SS+박물관/NNG+이/JKS
살아있다'	살/VV+아/EC+있/VX+다/EF+'/SS
시리즈는	시리즈/NNG+는/JX
미국	미국/NNP
워싱턴DC의	워싱턴DC/NNP+의/JKG
자연사	자연사/NNG
박물관(1편),	박물관/NNG+(/SS+1/SN+편/NNB+)/SS+,/SP
스미스소니언	스미스소니언/NNP
박물관(2편)을	박물관/NNG+(/SS+2/SN+편/NNB+)/SS+을/JKO
거쳐	거치/VV+어/EC
마지막	마지막/NNG
편에서	편/NNB+에서/JKB
세계	세계/NNG
최고의	최고/NNG+의/JKG
소장품을	소장품/NNG+을/JKO
자랑하는	자랑/NNG+하/XSV+는/ETM
대영박물관에	대영박물관/NNP+에/JKB
도착했다.	도착/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.46.6.6
중국 고대 설화 속 괴물 뱀부터 거대한 공룡까지 밤마다 되살아나는 전시품의 양과 스케일이 다르다.

중국	중국/NNP
고대	고대/NNG
설화	설화/NNG
속	속/NNG
괴물	괴물/NNG
뱀부터	뱀/NNG+부터/JX
거대한	거대/NNG+하/XSA+ㄴ/ETM
공룡까지	공룡/NNG+까지/JX
밤마다	밤/NNG+마다/JX
되살아나는	되살아나/VV+는/ETM
전시품의	전시품/NNG+의/JKG
양과	양/NNG+과/JKB
스케일이	스케일/NNG+이/JKS
다르다.	다르/VA+다/EF+./SF


# id : NWRW1800000046.46.6.7
박물관 경비원 래리(벤 스틸러)와 프랭클린 루스벨트(로빈 윌리엄스), 미니어처 카우보이(오웬 윌슨) 등 기존 배우들에다 허세 가득한 원탁의 기사 랜슬롯(댄 스티븐스), 마법 석판의 비밀을 쥔 파라오 선왕(벤 킹슬리) 등 개성파 배우들이 대거 합류했다.

박물관	박물관/NNG
경비원	경비원/NNG
래리(벤	래리/NNP+(/SS+벤/NNP
스틸러)와	스틸러/NNP+)/SS+와/JC
프랭클린	프랭클린/NNP
루스벨트(로빈	루스벨트/NNP+(/SS+로빈/NNP
윌리엄스),	윌리엄스/NNP+)/SS+,/SP
미니어처	미니어처/NNG
카우보이(오웬	카우보이/NNG+(/SS+오웬/NNP
윌슨)	윌슨/NNP+)/SS
등	등/NNB
기존	기존/NNG
배우들에다	배우/NNG+들/XSN+에다/JKB
허세	허세/NNG
가득한	가득/MAG+하/XSA+ㄴ/ETM
원탁의	원탁/NNG+의/JKG
기사	기사/NNG
랜슬롯(댄	랜슬롯/NNP+(/SS+댄/NNP
스티븐스),	스티븐스/NNP+)/SS+,/SP
마법	마법/NNG
석판의	석판/NNG+의/JKG
비밀을	비밀/NNG+을/JKO
쥔	쥐/VV+ㄴ/ETM
파라오	파라오/NNG
선왕(벤	선왕/NNG+(/SS+벤/NNP
킹슬리)	킹슬리/NNP+)/SS
개성파	개성파/NNG
배우들이	배우/NNG+들/XSN+이/JKS
대거	대거/MAG
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.46.6.8
이들은 박물관 안을 종횡무진 누비다 한밤중 런던 시내로 쏟아져 나와 세인트폴 성당과 내셔널 갤러리 앞을 질주하며 한바탕 소동을 벌인다.

이들은	이/NP+들/XSN+은/JX
박물관	박물관/NNG
안을	안/NNG+을/JKO
종횡무진	종횡무진/NNG
누비다	누비/VV+다/EC
한밤중	한/XPN+밤중/NNG
런던	런던/NNP
시내로	시내/NNG+로/JKB
쏟아져	쏟아지/VV+어/EC
나와	나오/VV+아/EC
세인트폴	세인트폴/NNP
성당과	성당/NNG+과/JC
내셔널	내셔널/NNG
갤러리	갤러리/NNG
앞을	앞/NNG+을/JKO
질주하며	질주/NNG+하/XSV+며/EC
한바탕	한/XPN+바탕/NNG
소동을	소동/NNG+을/JKO
벌인다.	벌이/VV+ㄴ다/EF+./SF


# id : NWRW1800000046.46.6.9
이번엔 트라팔가 광장의 검은 돌사자들까지 되살아나 이 소동극에 합류했다.

이번엔	이번/NNG+에/JKB+ㄴ/JX
트라팔가	트라팔가/NNP
광장의	광장/NNG+의/JKG
검은	검/VA+은/ETM
돌사자들까지	돌사자/NNG+들/XSN+까지/JX
되살아나	되살아나/VV+아/EC
이	이/MMD
소동극에	소동극/NNG+에/JKB
합류했다.	합류/NNG+하/XSV+았/EP+다/EF+./SF


