# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.221
metadata : {}


# id : NWRW1800000021.221.1.1
[친절한 팬텀 씨]Q:라이선스 뮤지컬이 오리지널 공연과 다른 점은?

[친절한	[/SS+친절/NNG+하/XSA+ㄴ/ETM
한국의	한국/NNP+의/JKG
팬텀은	팬텀/NNP+은/JX
‘메이드	‘/SS+메이드/NNG
인	인/NNG
코리아’의	코리아/NNP+’/SS+의/JKG
가면을	가면/NNG+을/JKO
쓰게	쓰/VV+게/EC
된	되/VV+ㄴ/ETM
셈이죠.	셈/NNB+이/VCP+죠/EF+./SF


