# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.162
metadata : {}


# id : NWRW1800000041.162.1.1
사실주의적 이미지로 구성한 초현실주의적 캔버스

사실주의적	사실주의/NNG+적/XSN
의미를	의미/NNG+를/JKO
전하려	전하/VV+려/EC
하는	하/VX+는/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.162.5.1
“이미지와 현실세계의 유사성은 예술가의 기술을 증명하는 요소다.

“이미지와	“/SS+이미지/NNG+와/JC
현실세계의	현실/NNG+세계/NNG+의/JKG
유사성은	유사/NNG+성/XSN+은/JX
예술가의	예술가/NNG+의/JKG
기술을	기술/NNG+을/JKO
증명하는	증명/NNG+하/XSV+는/ETM
요소다.	요소/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.162.5.2
이미지가 사실적일수록 작가가 제시한 환영에 그림을 보는 이가 수월하게 공감한다.

이미지가	이미지/NNG+가/JKS
사실적일수록	사실/NNG+적/XSN+이/VCP+ㄹ수록/EC
작가가	작가/NNG+가/JKS
제시한	제시/NNG+하/XSV+ㄴ/ETM
환영에	환영/NNG+에/JKB
그림을	그림/NNG+을/JKO
보는	보/VV+는/ETM
이가	이/NNB+가/JKS
수월하게	수월하/VA+게/EC
공감한다.	공감/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000041.162.5.3
25세 때 미국으로 활동 무대를 옮긴 뒤 10년의 세월을 보내면서 지금 추구하는 ‘은유적 리얼리즘’ 스타일을 확립했다.”

25세	25/SN+세/NNB
때	때/NNG
미국으로	미국/NNP+으로/JKB
활동	활동/NNG
무대를	무대/NNG+를/JKO
옮긴	옮기/VV+ㄴ/ETM
뒤	뒤/NNG
10년의	10/SN+년/NNB+의/JKG
세월을	세월/NNG+을/JKO
보내면서	보내/VV+면서/EC
지금	지금/MAG
추구하는	추구/NNG+하/XSV+는/ETM
‘은유적	‘/SS+은유/NNG+적/XSN
리얼리즘’	리얼리즘/NNG+’/SS
스타일을	스타일/NNG+을/JKO
확립했다.”	확립/NNG+하/XSV+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000041.162.6.1
―정체가 분명한 사물을 의외의 상황에 대입하거나 관계를 짐작하기 어려운 다른 사물로 변화시켰다.

―정체가	―/SS+정체/NNG+가/JKS
분명한	분명/MAG+하/XSA+ㄴ/ETM
사물을	사물/NNG+을/JKO
의외의	의외/NNG+의/JKG
상황에	상황/NNG+에/JKB
대입하거나	대입/NNG+하/XSV+거나/EC
관계를	관계/NNG+를/JKO
짐작하기	짐작/NNG+하/XSV+기/ETN
어려운	어렵/VA+ㄴ/ETM
다른	다른/MMD
사물로	사물/NNG+로/JKB
변화시켰다.	변화/NNG+시키/XSV+었/EP+다/EF+./SF


# id : NWRW1800000041.162.6.2
펼쳐진 책장이 뿔뿔이 찢겨 날아가 날갯짓하는 새가 되거나 커다란 송충이 모양 교각에 입을 벌리고 다가드는 물고기의 실루엣을 묘사한 작품이 인상적이다.

펼쳐진	펼쳐지/VV+ㄴ/ETM
책장이	책장/NNG+이/JKS
뿔뿔이	뿔뿔이/MAG
찢겨	찢기/VV+어/EC
날아가	날아가/VV+아/EC
날갯짓하는	날갯짓/NNG+하/XSV+는/ETM
새가	새/NNG+가/JKC
되거나	되/VV+거나/EC
커다란	커다랗/VA+ㄴ/ETM
송충이	송충이/NNG
모양	모양/NNG
교각에	교각/NNG+에/JKB
입을	입/NNG+을/JKO
벌리고	벌리/VV+고/EC
다가드는	다가들/VV+는/ETM
물고기의	물고기/NNG+의/JKG
실루엣을	실루엣/NNG+을/JKO
묘사한	묘사/NNG+하/XSV+ㄴ/ETM
작품이	작품/NNG+이/JKS
인상적이다.	인상/NNG+적/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000041.162.7.1
“미술 작품이 퍼즐을 표방해서는 안 된다고 믿는다.

“미술	“/SS+미술/NNG
작품이	작품/NNG+이/JKS
퍼즐을	퍼즐/NNG+을/JKO
표방해서는	표방/NNG+하/XSV+아서/EC+는/JX
안	안/MAG
된다고	되/VV+ㄴ다고/EC
믿는다.	믿/VV+는다/EF+./SF


# id : NWRW1800000041.162.7.2
그건 심오해 보이고 싶은 작가의 욕망이 낳는 결과물일 뿐이다.

그건	그거/NP+ㄴ/JX
심오해	심오하/VA+아/EC
보이고	보이/VV+고/EC
싶은	싶/VX+은/ETM
작가의	작가/NNG+의/JKG
욕망이	욕망/NNG+이/JKS
낳는	낳/VV+는/ETM
결과물일	결과물/NNG+이/VCP+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000041.162.7.3
항상 어떤 식으로든 언어로 설명 가능한 이미지를 그리려 한다.

항상	항상/MAG
어떤	어떤/MMD
식으로든	식/NNB+으로/JKB+이/VCP+든/EC
언어로	언어/NNG+로/JKB
설명	설명/NNG
가능한	가능/NNG+하/XSA+ㄴ/ETM
이미지를	이미지/NNG+를/JKO
그리려	그리/VV+려/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000041.162.7.4
물론 해석의 정답은 없다.

물론	물론/MAG
해석의	해석/NNG+의/JKG
정답은	정답/NNG+은/JX
없다.	없/VA+다/EF+./SF


# id : NWRW1800000041.162.7.5
그림을 본 관객 한 사람 한 사람의 반응이 모두 타당하다.

그림을	그림/NNG+을/JKO
본	보/VV+ㄴ/ETM
관객	관객/NNG
한	한/MMN
사람	사람/NNG
사람의	사람/NNG+의/JKG
반응이	반응/NNG+이/JKS
모두	모두/MAG
타당하다.	타당하/VA+다/EF+./SF


# id : NWRW1800000041.162.7.6
첫 번째 언급한 작품은 ‘Diary of Discoveries’다.

첫	첫/MMN
번째	번/NNB+째/XSN
언급한	언급/NNG+하/XSV+ㄴ/ETM
작품은	작품/NNG+은/JX
‘Diary	‘/SS+Diary/SL
of	of/SL
Discoveries’다.	Discoveries/SL+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000041.162.7.7
인간 본연의 순수성에 이반하는 이성이 추구하는 것이 결국 순수한 영혼의 자유라는 것을 보여주려 했다.”

인간	인간/NNG
본연의	본연/NNG+의/JKG
순수성에	순수/NNG+성/XSN+에/JKB
이반하는	이반/NNG+하/XSV+는/ETM
이성이	이성/NNG+이/JKS
추구하는	추구/NNG+하/XSV+는/ETM
것이	것/NNB+이/JKS
결국	결국/MAG
순수한	순수/NNG+하/XSA+ㄴ/ETM
영혼의	영혼/NNG+의/JKG
자유라는	자유/NNG+이/VCP+라는/ETM
것을	것/NNB+을/JKO
보여주려	보이/VV+어/EC+주/VX+려/EC
했다.”	하/VX+았/EP+다/EF+./SF+”/SS


# id : NWRW1800000041.162.8.1
―꼬마 때 낙서를 하며 그린 기발한 착상의 이미지를 정교한 작품으로 구현했다는 인상도 받았다.

―꼬마	―/SS+꼬마/NNG
때	때/NNG
낙서를	낙서/NNG+를/JKO
하며	하/VV+며/EC
그린	그리/VV+ㄴ/ETM
기발한	기발하/VA+ㄴ/ETM
착상의	착상/NNG+의/JKG
이미지를	이미지/NNG+를/JKO
정교한	정교하/VA+ㄴ/ETM
작품으로	작품/NNG+으로/JKB
구현했다는	구현/NNG+하/XSV+았/EP+다는/ETM
인상도	인상/NNG+도/JX
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.162.8.2
코끼리 코를 튜바로 변화시킨 ‘아프리카 소나타’나 햇볕 아래 고구마 잎을 의인화한 ‘이카루스’는 한결같이 익살스러우면서도 진지하다.

코끼리	코끼리/NNG
코를	코/NNG+를/JKO
튜바로	튜바/NNG+로/JKB
변화시킨	변화/NNG+시키/XSV+ㄴ/ETM
‘아프리카	‘/SS+아프리카/NNP
소나타’나	소나타/NNG+’/SS+나/JC
햇볕	햇볕/NNG
아래	아래/NNG
고구마	고구마/NNG
잎을	잎/NNG+을/JKO
의인화한	의인/NNG+화/XSN+하/XSV+ㄴ/ETM
‘이카루스’는	‘/SS+이카루스/NNG+’/SS+는/JX
한결같이	한결같이/MAG
익살스러우면서도	익살/NNG+스럽/XSA+으면서/EC+도/JX
진지하다.	진지하/VA+다/EF+./SF


# id : NWRW1800000041.162.9.1
“서울로 오는 비행기 안에서 줄곧 또 스케치를 했다.

“서울로	“/SS+서울/NNP+로/JKB
오는	오/VV+는/ETM
비행기	비행기/NNG
안에서	안/NNG+에서/JKB
줄곧	줄곧/MAG
또	또/MAG
스케치를	스케치/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000041.162.9.2
줄줄 터져 나오는 아이디어를 작품으로 만드는 시간이 늘 부족하다.

줄줄	줄줄/MAG
터져	터지/VV+어/EC
나오는	나오/VV+는/ETM
아이디어를	아이디어/NNG+를/JKO
작품으로	작품/NNG+으로/JKB
만드는	만들/VV+는/ETM
시간이	시간/NNG+이/JKS
늘	늘/MAG
부족하다.	부족/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000041.162.9.3
아이들은 누구나 예술가의 상상력을 갖고 있다.

아이들은	아이/NNG+들/XSN+은/JX
누구나	누구/NP+나/JX
예술가의	예술가/NNG+의/JKG
상상력을	상상력/NNG+을/JKO
갖고	갖/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.162.9.4
철이 들어 이성으로 무장하면서 상상력을 잃어버리지만 누구나 마음속에 그 아이를 품고 있다.

철이	철/NNG+이/JKS
들어	들/VV+어/EC
이성으로	이성/NNG+으로/JKB
무장하면서	무장/NNG+하/XSV+면서/EC
상상력을	상상력/NNG+을/JKO
잃어버리지만	잃어버리/VV+지만/EC
누구나	누구/NP+나/JX
마음속에	마음속/NNG+에/JKB
그	그/MMD
아이를	아이/NNG+를/JKO
품고	품/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.162.9.5
상상과 이성의 연결점을 되찾는 것이 관건이다.

상상과	상상/NNG+과/JC
이성의	이성/NNG+의/JKG
연결점을	연결점/NNG+을/JKO
되찾는	되찾/VV+는/ETM
것이	것/NNB+이/JKS
관건이다.	관건/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.162.9.6
내 그림 속 사실적 은유는 바로 그런 연결을 만드는 장치들이다.”

내	나/NP+의/JKG
그림	그림/NNG
속	속/NNG
사실적	사실/NNG+적/XSN
은유는	은유/NNG+는/JX
바로	바로/MAG
그런	그런/MMD
연결을	연결/NNG+을/JKO
만드는	만들/VV+는/ETM
장치들이다.”	장치/NNG+들/XSN+이/VCP+다/EF+./SF+”/SS


# id : NWRW1800000041.162.10.1
―예수와 제자들을 각양각색 꽃으로 치환한 ‘최후의 만찬’은 진지한 기독교인들이 좋아하지 않을 것 같은데….

―예수와	―/SS+예수/NNP+와/JC
제자들을	제자/NNG+들/XSN+을/JKO
각양각색	각양각색/NNG
꽃으로	꽃/NNG+으로/JKB
치환한	치환/NNG+하/XSV+ㄴ/ETM
‘최후의	‘/SS+최후/NNG+의/JKG
만찬’은	만찬/NNG+’/SS+은/JX
진지한	진지하/VA+ㄴ/ETM
기독교인들이	기독교인/NNG+들/XSN+이/JKS
좋아하지	좋아하/VV+지/EC
않을	않/VX+을/ETM
것	것/NNB
같은데….	같/VA+은데/EF+…/SE+./SF


# id : NWRW1800000041.162.11.1
“나는 장난스럽게 그림을 그리지 않는다.

“나는	“/SS+나/NP+는/JX
장난스럽게	장난/NNG+스럽/XSA+게/EC
그림을	그림/NNG+을/JKO
그리지	그리/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000041.162.11.2
예수를 표현한 중앙의 꽃과 유다를 대신한 꽃의 색채는 정확한 보색 대비를 이룬다.

예수를	예수/NNP+를/JKO
표현한	표현/NNG+하/XSV+ㄴ/ETM
중앙의	중앙/NNG+의/JKG
꽃과	꽃/NNG+과/JC
유다를	유다/NNP+를/JKO
대신한	대신/NNG+하/XSV+ㄴ/ETM
꽃의	꽃/NNG+의/JKG
색채는	색채/NNG+는/JX
정확한	정확/NNG+하/XSA+ㄴ/ETM
보색	보색/NNG
대비를	대비/NNG+를/JKO
이룬다.	이루/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.162.11.3
모든 붓놀림이 치열한 싸움이다.

모든	모든/MMN
붓놀림이	붓놀림/NNG+이/JKS
치열한	치열/NNG+하/XSA+ㄴ/ETM
싸움이다.	싸움/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.162.11.4
화가가 가진 무기가 그것뿐 아닌가.”

화가가	화가/NNG+가/JKS
가진	가지/VV+ㄴ/ETM
무기가	무기/NNG+가/JKS
그것뿐	그것/NP+뿐/JX
아닌가.”	아니/VCN+ㄴ가/EF+./SF+”/SS


# id : NWRW1800000041.162.11.5
02-580-1300

02-580-1300	02/SN+-/SO+580/SN+-/SO+1300/SN


