# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.42
metadata : {}


# id : NWRW1800000022.42.1.1
청계천 잇는 중학천 2㎞ 전 구간 복원키로

청계천	청계천/NNP
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.42.3.2
시는 우선 35억원을 투입해 올해 안에 청계천~종로구청 340m 구간부터 복원하고〈본지 2월5일자 A8면〉, 종로구청~동십자각 구간은 2010년 말까지, 동십자각~삼청동 발원지는 2011년 말까지 복원할 계획이다.

시는	시/NNG+는/JX
우선	우선/MAG
35억원을	35/SN+억/NR+원/NNB+을/JKO
투입해	투입/NNG+하/XSV+아/EC
올해	올해/NNG
안에	안/NNG+에/JKB
청계천~종로구청	청계천/NNP+~/SO+종로구청/NNP
340m	340/SN+m/SW
구간부터	구간/NNG+부터/JX
복원하고〈본지	복원/NNG+하/XSV+고/EC+〈/SS+본지/NNG
2월5일자	2/SN+월/NNB+5/SN+일/NNB+자/NNG
A8면〉,	A/SL+8/SN+면/NNG+〉/SS+,/SP
종로구청~동십자각	종로구청/NNP+~/SO+동십자각/NNP
구간은	구간/NNG+은/JX
2010년	2010/SN+년/NNB
말까지,	말/NNB+까지/JX+,/SP
동십자각~삼청동	동십자각/NNP+~/SO+삼청동/NNP
발원지는	발원지/NNG+는/JX
2011년	2011/SN+년/NNB
말까지	말/NNB+까지/JX
복원할	복원/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.42.4.1
시는 이를 위해 문화재·수자원 등 다양한 전공의 전문가를 모아 가칭 '중학천 복원위원회'를 곧 발족시키겠다고 밝혔다.

시는	시/NNG+는/JX
이를	이/NP+를/JKO
위해	위하/VV+아/EC
문화재·수자원	문화재/NNG+·/SP+수자원/NNG
등	등/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
전공의	전공/NNG+의/JKG
전문가를	전문가/NNG+를/JKO
모아	모으/VV+아/EC
가칭	가칭/NNG
'중학천	'/SS+중학천/NNP
복원위원회'를	복원/NNG+위원회/NNG+'/SS+를/JKO
곧	곧/MAG
발족시키겠다고	발족/NNG+시키/XSV+겠/EP+다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.42.4.2
이 위원회는 중학천과 청계천을 어떻게 연결할지, 중학천의 물을 어디서 끌어올지 등 모든 문제를 철저하게 검토하게 된다.

이	이/MMD
위원회는	위원회/NNG+는/JX
중학천과	중학천/NNP+과/JC
청계천을	청계천/NNP+을/JKO
어떻게	어떻/VA+게/EC
연결할지,	연결/NNG+하/XSV+ㄹ지/EF+,/SP
중학천의	중학천/NNP+의/JKG
물을	물/NNG+을/JKO
어디서	어디/NP+서/JKB
끌어올지	끌어오/VV+ㄹ지/EF
등	등/NNB
모든	모든/MMN
문제를	문제/NNG+를/JKO
철저하게	철저/NNG+하/XSA+게/EC
검토하게	검토/NNG+하/XSV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.42.5.1
올해 복원할 청계천~종로구청 구간은 청진동 일대 도시환경정비사업 덕에 비교적 공사가 쉬울 것으로 시는 판단하고 있다.

올해	올해/NNG
복원할	복원/NNG+하/XSV+ㄹ/ETM
청계천~종로구청	청계천/NNP+~/SO+종로구청/NNP
구간은	구간/NNG+은/JX
청진동	청진동/NNP
일대	일대/NNG
도시환경정비사업	도시/NNG+환경/NNG+정비/NNG+사업/NNG
덕에	덕/NNG+에/JKB
비교적	비교/NNG+적/XSN
공사가	공사/NNG+가/JKS
쉬울	쉽/VA+ㄹ/ETM
것으로	것/NNB+으로/JKB
시는	시/NNG+는/JX
판단하고	판단/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.42.5.2
현재 도로 일부를 하천으로 복원하고, 그 옆 재개발지에 천변인도를 내면 된다는 것이다.

현재	현재/MAG
도로	도로/NNG
일부를	일부/NNG+를/JKO
하천으로	하천/NNG+으로/JKB
복원하고,	복원/NNG+하/XSV+고/EC+,/SP
그	그/MMD
옆	옆/NNG
재개발지에	재/XPN+개발지/NNG+에/JKB
천변인도를	천변/NNG+인도/NNG+를/JKO
내면	내/VV+면/EC
된다는	되/VV+ㄴ다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.42.6.1
종로구청~삼청동 발원지 구간의 경우, 교통량이 적은 구간은 중학천을 덮고 있는 도로의 일부를 줄여 물길을 내고, 교통량이 많은 구간은 도로 폭을 확충하는 방안을 검토 중이다.

종로구청~삼청동	종로구청/NNP+~/SO+삼청동/NNP
발원지	발원지/NNG
구간의	구간/NNG+의/JKG
경우,	경우/NNG+,/SP
교통량이	교통량/NNG+이/JKS
적은	적/VA+은/ETM
구간은	구간/NNG+은/JX
중학천을	중학천/NNP+을/JKO
덮고	덮/VV+고/EC
있는	있/VX+는/ETM
도로의	도로/NNG+의/JKG
일부를	일부/NNG+를/JKO
줄여	줄이/VV+어/EC
물길을	물길/NNG+을/JKO
내고,	내/VV+고/EC+,/SP
많은	많/VA+은/ETM
도로	도로/NNG
폭을	폭/NNG+을/JKO
확충하는	확충/NNG+하/XSV+는/ETM
방안을	방안/NNG+을/JKO
검토	검토/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


