# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.232
metadata : {}


# id : NWRW1800000033.232.1.1
[런던 올림픽 D-2]“들뜨지 말고 자신있게… 할리우드 액션 경계1호” 하석주 감독의 값진 조언

[런던	[/SS+런던/NNP
한 명이 퇴장을 당하면 승부의 추가 급격하게 기울기 때문에 불필요한 행동으로 퇴장 당하지 않도록 주의해야 한다.”

한	한/MMN
명이	명/NNB+이/JKS
퇴장을	퇴장/NNG+을/JKO
당하면	당하/VV+면/EC
승부의	승부/NNG+의/JKG
추가	추/NNG+가/JKS
급격하게	급격하/VA+게/EC
기울기	기울/VV+기/ETN
때문에	때문/NNB+에/JKB
불필요한	불/XPN+필요/NNG+하/XSA+ㄴ/ETM
행동으로	행동/NNG+으로/JKB
퇴장	퇴장/NNG
당하지	당하/VV+지/EC
않도록	않/VX+도록/EC
주의해야	주의/NNG+하/XSV+아야/EC
한다.”	하/VX+ㄴ다/EF+./SF+”/SS


# id : NWRW1800000033.232.8.1
하 감독은 사상 첫 메달이란 목표를 위해 ‘희생정신’을 살려야 한다고 주문했다.

하	하/NNP
감독은	감독/NNG+은/JX
사상	사상/NNG
첫	첫/MMN
메달이란	메달/NNG+이/VCP+란/ETM
목표를	목표/NNG+를/JKO
위해	위하/VV+아/EC
‘희생정신’을	‘/SS+희생정신/NNG+’/SS+을/JKO
살려야	살리/VV+어야/EC
한다고	하/VX+ㄴ다고/EC
주문했다.	주문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.232.8.2
그는 “우리 선수들은 전통적으로 ‘한번 해보자’고 마음먹으면 그 어떤 팀보다 잘 뭉치는 장점이 있다.

그는	그/NP+는/JX
“우리	“/SS+우리/NP
선수들은	선수/NNG+들/XSN+은/JX
전통적으로	전통/NNG+적/XSN+으로/JKB
‘한번	‘/SS+한번/MAG
해보자’고	하/VV+아/EC+보/VX+자/EF+’/SS+고/JKQ
마음먹으면	마음먹/VV+으면/EC
그	그/MMD
어떤	어떤/MMD
팀보다	팀/NNG+보다/JKB
잘	잘/MAG
뭉치는	뭉치/VV+는/ETM
장점이	장점/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.232.8.3
우리 선수들의 기량이 많이 성장한 만큼 팀을 위해 희생한다는 자세로 경기에 임한다면 반드시 좋은 결과가 따를 것”이라고 말했다.

우리	우리/NP
선수들의	선수/NNG+들/XSN+의/JKG
기량이	기량/NNG+이/JKS
많이	많이/MAG
성장한	성장/NNG+하/XSV+ㄴ/ETM
만큼	만큼/NNB
팀을	팀/NNG+을/JKO
위해	위하/VV+아/EC
희생한다는	희생/NNG+하/XSV+ㄴ다는/ETM
자세로	자세/NNG+로/JKB
경기에	경기/NNG+에/JKB
임한다면	임하/VV+ㄴ다면/EC
반드시	반드시/MAG
좋은	좋/VA+은/ETM
결과가	결과/NNG+가/JKS
따를	따르/VV+ㄹ/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.232.8.4
하 감독은 “어린 선수들을 조련하는 방법을 알고 있는 홍명보 감독과 그 어느 때보다 끈끈한 태극전사들이 숙원이었던 올림픽 메달 획득에 성공해 국민들에게 2002년 한일 월드컵 4강 신화와 같은 감동을 꼭 선사했으면 좋겠다”며 선전을 당부했다.

하	하/NNP
감독은	감독/NNG+은/JX
“어린	“/SS+어리/VA+ㄴ/ETM
선수들을	선수/NNG+들/XSN+을/JKO
조련하는	조련/NNG+하/XSV+는/ETM
방법을	방법/NNG+을/JKO
알고	알/VV+고/EC
있는	있/VX+는/ETM
홍명보	홍명보/NNP
감독과	감독/NNG+과/JC
그	그/MMD
어느	어느/MMD
때보다	때/NNG+보다/JKB
끈끈한	끈끈하/VA+ㄴ/ETM
태극전사들이	태극/NNG+전사/NNG+들/XSN+이/JKS
숙원이었던	숙원/NNG+이/VCP+었/EP+던/ETM
올림픽	올림픽/NNG
메달	메달/NNG
획득에	획득/NNG+에/JKB
성공해	성공/NNG+하/XSV+아/EC
국민들에게	국민/NNG+들/XSN+에게/JKB
2002년	2002/SN+년/NNB
한일	한일/NNP
월드컵	월드컵/NNG
4강	4/SN+강/NNB
신화와	신화/NNG+와/JKB
같은	같/VA+은/ETM
감동을	감동/NNG+을/JKO
꼭	꼭/MAG
선사했으면	선사/NNG+하/XSV+았/EP+으면/EC
좋겠다”며	좋/VA+겠/EP+다/EF+”/SS+며/EC
선전을	선전/NNG+을/JKO
당부했다.	당부/NNG+하/XSV+았/EP+다/EF+./SF


