# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.224
metadata : {}


# id : NWRW1800000054.224.1.1
'철원 병사' 아버지 "누가 쐈는지 밝히지 말라… 그 병사가 자책감 갖는 걸 원치 않아"

'철원	'/SS+철원/NNP
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.224.4.2
이날 군은 철원 육군 6사단 이모(21) 상병이 도비탄이 아닌 유탄에 맞아 숨졌다는 수사 결과를 발표했다.

이날	이날/NNG
군은	군/NNG+은/JX
철원	철원/NNP
육군	육군/NNG
6사단	6/SN+사단/NNG
이모(21)	이/NNP+모/NP+(/SS+21/SN+)/SS
상병이	상병/NNG+이/JKS
도비탄이	도비탄/NNG+이/JKC
아닌	아니/VCN+ㄴ/ETM
유탄에	유탄/NNG+에/JKB
맞아	맞/VV+아/EC
숨졌다는	숨지/VV+었/EP+다는/ETM
수사	수사/NNG
결과를	결과/NNG+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.224.4.3
이씨는 "내 아들 같은 억울한 사고가 다시는 없어야 한다"고 했다.

이씨는	이/NNP+씨/NNB+는/JX
"내	"/SS+나/NP+의/JKG
아들	아들/NNG
같은	같/VA+은/ETM
억울한	억울/NNG+하/XSA+ㄴ/ETM
사고가	사고/NNG+가/JKS
다시는	다시/MAG+는/JX
없어야	없/VA+어야/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.224.5.1
사고 당일 사격 훈련 병력 84명은 6명씩 14개 조로 나눠 훈련했다.

사고	사고/NNG
당일	당일/NNG
사격	사격/NNG
훈련	훈련/NNG
병력	병력/NNG
84명은	84/SN+명/NNB+은/JX
6명씩	6/SN+명/NNB+씩/XSN
14개	14/SN+개/NNB
조로	조/NNG+로/JKB
나눠	나누/VV+어/EC
훈련했다.	훈련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.224.5.2
군 당국은 12조에 소속된 병사 6명이 쏜 탄 중 한 발이 이 상병을 맞힌 것으로 파악하고 있다.

군	군/NNG
당국은	당국/NNG+은/JX
12조에	12/SN+조/NNG+에/JKB
소속된	소속/NNG+되/XSV+ㄴ/ETM
병사	병사/NNG
6명이	6/SN+명/NNB+이/JKS
쏜	쏘/VV+ㄴ/ETM
탄	탄/NNG
중	중/NNB
한	한/MMN
발이	발/NNB+이/JKS
이	이/NNP
상병을	상병/NNG+을/JKO
맞힌	맞히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
파악하고	파악/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.224.5.3
그는 "그 병사도 나처럼 아들을 군대에 보낸 어떤 부모의 자식일 것 아니냐"며 "부모 된 마음으로 더 이상의 피해는 없었으면 한다"고 말했다.

그는	그/NP+는/JX
"그	"/SS+그/MMD
병사도	병사/NNG+도/JX
나처럼	나/NP+처럼/JKB
아들을	아들/NNG+을/JKO
군대에	군대/NNG+에/JKB
보낸	보내/VV+ㄴ/ETM
어떤	어떤/MMD
부모의	부모/NNG+의/JKG
자식일	자식/NNG+이/VCP+ㄹ/ETM
것	것/NNB
아니냐"며	아니/VCN+냐/EF+"/SS+며/EC
"부모	"/SS+부모/NNG
된	되/VV+ㄴ/ETM
마음으로	마음/NNG+으로/JKB
더	더/MAG
이상의	이상/NNG+의/JKG
피해는	피해/NNG+는/JX
없었으면	없/VA+었/EP+으면/EC
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.224.6.1
이 상병의 아버지는 "빗나간 탄환에 숨졌다"는 군 당국의 조사 결과를 받아들였다.

이	이/NNP
상병의	상병/NNG+의/JKG
아버지는	아버지/NNG+는/JX
"빗나간	"/SS+빗나가/VV+ㄴ/ETM
탄환에	탄환/NNG+에/JKB
숨졌다"는	숨지/VV+었/EP+다/EF+"/SS+는/ETM
군	군/NNG
당국의	당국/NNG+의/JKG
조사	조사/NNG
결과를	결과/NNG+를/JKO
받아들였다.	받아들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.224.6.2
그는 "군 당국이 이제라도 납득할 만한 수사 결과를 내놔서 다행"이라고 말했다.

그는	그/NP+는/JX
"군	"/SS+군/NNG
당국이	당국/NNG+이/JKS
이제라도	이제/NNG+이/VCP+라도/EC
납득할	납득/NNG+하/XSV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
수사	수사/NNG
결과를	결과/NNG+를/JKO
내놔서	내놓/VV+아서/EC
다행"이라고	다행/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.224.6.3
이씨는 군 당국이 사건 초기 도비탄에 의한 사망이라고 추정한 것에 대해 "군이 책임을 회피하고 있다"고 했었다.

이씨는	이/NNP+씨/NNB+는/JX
군	군/NNG
당국이	당국/NNG+이/JKS
사건	사건/NNG
초기	초기/NNG
도비탄에	도비탄/NNG+에/JKB
의한	의하/VV+ㄴ/ETM
사망이라고	사망/NNG+이/VCP+라고/EC
추정한	추정/NNG+하/XSV+ㄴ/ETM
것에	것/NNB+에/JKB
대해	대하/VV+아/EC
"군이	"/SS+군/NNG+이/JKS
책임을	책임/NNG+을/JKO
회피하고	회피/NNG+하/XSV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000054.224.6.4
이씨는 사고 당일 본지와 만나 "누군가에게 책임을 묻기 위해서가 아니라, 내 아들이 왜 죽었는지 진실을 알고 싶을 뿐"이라고 했었다.

이씨는	이/NNP+씨/NNB+는/JX
사고	사고/NNG
당일	당일/NNG
본지와	본지/NNG+와/JKB
만나	만나/VV+아/EC
"누군가에게	"/SS+누구/NP+이/VCP+ㄴ가/EF+에게/JKB
책임을	책임/NNG+을/JKO
묻기	묻/VV+기/ETN
위해서가	위하/VV+아서/EC+가/JKC
아니라,	아니/VCN+라/EC+,/SP
내	나/NP+의/JKG
아들이	아들/NNG+이/JKS
왜	왜/MAG
죽었는지	죽/VV+었/EP+는지/EC
진실을	진실/NNG+을/JKO
알고	알/VV+고/EC
싶을	싶/VX+을/ETM
뿐"이라고	뿐/NNB+"/SS+이라고/JKQ
했었다.	하/VV+았었/EP+다/EF+./SF


# id : NWRW1800000054.224.7.1
다만 이씨는 "사격장 뒤로 길이 나 있고 사람이 다니는데 사격을 한다는 건 아직도 이해가 안 된다"고 했다.

다만	다만/MAG
이씨는	이/NNP+씨/NNB+는/JX
"사격장	"/SS+사격장/NNG
뒤로	뒤/NNG+로/JKB
길이	길/NNG+이/JKS
나	나/VV+아/EC
있고	있/VX+고/EC
사람이	사람/NNG+이/JKS
다니는데	다니/VV+는데/EC
사격을	사격/NNG+을/JKO
한다는	하/VV+ㄴ다는/ETM
건	거/NNB+ㄴ/JX
아직도	아직/MAG+도/JX
이해가	이해/NNG+가/JKS
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.224.7.2
그는 "사고 당시 군부대를 찾았을 때 헌병대 수사관이 '군 생활 20년 만에 이런 사고로 사망한 것은 처음 본다'고 하더라"며 "우리 둘째 아들이 고1인데 도저히 군대 보낼 엄두가 안 난다"고 했다.

그는	그/NP+는/JX
"사고	"/SS+사고/NNG
당시	당시/NNG
군부대를	군부대/NNG+를/JKO
찾았을	찾/VV+았/EP+을/ETM
때	때/NNG
헌병대	헌병대/NNG
수사관이	수사관/NNG+이/JKS
'군	'/SS+군/NNG
생활	생활/NNG
20년	20/SN+년/NNB
만에	만/NNB+에/JKB
이런	이런/MMD
사고로	사고/NNG+로/JKB
사망한	사망/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
처음	처음/NNG
본다'고	보/VV+ㄴ다/EF+'/SS+고/JKQ
하더라"며	하/VV+더라/EF+"/SS+며/EC
"우리	"/SS+우리/NP
둘째	둘째/NR
아들이	아들/NNG+이/JKS
고1인데	고/NNG+1/SN+이/VCP+ㄴ데/EC
도저히	도저히/MAG
군대	군대/NNG
보낼	보내/VV+ㄹ/ETM
엄두가	엄두/NNG+가/JKS
안	안/MAG
난다"고	나/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.224.8.1
이 상병은 지난 7일부터 6박 7일간 예정된 정기 휴가를 10여일 앞두고 사고를 당했다.

이	이/NNP
상병은	상병/NNG+은/JX
지난	지나/VV+ㄴ/ETM
7일부터	7/SN+일/NNB+부터/JX
6박	6/SN+박/NNB
7일간	7/SN+일/NNB+간/XSN
예정된	예정/NNG+되/XSV+ㄴ/ETM
정기	정기/NNG
휴가를	휴가/NNG+를/JKO
10여일	10/SN+여/XSN+일/NNB
앞두고	앞두/VV+고/EC
사고를	사고/NNG+를/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.224.8.2
이씨는 "사고만 안 났어도 올해 추석 연휴를 아들과 함께 보낼 수 있었을 텐데"라며 "추석 전에 7일에 휴가 나온다며 들떠서 전화가 왔는데 그게 마지막 통화일 줄은 몰랐다"고 했다.

이씨는	이/NNP+씨/NNB+는/JX
"사고만	"/SS+사고/NNG+만/JX
안	안/MAG
났어도	나/VV+았/EP+어도/EC
올해	올해/NNG
추석	추석/NNG
연휴를	연휴/NNG+를/JKO
아들과	아들/NNG+과/JKB
함께	함께/MAG
보낼	보내/VV+ㄹ/ETM
수	수/NNB
있었을	있/VA+었/EP+을/ETM
텐데"라며	터/NNB+이/VCP+ㄴ데/EF+"/SS+이/VCP+라며/EC
"추석	"/SS+추석/NNG
전에	전/NNG+에/JKB
7일에	7/SN+일/NNB+에/JKB
휴가	휴가/NNG
나온다며	나오/VV+ㄴ다며/EC
들떠서	들뜨/VV+어서/EC
전화가	전화/NNG+가/JKS
왔는데	오/VV+았/EP+는데/EC
그게	그거/NP+이/JKS
마지막	마지막/NNG
통화일	통화/NNG+이/VCP+ㄹ/ETM
줄은	줄/NNB+은/JX
몰랐다"고	모르/VV+았/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.224.8.3
그는 "이번 추석 때 우리 가족은 아무것도 할 수가 없었다. 둘째가 형이 쉬고 있는 대전 현충원에 겨우 들러 인사했다. 올해 추석은 유난히 길고 힘들었다"고 말했다.

그는	그/NP+는/JX
"이번	"/SS+이번/NNG
추석	추석/NNG
때	때/NNG
우리	우리/NP
가족은	가족/NNG+은/JX
아무것도	아무것/NNG+도/JX
할	하/VV+ㄹ/ETM
수가	수/NNB+가/JKS
없었다.	없/VA+었/EP+다/EF+./SF
둘째가	둘째/NNG+가/JKS
형이	형/NNG+이/JKS
쉬고	쉬/VV+고/EC
있는	있/VX+는/ETM
대전	대전/NNP
현충원에	현충원/NNP+에/JKB
겨우	겨우/MAG
들러	들르/VV+어/EC
인사했다.	인사/NNG+하/XSV+았/EP+다/EF+./SF
올해	올해/NNG
추석은	추석/NNG+은/JX
유난히	유난히/MAG
길고	길/VA+고/EC
힘들었다"고	힘들/VA+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


