# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.101
metadata : {}


# id : NWRW1800000046.101.1.1
"나라를 알려면 문학과 신문이 최고"

"나라를	"/SS+나라/NNG+를/JKO
"(박완서는) 부정적 언어를 무리하게 사용하지 않으면서도 현실을 예리하게 분석해요.

"(박완서는)	"/SS+(/SS+박완서/NNP+는/JX+)/SS
부정적	부정/NNG+적/XSN
언어를	언어/NNG+를/JKO
무리하게	무리/NNG+하/XSA+게/EC
사용하지	사용/NNG+하/XSV+지/EC
않으면서도	않/VX+으면서/EC+도/JX
현실을	현실/NNG+을/JKO
예리하게	예리하/VA+게/EC
분석해요.	분석/NNG+하/XSV+아요/EF+./SF


# id : NWRW1800000046.101.7.2
아픈 상처를 드러내지만, 유머를 남기려 노력하죠.

아픈	아프/VA+ㄴ/ETM
상처를	상처/NNG+를/JKO
드러내지만,	드러내/VV+지만/EC+,/SP
유머를	유머/NNG+를/JKO
남기려	남기/VV+려/EC
노력하죠.	노력/NNG+하/XSV+죠/EF+./SF


# id : NWRW1800000046.101.7.3
어떤 것이 옳다 혹은 그르다고 말하지 않아요.

어떤	어떤/MMD
것이	것/NNB+이/JKS
옳다	옳/VA+다/EF
혹은	혹은/MAG
그르다고	그르/VA+다고/EC
말하지	말/NNG+하/XSV+지/EC
않아요.	않/VX+아요/EF+./SF


# id : NWRW1800000046.101.7.4
감각은 예민하지만 편애하는 법이 없죠." 그는 "프랑스에서도 박완서 글은 인기"라며 "사람들이 감동받았다고 할 때마다 뿌듯하다"고 했다.

감각은	감각/NNG+은/JX
예민하지만	예민하/VA+지만/EC
편애하는	편애/NNG+하/XSV+는/ETM
법이	법/NNB+이/JKS
없죠."	없/VA+죠/EF+./SF+"/SS
그는	그/NP+는/JX
"프랑스에서도	"/SS+프랑스/NNP+에서/JKB+도/JX
박완서	박완서/NNP
글은	글/NNG+은/JX
인기"라며	인기/NNG+"/SS+이/VCP+라며/EC
"사람들이	"/SS+사람/NNG+들/XSN+이/JKS
감동받았다고	감동/NNG+받/XSV+았/EP+다고/EC
할	하/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
뿌듯하다"고	뿌듯하/VA+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.101.7.5
그는 서정인·김원일 소설도 번역했고 지금은 은희경의 '소년을 위로해줘'를 옮기는 중이다.

그는	그/NP+는/JX
서정인·김원일	서정인/NNP+·/SP+김원일/NNP
소설도	소설/NNG+도/JX
번역했고	번역/NNG+하/XSV+았/EP+고/EC
지금은	지금/NNG+은/JX
은희경의	은희경/NNP+의/JKG
'소년을	'/SS+소년/NNG+을/JKO
위로해줘'를	위로/NNG+하/XSV+아/EC+주/VX+어/EC+'/SS+를/JKO
옮기는	옮기/VV+는/ETM
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000046.101.8.1
하비에르 국제학교는 그가 2002년 동료 수도자들과 세운 초·중·고교 과정 학교다.

하비에르	하비에르/NNP
국제학교는	국제/NNG+학교/NNG+는/JX
그가	그/NP+가/JKS
2002년	2002/SN+년/NNB
동료	동료/NNG
수도자들과	수도자/NNG+들/XSN+과/JKB
세운	세우/VV+ㄴ/ETM
초·중·고교	초·중·고교/NNG
과정	과정/NNG
학교다.	학교/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.101.8.2
그는 한국에 남아 학생을 가르치는 이유로 "생각하는 법을 알려주고 싶기 때문"이라고 했다.

그는	그/NP+는/JX
한국에	한국/NNP+에/JKB
남아	남/VV+아/EC
학생을	학생/NNG+을/JKO
가르치는	가르치/VV+는/ETM
이유로	이유/NNG+로/JKB
"생각하는	"/SS+생각/NNG+하/XSV+는/ETM
법을	법/NNB+을/JKO
알려주고	알리/VV+어/EC+주/VX+고/EC
싶기	싶/VX+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.101.8.3
"대학생들에게 취미가 뭐냐고 물으면 한참 생각해요.

"대학생들에게	"/SS+대학/NNG+생/XSN+들/XSN+에게/JKB
취미가	취미/NNG+가/JKS
뭐냐고	뭐/NP+이/VCP+냐고/EC
물으면	묻/VV+으면/EC
한참	한참/NNG
생각해요.	생각/NNG+하/XSV+아요/EF+./SF


# id : NWRW1800000046.101.8.4
왜 시간이 걸리느냐.

왜	왜/MAG
시간이	시간/NNG+이/JKS
걸리느냐.	걸리/VV+느냐/EF+./SF


# id : NWRW1800000046.101.8.5
선생님이 기대하는 정답이 무얼까 눈치 보기 때문이죠.

선생님이	선생/NNG+님/XSN+이/JKS
기대하는	기대/NNG+하/XSV+는/ETM
정답이	정답/NNG+이/JKS
무얼까	무어/NP+이/VCP+ㄹ까/EF
눈치	눈치/NNG
보기	보/VV+기/ETN
때문이죠.	때문/NNB+이/VCP+죠/EF+./SF


# id : NWRW1800000046.101.8.6
대학생인데도요.

대학생인데도요.	대학/NNG+생/XSN+이/VCP+ㄴ데/EC+도/JX+요/JX+./SF


# id : NWRW1800000046.101.8.7
이러면 생각하는 것 자체를 겁내게 돼요.

이러면	이러/VV+면/EC
생각하는	생각/NNG+하/XSV+는/ETM
것	것/NNB
자체를	자체/NNG+를/JKO
겁내게	겁내/VV+게/EC
돼요.	되/VV+어요/EF+./SF


# id : NWRW1800000046.101.8.8
시험을 위한 교육이 아닌, 나와 삶의 의미에 대해 생각하게 만드는 교육 현장이 늘어야 합니다."

시험을	시험/NNG+을/JKO
위한	위하/VV+ㄴ/ETM
교육이	교육/NNG+이/JKC
아닌,	아니/VCN+ㄴ/ETM+,/SP
나와	나/NP+와/JC
삶의	삶/NNG+의/JKG
의미에	의미/NNG+에/JKB
대해	대하/VV+아/EC
생각하게	생각/NNG+하/XSV+게/EC
만드는	만들/VV+는/ETM
교육	교육/NNG
현장이	현장/NNG+이/JKS
늘어야	늘/VV+어야/EC
합니다."	하/VX+ㅂ니다/EF+./SF+"/SS


