# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.93
metadata : {}


# id : NWRW1800000029.93.1.1
‘동반성장 1등상’ 탈 만하네… 삼성전기 은탑산업훈장 받아

‘동반성장	‘/SS+동반/NNG+성장/NNG
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.93.5.1
삼성전기의 대표적인 동반성장 협력사로는 부품용 소재를 만드는 ‘대주전자재료’가 꼽힌다.

삼성전기의	삼성전기/NNP+의/JKG
대표적인	대표/NNG+적/XSN+이/VCP+ㄴ/ETM
동반성장	동반/NNG+성장/NNG
협력사로는	협력사/NNG+로/JKB+는/JX
부품용	부품/NNG+용/XSN
소재를	소재/NNG+를/JKO
만드는	만들/VV+는/ETM
‘대주전자재료’가	‘/SS+대주전자재료/NNP+’/SS+가/JKS
꼽힌다.	꼽히/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.93.5.2
에폭시 절연도료, 전극 페이스트, 금속 파우더 등을 만들던 이 회사는 직원 195명 중에 연구개발(R&D) 인력이 전체의 35%인 69명으로 이 중 80%가 석사급 인력으로 구성돼 있었다.

에폭시	에폭시/NNG
절연도료,	절연/NNG+도료/NNG+,/SP
전극	전극/NNG
페이스트,	페이스트/NNG+,/SP
금속	금속/NNG
파우더	파우더/NNG
등을	등/NNB+을/JKO
만들던	만들/VV+던/ETM
이	이/NP
회사는	회사/NNG+는/JX
직원	직원/NNG
195명	195/SN+명/NNB
중에	중/NNB+에/JKB
연구개발(R&D)	연구/NNG+개발/NNG+(/SS+R/SL+&/SW+D/SL+)/SS
인력이	인력/NNG+이/JKS
전체의	전체/NNG+의/JKG
35%인	35/SN+%/SW+이/VCP+ㄴ/ETM
69명으로	69/SN+명/NNB+으로/JKB
중	중/NNB
80%가	80/SN+%/SW+가/JKS
석사급	석사급/NNG
인력으로	인력/NNG+으로/JKB
구성돼	구성/NNG+되/XSV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.93.5.3
삼성전기는 그들이 만드는 부품용 소재 기술에 주목했다.

삼성전기는	삼성전기/NNP+는/JX
그들이	그/NP+들/XSN+이/JKS
만드는	만들/VV+는/ETM
부품용	부품/NNG+용/XSN
소재	소재/NNG
기술에	기술/NNG+에/JKB
주목했다.	주목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.93.6.1
문제는 양산 능력이었다.

문제는	문제/NNG+는/JX
양산	양산/NNG
능력이었다.	능력/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.93.6.2
삼성전기 제품이 많이 팔리면 거기에 물량을 맞춰줘야 하는데 설비도, 양산 기술도 부족했다.

삼성전기	삼성전기/NNP
제품이	제품/NNG+이/JKS
많이	많이/MAG
팔리면	팔리/VV+면/EC
거기에	거기/NP+에/JKB
물량을	물량/NNG+을/JKO
맞춰줘야	맞추/VV+어/EC+주/VX+어야/EC
하는데	하/VX+는데/EC
설비도,	설비/NNG+도/JX+,/SP
양산	양산/NNG
기술도	기술/NNG+도/JX
부족했다.	부족/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000029.93.6.3
이에 대주전자재료와 삼성전기는 2005년부터 본격적으로 상생협력을 추진해 기술 협업 프로젝트를 시작했다.

이에	이/NP+에/JKB
대주전자재료와	대주전자재료/NNP+와/JC
삼성전기는	삼성전기/NNP+는/JX
2005년부터	2005/SN+년/NNB+부터/JX
본격적으로	본격/NNG+적/XSN+으로/JKB
상생협력을	상생/NNG+협력/NNG+을/JKO
추진해	추진/NNG+하/XSV+아/EC
기술	기술/NNG
협업	협업/NNG
프로젝트를	프로젝트/NNG+를/JKO
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.93.7.1
하지만 여전히 설비 부족이 걸림돌이었다.

하지만	하지만/MAJ
여전히	여전히/MAG
설비	설비/NNG
부족이	부족/NNG+이/JKS
걸림돌이었다.	걸림돌/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.93.7.2
대주전자재료는 2008년과 2009년 연속 적자를 보며 흔들렸다.

대주전자재료는	대주전자재료/NNP+는/JX
2008년과	2008/SN+년/NNB+과/JC
2009년	2009/SN+년/NNB
연속	연속/NNG
적자를	적자/NNG+를/JKO
보며	보/VV+며/EC
흔들렸다.	흔들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.93.7.3
세계 금융위기의 타격도 컸다.

세계	세계/NNG
금융위기의	금융/NNG+위기/NNG+의/JKG
타격도	타격/NNG+도/JX
컸다.	크/VA+었/EP+다/EF+./SF


# id : NWRW1800000029.93.7.4
삼성전기는 설비투자를 직접 하기로 결정했다.

삼성전기는	삼성전기/NNP+는/JX
설비투자를	설비/NNG+투자/NNG+를/JKO
직접	직접/MAG
하기로	하/VV+기/ETN+로/JKB
결정했다.	결정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.93.7.5
설비투자에 16억 원, 상생펀드 20억 원을 추가 지원한 것.

설비투자에	설비/NNG+투자/NNG+에/JKB
16억	16/SN+억/NR
원,	원/NNB+,/SP
상생펀드	상생/NNG+펀드/NNG
20억	20/SN+억/NR
원을	원/NNB+을/JKO
추가	추가/NNG
지원한	지원/NNG+하/XSV+ㄴ/ETM
것.	것/NNB+./SF


# id : NWRW1800000029.93.7.6
또 전국경제인연합회에서 운영하는 경영닥터제를 활용해 구매와 판매 등 경영 전반을 컨설팅해 줬다.

또	또/MAG
전국경제인연합회에서	전국경제인연합회/NNP+에서/JKB
운영하는	운영/NNG+하/XSV+는/ETM
경영닥터제를	경영/NNG+닥터/NNG+제/XSN+를/JKO
활용해	활용/NNG+하/XSV+아/EC
구매와	구매/NNG+와/JC
판매	판매/NNG
등	등/NNB
경영	경영/NNG
전반을	전반/NNG+을/JKO
컨설팅해	컨설팅/NNG+하/XSV+아/EC
줬다.	주/VX+었/EP+다/EF+./SF


# id : NWRW1800000029.93.7.7
결국 대주전자재료는 지난해 사상 최고인 연매출 918억 원 이상을 기록하며 흑자 전환에 성공했고, 올해는 연매출 1000억 원을 기대하고 있다.

결국	결국/MAG
대주전자재료는	대주전자재료/NNP+는/JX
지난해	지난해/NNG
사상	사상/NNG
최고인	최고/NNG+이/VCP+ㄴ/ETM
연매출	연/NNG+매출/NNG
918억	918/SN+억/NR
원	원/NNB
이상을	이상/NNG+을/JKO
기록하며	기록/NNG+하/XSV+며/EC
흑자	흑자/NNG
전환에	전환/NNG+에/JKB
성공했고,	성공/NNG+하/XSV+았/EP+고/EC+,/SP
올해는	올해/NNG+는/JX
1000억	1000/SN+억/NR
원을	원/NNB+을/JKO
기대하고	기대/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000029.93.7.8
삼성전기와의 거래금액도 2008년 55억 원에서 지난해 231억 원으로 320% 늘었다.

삼성전기와의	삼성전기/NNP+와/JKB+의/JKG
거래금액도	거래/NNG+금액/NNG+도/JX
2008년	2008/SN+년/NNB
55억	55/SN+억/NR
원에서	원/NNB+에서/JKB
지난해	지난해/NNG
231억	231/SN+억/NR
원으로	원/NNB+으로/JKB
320%	320/SN+%/SW
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.93.7.9
임무현 대주전자재료 대표는 “협력회사 지원 부서뿐 아니라 연구개발, 품질, 설계, 구매 담당자까지 나서 프로젝트를 진행한 게 큰 도움이 됐다”고 말했다.

임무현	임무현/NNP
대주전자재료	대주전자재료/NNP
대표는	대표/NNG+는/JX
“협력회사	“/SS+협력/NNG+회사/NNG
지원	지원/NNG
부서뿐	부서/NNG+뿐/JX
아니라	아니/VCN+라/EC
연구개발,	연구/NNG+개발/NNG+,/SP
품질,	품질/NNG+,/SP
설계,	설계/NNG+,/SP
구매	구매/NNG
담당자까지	담당자/NNG+까지/JX
나서	나서/VV+어/EC
프로젝트를	프로젝트/NNG+를/JKO
진행한	진행/NNG+하/XSV+ㄴ/ETM
게	거/NNB+이/JKS
큰	크/VA+ㄴ/ETM
도움이	도움/NNG+이/JKC
됐다”고	되/VV+었/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


