# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.302
metadata : {}


# id : NWRW1800000026.302.1.1
[수도권Ⅱ] 파주영어마을서 창조의 꿈 피운다;멘토와 멘티의 쌍방향 만남 '경기창조학교' 오프라인교실·공개홀 마련

[수도권Ⅱ]	[/SS+수도/NNG+권/XSN+Ⅱ/SW+]/SS
창조학교는 인터넷 홈페이지(www.k-changeo.org)를 통해 저명 인사들의 강의를 무료로 들을 수 있는 열린 온라인 학교다.

창조학교는	창조/NNG+학교/NNG+는/JX
인터넷	인터넷/NNG
홈페이지(www.k-changeo.org)를	홈페이지/NNG+(/SS+www/SL+./SP+k/SL+-/SO+changeo/SL+./SP+org/SL+)/SS+를/JKO
통해	통하/VV+아/EC
저명	저명/NNG
인사들의	인사/NNG+들/XSN+의/JKG
강의를	강의/NNG+를/JKO
무료로	무료/NNG+로/JKB
들을	듣/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
열린	열리/VV+ㄴ/ETM
온라인	온라인/NNG
학교다.	학교/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.302.4.3
작년 7월 홈페이지를 연 이후 노매딕 캠퍼스(Nomadic Campus)라는 이런 형태의 이동식 수업도 개설해 운영하고 있다.

작년	작년/NNG
7월	7/SN+월/NNB
홈페이지를	홈페이지/NNG+를/JKO
연	열/VV+ㄴ/ETM
이후	이후/NNG
노매딕	노매딕/NNG
캠퍼스(Nomadic	캠퍼스/NNG+(/SS+Nomadic/SL
Campus)라는	Campus/SL+)/SS+이/VCP+라는/ETM
이런	이런/MMD
형태의	형태/NNG+의/JKG
이동식	이동식/NNG
수업도	수업/NNG+도/JX
개설해	개설/NNG+하/XSV+아/EC
운영하고	운영/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.302.4.4
멘토들의 창조 현장을 직접 방문해 몸소 체험하는 프로그램이다.

멘토들의	멘토/NNG+들/XSN+의/JKG
창조	창조/NNG
현장을	현장/NNG+을/JKO
직접	직접/MAG
방문해	방문/NNG+하/XSV+아/EC
몸소	몸소/MAG
체험하는	체험/NNG+하/XSV+는/ETM
프로그램이다.	프로그램/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000026.302.5.1
지난 7월에는 이영혜 디자인하우스 대표가 자신의 집무실에서 토론회를 연 데 이어 이동일 서강대 교수와 세계적인 설치미술가인 필립 볼드윈 뉴욕 스토니브룩대 교수가 판소리와 영상미디어를 결합한 공연에 멘티들을 초청하기도 했다.

지난	지나/VV+ㄴ/ETM
7월에는	7/SN+월/NNB+에/JKB+는/JX
이영혜	이영혜/NNP
디자인하우스	디자인하우스/NNP
대표가	대표/NNG+가/JKS
자신의	자신/NNG+의/JKG
집무실에서	집무실/NNG+에서/JKB
토론회를	토론회/NNG+를/JKO
연	열/VV+ㄴ/ETM
데	데/NNB
이어	잇/VV+어/EC
이동일	이동일/NNP
서강대	서강대/NNP
교수와	교수/NNG+와/JC
세계적인	세계/NNG+적/XSN+이/VCP+ㄴ/ETM
설치미술가인	설치/NNG+미술가/NNG+이/VCP+ㄴ/ETM
필립	필립/NNP
볼드윈	볼드윈/NNP
뉴욕	뉴욕/NNP
스토니브룩대	스토니브룩대/NNP
교수가	교수/NNG+가/JKS
판소리와	판소리/NNG+와/JC
영상미디어를	영상/NNG+미디어/NNG+를/JKO
결합한	결합/NNG+하/XSV+ㄴ/ETM
공연에	공연/NNG+에/JKB
멘티들을	멘티/NNG+들/XSN+을/JKO
초청하기도	초청/NNG+하/XSV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000026.302.6.1
멘티인 김현정(44)씨는 "신문이나 방송을 통해서만 접할 수 있었던 분들의 공연을 보고 직접 이야기를 나누는 것만으로도 소중한 시간"이라고 말했다.

멘티인	멘티/NNG+이/VCP+ㄴ/ETM
김현정(44)씨는	김현정/NNP+(/SS+44/SN+)/SS+씨/NNB+는/JX
"신문이나	"/SS+신문/NNG+이나/JC
방송을	방송/NNG+을/JKO
통해서만	통하/VV+아서/EC+만/JX
접할	접하/VV+ㄹ/ETM
수	수/NNB
있었던	있/VA+었/EP+던/ETM
분들의	분/NNB+들/XSN+의/JKG
공연을	공연/NNG+을/JKO
보고	보/VV+고/EC
직접	직접/MAG
이야기를	이야기/NNG+를/JKO
나누는	나누/VV+는/ETM
것만으로도	것/NNB+만/JX+으로/JKB+도/JX
소중한	소중하/VA+ㄴ/ETM
시간"이라고	시간/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.302.7.1
이렇게 인터넷 강의와 노매딕 캠퍼스를 시범적으로 운영해오던 창조학교는 지난달 파주 경기영어마을 파주캠프에 200석 규모의 오프라인 교실과 공개홀 등을 마련했다.

이렇게	이렇/VA+게/EC
인터넷	인터넷/NNG
강의와	강의/NNG+와/JC
노매딕	노매딕/NNG
캠퍼스를	캠퍼스/NNG+를/JKO
시범적으로	시범/NNG+적/XSN+으로/JKB
운영해오던	운영/NNG+하/XSV+아/EC+오/VX+던/ETM
창조학교는	창조/NNG+학교/NNG+는/JX
지난달	지난달/NNG
파주	파주/NNP
경기영어마을	경기영어마을/NNP
파주캠프에	파주/NNP+캠프/NNG+에/JKB
200석	200/SN+석/NNB
규모의	규모/NNG+의/JKG
오프라인	오프라인/NNG
교실과	교실/NNG+과/JC
공개홀	공개/NNG+홀/NNG
등을	등/NNB+을/JKO
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.302.7.2
황순주(39) 총괄운영팀장은 "온라인 강의를 위주로 하다 보니 멘토와 멘티가 눈을 맞추는 기회가 부족한 게 사실이었어요. 이제 교실을 내면서 명실상부한 디지로그(digilog·디지털+아날로그)학교가 됐습니다"고 말했다.

황순주(39)	황순주/NNP+(/SS+39/SN+)/SS
총괄운영팀장은	총괄/NNG+운영/NNG+팀장/NNG+은/JX
"온라인	"/SS+온라인/NNG
강의를	강의/NNG+를/JKO
위주로	위주/NNG+로/JKB
하다	하/VV+다/EC
보니	보/VX+니/EC
멘토와	멘토/NNG+와/JC
멘티가	멘티/NNG+가/JKS
눈을	눈/NNG+을/JKO
맞추는	맞추/VV+는/ETM
기회가	기회/NNG+가/JKS
부족한	부족/NNG+하/XSA+ㄴ/ETM
게	거/NNB+이/JKS
사실이었어요.	사실/NNG+이/VCP+었/EP+어요/EF+./SF
이제	이제/MAG
교실을	교실/NNG+을/JKO
내면서	내/VV+면서/EC
명실상부한	명실상부/NNG+하/XSA+ㄴ/ETM
디지로그(digilog·디지털+아날로그)학교가	디지로그/NNG+(/SS+digilog/SL+·/SP+디지털/NNG++/SW+아날로그/NNG+)/SS+학교/NNG+가/JKC
됐습니다"고	되/VV+었/EP+습니다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.302.8.1
창조학교의 멘토 중에는 특히 잘 알려진 전문가가 많다.

창조학교의	창조/NNG+학교/NNG+의/JKG
멘토	멘토/NNG
중에는	중/NNB+에/JKB+는/JX
특히	특히/MAG
잘	잘/MAG
알려진	알려지/VV+ㄴ/ETM
전문가가	전문가/NNG+가/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.302.8.2
김남조 시인과 국악인 안숙선·김덕수 한국예술종합학교 교수, 난타를 기획한 송승환 PMC프러덕션 공동대표, 이찬진 드림위즈 대표 등 모두 46명에 이른다.

김남조	김남조/NNP
시인과	시인/NNG+과/JC
국악인	국악인/NNG
안숙선·김덕수	안숙선/NNP+·/SP+김덕수/NNP
한국예술종합학교	한국예술종합학교/NNP
교수,	교수/NNG+,/SP
난타를	난타/NNG+를/JKO
기획한	기획/NNG+하/XSV+ㄴ/ETM
송승환	송승환/NNP
PMC프러덕션	PMC프러덕션/NNP
공동대표,	공동/NNG+대표/NNG+,/SP
이찬진	이찬진/NNP
드림위즈	드림위즈/NNP
대표	대표/NNG
등	등/NNB
모두	모두/MAG
46명에	46/SN+명/NNB+에/JKB
이른다.	이르/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.302.8.3
이름만 들어도 알 만한 멘토 대부분은 명예교장을 맡아 직접 강의도 하고 있는 이어령 전 장관이 직접 초빙했다.

이름만	이름/NNG+만/JX
들어도	듣/VV+어도/EC
알	알/VV+ㄹ/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
멘토	멘토/NNG
대부분은	대/XPN+부분/NNG+은/JX
명예교장을	명예/NNG+교장/NNG+을/JKO
맡아	맡/VV+아/EC
직접	직접/MAG
강의도	강의/NNG+도/JX
하고	하/VV+고/EC
있는	있/VX+는/ETM
이어령	이어령/NNP
전	전/MMD
장관이	장관/NNG+이/JKS
초빙했다.	초빙/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.302.8.4
스타 멘토들도 강의료 50만원에 기꺼이 강의를 자청했다.

스타	스타/NNG
멘토들도	멘토/NNG+들/XSN+도/JX
강의료	강의료/NNG
50만원에	50/SN+만/NR+원/NNB+에/JKB
기꺼이	기꺼이/MAG
강의를	강의/NNG+를/JKO
자청했다.	자청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.302.8.5
창조학교의 1년 예산은 20억원이다.

창조학교의	창조/NNG+학교/NNG+의/JKG
1년	1/SN+년/NNB
예산은	예산/NNG+은/JX
20억원이다.	20/SN+억/NR+원/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000026.302.9.1
청출어람이라는 말이 무색하게 멘티들 중에서도 멘토로 나서도 손색이 없을 만한 이들이 많다.

청출어람이라는	청출어람/NNG+이/VCP+라는/ETM
말이	말/NNG+이/JKS
무색하게	무색하/VA+게/EC
멘티들	멘티/NNG+들/XSN
중에서도	중/NNB+에서/JKB+도/JX
멘토로	멘토/NNG+로/JKB
나서도	나서/VV+어도/EC
손색이	손색/NNG+이/JKS
없을	없/VA+을/ETM
만한	만/NNB+하/XSA+ㄴ/ETM
이들이	이/NNB+들/XSN+이/JKS
많다.	많/VA+다/EF+./SF


# id : NWRW1800000026.302.9.2
이달부터 수업에 들어가는 1기생 946명 중에는 김문수 경기도지사와 윤영달 크라운해태제과 회장 등도 포함돼 있다.

이달부터	이달/NNG+부터/JX
수업에	수업/NNG+에/JKB
들어가는	들어가/VV+는/ETM
1기생	1기생/NNG
946명	946/SN+명/NNB
중에는	중/NNB+에/JKB+는/JX
김문수	김문수/NNP
경기도지사와	경기/NNP+도지사/NNG+와/JC
윤영달	윤영달/NNP
크라운해태제과	크라운해태제과/NNP
회장	회장/NNG
등도	등/NNB+도/JX
포함돼	포함/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000026.302.10.1
창조학교 이청승(65) 사무총장은 "1년 동안 준비하면서 오해도 많았어요. 창조라는 개념 자체가 모호한데다 학교 수업의 기준으로 바라보는 분들이 많았어요"라고 말했다.

창조학교	창조/NNG+학교/NNG
이청승(65)	이청승/NNP+(/SS+65/SN+)/SS
사무총장은	사무총장/NNG+은/JX
"1년	"/SS+1/SN+년/NNB
동안	동안/NNG
준비하면서	준비/NNG+하/XSV+면서/EC
오해도	오해/NNG+도/JX
많았어요.	많/VA+았/EP+어요/EF+./SF
창조라는	창조/NNG+이/VCP+라는/ETM
개념	개념/NNG
자체가	자체/NNG+가/JKS
모호한데다	모호하/VA+ㄴ/ETM+데/NNB+다/JX
학교	학교/NNG
수업의	수업/NNG+의/JKG
기준으로	기준/NNG+으로/JKB
바라보는	바라보/VV+는/ETM
분들이	분/NNB+들/XSN+이/JKS
많았어요"라고	많/VA+았/EP+어요/EF+"/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.302.10.2
그는 "원래 경기도 안산에 있는 폐교를 리모델링하려고 했는데 비용이 1년 예산보다 더 들더라구요. 그 때 경기영어마을 파주캠프가 생각났어요. 침체돼 있는 영어마을과 창조학교가 함께 시너지 효과를 내보자는 거죠. 그게 바로 새로운 창조가 아닐까요?"라고 했다.

그는	그/NP+는/JX
"원래	"/SS+원래/MAG
경기도	경기도/NNP
안산에	안산/NNP+에/JKB
있는	있/VX+는/ETM
폐교를	폐교/NNG+를/JKO
리모델링하려고	리모델링/NNG+하/XSV+려고/EC
했는데	하/VX+았/EP+는데/EC
비용이	비용/NNG+이/JKS
1년	1/SN+년/NNB
예산보다	예산/NNG+보다/JKB
더	더/MAG
들더라구요.	들/VV+더라구/EF+요/JX+./SF
그	그/MMD
때	때/NNG
경기영어마을	경기영어마을/NNP
파주캠프가	파주/NNP+캠프/NNG+가/JKS
생각났어요.	생각나/VV+았/EP+어요/EF+./SF
침체돼	침체/NNG+되/XSV+어/EC
영어마을과	영어/NNP+마을/NNG+과/JC
창조학교가	창조/NNG+학교/NNG+가/JKS
함께	함께/MAG
시너지	시너지/NNG
효과를	효과/NNG+를/JKO
내보자는	내보/VV+자는/ETM
거죠.	거/NNB+이/VCP+죠/EF+./SF
그게	그거/NP+이/JKS
바로	바로/MAG
새로운	새롭/VA+ㄴ/ETM
창조가	창조/NNG+가/JKC
아닐까요?"라고	아니/VCN+ㄹ까/EF+요/JX+?/SF+"/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.302.10.3
넓게는 비무장지대(DMZ)와 헤이리예술마을, 출판도시를 묶는 창조문화특구를 만드는 것이 그의 꿈이다.

넓게는	넓/VA+게/EC+는/JX
비무장지대(DMZ)와	비/XPN+무장/NNG+지대/NNG+(/SS+DMZ/SL+)/SS+와/JC
헤이리예술마을,	헤이리예술마을/NNP+,/SP
출판도시를	출판/NNG+도시/NNG+를/JKO
묶는	묶/VV+는/ETM
창조문화특구를	창조/NNG+문화/NNG+특구/NNG+를/JKO
만드는	만들/VV+는/ETM
것이	것/NNB+이/JKS
그의	그/NP+의/JKG
꿈이다.	꿈/NNG+이/VCP+다/EF+./SF


