# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.213
metadata : {}


# id : NWRW1800000028.213.1.1
수제축구화 외길 35년…월드컵도 발만 보여요

수제축구화	수제/NNG+축구화/NNG
2평 남짓한 공간에는 축구화 밑창, 손때 묻은 신골(신을 만드는 데쓰는 모형), 수선을 기다리는 축구화가 가득했다.

2평	2/SN+평/NNB
남짓한	남짓/NNB+하/XSA+ㄴ/ETM
공간에는	공간/NNG+에/JKB+는/JX
축구화	축구화/NNG
밑창,	밑창/NNG+,/SP
손때	손때/NNG
묻은	묻/VV+은/ETM
신골(신을	신골/NNG+(/SS+신/NNG+을/JKO
만드는	만들/VV+는/ETM
데쓰는	데/NNB+쓰/VV+는/ETM
모형),	모형/NNG+)/SS+,/SP
수선을	수선/NNG+을/JKO
기다리는	기다리/VV+는/ETM
축구화가	축구화/NNG+가/JKS
가득했다.	가득/MAG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000028.213.2.6
김 사장은 ‘맞춤식 수제 축구화’를 만드는 장인이다.

김	김/NNP
사장은	사장/NNG+은/JX
‘맞춤식	‘/SS+맞춤식/NNG
수제	수제/NNG
축구화’를	축구화/NNG+’/SS+를/JKO
만드는	만들/VV+는/ETM
장인이다.	장인/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.213.2.7
현재 국내에선 유일하다.

현재	현재/MAG
국내에선	국내/NNG+에서/JKB+ㄴ/JX
유일하다.	유일/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.213.2.8
1980년대 브랜드 축구화가 쏟아져 들어오면서 축구화를 만드는 이들이 하나둘 떠났지만, 김 사장은 여전히 손으로 만드는 축구화를 고집하고 있다.

1980년대	1980/SN+년대/NNB
브랜드	브랜드/NNG
축구화가	축구화/NNG+가/JKS
쏟아져	쏟아지/VV+어/EC
들어오면서	들어오/VV+면서/EC
축구화를	축구화/NNG+를/JKO
만드는	만들/VV+는/ETM
이들이	이/NNB+들/XSN+이/JKS
하나둘	하나둘/NNG
떠났지만,	떠나/VV+았/EP+지만/EC+,/SP
김	김/NNP
사장은	사장/NNG+은/JX
여전히	여전히/MAG
손으로	손/NNG+으로/JKB
고집하고	고집/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.213.2.9
주문량과 무관하게 8만5000원짜리 축구화 한 켤레를 만드는 데는 일주일이 필요하다.

주문량과	주문량/NNG+과/JKB
무관하게	무관하/VA+게/EC
8만5000원짜리	8/SN+만/NR+5000/SN+원/NNB+짜리/XSN
축구화	축구화/NNG
한	한/MMN
켤레를	켤레/NNB+를/JKO
만드는	만들/VV+는/ETM
데는	데/NNB+는/JX
일주일이	일주일/NNG+이/JKS
필요하다.	필요/NNG+하/XSA+다/EF+./SF


# id : NWRW1800000028.213.2.10
“주변에서는 ‘공연히 고집 피우지 말라’며 말리는 사람이 많지만, 저는 아직도 축구화로 승부를 보고 싶어요.”

“주변에서는	“/SS+주변/NNG+에서/JKB+는/JX
‘공연히	‘/SS+공연히/MAG
고집	고집/NNG
피우지	피우/VV+지/EC
말라’며	말/VX+라/EF+’/SS+며/EC
말리는	말리/VV+는/ETM
사람이	사람/NNG+이/JKS
많지만,	많/VA+지만/EC+,/SP
저는	저/NP+는/JX
아직도	아직/MAG+도/JX
축구화로	축구화/NNG+로/JKB
승부를	승부/NNG+를/JKO
보고	보/VV+고/EC
싶어요.”	싶/VX+어요/EF+./SF+”/SS


# id : NWRW1800000028.213.3.1
김 사장과 축구화의 인연은 1974년으로 거슬러 올라간다.

김	김/NNP
사장과	사장/NNG+과/JC
축구화의	축구화/NNG+의/JKG
인연은	인연/NNG+은/JX
1974년으로	1974/SN+년/NNB+으로/JKB
거슬러	거스르/VV+어/EC
올라간다.	올라가/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.213.3.2
13살에 대구 누나집에 얹혀살며 육상화나 축구화 바닥에 들어가는 ‘철침’을 만드는 대장간에 취직했다.

13살에	13/SN+살/NNB+에/JKB
대구	대구/NNP
누나집에	누나/NNG+집/NNG+에/JKB
얹혀살며	얹혀살/VV+며/EC
육상화나	육상화/NNG+나/JC
축구화	축구화/NNG
바닥에	바닥/NNG+에/JKB
들어가는	들어가/VV+는/ETM
‘철침’을	‘/SS+철침/NNG+’/SS+을/JKO
만드는	만들/VV+는/ETM
대장간에	대장/NNG+간/XSN+에/JKB
취직했다.	취직/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.213.3.3
어려운 형편 탓에 초등학교를 마치지 못한 채 12살부터 ‘아이스케키’를 배달했던 그에게는 ‘안정적인 일자리’였다.

어려운	어렵/VA+ㄴ/ETM
형편	형편/NNG
탓에	탓/NNG+에/JKB
초등학교를	초등학교/NNG+를/JKO
마치지	마치/VV+지/EC
못한	못하/VX+ㄴ/ETM
채	채/NNB
12살부터	12/SN+살/NNB+부터/JX
‘아이스케키’를	‘/SS+아이스케키/NNG+’/SS+를/JKO
배달했던	배달/NNG+하/XSV+았/EP+던/ETM
그에게는	그/NP+에게/JKB+는/JX
‘안정적인	‘/SS+안정/NNG+적/XSN+이/VCP+ㄴ/ETM
일자리’였다.	일자리/NNG+’/SS+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.213.3.4
그렇게 축구화의 ‘기본’에 입문한 김 사장은 15살 나던 해에 신발 기술자의 견습공으로 들어갔다.

그렇게	그렇/VA+게/EC
축구화의	축구화/NNG+의/JKG
‘기본’에	‘/SS+기본/NNG+’/SS+에/JKB
입문한	입문/NNG+하/XSV+ㄴ/ETM
김	김/NNP
사장은	사장/NNG+은/JX
15살	15/SN+살/NNB
나던	나/VV+던/ETM
해에	해/NNG+에/JKB
신발	신발/NNG
기술자의	기술자/NNG+의/JKG
견습공으로	견습공/NNG+으로/JKB
들어갔다.	들어가/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.213.3.5
욕먹고 맞아가며 어깨너머로 배운 기술로 18살에 기술자가 됐다.

욕먹고	욕먹/VV+고/EC
맞아가며	맞/VV+아/EC+가/VX+며/EC
어깨너머로	어깨너머/NNG+로/JKB
배운	배우/VV+ㄴ/ETM
기술로	기술/NNG+로/JKB
18살에	18/SN+살/NNB+에/JKB
기술자가	기술자/NNG+가/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.213.3.6
“집안에 누구 한 사람이라도 잘살아야 한다”는 생각에 밤을 새워가며 악착같이 일에 매달렸다.

“집안에	“/SS+집안/NNG+에/JKB
누구	누구/NP
한	한/MMN
사람이라도	사람/NNG+이/VCP+라도/EC
잘살아야	잘살/VV+아야/EC
한다”는	하/VX+ㄴ다/EF+”/SS+는/ETM
생각에	생각/NNG+에/JKB
밤을	밤/NNG+을/JKO
새워가며	새우/VV+어/EC+가/VX+며/EC
악착같이	악착같이/MAG
일에	일/NNG+에/JKB
매달렸다.	매달리/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.213.3.7
하루 50켤레까지 만들며 당시 돈으로 주급 10만원을 받던 호시절이었다.

하루	하루/NNG
50켤레까지	50/SN+켤레/NNB+까지/JX
만들며	만들/VV+며/EC
당시	당시/NNG
돈으로	돈/NNG+으로/JKB
주급	주급/NNG
10만원을	10/SN+만/NR+원/NNB+을/JKO
받던	받/VV+던/ETM
호시절이었다.	호시절/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.213.4.1
하지만 김 사장은 80년대 브랜드 축구화의 홍수에 휩쓸려 일자리를 잃었다.

하지만	하지만/MAJ
김	김/NNP
사장은	사장/NNG+은/JX
80년대	80/SN+년대/NNB
브랜드	브랜드/NNG
축구화의	축구화/NNG+의/JKG
홍수에	홍수/NNG+에/JKB
휩쓸려	휩쓸리/VV+어/EC
일자리를	일자리/NNG+를/JKO
잃었다.	잃/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.213.4.2
“일이 없어지면서 죽겠다고 무턱대고 밥을 굶기도 했다”는 그는 1987년 빈손으로 상경했다.

“일이	“/SS+일/NNG+이/JKS
없어지면서	없어지/VV+면서/EC
죽겠다고	죽/VV+겠/EP+다고/EC
무턱대고	무턱대고/MAG
밥을	밥/NNG+을/JKO
굶기도	굶/VV+기/ETN+도/JX
했다”는	하/VX+았/EP+다/EF+”/SS+는/ETM
그는	그/NP+는/JX
1987년	1987/SN+년/NNB
빈손으로	빈손/NNG+으로/JKB
상경했다.	상경/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.213.5.1
남의 공장 한켠에서 다시 축구화를 만들었다.

남의	남/NNG+의/JKG
공장	공장/NNG
한켠에서	한/MMN+켠/NNB+에서/JKB
다시	다시/MAG
축구화를	축구화/NNG+를/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.213.5.2
외상으로 가죽을 떼와 일일이 가위질하고 꿰매어 만든 신발을 어깨에 지고, 조기축구회와 동네 시장에 팔러 다녔다.

외상으로	외상/NNG+으로/JKB
가죽을	가죽/NNG+을/JKO
떼와	떼/VV+어/EC+오/VX+아/EC
일일이	일일이/MAG
가위질하고	가위/NNG+질/XSN+하/XSV+고/EC
꿰매어	꿰매/VV+어/EC
만든	만들/VV+ㄴ/ETM
신발을	신발/NNG+을/JKO
어깨에	어깨/NNG+에/JKB
지고,	지/VV+고/EC+,/SP
조기축구회와	조기/NNG+축구회/NNG+와/JC
동네	동네/NNG
시장에	시장/NNG+에/JKB
팔러	팔/VV+러/EC
다녔다.	다니/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.213.5.3
“‘싸구려 축구화를 누가 사느냐’는 냉대를 엄청나게 받았죠.”

“‘싸구려	“/SS+‘/SS+싸구려/NNG
축구화를	축구화/NNG+를/JKO
누가	누구/NP+가/JKS
사느냐’는	사/VV+느냐/EF+’/SS+는/ETM
냉대를	냉대/NNG+를/JKO
엄청나게	엄청나/VA+게/EC
받았죠.”	받/VV+았/EP+죠/EF+./SF+”/SS


# id : NWRW1800000028.213.6.1
다행히 꼼꼼한 그의 솜씨가 알려지며 입소문을 타고 축구화가 조금씩 팔리기 시작했다.

다행히	다행히/MAG
꼼꼼한	꼼꼼/MAG+하/XSA+ㄴ/ETM
그의	그/NP+의/JKG
솜씨가	솜씨/NNG+가/JKS
알려지며	알려지/VV+며/EC
입소문을	입소문/NNG+을/JKO
타고	타/VV+고/EC
축구화가	축구화/NNG+가/JKS
조금씩	조금/NNG+씩/XSN
팔리기	팔리/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.213.6.2
2000년 지금의 자리에 가게를 열었고, 2003년부터는 오랜 꿈이던 맞춤식 축구화를 본격적으로 만들었다.

2000년	2000/SN+년/NNB
지금의	지금/NNG+의/JKG
자리에	자리/NNG+에/JKB
가게를	가게/NNG+를/JKO
열었고,	열/VV+었/EP+고/EC+,/SP
2003년부터는	2003/SN+년/NNB+부터/JX+는/JX
오랜	오랜/MMA
꿈이던	꿈/NNG+이/VCP+던/ETM
맞춤식	맞춤식/NNG
축구화를	축구화/NNG+를/JKO
본격적으로	본격/NNG+적/XSN+으로/JKB
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.213.6.3
“옛날엔 발을 축구화에 맞춰야 했잖아요.

“옛날엔	“/SS+옛날/NNG+에/JKB+ㄴ/JX
발을	발/NNG+을/JKO
축구화에	축구화/NNG+에/JKB
맞춰야	맞추/VV+어야/EC
했잖아요.	하/VX+았/EP+잖아/EF+요/JX+./SF


# id : NWRW1800000028.213.6.4
저도 축구하면서 발톱이 몇 번이나 빠졌거든요.”

저도	저/NP+도/JX
축구하면서	축구/NNG+하/XSV+면서/EC
발톱이	발톱/NNG+이/JKS
몇	몇/NR
번이나	번/NNB+이나/JX
빠졌거든요.”	빠지/VV+었/EP+거든/EF+요/JX+./SF+”/SS


# id : NWRW1800000028.213.7.1
그의 축구화는 마침내 북녘에도 알려졌다.

그의	그/NP+의/JKG
축구화는	축구화/NNG+는/JX
마침내	마침내/MAG
북녘에도	북녘/NNG+에/JKB+도/JX
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.213.7.2
남북체육교류협회의 권유로 2008년 평양을 방문해 북한 4·25축구단 여자 선수들 25명의 축구화 제작을 요청받았다.

남북체육교류협회의	남북체육교류협회/NNP+의/JKG
권유로	권유/NNG+로/JKB
2008년	2008/SN+년/NNB
평양을	평양/NNP+을/JKO
방문해	방문/NNG+하/XSV+아/EC
북한	북한/NNP
4·25축구단	4·25축구단/NNP
여자	여자/NNG
선수들	선수/NNG+들/XSN
25명의	25/SN+명/NNB+의/JKG
축구화	축구화/NNG
제작을	제작/NNG+을/JKO
요청받았다.	요청/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.213.7.3
“수제 축구화의 본고장인 평양에서 기술을 알아줘 기분이 좋았죠.”

“수제	“/SS+수제/NNG
축구화의	축구화/NNG+의/JKG
본고장인	본고장/NNG+이/VCP+ㄴ/ETM
평양에서	평양/NNP+에서/JKB
기술을	기술/NNG+을/JKO
알아줘	알아주/VV+어/EC
기분이	기분/NNG+이/JKS
좋았죠.”	좋/VA+았/EP+죠/EF+./SF+”/SS


# id : NWRW1800000028.213.7.4
그러나 남북교류가 흐지부지되면서 그때 주문받은 50켤레는 북쪽에 끝내 전달하지 못했다.

그러나	그러나/MAJ
남북교류가	남북/NNP+교류/NNG+가/JKS
흐지부지되면서	흐지부지/MAG+되/XSV+면서/EC
그때	그때/NNG
주문받은	주문/NNG+받/XSV+은/ETM
50켤레는	50/SN+켤레/NNB+는/JX
북쪽에	북쪽/NNG+에/JKB
끝내	끝내/MAG
전달하지	전달/NNG+하/XSV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.213.7.5
가게 한구석에 쌓아두고는 있지만, 그래도 이 축구화들은 김 사장의 ‘자부심’이다.

가게	가게/NNG
한구석에	한구석/NNG+에/JKB
쌓아두고는	쌓/VV+아/EC+두/VX+고/EC+는/JX
있지만,	있/VX+지만/EC+,/SP
그래도	그렇/VA+어도/EC
이	이/MMD
축구화들은	축구화/NNG+들/XSN+은/JX
김	김/NNP
사장의	사장/NNG+의/JKG
‘자부심’이다.	‘/SS+자부심/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000028.213.8.1
월드컵이 한창이지만 김 사장은 이날도 밀린 주문을 소화하느라 짬짬이 경기를 봤다.

월드컵이	월드컵/NNG+이/JKS
한창이지만	한창/NNG+이/VCP+지만/EC
김	김/NNP
사장은	사장/NNG+은/JX
이날도	이날/NNG+도/JX
밀린	밀리/VV+ㄴ/ETM
주문을	주문/NNG+을/JKO
소화하느라	소화/NNG+하/XSV+느라/EC
짬짬이	짬짬이/MAG
경기를	경기/NNG+를/JKO
봤다.	보/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.213.8.2
“이번 대회는 프리킥 골이 잘 안 나오네요.

“이번	“/SS+이번/NNG
대회는	대회/NNG+는/JX
프리킥	프리킥/NNG
골이	골/NNG+이/JKS
잘	잘/MAG
안	안/MAG
나오네요.	나오/VV+네/EF+요/JX+./SF


# id : NWRW1800000028.213.8.3
축구화의 영향이 아닐까요?”

축구화의	축구화/NNG+의/JKG
영향이	영향/NNG+이/JKC
아닐까요?”	아니/VCN+ㄹ까/EF+요/JX+?/SF+”/SS


# id : NWRW1800000028.213.8.4
그의 머릿속은 온통 축구화 생각으로 꽉 차 있는 듯했다.

그의	그/NP+의/JKG
머릿속은	머릿속/NNG+은/JX
온통	온통/MAG
축구화	축구화/NNG
생각으로	생각/NNG+으로/JKB
꽉	꽉/MAG
차	차/VV+아/EC
있는	있/VX+는/ETM
듯했다.	듯/NNB+하/XSA+았/EP+다/EF+./SF


