# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.353
metadata : {}


# id : NWRW1800000029.353.1.1
[단독]金국방, 예비역 장성 600명 설득 나선다

[단독]金국방,	[/SS+단독/NNG+]/SS+金/SH+국방/NNG+,/SP
각	각/MMD
군	군/NNG
참모총장	참모/NNG+총장/NNG
등	등/NNB
일부	일부/NNG
예비역	예비역/NNG
장성을	장성/NNG+을/JKO
상대로	상대/NNG+로/JKB
국방개혁	국방/NNG+개혁/NNG
설명회와	설명회/NNG+와/JKB
간담회를	간담회/NNG+를/JKO
열었지만	열/VV+었/EP+지만/EC
이처럼	이/NP+처럼/JKB
대규모로	대/XPN+규모/NNG+로/JKB
예비역들을	예비역/NNG+들/XSN+을/JKO
초청하는	초청/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
처음이다.	처음/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.353.5.1
국방부는 이번 설명회를 위해 지난달 성우회 소속 예비역 장성 2500여 명 전원에게 김관진 국방부 장관 명의의 초청장을 보냈다.

국방부는	국방부/NNG+는/JX
이번	이번/NNG
설명회를	설명회/NNG+를/JKO
위해	위하/VV+아/EC
지난달	지난달/NNG
성우회	성우회/NNP
소속	소속/NNG
예비역	예비역/NNG
장성	장성/NNG
2500여	2500/SN+여/XSN
명	명/NNB
전원에게	전원/NNG+에게/JKB
김관진	김관진/NNP
국방부	국방부/NNG
장관	장관/NNG
명의의	명의/NNG+의/JKG
초청장을	초청장/NNG+을/JKO
보냈다.	보내/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.353.5.2
이후 최근까지 500여 명으로부터 참석하겠다는 의사를 확인했다.

이후	이후/NNG
최근까지	최근/NNG+까지/JX
500여	500/SN+여/XSN
명으로부터	명/NNB+으로부터/JKB
참석하겠다는	참석/NNG+하/XSV+겠/EP+다는/ETM
의사를	의사/NNG+를/JKO
확인했다.	확인/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.353.5.3
군 관계자는 9일 “갈수록 참석 의사를 밝혀오는 예비역이 늘어나 최종 참석 인원은 600여 명 선이 될 것으로 보인다”며 “하루에 200명가량씩 국방부 대회의실에서 설명회를 열 계획”이라고 말했다.

군	군/NNG
관계자는	관계자/NNG+는/JX
9일	9/SN+일/NNB
“갈수록	“/SS+갈수록/MAG
참석	참석/NNG
의사를	의사/NNG+를/JKO
밝혀오는	밝히/VV+어/EC+오/VX+는/ETM
예비역이	예비역/NNG+이/JKS
늘어나	늘어나/VV+아/EC
최종	최종/NNG
인원은	인원/NNG+은/JX
600여	600/SN+여/XSN
명	명/NNB
선이	선/NNG+이/JKS
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”며	보이/VV+ㄴ다/EF+”/SS+며/EC
“하루에	“/SS+하루/NNG+에/JKB
200명가량씩	200/SN+명/NNB+가량/XSN+씩/XSN
국방부	국방부/NNG
대회의실에서	대/XPN+회의실/NNG+에서/JKB
설명회를	설명회/NNG+를/JKO
열	열/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.353.6.1
이번 설명회는 국방부가 다음 달 말까지 국방개혁의 법제화를 추진하기에 앞서 전체 예비역 장성들의 여론을 묻기 위한 자리로 김 장관과 홍규덕 국방부 국방개혁실장 등이 설명할 예정이다.

이번	이번/NNG
설명회는	설명회/NNG+는/JX
국방부가	국방부/NNG+가/JKS
다음	다음/NNG
달	달/NNG
말까지	말/NNB+까지/JX
국방개혁의	국방/NNG+개혁/NNG+의/JKG
법제화를	법제/NNG+화/XSN+를/JKO
추진하기에	추진/NNG+하/XSV+기/ETN+에/JKB
앞서	앞서/VV+어/EC
전체	전체/NNG
예비역	예비역/NNG
장성들의	장성/NNG+들/XSN+의/JKG
여론을	여론/NNG+을/JKO
묻기	묻/VV+기/ETN
위한	위하/VV+ㄴ/ETM
자리로	자리/NNG+로/JKB
김	김/NNP
장관과	장관/NNG+과/JC
홍규덕	홍규덕/NNP
국방부	국방부/NNG
국방개혁실장	국방/NNG+개혁실장/NNG
등이	등/NNB+이/JKS
설명할	설명/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.353.6.2
군 관계자는 “그동안 상부지휘구조 개편을 비롯한 개혁 과제들을 반대하거나 부정적으로 평가하는 역대 장관 등 일부 예비역의 주장만 부각됐다”며 “이번 설명회를 통해 개혁에 찬성하는 예비역들의 목소리도 나올 것으로 기대한다”고 말했다.

군	군/NNG
관계자는	관계자/NNG+는/JX
“그동안	“/SS+그동안/NNG
상부지휘구조	상부/NNG+지휘/NNG+구조/NNG
개편을	개편/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
개혁	개혁/NNG
과제들을	과제/NNG+들/XSN+을/JKO
반대하거나	반대/NNG+하/XSV+거나/EC
부정적으로	부정/NNG+적/XSN+으로/JKB
평가하는	평가/NNG+하/XSV+는/ETM
역대	역대/NNG
장관	장관/NNG
등	등/NNB
일부	일부/NNG
예비역의	예비역/NNG+의/JKG
주장만	주장/NNG+만/JX
부각됐다”며	부각/NNG+되/XSV+었/EP+다/EF+”/SS+며/EC
“이번	“/SS+이번/NNG
설명회를	설명회/NNG+를/JKO
통해	통하/VV+아/EC
개혁에	개혁/NNG+에/JKB
찬성하는	찬성/NNG+하/XSV+는/ETM
예비역들의	예비역/NNG+들/XSN+의/JKG
목소리도	목소리/NNG+도/JX
나올	나오/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
기대한다”고	기대/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.353.7.1
국방부 일각에선 최근 이한호 전 공군 총장과 안병태 전 해군 총장 등 역대 해·공군 총장들이 모여 국방개혁 법제화를 저지하기로 의견을 모으는 등 예비역들의 심상찮은 움직임을 고려해 이번 설명회를 연기하거나 취소하자는 의견도 나온 것으로 알려졌다.

국방부	국방부/NNG
일각에선	일각/NNG+에서/JKB+ㄴ/JX
최근	최근/MAG
이한호	이한호/NNP
전	전/MMD
공군	공군/NNG
총장과	총장/NNG+과/JC
안병태	안병태/NNP
해군	해군/NNG
총장	총장/NNG
등	등/NNB
역대	역대/NNG
해·공군	해·공군/NNG
총장들이	총장/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
국방개혁	국방/NNG+개혁/NNG
법제화를	법제/NNG+화/XSN+를/JKO
저지하기로	저지/NNG+하/XSV+기/ETN+로/JKB
의견을	의견/NNG+을/JKO
모으는	모으/VV+는/ETM
예비역들의	예비역/NNG+들/XSN+의/JKG
심상찮은	심상하/VA+지/EC+않/VX+은/ETM
움직임을	움직임/NNG+을/JKO
고려해	고려/NNG+하/XSV+아/EC
이번	이번/NNG
설명회를	설명회/NNG+를/JKO
연기하거나	연기/NNG+하/XSV+거나/EC
취소하자는	취소/NNG+하/XSV+자는/ETM
의견도	의견/NNG+도/JX
나온	나오/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.353.7.2
국방개혁을 반대하는 일부 예비역이 설명회 분위기를 주도할 경우 오히려 개혁 추진에 부작용으로 작용할 수 있고, 김 장관을 비롯한 군 수뇌부도 곤혹스러워질 수 있다는 우려 때문이었다.

국방개혁을	국방/NNG+개혁/NNG+을/JKO
반대하는	반대/NNG+하/XSV+는/ETM
일부	일부/NNG
예비역이	예비역/NNG+이/JKS
설명회	설명회/NNG
분위기를	분위기/NNG+를/JKO
주도할	주도/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
오히려	오히려/MAG
개혁	개혁/NNG
추진에	추진/NNG+에/JKB
부작용으로	부작용/NNG+으로/JKB
작용할	작용/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있고,	있/VA+고/EC+,/SP
김	김/NNP
장관을	장관/NNG+을/JKO
비롯한	비롯하/VV+ㄴ/ETM
군	군/NNG
수뇌부도	수뇌부/NNG+도/JX
곤혹스러워질	곤혹/NNG+스럽/XSA+어/EC+지/VX+ㄹ/ETM
있다는	있/VA+다는/ETM
우려	우려/NNG
때문이었다.	때문/NNB+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.353.8.1
하지만 김 장관은 이미 참석 의사까지 확인한 설명회를 갑자기 취소할 경우 국방개혁에 대한 군 안팎의 비판이 더 커질 수 있고 6월 법제화도 물 건너갈 수 있다며 예정대로 추진할 것을 지시했다고 군 관계자는 전했다.

하지만	하지만/MAJ
김	김/NNP
장관은	장관/NNG+은/JX
이미	이미/MAG
참석	참석/NNG
의사까지	의사/NNG+까지/JX
확인한	확인/NNG+하/XSV+ㄴ/ETM
설명회를	설명회/NNG+를/JKO
갑자기	갑자기/MAG
취소할	취소/NNG+하/XSV+ㄹ/ETM
경우	경우/NNG
국방개혁에	국방/NNG+개혁/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
군	군/NNG
안팎의	안팎/NNG+의/JKG
비판이	비판/NNG+이/JKS
더	더/MAG
커질	커지/VV+ㄹ/ETM
수	수/NNB
있고	있/VA+고/EC
6월	6/SN+월/NNB
법제화도	법제/NNG+화/XSN+도/JX
물	물/NNG
건너갈	건너가/VV+ㄹ/ETM
있다며	있/VA+다며/EC
예정대로	예정/NNG+대로/JX
추진할	추진/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
지시했다고	지시/NNG+하/XSV+았/EP+다고/EC
관계자는	관계자/NNG+는/JX
전했다.	전하/VV+았/EP+다/EF+./SF


