# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.191
metadata : {}


# id : NWRW1800000048.191.1.1
재즈로 달궈지는 겨울

재즈로	재즈/NNG+로/JKB
신나는 사운드를 들려주는 12인조 제이에이치지(JHG), 3대의 퍼커션과 2대의 관악 파트가 있는 류복성 재즈올스타, 드러머 한웅원의 프로젝트팀인 한웅원 밴드, 색소포니스트 고 정성조의 아들 정중화가 이끄는 정중화의 퀸텟, 버클리음대 출신 색소폰 연주자 임달균의 팀(임달균 밴드) 등이 17~18일 공연한다.

신나는	신나/VV+는/ETM
사운드를	사운드/NNG+를/JKO
들려주는	들려주/VV+는/ETM
12인조	12/SN+인/NNG+조/NNG
제이에이치지(JHG),	제이에이치지/NNP+(/SS+JHG/SL+)/SS+,/SP
3대의	3/SN+대/NNB+의/JKG
퍼커션과	퍼커션/NNG+과/JC
2대의	2/SN+대/NNB+의/JKG
관악	관악/NNG
파트가	파트/NNG+가/JKS
있는	있/VA+는/ETM
류복성	류복성/NNP
재즈올스타,	재즈/NNG+올스타/NNG+,/SP
드러머	드러머/NNG
한웅원의	한웅원/NNP+의/JKG
프로젝트팀인	프로젝트팀/NNG+이/VCP+ㄴ/ETM
한웅원	한웅원/NNP
밴드,	밴드/NNG+,/SP
색소포니스트	색소포니스트/NNG
고	고/MMA
정성조의	정성조/NNP+의/JKG
아들	아들/NNG
정중화가	정중화/NNP+가/JKS
이끄는	이끌/VV+는/ETM
정중화의	정중화/NNP+의/JKG
퀸텟,	퀸텟/NNG+,/SP
버클리음대	버클리음대/NNP
출신	출신/NNG
색소폰	색소폰/NNG
연주자	연주자/NNG
임달균의	임달균/NNP+의/JKG
팀(임달균	팀/NNG+(/SS+임달균/NNP
밴드)	밴드/NNG+)/SS
등이	등/NNB+이/JKS
17~18일	17/SN+~/SO+18/SN+일/NNB
공연한다.	공연/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000048.191.5.3
사회는 재즈 평론가인 황덕호(17일), 남무성(18일)이 맡는다.

사회는	사회/NNG+는/JX
재즈	재즈/NNG
평론가인	평론가/NNG+이/VCP+ㄴ/ETM
황덕호(17일),	황덕호/NNP+(/SS+17/SN+일/NNB+)/SS+,/SP
남무성(18일)이	남무성/NNP+(/SS+18/SN+일/NNB+)/SS+이/JKS
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000048.191.5.4
저녁 7시30분 서울 압구정동 한국국제예술원 예홀, 문의 류복성 재즈컴퍼니, 예매 인터파크.

저녁	저녁/NNG
7시30분	7/SN+시/NNB+30/SN+분/NNB
서울	서울/NNP
압구정동	압구정동/NNP
한국국제예술원	한국국제예술원/NNP
예홀,	예홀/NNP+,/SP
문의	문의/NNG
류복성	류복성/NNP
재즈컴퍼니,	재즈컴퍼니/NNP+,/SP
예매	예매/NNG
인터파크.	인터파크/NNP+./SF


# id : NWRW1800000048.191.6.1
‘재즈 인 서울 3D 서라운드 로드쇼’는 크리스마스를 앞두고 열린다.

‘재즈	‘/SS+재즈/NNG
인	인/NNG
서울	서울/NNP
3D	3/SN+D/SL
서라운드	서라운드/NNG
로드쇼’는	로드쇼/NNG+’/SS+는/JX
크리스마스를	크리스마스/NNG+를/JKO
앞두고	앞두/VV+고/EC
열린다.	열리/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.191.6.2
라틴 재즈 밴드 ‘라 이슬라 보니타’(La Isla Bonita·아름다운 섬)는 여섯명의 연주자가 맘보, 차차차, 삼바, 볼레로 등의 리듬을 들려준다.

라틴	라틴/NNP
재즈	재즈/NNG
밴드	밴드/NNG
‘라	‘/SS+라/NNP
이슬라	이슬라/NNP
보니타’(La	보니타/NNP+’/SS+(/SS+La/SL
Isla	Isla/SL
Bonita·아름다운	Bonita/SL+·/SP+아름답/VA+ㄴ/ETM
섬)는	섬/NNG+)/SS+는/JX
여섯명의	여섯/NR+명/NNB+의/JKG
연주자가	연주자/NNG+가/JKS
맘보,	맘보/NNG+,/SP
차차차,	차차차/NNG+,/SP
삼바,	삼바/NNG+,/SP
볼레로	볼레로/NNG
등의	등/NNB+의/JKG
리듬을	리듬/NNG+을/JKO
들려준다.	들려주/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.191.6.3
재즈 색소포니스트 신현필은 재즈 듀오 아희와의 협업 공연을 선보인다.

재즈	재즈/NNG
색소포니스트	색소포니스트/NNG
신현필은	신현필/NNP+은/JX
듀오	듀오/NNG
아희와의	아희/NNP+와/JKB+의/JKG
협업	협업/NNG
공연을	공연/NNG+을/JKO
선보인다.	선보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.191.6.4
지난 11월 <운비센트>(Unwissend·무지)를 발표한 재즈 피아니스트 이한얼이 중심이 된 이한얼 트리오도 나온다.

지난	지나/VV+ㄴ/ETM
11월	11/SN+월/NNB
<운비센트>(Unwissend·무지)를	</SS+운비센트/NNP+>/SS+(/SS+Unwissend/SL+·/SP+무지/NNG+)/SS+를/JKO
발표한	발표/NNG+하/XSV+ㄴ/ETM
재즈	재즈/NNG
피아니스트	피아니스트/NNG
이한얼이	이한얼/NNP+이/JKS
중심이	중심/NNG+이/JKC
된	되/VV+ㄴ/ETM
이한얼	이한얼/NNP
트리오도	트리오/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.191.7.1
공연을 주최하는 오디오가이는 레코딩 스튜디오 운영사다.

공연을	공연/NNG+을/JKO
주최하는	주최/NNG+하/XSV+는/ETM
오디오가이는	오디오가이/NNP+는/JX
레코딩	레코딩/NNG
스튜디오	스튜디오/NNG
운영사다.	운영사/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.191.7.2
사운드 시스템에 공을 들였다.

사운드	사운드/NNG
시스템에	시스템/NNG+에/JKB
공을	공/NNG+을/JKO
들였다.	들이/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.191.7.3
공연 명에 ‘3D 서라운드 로드쇼’를 붙인 이유다.

공연	공연/NNG
명에	명/NNG+에/JKB
‘3D	‘/SS+3/SN+D/SL
서라운드	서라운드/NNG
로드쇼’를	로드쇼/NNG+’/SS+를/JKO
붙인	붙이/VV+ㄴ/ETM
이유다.	이유/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.191.7.4
오디오 제작사 오로사의 11개 스피커와 서브 우퍼 스피커를 공연장 구석구석에 배치했다.

오디오	오디오/NNG
제작사	제작사/NNG
오로사의	오로사/NNP+의/JKG
11개	11/SN+개/NNB
스피커와	스피커/NNG+와/JC
서브	서브/NNG
우퍼	우퍼/NNG
스피커를	스피커/NNG+를/JKO
공연장	공연장/NNG
구석구석에	구석구석/NNG+에/JKB
배치했다.	배치/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.191.7.5
23일 저녁 8시 서울 삼성동 섬유센터 이벤트홀, 예매 인터파크, 문의 오디오가이 (02)734-3348.

23일	23/SN+일/NNB
저녁	저녁/NNG
8시	8/SN+시/NNB
서울	서울/NNP
삼성동	삼성동/NNP
섬유센터	섬유센터/NNP
이벤트홀,	이벤트/NNG+홀/NNG+,/SP
예매	예매/NNG
인터파크,	인터파크/NNP+,/SP
문의	문의/NNG
오디오가이	오디오가이/NNP
(02)734-3348.	(/SS+02/SN+)/SS+734/SN+-/SO+3348/SN+./SF


