# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.156
metadata : {}


# id : NWRW1800000038.156.1.1
11일간 일한 前 장관 914만원… 21일 근무 새 장관은 619만원

11일간	11/SN+일/NNB+간/XSN
"장기	"/SS+장기/NNG
근속자	근속자/NNG
우대	우대/NNG
차원에서	차원/NNG+에서/JKB
오래전에	오래전/NNG+에/JKB
이런	이런/MMD
규정이	규정/NNG+이/JKS
마련된	마련/NNG+되/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알고	알/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.156.5.4
맹 장관은 2010년 3월 취임해 2년 이상 근속한 공무원에 해당돼 월급 전액을 받게 된 것이다.

맹	맹/NNP
장관은	장관/NNG+은/JX
2010년	2010/SN+년/NNB
3월	3/SN+월/NNB
취임해	취임/NNG+하/XSV+아/EC
2년	2/SN+년/NNB
이상	이상/NNG
근속한	근속/NNG+하/XSV+ㄴ/ETM
공무원에	공무원/NNG+에/JKB
해당돼	해당/NNG+되/XSV+어/EC
월급	월급/NNG
전액을	전액/NNG+을/JKO
받게	받/VV+게/EC
된	되/VV+ㄴ/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000038.156.5.5
맹 장관의 경우와 마찬가지로 이주호 교육과학기술부 장관, 김성환 외교통상부 장관, 이채필 고용노동부 장관도 11일만 근무하고 3월 월급 전액을 받는다.

맹	맹/NNP
장관의	장관/NNG+의/JKG
경우와	경우/NNG+와/JKB
마찬가지로	마찬가지/NNG+로/JKB
이주호	이주호/NNP
교육과학기술부	교육/NNG+과학/NNG+기술부/NNG
장관,	장관/NNG+,/SP
김성환	김성환/NNP
외교통상부	외교/NNG+통상부/NNG
이채필	이채필/NNP
고용노동부	고용/NNG+노동부/NNG
장관도	장관/NNG+도/JX
11일만	11/SN+일/NNB+만/JX
근무하고	근무/NNG+하/XSV+고/EC
3월	3/SN+월/NNB
월급	월급/NNG
전액을	전액/NNG+을/JKO
받는다.	받/VV+는다/EF+./SF


# id : NWRW1800000038.156.5.6
하지만 새로 임명되는 이들 부처 장관들은 21일치 월급을 받게 된다.

하지만	하지만/MAJ
새로	새로/MAG
임명되는	임명/NNG+되/XSV+는/ETM
이들	이/NP+들/XSN
부처	부처/NNG
장관들은	장관/NNG+들/XSN+은/JX
21일치	21/SN+일/NNB+치/NNB
월급을	월급/NNG+을/JKO
받게	받/VV+게/EC
된다.	되/VV+ㄴ다/EF+./SF


