# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.443
metadata : {}


# id : NWRW1800000022.443.1.1
MB, 다시 '親서민';세종시·4대강·파업대처…'보수노선'서 중심 이동 서민 관련 정책 쏟아내 내년 국정 최우선 둘 듯

MB,	MB/SL+,/SP
내년도	내년도/NNG
정부의	정부/NNG+의/JKG
국정	국정/NNG
운영과	운영/NNG+과/JC
대통령	대통령/NNG
PI(대통령	PI/SL+(/SS+대통령/NNG
이미지·Presidential	이미지/NNG+·/SP+Presidential/SL
identity)	identity/SL+)/SS
기조를	기조/NNG+를/JKO
정하는	정하/VV+는/ETM
참모회의가	참모/NNG+회의/NNG+가/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.443.8.2
중도·친서민 노선을 내년에도 유지할 것이냐가 논란이 됐다.

중도·친서민	중도/NNG+·/SP+친/XPN+서민/NNG
노선을	노선/NNG+을/JKO
내년에도	내년/NNG+에/JKB+도/JX
유지할	유지/NNG+하/XSV+ㄹ/ETM
것이냐가	것/NNB+이/VCP+냐/EF+가/JKS
논란이	논란/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.443.8.3
일부에선 친서민을 강조해봐야 국민들이 진정성을 알아주지 않는다는 여론조사 결과를 근거로 이를 재고해야 한다고 주장한 것으로 전해졌다.

일부에선	일부/NNG+에서/JKB+ㄴ/JX
친서민을	친/XPN+서민/NNG+을/JKO
강조해봐야	강조/NNG+하/XSV+아/EC+보/VX+아야/EC
국민들이	국민/NNG+들/XSN+이/JKS
진정성을	진정/NNG+성/XSN+을/JKO
알아주지	알아주/VV+지/EC
않는다는	않/VX+는다는/ETM
여론조사	여론/NNG+조사/NNG
결과를	결과/NNG+를/JKO
근거로	근거/NNG+로/JKB
이를	이/NP+를/JKO
재고해야	재고/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
주장한	주장/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
전해졌다.	전하/VV+아/EC+지/VX+었/EP+다/EF+./SF


# id : NWRW1800000022.443.8.4
하지만 중도실용은 쉽게 바뀔 수 없는 이 대통령의 국정철학이고, 지난 가을 지지율 상승도 결국 친서민 정책에 힘입은 바 크다는 의견이 다수를 이뤘다고 한다.

하지만	하지만/MAJ
중도실용은	중도/NNG+실용/NNG+은/JX
쉽게	쉽/VA+게/EC
바뀔	바뀌/VV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
이	이/NNP
대통령의	대통령/NNG+의/JKG
국정철학이고,	국정/NNG+철학/NNG+이/VCP+고/EC+,/SP
지난	지나/VV+ㄴ/ETM
가을	가을/NNG
지지율	지지/NNG+율/XSN
상승도	상승/NNG+도/JX
결국	결국/MAG
친서민	친/XPN+서민/NNG
정책에	정책/NNG+에/JKB
힘입은	힘입/VV+은/ETM
바	바/NNB
크다는	크/VA+다는/ETM
의견이	의견/NNG+이/JKS
다수를	다수/NNG+를/JKO
이뤘다고	이루/VV+었/EP+다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000022.443.9.1
최근 보수층 결집을 어느 정도 이룬 만큼 다시 '중원 공략'에 나서야 한다는 정치적 고려도 작용했다.

최근	최근/NNG
보수층	보수/NNG+층/XSN
결집을	결집/NNG+을/JKO
어느	어느/MMD
정도	정도/NNG
이룬	이루/VV+ㄴ/ETM
만큼	만큼/NNB
다시	다시/MAG
'중원	'/SS+중원/NNG
공략'에	공략/NNG+'/SS+에/JKB
나서야	나서/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
정치적	정치/NNG+적/XSN
고려도	고려/NNG+도/JX
작용했다.	작용/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.443.9.2
또 경기 회복기에 생길 수 있는 사회적 갈등 문제도 친서민 카드를 다시 집어든 배경이 됐다.

또	또/MAG
경기	경기/NNG
회복기에	회복기/NNG+에/JKB
생길	생기/VV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
사회적	사회/NNG+적/XSN
갈등	갈등/NNG
문제도	문제/NNG+도/JX
친서민	친/XPN+서민/NNG
카드를	카드/NNG+를/JKO
다시	다시/MAG
집어든	집/VV+어/EC+들/VV+ㄴ/ETM
배경이	배경/NNG+이/JKC
됐다.	되/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.443.10.1
"경제가 회복되면 빈부·고용격차 등이 눈에 보이기 시작하고 그 경우 사회 양극화 문제가 다시 대두될 가능성이 크다"(청와대 관계자)는 것이다.

"경제가	"/SS+경제/NNG+가/JKS
회복되면	회복/NNG+되/XSV+면/EC
빈부·고용격차	빈부/NNG+·/SP+고용/NNG+격차/NNG
등이	등/NNB+이/JKS
눈에	눈/NNG+에/JKB
보이기	보이/VV+기/ETN
시작하고	시작/NNG+하/XSV+고/EC
그	그/MMD
경우	경우/NNG
사회	사회/NNG
양극화	양극/NNG+화/XSN
문제가	문제/NNG+가/JKS
다시	다시/MAG
대두될	대두/NNG+되/XSV+ㄹ/ETM
가능성이	가능/NNG+성/XSN+이/JKS
크다"(청와대	크/VA+다/EF+"/SS+(/SS+청와대/NNP
관계자)는	관계자/NNG+)/SS+는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.443.10.2
이 대통령이 이날 "기업하는 사람들은 위기 이전 정도로 현재 (경기 회복을) 체감을 하는 것 같다. 그러나 서민들은 아직 (체감을) 못한다"고 한 것도 이런 맥락에서 나왔다는 것이다.

이	이/NNP
대통령이	대통령/NNG+이/JKS
이날	이날/NNG
"기업하는	"/SS+기업/NNG+하/XSV+는/ETM
사람들은	사람/NNG+들/XSN+은/JX
위기	위기/NNG
이전	이전/NNG
정도로	정도/NNG+로/JKB
현재	현재/MAG
(경기	(/SS+경기/NNG
회복을)	회복/NNG+을/JKO+)/SS
체감을	체감/NNG+을/JKO
하는	하/VV+는/ETM
것	것/NNB
같다.	같/VA+다/EF+./SF
그러나	그러나/MAJ
서민들은	서민/NNG+들/XSN+은/JX
아직	아직/MAG
(체감을)	(/SS+체감/NNG+을/JKO+)/SS
못한다"고	못/MAG+하/VV+ㄴ다/EF+"/SS+고/JKQ
한	하/VV+ㄴ/ETM
것도	것/NNB+도/JX
이런	이런/MMD
맥락에서	맥락/NNG+에서/JKB
나왔다는	나오/VV+았/EP+다는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.443.10.3
이 대통령은 "서민들도 내년 하반기쯤 되면 (경기회복 기운을) 체감하지 않겠나 본다"고 했다.

이	이/NNP
대통령은	대통령/NNG+은/JX
"서민들도	"/SS+서민/NNG+들/XSN+도/JX
내년	내년/NNG
하반기쯤	하반기/NNG+쯤/XSN
되면	되/VV+면/EC
(경기회복	(/SS+경기/NNG+회복/NNG
기운을)	기운/NNG+을/JKO+)/SS
체감하지	체감/NNG+하/XSV+지/EC
않겠나	않/VX+겠/EP+나/EF
본다"고	보/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


