# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.239
metadata : {}


# id : NWRW1800000054.239.1.1
입장 바꾼 최경환 "내달 5일 검찰 출석"

입장	입장/NNG
1억원을	1/SN+억/NR+원/NNB+을/JKO
건네받은	건네받/VV+은/ETM
혐의를	혐의/NNG+를/JKO
받고	받/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.239.4.1
검찰은 또 이날 이명박 정부 시절 군(軍) 사이버사령부가 정치와 선거에 개입했다는 의혹과 관련해 김태효 전 청와대 대외전략기획관 사무실과 자택을 압수수색했다.

검찰은	검찰/NNG+은/JX
또	또/MAG
이날	이날/NNG
이명박	이명박/NNP
정부	정부/NNG
시절	시절/NNG
군(軍)	군/NNG+(/SS+軍/SH+)/SS
사이버사령부가	사이버/NNG+사령부/NNG+가/JKS
정치와	정치/NNG+와/JC
선거에	선거/NNG+에/JKB
개입했다는	개입/NNG+하/XSV+았/EP+다는/ETM
의혹과	의혹/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
김태효	김태효/NNP
전	전/MMD
청와대	청와대/NNP
대외전략기획관	대외/NNG+전략/NNG+기획관/NNG
사무실과	사무실/NNG+과/JC
자택을	자택/NNG+을/JKO
압수수색했다.	압수/NNG+수색/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.239.4.2
김 전 기획관은 2008년부터 2012년까지 청와대 대외전략비서관, 대외전략기획관을 지냈다.

김	김/NNP
전	전/MMD
기획관은	기획관/NNG+은/JX
2008년부터	2008/SN+년/NNB+부터/JX
2012년까지	2012/SN+년/NNB+까지/JX
청와대	청와대/NNP
대외전략비서관,	대외/NNG+전략/NNG+비서관/NNG+,/SP
대외전략기획관을	대외/NNG+전략/NNG+기획관/NNG+을/JKO
지냈다.	지내/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.239.5.1
검찰은 그가 2012년 총선과 대선을 앞두고 사이버사에 당시 여권을 지지하고 야권을 비난하는 활동을 하라고 지시한 혐의가 있다고 말했다.

검찰은	검찰/NNG+은/JX
그가	그/NP+가/JKS
2012년	2012/SN+년/NNB
총선과	총선/NNG+과/JC
대선을	대선/NNG+을/JKO
앞두고	앞두/VV+고/EC
사이버사에	사이버사/NNG+에/JKB
당시	당시/NNG
여권을	여권/NNG+을/JKO
지지하고	지지/NNG+하/XSV+고/EC
야권을	야권/NNG+을/JKO
비난하는	비난/NNG+하/XSV+는/ETM
활동을	활동/NNG+을/JKO
하라고	하/VV+라고/EC
지시한	지시/NNG+하/XSV+ㄴ/ETM
혐의가	혐의/NNG+가/JKS
있다고	있/VA+다고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.239.5.2
검찰은 조만간 김 전 기획관을 소환 조사할 예정이다.

검찰은	검찰/NNG+은/JX
조만간	조만간/MAG
김	김/NNP
전	전/MMD
기획관을	기획관/NNG+을/JKO
소환	소환/NNG
조사할	조사/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.239.5.3
이 조사가 마무리되면 이명박 전 대통령 개입 여부도 수사한다는 방침이다.

이	이/MMD
조사가	조사/NNG+가/JKS
마무리되면	마무리/NNG+되/XSV+면/EC
이명박	이명박/NNP
전	전/MMD
대통령	대통령/NNG
개입	개입/NNG
여부도	여부/NNG+도/JX
수사한다는	수사/NNG+하/XSV+ㄴ다는/ETM
방침이다.	방침/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.239.5.4
검찰은 김 전 기획관이 국방부와 이 전 대통령 사이에서 연결 고리 역할을 한 것으로 보고 있다.

검찰은	검찰/NNG+은/JX
김	김/NNP
전	전/MMD
기획관이	기획관/NNG+이/JKS
국방부와	국방부/NNG+와/JC
이	이/NNP
대통령	대통령/NNG
사이에서	사이/NNG+에서/JKB
연결	연결/NNG
고리	고리/NNG
역할을	역할/NNG+을/JKO
한	하/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보고	보/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.239.6.1
검찰은 2014년 6월 지방선거 공천 대가로 수억원을 받은 혐의로 자유한국당 이우현 의원도 수사하고 있다.

검찰은	검찰/NNG+은/JX
2014년	2014/SN+년/NNB
6월	6/SN+월/NNB
지방선거	지방/NNG+선거/NNG
공천	공천/NNG
대가로	대가/NNG+로/JKB
수억원을	수억/NR+원/NNB+을/JKO
받은	받/VV+은/ETM
혐의로	혐의/NNG+로/JKB
자유한국당	자유한국당/NNP
이우현	이우현/NNP
의원도	의원/NNG+도/JX
수사하고	수사/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.239.6.2
검찰은 이날 이 의원에게 돈을 건넨 혐의로 공모 전 남양주시의회 의장에 대해 구속영장을 청구했다.

검찰은	검찰/NNG+은/JX
이날	이날/NNG
이	이/NNP
의원에게	의원/NNG+에게/JKB
돈을	돈/NNG+을/JKO
건넨	건네/VV+ㄴ/ETM
혐의로	혐의/NNG+로/JKB
공모	공모/NNG
전	전/MMD
남양주시의회	남양주시의회/NNP
의장에	의장/NNG+에/JKB
대해	대하/VV+아/EC
구속영장을	구속/NNG+영장/NNG+을/JKO
청구했다.	청구/NNG+하/XSV+았/EP+다/EF+./SF


