# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.357
metadata : {}


# id : NWRW1800000053.357.1.1
“국정원, 2011년 10·26재보궐 선거 직후 野후보-지지자 엄정 처벌 보고서 작성”

“국정원,	“/SS+국정원/NNG+,/SP
원 전 원장 취임 이후 국정원 내 심리전단에서 2009년 5월∼2012년 12월 알파(α)팀 등 민간인으로 구성된 ‘사이버 외곽팀’을 운영한 사실도 확인됐다.

원	원/NNP
전	전/MMD
원장	원장/NNG
취임	취임/NNG
이후	이후/NNG
국정원	국정원/NNG
내	내/NNB
심리전단에서	심리전단/NNG+에서/JKB
2009년	2009/SN+년/NNB
5월∼2012년	5/SN+월/NNB+∼/SO+2012/SN+년/NNB
12월	12/SN+월/NNB
알파(α)팀	알파/NNG+(/SS+α/SW+)/SS+팀/NNG
등	등/NNB
민간인으로	민간인/NNG+으로/JKB
구성된	구성/NNG+되/XSV+ㄴ/ETM
‘사이버	‘/SS+사이버/NNG
외곽팀’을	외곽/NNG+팀/NNG+’/SS+을/JKO
운영한	운영/NNG+하/XSV+ㄴ/ETM
사실도	사실/NNG+도/JX
확인됐다.	확인/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.357.7.2
이들은 네이버 등 4대 포털 사이트와 트위터에 친정부 성향의 글을 올리는 작업 등을 했다.

이들은	이/NP+들/XSN+은/JX
네이버	네이버/NNP
등	등/NNB
4대	4/SN+대/NNG
포털	포털/NNG
사이트와	사이트/NNG+와/JKB
트위터에	트위터/NNP+에/JKB
친정부	친/XPN+정부/NNG
성향의	성향/NNG+의/JKG
글을	글/NNG+을/JKO
올리는	올리/VV+는/ETM
작업	작업/NNG
등을	등/NNB+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.357.7.3
2009년 5월 포털 9개 팀으로 시작해 2011년 8월에는 24개 팀으로 확대됐다.

2009년	2009/SN+년/NNB
5월	5/SN+월/NNB
포털	포털/NNG
9개	9/SN+개/NNB
팀으로	팀/NNG+으로/JKB
시작해	시작/NNG+하/XSV+아/EC
2011년	2011/SN+년/NNB
8월에는	8/SN+월/NNB+에/JKB+는/JX
24개	24/SN+개/NNB
확대됐다.	확대/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.357.7.4
2011년 3월에는 트위터 4개 팀이 개설됐고, 2012년 4월 6개 팀으로 늘어 외곽팀은 총 30개 팀으로 확대됐다.

2011년	2011/SN+년/NNB
3월에는	3/SN+월/NNB+에/JKB+는/JX
트위터	트위터/NNP
4개	4/SN+개/NNB
팀이	팀/NNG+이/JKS
개설됐고,	개설/NNG+되/XSV+었/EP+고/EC+,/SP
2012년	2012/SN+년/NNB
4월	4/SN+월/NNB
6개	6/SN+개/NNB
팀으로	팀/NNG+으로/JKB
늘어	늘/VV+어/EC
외곽팀은	외곽/NNG+팀/NNG+은/JX
총	총/MMA
30개	30/SN+개/NNB
확대됐다.	확대/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.357.7.5
팀원들은 대부분 별도 직업을 가진 예비역 군인, 회사원, 주부, 학생, 자영업자 등으로 보수·친여 성향이 많았고 개인 자유 시간에 활동한 것으로 파악됐다.

팀원들은	팀원/NNG+들/XSN+은/JX
대부분	대/XPN+부분/NNG
별도	별도/NNG
직업을	직업/NNG+을/JKO
가진	가지/VV+ㄴ/ETM
예비역	예비역/NNG
군인,	군인/NNG+,/SP
회사원,	회사원/NNG+,/SP
주부,	주부/NNG+,/SP
학생,	학생/NNG+,/SP
자영업자	자영업자/NNG
등으로	등/NNB+으로/JKB
보수·친여	보수/NNG+·/SP+친여/NNG
성향이	성향/NNG+이/JKS
많았고	많/VA+았/EP+고/EC
개인	개인/NNG
자유	자유/NNG
시간에	시간/NNG+에/JKB
활동한	활동/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
파악됐다.	파악/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.357.8.1
2009년 5월∼2012년 3월 원 전 원장의 발언 중 삭제된 채 검찰에 제출된 녹취록 36곳 중 18곳이 복구됐다.

2009년	2009/SN+년/NNB
5월∼2012년	5/SN+월/NNB+∼/SO+2012/SN+년/NNB
3월	3/SN+월/NNB
원	원/NNP
전	전/MMD
원장의	원장/NNG+의/JKG
발언	발언/NNG
중	중/NNB
삭제된	삭제/NNG+되/XSV+ㄴ/ETM
채	채/NNB
검찰에	검찰/NNG+에/JKB
제출된	제출/NNG+되/XSV+ㄴ/ETM
녹취록	녹취록/NNG
36곳	36/SN+곳/NNG
18곳이	18/SN+곳/NNG+이/JKS
복구됐다.	복구/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.357.8.2
복구된 내용은 보수단체 지원, 언론보도 통제 등이다.

복구된	복구/NNG+되/XSV+ㄴ/ETM
내용은	내용/NNG+은/JX
보수단체	보수/NNG+단체/NNG
지원,	지원/NNG+,/SP
언론보도	언론/NNG+보도/NNG
통제	통제/NNG
등이다.	등/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000053.357.9.1
정보당국 관계자는 “(국정원) 댓글 작업에 사용된 아이디가 현재 파악된 것만 3000개”라며 “다만 한 사람이 여러 아이디를 썼을 가능성이 있어 가담자 수는 그보다 적을 것”이라고 말했다.

정보당국	정보/NNG+당국/NNG
관계자는	관계자/NNG+는/JX
“(국정원)	“/SS+(/SS+국정원/NNG+)/SS
댓글	댓글/NNG
작업에	작업/NNG+에/JKB
사용된	사용/NNG+되/XSV+ㄴ/ETM
아이디가	아이디/NNG+가/JKS
현재	현재/MAG
파악된	파악/NNG+되/XSV+ㄴ/ETM
것만	것/NNB+만/JX
3000개”라며	3000/SN+개/NNB+”/SS+이/VCP+라며/EC
“다만	“/SS+다만/MAG
한	한/MMN
사람이	사람/NNG+이/JKS
여러	여러/MMN
아이디를	아이디/NNG+를/JKO
썼을	쓰/VV+었/EP+을/ETM
가능성이	가능/NNG+성/XSN+이/JKS
있어	있/VA+어/EC
가담자	가담자/NNG
수는	수/NNG+는/JX
그보다	그/NP+보다/JKB
적을	적/VA+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


