# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.9
metadata : {}


# id : NWRW1800000052.9.1.1
문닫는 은행지점 터에 ‘뉴스테이’ 공급

문닫는	문/NNG+닫/VV+는/ETM
관수동과	관수동/NNP+과/JC
화양동	화양동/NNP
11개	11/SN+개/NNB
2516채를	2516/SN+채/NNB+를/JKO
착공한다.	착공/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.9.6.2
국토부와 케이이비하나은행은 2018년 이후에도 4천채 이상의 기업 임대주택을 공급할 계획이다.

국토부와	국토부/NNG+와/JC
케이이비하나은행은	케이이비하나은행/NNP+은/JX
2018년	2018/SN+년/NNB
이후에도	이후/NNG+에/JKB+도/JX
4천채	4/SN+천/NR+채/NNB
이상의	이상/NNG+의/JKG
기업	기업/NNG
임대주택을	임대/NNG+주택/NNG+을/JKO
공급할	공급/NNG+하/XSV+ㄹ/ETM
계획이다.	계획/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.9.6.3
현재 국토부와 케이이비하나은행은 부산과 대구의 케이이비하나은행 지점 터를 활용해 719채의 기업 임대주택을 공급하는 사업을 진행 중이다.

현재	현재/MAG
국토부와	국토부/NNG+와/JC
케이이비하나은행은	케이이비하나은행/NNP+은/JX
부산과	부산/NNP+과/JC
대구의	대구/NNP+의/JKG
케이이비하나은행	케이이비하나은행/NNP
지점	지점/NNG
터를	터/NNG+를/JKO
활용해	활용/NNG+하/XSV+아/EC
719채의	719/SN+채/NNB+의/JKG
기업	기업/NNG
임대주택을	임대/NNG+주택/NNG+을/JKO
공급하는	공급/NNG+하/XSV+는/ETM
사업을	사업/NNG+을/JKO
진행	진행/NNG
중이다.	중/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.9.7.1
이번 협약은 잇따른 은행 인수로 국내 최대 규모로 성장한 케이이비하나은행에 또다른 기회가 될 것으로 보인다.

이번	이번/NNG
협약은	협약/NNG+은/JX
잇따른	잇따르/VV+ㄴ/ETM
은행	은행/NNG
인수로	인수/NNG+로/JKB
국내	국내/NNG
최대	최대/NNG
규모로	규모/NNG+로/JKB
성장한	성장/NNG+하/XSV+ㄴ/ETM
케이이비하나은행에	케이이비하나은행/NNP+에/JKB
또다른	또/MAG+다른/MMD
기회가	기회/NNG+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.9.7.2
케이이비하나은행은 외환은행을 인수하면서 불필요하게 된 지점들을 팔아 자본을 확보하는 동시에 정부가 주도해 비교적 안정적인 기업 임대주택 사업에도 투자할 수 있게 돼서다.

케이이비하나은행은	케이이비하나은행/NNP+은/JX
외환은행을	외환은행/NNP+을/JKO
인수하면서	인수/NNG+하/XSV+면서/EC
불필요하게	불/XPN+필요/NNG+하/XSA+게/EC
된	되/VV+ㄴ/ETM
지점들을	지점/NNG+들/XSN+을/JKO
팔아	팔/VV+아/EC
자본을	자본/NNG+을/JKO
확보하는	확보/NNG+하/XSV+는/ETM
동시에	동시/NNG+에/JKB
정부가	정부/NNG+가/JKS
주도해	주도/NNG+하/XSV+아/EC
비교적	비교/NNG+적/XSN
안정적인	안정/NNG+적/XSN+이/VCP+ㄴ/ETM
기업	기업/NNG
임대주택	임대/NNG+주택/NNG
사업에도	사업/NNG+에/JKB+도/JX
투자할	투자/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있게	있/VA+게/EC
돼서다.	되/VV+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000052.9.7.3
앞서 케이이비하나은행은 2014년 7월 ‘에이치엔(HN) 주택임대관리’라는 회사를 설립해 경기 성남과 남양주에서 임대주택 개발사업에 진출했다.

앞서	앞서/MAG
케이이비하나은행은	케이이비하나은행/NNP+은/JX
2014년	2014/SN+년/NNB
7월	7/SN+월/NNB
‘에이치엔(HN)	‘/SS+에이치엔/NNP+(/SS+HN/SL+)/SS
주택임대관리’라는	주택/NNG+임대/NNG+관리/NNG+’/SS+이/VCP+라는/ETM
회사를	회사/NNG+를/JKO
설립해	설립/NNG+하/XSV+아/EC
경기	경기/NNP
성남과	성남/NNP+과/JC
남양주에서	남양주/NNP+에서/JKB
임대주택	임대/NNG+주택/NNG
개발사업에	개발/NNG+사업/NNG+에/JKB
진출했다.	진출/NNG+하/XSV+았/EP+다/EF+./SF


