# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000053.172
metadata : {}


# id : NWRW1800000053.172.1.1
출입문쪽 불길에 아이들 갇혔는데… 아무도 도와주지 않았다

출입문쪽	출입문/NNG+쪽/NNB
발생한	발생/NNG+하/XSV+ㄴ/ETM
지	지/NNB
12시간이	12/SN+시간/NNB+이/JKS
넘게	넘/VV+게/EC
지났지만	지나/VV+았/EP+지만/EC
사고	사고/NNG
원인	원인/NNG
조사를	조사/NNG+를/JKO
위한	위하/VV+ㄴ/ETM
현장	현장/NNG
감식	감식/NNG
등	등/NNB
때문에	때문/NNB+에/JKB
접근은	접근/NNG+은/JX
엄격히	엄격히/MAG
통제되고	통제/NNG+되/XSV+고/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.172.3.3
멀리 보이는 터널 내부에 불빛이 밝혀져 있었다.

멀리	멀리/MAG
보이는	보이/VV+는/ETM
터널	터널/NNG
내부에	내부/NNG+에/JKB
불빛이	불빛/NNG+이/JKS
밝혀져	밝혀지/VV+어/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000053.172.4.1
현장 통제를 맡고 있는 공안 관계자는 시신은 모두 시내의 모 병원으로 옮겨졌으며 유일하게 생존한 중국인 인솔 교사는 병원에서 긴급 수술을 받았다고 전했다.

현장	현장/NNG
통제를	통제/NNG+를/JKO
맡고	맡/VV+고/EC
있는	있/VX+는/ETM
공안	공안/NNG
관계자는	관계자/NNG+는/JX
시신은	시신/NNG+은/JX
모두	모두/MAG
시내의	시내/NNG+의/JKG
모	모/MMD
병원으로	병원/NNG+으로/JKB
옮겨졌으며	옮기/VV+어/EC+지/VX+었/EP+으며/EC
유일하게	유일/NNG+하/XSA+게/EC
생존한	생존/NNG+하/XSV+ㄴ/ETM
중국인	중국인/NNG
인솔	인솔/NNG
교사는	교사/NNG+는/JX
병원에서	병원/NNG+에서/JKB
긴급	긴급/NNG
수술을	수술/NNG+을/JKO
받았다고	받/VV+았/EP+다고/EC
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.172.4.2
주칭다오(靑島) 한국총영사관 상승만 부총영사는 “칭다오 시와 경찰 당국은 수습한 아이들 시신의 유전자(DNA) 검사를 통해 신원 확인 작업을 벌이고 있다”고 말했다.

주칭다오(靑島)	주칭다오/NNG+(/SS+靑島/SH+)/SS
한국총영사관	한국총영사관/NNP
상승만	상승만/NNP
부총영사는	부총영사/NNG+는/JX
“칭다오	“/SS+칭다오/NNP
시와	시/NNG+와/JC
경찰	경찰/NNG
당국은	당국/NNG+은/JX
수습한	수습/NNG+하/XSV+ㄴ/ETM
아이들	아이/NNG+들/XSN
시신의	시신/NNG+의/JKG
유전자(DNA)	유전자/NNG+(/SS+DNA/SL+)/SS
검사를	검사/NNG+를/JKO
통해	통하/VV+아/EC
신원	신원/NNG
확인	확인/NNG
작업을	작업/NNG+을/JKO
벌이고	벌이/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.172.5.1
주중 한국대사관과 중국 매체 등에 따르면 이날 오전 9시경 3∼6세의 원생 11명과 교사 1명을 태우고 학교로 가던 통학버스가 타오자쾅 터널에 진입해 300여 m를 가다 앞에 가던 쓰레기 운반 차량을 들이받은 뒤 화염에 휩싸였다.

주중	주중/NNG
한국대사관과	한국대사관/NNP+과/JC
중국	중국/NNP
매체	매체/NNG
등에	등/NNB+에/JKB
따르면	따르/VV+면/EC
이날	이날/NNG
오전	오전/NNG
9시경	9/SN+시/NNB+경/XSN
3∼6세의	3/SN+∼/SO+6/SN+세/NNB+의/JKG
원생	원생/NNG
11명과	11/SN+명/NNB+과/JC
교사	교사/NNG
1명을	1/SN+명/NNB+을/JKO
태우고	태우/VV+고/EC
학교로	학교/NNG+로/JKB
가던	가/VV+던/ETM
통학버스가	통학/NNG+버스/NNG+가/JKS
타오자쾅	타오자쾅/NNP
터널에	터널/NNG+에/JKB
진입해	진입/NNG+하/XSV+아/EC
300여	300/SN+여/XSN
m를	m/SW+를/JKO
가다	가/VV+다/EC
앞에	앞/NNG+에/JKB
쓰레기	쓰레기/NNG
운반	운반/NNG
차량을	차량/NNG+을/JKO
들이받은	들이받/VV+은/ETM
뒤	뒤/NNG
화염에	화염/NNG+에/JKB
휩싸였다.	휩싸이/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.172.5.2
추돌 직후 버스 앞쪽의 출입문 근처에서 불길이 치솟아 어린이들과 교사, 운전사가 버스에 갇힌 것으로 알려졌다.

추돌	추돌/NNG
직후	직후/NNG
버스	버스/NNG
앞쪽의	앞쪽/NNG+의/JKG
출입문	출입문/NNG
근처에서	근처/NNG+에서/JKB
불길이	불길/NNG+이/JKS
치솟아	치솟/VV+아/EC
어린이들과	어린이/NNG+들/XSN+과/JKB
교사,	교사/NNG+,/SP
운전사가	운전사/NNG+가/JKS
버스에	버스/NNG+에/JKB
갇힌	갇히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.172.6.1
소방차가 현장에 도착해 진화 작업을 시작했을 땐 이미 사고 발생 10여 분이 지난 뒤였다.

소방차가	소방차/NNG+가/JKS
현장에	현장/NNG+에/JKB
도착해	도착/NNG+하/XSV+아/EC
진화	진화/NNG
작업을	작업/NNG+을/JKO
시작했을	시작/NNG+하/XSV+았/EP+을/ETM
땐	때/NNG+ㄴ/JX
이미	이미/MAG
사고	사고/NNG
발생	발생/NNG
10여	10/SN+여/XSN
분이	분/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
뒤였다.	뒤/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.172.6.2
사고 27분 만에 불길은 잡혔지만 생명을 구하기에는 너무 늦은 상황이었다.

사고	사고/NNG
27분	27/SN+분/NNB
만에	만/NNB+에/JKB
불길은	불길/NNG+은/JX
잡혔지만	잡히/VV+었/EP+지만/EC
생명을	생명/NNG+을/JKO
구하기에는	구하/VV+기/ETN+에/JKB+는/JX
너무	너무/MAG
늦은	늦/VA+은/ETM
상황이었다.	상황/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.172.6.3
칭다오 총영사관 관계자는 “운전사는 버스 중간 통로에서 발견됐다. 밖으로 나가는 탈출로를 만들려다가 연기에 질식해 숨진 것으로 보인다”고 말했다.

칭다오	칭다오/NNP
총영사관	총영사관/NNG
관계자는	관계자/NNG+는/JX
“운전사는	“/SS+운전사/NNG+는/JX
버스	버스/NNG
중간	중간/NNG
통로에서	통로/NNG+에서/JKB
발견됐다.	발견/NNG+되/XSV+었/EP+다/EF+./SF
밖으로	밖/NNG+으로/JKB
나가는	나가/VV+는/ETM
탈출로를	탈출로/NNG+를/JKO
만들려다가	만들/VV+려다가/EC
연기에	연기/NNG+에/JKB
질식해	질식/NNG+하/XSV+아/EC
숨진	숨지/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.172.7.1
포털 펑황왕(鳳凰網)과 웨이보(微博·중국판 트위터)에는 사고 당시 주변 차량들이 사고 장면을 촬영하고 진화를 돕지 않았다는 비판이 제기됐다.

포털	포털/NNG
펑황왕(鳳凰網)과	펑황왕/NNP+(/SS+鳳凰網/SH+)/SS+과/JC
웨이보(微博·중국판	웨이보/NNP+(/SS+微博/SH+·/SP+중국판/NNG
트위터)에는	트위터/NNP+)/SS+에/JKB+는/JX
사고	사고/NNG
당시	당시/NNG
주변	주변/NNG
차량들이	차량/NNG+들/XSN+이/JKS
장면을	장면/NNG+을/JKO
촬영하고	촬영/NNG+하/XSV+고/EC
진화를	진화/NNG+를/JKO
돕지	돕/VV+지/EC
않았다는	않/VX+았/EP+다는/ETM
비판이	비판/NNG+이/JKS
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000053.172.7.2
펑황왕은 “버스에 큰불이 났지만 주변 차들이 멈추지 않고 통과했다”고 전했다.

펑황왕은	펑황왕/NNP+은/JX
“버스에	“/SS+버스/NNG+에/JKB
큰불이	큰불/NNG+이/JKS
났지만	나/VV+았/EP+지만/EC
주변	주변/NNG
차들이	차/NNG+들/XSN+이/JKS
멈추지	멈추/VV+지/EC
않고	않/VX+고/EC
통과했다”고	통과/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.172.8.1
사고 현장 사진을 본 한국 전문가들은 버스 출입문 앞쪽이 심하게 탄 것에 주목했다.

사고	사고/NNG
현장	현장/NNG
사진을	사진/NNG+을/JKO
본	보/VV+ㄴ/ETM
한국	한국/NNP
전문가들은	전문가/NNG+들/XSN+은/JX
버스	버스/NNG
출입문	출입문/NNG
앞쪽이	앞쪽/NNG+이/JKS
심하게	심하/VA+게/EC
탄	타/VV+ㄴ/ETM
것에	것/NNB+에/JKB
주목했다.	주목/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.172.8.2
‘앞차와의 충돌로 인한 마찰’과 이어진 ‘연료탱크 폭발’이 사고를 키운 것으로 보인다.

‘앞차와의	‘/SS+앞차/NNG+와/JKB+의/JKG
충돌로	충돌/NNG+로/JKB
인한	인/NNG+하/XSV+ㄴ/ETM
마찰’과	마찰/NNG+’/SS+과/JC
이어진	이어지/VV+ㄴ/ETM
‘연료탱크	‘/SS+연료/NNG+탱크/NNG
폭발’이	폭발/NNG+’/SS+이/JKS
사고를	사고/NNG+를/JKO
키운	키우/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000053.172.8.3
김필수 대림대 자동차학과 교수는 “차량 앞쪽에 있었을 것으로 추정되는 연료탱크가 폭발하며 앞쪽 출입문이 막혔고, 버스 구조상 다른 비상구가 없어 아이들이 탈출하지 못했을 것”이라고 말했다.

김필수	김필수/NNP
대림대	대림대/NNP
자동차학과	자동차학과/NNG
교수는	교수/NNG+는/JX
“차량	“/SS+차량/NNG
앞쪽에	앞쪽/NNG+에/JKB
있었을	있/VV+었/EP+을/ETM
것으로	것/NNB+으로/JKB
추정되는	추정/NNG+되/XSV+는/ETM
연료탱크가	연료/NNG+탱크/NNG+가/JKS
폭발하며	폭발/NNG+하/XSV+며/EC
앞쪽	앞쪽/NNG
출입문이	출입문/NNG+이/JKS
막혔고,	막히/VV+었/EP+고/EC+,/SP
버스	버스/NNG
구조상	구조/NNG+상/XSN
다른	다른/MMD
비상구가	비상구/NNG+가/JKS
없어	없/VA+어/EC
아이들이	아이/NNG+들/XSN+이/JKS
탈출하지	탈출/NNG+하/XSV+지/EC
못했을	못하/VX+았/EP+을/ETM
것”이라고	것/NNB+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000053.172.9.1
웨이하이 시 정부에 따르면 숨진 유치원생 11명은 모두 ‘웨이하이 중세(中世)한국국제학교’ 부설 유치원 소속으로 평소처럼 40여 분 거리의 유치원으로 가던 중 참변을 당했다.

웨이하이	웨이하이/NNP
시	시/NNG
정부에	정부/NNG+에/JKB
따르면	따르/VV+면/EC
숨진	숨지/VV+ㄴ/ETM
유치원생	유치원/NNG+생/XSN
11명은	11/SN+명/NNB+은/JX
모두	모두/MAG
‘웨이하이	‘/SS+웨이하이/NNP
중세(中世)한국국제학교’	중세/NNP+(/SS+中世/SH+)/SS+한국국제학교/NNP+’/SS
부설	부설/NNG
유치원	유치원/NNG
소속으로	소속/NNG+으로/JKB
평소처럼	평소/NNG+처럼/JKB
40여	40/SN+여/XSN
분	분/NNB
거리의	거리/NNG+의/JKG
유치원으로	유치원/NNG+으로/JKB
가던	가/VV+던/ETM
중	중/NNB
참변을	참변/NNG+을/JKO
당했다.	당하/VV+았/EP+다/EF+./SF


# id : NWRW1800000053.172.9.2
10명이 한국 학생, 1명은 중국 학생이고, 한국 학생 가운데 5명은 이중 국적자인 것으로 알려졌다.

10명이	10/SN+명/NNB+이/JKS
한국	한국/NNP
학생,	학생/NNG+,/SP
1명은	1/SN+명/NNB+은/JX
중국	중국/NNP
학생이고,	학생/NNG+이/VCP+고/EC+,/SP
학생	학생/NNG
가운데	가운데/NNG
5명은	5/SN+명/NNB+은/JX
이중	이중/NNG
국적자인	국적자/NNG+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.172.9.3
숨진 아이들은 사흘 뒤인 12일 웨이하이 시 현지 뽀로로 테마파크로 단체 봄소풍을 갈 예정이었다.

숨진	숨지/VV+ㄴ/ETM
아이들은	아이/NNG+들/XSN+은/JX
사흘	사흘/NNG
뒤인	뒤/NNG+이/VCP+ㄴ/ETM
12일	12/SN+일/NNB
웨이하이	웨이하이/NNP
시	시/NNG
현지	현지/NNG
뽀로로	뽀로로/NNP
테마파크로	테마파크/NNG+로/JKB
단체	단체/NNG
봄소풍을	봄/NNG+소풍/NNG+을/JKO
갈	가/VV+ㄹ/ETM
예정이었다.	예정/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000053.172.9.4
2007년 설립된 이 학교는 한국어 영어 중국어를 모두 배울 수 있어 현지 주재원 자녀뿐 아니라 한국에서 혼자 유학 온 학생들도 상당수 재학 중인 것으로 알려졌다.

2007년	2007/SN+년/NNB
설립된	설립/NNG+되/XSV+ㄴ/ETM
이	이/MMD
학교는	학교/NNG+는/JX
한국어	한국어/NNP
영어	영어/NNP
중국어를	중국어/NNP+를/JKO
모두	모두/MAG
배울	배우/VV+ㄹ/ETM
수	수/NNB
있어	있/VA+어/EC
현지	현지/NNG
주재원	주재원/NNG
자녀뿐	자녀/NNG+뿐/JX
아니라	아니/VCN+라/EC
한국에서	한국/NNP+에서/JKB
혼자	혼자/MAG
유학	유학/NNG
온	오/VV+ㄴ/ETM
학생들도	학생/NNG+들/XSN+도/JX
상당수	상당수/NNG
재학	재학/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000053.172.10.1
주칭다오 한국총영사관은 시내 창웨이(長威) 호텔에 사고대책본부를 차리고 이수존 총영사 등 8명을 현장에 파견해 사고 수습 및 장례 절차 등에 대해 유족 및 칭다오 시 당국과 협의를 벌이고 있다.

주칭다오	주칭다오/NNG
한국총영사관은	한국총영사관/NNP+은/JX
시내	시내/NNG
창웨이(長威)	창웨이/NNP+(/SS+長威/SH+)/SS
호텔에	호텔/NNG+에/JKB
사고대책본부를	사고/NNG+대책/NNG+본부/NNG+를/JKO
차리고	차리/VV+고/EC
이수존	이수존/NNP
총영사	총영사/NNG
등	등/NNB
8명을	8/SN+명/NNB+을/JKO
현장에	현장/NNG+에/JKB
파견해	파견/NNG+하/XSV+아/EC
사고	사고/NNG
수습	수습/NNG
및	및/MAG
장례	장례/NNG
절차	절차/NNG
등에	등/NNB+에/JKB
대해	대하/VV+아/EC
유족	유족/NNG
칭다오	칭다오/NNP
시	시/NNG
당국과	당국/NNG+과/JKB
협의를	협의/NNG+를/JKO
벌이고	벌이/VV+고/EC
있다.	있/VX+다/EF+./SF


