# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.356
metadata : {}


# id : NWRW1800000054.356.1.1
['잃어버린 20년' 넘어 부활한 日本] (3) 잘나가는 일본, 그래도 고민은 있다 환율따라 순익 큰폭 왔다갔다… 돈 잘 벌어도 자진 휴·폐업 속출

['잃어버린	[/SS+'/SS+잃어버리/VV+ㄴ/ETM
한계를	한계/NNG+를/JKO
정확히	정확히/MAG
보여주는	보이/VV+어/EC+주/VX+는/ETM
게	거/NNB+이/JKS
'400억엔	'/SS+400/SN+억/NR+엔/NNB
딜레마'와	딜레마/NNG+'/SS+와/JC
'휴업·폐업	'/SS+휴업/NNG+·/SP+폐업/NNG
딜레마'다.	딜레마/NNG+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000054.356.5.2
400억엔 딜레마는 달러당 환율이 1엔 증감할 때마다 도요타 영업이익이 400억엔 왔다갔다하는 데서 나온 말이다.

400억엔	400/SN+억/NR+엔/NNB
딜레마는	딜레마/NNG+는/JX
달러당	달러/NNG+당/XSN
환율이	환율/NNG+이/JKS
1엔	1/SN+엔/NNB
증감할	증감/NNG+하/XSV+ㄹ/ETM
때마다	때/NNG+마다/JX
도요타	도요타/NNP
영업이익이	영업/NNG+이익/NNG+이/JKS
왔다갔다하는	오/VV+았/EP+다/EC+가/VV+았/EP+다/EC+하/VX+는/ETM
데서	데/NNB+서/JKB
나온	나오/VV+ㄴ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.356.5.3
도요타는 작년 11월 "2016년 연간 순익이 전년보다 33% 줄어들 것"이라고 했다가, 올 2월 "그 정도는 아니고 26% 줄어드는 수준에 그칠 것"이라고 수정 발표했다.

도요타는	도요타/NNP+는/JX
작년	작년/NNG
11월	11/SN+월/NNB
"2016년	"/SS+2016/SN+년/NNB
연간	연간/NNG
순익이	순익/NNG+이/JKS
전년보다	전년/NNG+보다/JKB
33%	33/SN+%/SW
줄어들	줄어들/VV+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
했다가,	하/VV+았/EP+다가/EC+,/SP
올	올/NNG
2월	2/SN+월/NNB
"그	"/SS+그/MMD
정도는	정도/NNG+는/JX
아니고	아니/VCN+고/EC
26%	26/SN+%/SW
줄어드는	줄어들/VV+는/ETM
수준에	수준/NNG+에/JKB
그칠	그치/VV+ㄹ/ETM
수정	수정/NNG
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.356.5.4
도요타 차가 갑자기 더 팔리고 덜 팔려서가 아니라 환율 덕을 봐 생긴 일이었다.

도요타	도요타/NNP
차가	차/NNG+가/JKS
갑자기	갑자기/MAG
더	더/MAG
팔리고	팔리/VV+고/EC
덜	덜/MAG
팔려서가	팔리/VV+어서/EC+가/JKC
아니라	아니/VCN+라/EC
환율	환율/NNG
덕을	덕/NNG+을/JKO
봐	보/VV+아/EC
생긴	생기/VV+ㄴ/ETM
일이었다.	일/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000054.356.5.5
일본 기업의 수출 실적이 수년째 좋아지고 있는 건 맞지만 앞으로 엔저가 흔들릴 경우 언제든 다시 주춤할 수 있다는 것을 보여주는 현상이다.

일본	일본/NNP
기업의	기업/NNG+의/JKG
수출	수출/NNG
실적이	실적/NNG+이/JKS
수년째	수년/NNG+째/XSN
좋아지고	좋/VA+아/EC+지/VX+고/EC
있는	있/VX+는/ETM
건	거/NNB+ㄴ/JX
맞지만	맞/VV+지만/EC
앞으로	앞/NNG+으로/JKB
엔저가	엔저/NNG+가/JKS
흔들릴	흔들리/VV+ㄹ/ETM
경우	경우/NNG
언제든	언제/NP+든/JX
다시	다시/MAG
주춤할	주춤/MAG+하/XSV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.356.6.1
휴업·폐업 딜레마는 고령화 때문에 나온 말이다.

휴업·폐업	휴업/NNG+·/SP+폐업/NNG
딜레마는	딜레마/NNG+는/JX
고령화	고령/NNG+화/XSN
때문에	때문/NNB+에/JKB
나온	나오/VV+ㄴ/ETM
말이다.	말/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.356.6.2
일본은 지난 수년간 도산기업은 크게 줄었는데 자진 휴업·폐업이 역대 최악인 상황이다.

일본은	일본/NNP+은/JX
지난	지나/VV+ㄴ/ETM
수년간	수년/NNG+간/XSN
도산기업은	도산/NNG+기업/NNG+은/JX
크게	크/VA+게/EC
줄었는데	줄/VV+었/EP+는데/EC
자진	자진/NNG
휴업·폐업이	휴업/NNG+·/SP+폐업/NNG+이/JKS
역대	역대/NNG
최악인	최악/NNG+이/VCP+ㄴ/ETM
상황이다.	상황/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.356.6.3
민간조사회사 도쿄상공리서치에 따르면, 휴업·폐업 신고를 한 회사가 2015년 2만6000여 곳에서 2016년 2만9000여 곳으로 1년간 3000곳 넘게 늘었다.

민간조사회사	민간/NNG+조사/NNG+회사/NNG
도쿄상공리서치에	도쿄상공리서치/NNP+에/JKB
따르면,	따르/VV+면/EC+,/SP
휴업·폐업	휴업/NNG+·/SP+폐업/NNG
신고를	신고/NNG+를/JKO
한	하/VV+ㄴ/ETM
회사가	회사/NNG+가/JKS
2015년	2015/SN+년/NNB
2만6000여	2/SN+만/NR+6000/SN+여/XSN
곳에서	곳/NNG+에서/JKB
2016년	2016/SN+년/NNB
2만9000여	2/SN+만/NR+9000/SN+여/XSN
곳으로	곳/NNG+으로/JKB
1년간	1/SN+년/NNB+간/XSN
3000곳	3000/SN+곳/NNG
넘게	넘/VV+게/EC
늘었다.	늘/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.356.6.4
빚도 없고 기술도 있는데 사장님과 기술진이 다 같이 나이를 먹고 젊은 직원은 새로 들어오지 않아 스스로 회사 문을 닫는 경우가 많았다는 분석이다.

빚도	빚/NNG+도/JX
없고	없/VA+고/EC
기술도	기술/NNG+도/JX
있는데	있/VA+는데/EC
사장님과	사장/NNG+님/XSN+과/JC
기술진이	기술진/NNG+이/JKS
다	다/MAG
같이	같이/MAG
나이를	나이/NNG+를/JKO
먹고	먹/VV+고/EC
젊은	젊/VA+은/ETM
직원은	직원/NNG+은/JX
새로	새로/MAG
들어오지	들어오/VV+지/EC
않아	않/VX+아/EC
스스로	스스로/MAG
회사	회사/NNG
문을	문/NNG+을/JKO
닫는	닫/VV+는/ETM
경우가	경우/NNG+가/JKS
많았다는	많/VA+았/EP+다는/ETM
분석이다.	분석/NNG+이/VCP+다/EF+./SF


