# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.136
metadata : {}


# id : NWRW1800000052.136.1.1
아벨콰르텟 첫 정기연주회 ‘늦었지만 위대한 시작’

아벨콰르텟	아벨콰르텟/NNP
분노,	분노/NNG+,/SP
사랑스러움	사랑/NNG+스럽/XSA+ㅁ/ETN
등	등/NNB
감정의	감정/NNG+의/JKG
다양함까지	다양/NNG+하/XSA+ㅁ/ETN+까지/JX
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
프로그램입니다.”	프로그램/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000052.136.6.1
노부스콰르텟에 이어 한국을 대표하는 차세대 현악사중주단으로 떠오른 아벨콰르텟이 오는 12일 서울 예술의전당 아이비케이(IBK)챔버홀에서 첫 정기연주회를 연다.

노부스콰르텟에	노부스콰르텟/NNP+에/JKB
이어	잇/VV+어/EC
한국을	한국/NNP+을/JKO
대표하는	대표/NNG+하/XSV+는/ETM
차세대	차세대/NNG
현악사중주단으로	현악/NNG+사중주단/NNG+으로/JKB
떠오른	떠오르/VV+ㄴ/ETM
아벨콰르텟이	아벨콰르텟/NNP+이/JKS
오는	오/VV+는/ETM
12일	12/SN+일/NNB
서울	서울/NNP
예술의전당	예술의전당/NNP
아이비케이(IBK)챔버홀에서	아이비케이/NNP+(/SS+IBK/SL+)/SS+챔버홀/NNG+에서/JKB
첫	첫/MMN
정기연주회를	정기/NNG+연주회/NNG+를/JKO
연다.	열/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.136.7.1
2013년 바이올린 윤은솔(29)·이우일(27), 비올라 김세준(28), 첼로 조형준(29)이 결성한 아벨콰르텟은 불과 5개월 동안 3개 국제콩쿠르에 입상해 세상을 놀라게 했다.

2013년	2013/SN+년/NNB
바이올린	바이올린/NNG
윤은솔(29)·이우일(27),	윤은솔/NNP+(/SS+29/SN+)/SS+·/SP+이우일/NNP+(/SS+27/SN+)/SS+,/SP
비올라	비올라/NNG
김세준(28),	김세준/NNP+(/SS+28/SN+)/SS+,/SP
첼로	첼로/NNG
조형준(29)이	조형준/NNP+(/SS+29/SN+)/SS+이/JKS
결성한	결성/NNG+하/XSV+ㄴ/ETM
아벨콰르텟은	아벨콰르텟/NNP+은/JX
불과	불과/MAG
5개월	5/SN+개월/NNB
동안	동안/NNG
3개	3/SN+개/NNB
국제콩쿠르에	국제/NNG+콩쿠르/NNG+에/JKB
입상해	입상/NNG+하/XSV+아/EC
세상을	세상/NNG+을/JKO
놀라게	놀라/VV+게/EC
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000052.136.7.2
2014년 독일 아우구스트 에버딩 국제콩쿠르 2위, 2015년 오스트리아 하이든 국제실내악콩쿠르 1위, 같은 해 프랑스 리옹 국제실내악콩쿠르 2위에 올랐다.

2014년	2014/SN+년/NNB
독일	독일/NNP
아우구스트	아우구스트/NNP
에버딩	에버딩/NNP
국제콩쿠르	국제/NNG+콩쿠르/NNG
2위,	2/SN+위/NNB+,/SP
2015년	2015/SN+년/NNB
오스트리아	오스트리아/NNP
하이든	하이든/NNP
국제실내악콩쿠르	국제/NNG+실내악/NNG+콩쿠르/NNG
1위,	1/SN+위/NNB+,/SP
같은	같/VA+은/ETM
해	해/NNG
프랑스	프랑스/NNP
리옹	리옹/NNP
2위에	2/SN+위/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.136.7.3
지난 9일 여행가방을 든 채 공항에서 바로 온 이들을 서울 도심 한 카페에서 만났다.

지난	지나/VV+ㄴ/ETM
9일	9/SN+일/NNB
여행가방을	여행/NNG+가방/NNG+을/JKO
든	들/VV+ㄴ/ETM
채	채/NNB
공항에서	공항/NNG+에서/JKB
바로	바로/MAG
온	오/VV+ㄴ/ETM
이들을	이/NP+들/XSN+을/JKO
서울	서울/NNP
도심	도심/NNG
한	한/MMN
카페에서	카페/NNG+에서/JKB
만났다.	만나/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.136.7.4
비행기 연착으로 함께 도착하지 못한 조형준은 따로 에스엔에스(SNS)로 접촉했다.

비행기	비행기/NNG
연착으로	연착/NNG+으로/JKB
함께	함께/MAG
도착하지	도착/NNG+하/XSV+지/EC
못한	못하/VX+ㄴ/ETM
조형준은	조형준/NNP+은/JX
따로	따로/MAG
에스엔에스(SNS)로	에스엔에스/NNG+(/SS+SNS/SL+)/SS+로/JKB
접촉했다.	접촉/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.136.8.1
명성에 비하면 정기연주회가 너무 늦었다.

명성에	명성/NNG+에/JKB
비하면	비/NNG+하/XSV+면/EC
정기연주회가	정기/NNG+연주회/NNG+가/JKS
너무	너무/MAG
늦었다.	늦/VA+었/EP+다/EF+./SF


# id : NWRW1800000052.136.8.2
이우일은 “대한민국교향악축제 등 큰 공연에 많이 참여했지만, 이번엔 우리 단독으로 여는 첫 연주회니까, 청중들과 즐기고 싶어요”라고 했다.

이우일은	이우일/NNP+은/JX
“대한민국교향악축제	“/SS+대한민국/NNP+교향악/NNG+축제/NNG
등	등/NNB
큰	크/VA+ㄴ/ETM
공연에	공연/NNG+에/JKB
많이	많이/MAG
참여했지만,	참여/NNG+하/XSV+았/EP+지만/EC+,/SP
이번엔	이번/NNG+에/JKB+ㄴ/JX
우리	우리/NP
단독으로	단독/NNG+으로/JKB
여는	열/VV+는/ETM
첫	첫/MMN
연주회니까,	연주회/NNG+이/VCP+니까/EC+,/SP
청중들과	청중/NNG+들/XSN+과/JKB
즐기고	즐기/VV+고/EC
싶어요”라고	싶/VX+어요/EF+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.136.8.3
조형준은 파리 공항에서 보낸 에스엔에스를 통해 “매우 기쁘고 살짝 긴장도 되네요”라고 했다.

조형준은	조형준/NNP+은/JX
파리	파리/NNP
공항에서	공항/NNG+에서/JKB
보낸	보내/VV+ㄴ/ETM
에스엔에스를	에스엔에스/NNG+를/JKO
통해	통하/VV+아/EC
“매우	“/SS+매우/MAG
기쁘고	기쁘/VA+고/EC
살짝	살짝/MAG
긴장도	긴장/NNG+도/JX
되네요”라고	되/VV+네/EF+요/JX+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.136.9.1
아벨(Abel)은 히브리어로 ‘생명력’, ‘숨’을 뜻한다.

아벨(Abel)은	아벨/NNP+(/SS+Abel/SL+)/SS+은/JX
히브리어로	히브리어/NNP+로/JKB
‘생명력’,	‘/SS+생명력/NNG+’/SS+,/SP
‘숨’을	‘/SS+숨/NNG+’/SS+을/JKO
뜻한다.	뜻/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000052.136.9.2
우리나라 실내악에 젊은 활력을 불어넣겠다는 의미로 제격이다.

우리나라	우리나라/NNG
실내악에	실내악/NNG+에/JKB
젊은	젊/VA+은/ETM
활력을	활력/NNG+을/JKO
불어넣겠다는	불어넣/VV+겠/EP+다는/ETM
의미로	의미/NNG+로/JKB
제격이다.	제격/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.136.9.3
아벨콰르텟은 멤버 전원이 독일 뮌헨국립음대에서 크리스토프 포펜과 하리올프 슐리히티히를, 스위스 바젤 국립음대에서 하겐콰르텟의 라이너 슈미트를 사사했다.

아벨콰르텟은	아벨콰르텟/NNP+은/JX
멤버	멤버/NNG
전원이	전원/NNG+이/JKS
독일	독일/NNP
뮌헨국립음대에서	뮌헨국립음대/NNP+에서/JKB
크리스토프	크리스토프/NNP
포펜과	포펜/NNP+과/JC
하리올프	하리올프/NNP
슐리히티히를,	슐리히티히/NNP+를/JKO+,/SP
스위스	스위스/NNP
바젤	바젤/NNP
국립음대에서	국립/NNG+음대/NNG+에서/JKB
하겐콰르텟의	하겐콰르텟/NNP+의/JKG
라이너	라이너/NNP
슈미트를	슈미트/NNP+를/JKO
사사했다.	사사/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.136.10.1
이들은 바이올린 김재영·김영욱, 비올라 이승원, 첼로 문웅휘로 이뤄진 노부스콰르텟과도 인연이 깊다.

이들은	이/NP+들/XSN+은/JX
바이올린	바이올린/NNG
김재영·김영욱,	김재영/NNP+·/SP+김영욱/NNP+,/SP
비올라	비올라/NNG
이승원,	이승원/NNP+,/SP
첼로	첼로/NNG
문웅휘로	문웅휘/NNP+로/JKB
이뤄진	이뤄지/VV+ㄴ/ETM
노부스콰르텟과도	노부스콰르텟/NNP+과/JKB+도/JX
인연이	인연/NNG+이/JKS
깊다.	깊/VA+다/EF+./SF


# id : NWRW1800000052.136.10.2
윤은솔은 “노부스콰르텟 멤버들과는 예원학교 등을 함께 다녔고 같은 선생님한테 배워 어릴 때부터 잘 아는 사이였습니다”라고 말했다.

윤은솔은	윤은솔/NNP+은/JX
“노부스콰르텟	“/SS+노부스콰르텟/NNP
멤버들과는	멤버/NNG+들/XSN+과/JKB+는/JX
예원학교	예원학교/NNP
등을	등/NNB+을/JKO
함께	함께/MAG
다녔고	다니/VV+었/EP+고/EC
같은	같/VA+은/ETM
선생님한테	선생/NNG+님/XSN+한테/JKB
배워	배우/VV+어/EC
어릴	어리/VA+ㄹ/ETM
때부터	때/NNG+부터/JX
잘	잘/MAG
아는	알/VV+는/ETM
사이였습니다”라고	사이/NNG+이/VCP+었/EP+습니다/EF+”/SS+라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.136.10.3
김세준은 “노부스가 10년 동안 먼저 힘들게 닦아놓은 덕에 콰르텟 음악으로 활동하기 편합니다”라고 했다.

김세준은	김세준/NNP+은/JX
“노부스가	“/SS+노부스/NNP+가/JKS
10년	10/SN+년/NNB
동안	동안/NNG
먼저	먼저/MAG
힘들게	힘들/VA+게/EC
닦아놓은	닦/VV+아/EC+놓/VX+은/ETM
덕에	덕/NNG+에/JKB
콰르텟	콰르텟/NNG
음악으로	음악/NNG+으로/JKB
활동하기	활동/NNG+하/XSV+기/ETN
편합니다”라고	편하/VA+ㅂ니다/EF+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.136.10.4
그러면서도 서로 캐릭터나 음악적 색깔은 다르다고 했다.

그러면서도	그러/VV+면서/EC+도/JX
서로	서로/MAG
캐릭터나	캐릭터/NNG+나/JC
음악적	음악/NNG+적/XSN
색깔은	색깔/NNG+은/JX
다르다고	다르/VA+다고/EC
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.136.10.5
“슈베르트, 후기 베토벤, 쇼스타코비치 등 노부스의 레퍼토리는 화려하고 임팩트가 강하다면, 아벨은 하이든, 모차르트, 라벨 등 단아하고 고전적인 느낌입니다.”

“슈베르트,	“/SS+슈베르트/NNP+,/SP
후기	후기/NNG
베토벤,	베토벤/NNP+,/SP
쇼스타코비치	쇼스타코비치/NNP
등	등/NNB
노부스의	노부스/NNP+의/JKG
레퍼토리는	레퍼토리/NNG+는/JX
화려하고	화려하/VA+고/EC
임팩트가	임팩트/NNG+가/JKS
강하다면,	강하/VA+다면/EC+,/SP
아벨은	아벨/NNP+은/JX
하이든,	하이든/NNP+,/SP
모차르트,	모차르트/NNP+,/SP
라벨	라벨/NNP
단아하고	단아하/VA+고/EC
고전적인	고전/NNG+적/XSN+이/VCP+ㄴ/ETM
느낌입니다.”	느낌/NNG+이/VCP+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000052.136.11.1
앞으로 확장하고픈 레퍼토리는 뭘까?

앞으로	앞/NNG+으로/JKB
확장하고픈	확장/NNG+하/XSV+고/EC+프/VX+ㄴ/ETM
레퍼토리는	레퍼토리/NNG+는/JX
뭘까?	뭐/NP+이/VCP+ㄹ까/EF+?/SF


# id : NWRW1800000052.136.11.2
이우일은 “차이콥스키, 쇼스타코비치 등 러시아 작곡가와 카를 닐센 같은 북유럽 작곡가 음악을 더 하고 싶어요”라고 했다.

이우일은	이우일/NNP+은/JX
“차이콥스키,	“/SS+차이콥스키/NNP+,/SP
쇼스타코비치	쇼스타코비치/NNP
등	등/NNB
러시아	러시아/NNP
작곡가와	작곡가/NNG+와/JC
카를	카를/NNP
닐센	닐센/NNP
같은	같/VA+은/ETM
북유럽	북유럽/NNP
작곡가	작곡가/NNG
음악을	음악/NNG+을/JKO
더	더/MAG
하고	하/VV+고/EC
싶어요”라고	싶/VX+어요/EF+”/SS+라고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.136.11.3
아벨콰르텟은 오는 11월 오스트리아 빈에서 박물관 연주회에 이어, 내년 1월 독일 하이델베르크 실내악 페스티벌에 참여할 예정이다.

아벨콰르텟은	아벨콰르텟/NNP+은/JX
오는	오/VV+는/ETM
11월	11/SN+월/NNB
오스트리아	오스트리아/NNP
빈에서	빈/NNP+에서/JKB
박물관	박물관/NNG
연주회에	연주회/NNG+에/JKB
이어,	잇/VV+어/EC+,/SP
내년	내년/NNG
1월	1/SN+월/NNB
독일	독일/NNP
하이델베르크	하이델베르크/NNP
실내악	실내악/NNG
페스티벌에	페스티벌/NNG+에/JKB
참여할	참여/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


