# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.425
metadata : {}


# id : NWRW1800000054.425.1.1
宋국방은 핵추진 잠수함 미시간 오르고 사드기지도 방문

宋국방은	宋/SH+국방/NNG+은/JX
8000여t)은	8000/SN+여/XSN+t/SW+)/SS+은/JX
유사시	유사시/NNG
북한	북한/NNP
핵·미사일	핵/NNG+·/SP+미사일/NNG
기지	기지/NNG
등을	등/NNB+을/JKO
정밀	정밀/NNG
타격하는	타격/NNG+하/XSV+는/ETM
핵심	핵심/NNG
무기인	무기/NNG+이/VCP+ㄴ/ETM
토마호크	토마호크/NNP
순항미사일(사거리	순항/NNG+미사일/NNG+(/SS+사거리/NNG
1600~2300㎞)을	1600/SN+~/SO+2300/SN+㎞/SW+)/SS+을/JKO
154발이나	154/SN+발/NNB+이나/JX
탑재한다.	탑재/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.425.4.2
특히 세계 최강의 특수부대로 알려진 미 해군 특수부대 '네이비 실(Navy SEAL)'팀 66명을 태울 수 있다.

특히	특히/MAG
세계	세계/NNG
최강의	최강/NNG+의/JKG
특수부대로	특수/NNG+부대/NNG+로/JKB
알려진	알려지/VV+ㄴ/ETM
미	미/NNP
해군	해군/NNG
특수부대	특수/NNG+부대/NNG
'네이비	'/SS+네이비/NNG
실(Navy	실/NNG+(/SS+Navy/SL
SEAL)'팀	SEAL/SL+)/SS+'/SS+팀/NNG
66명을	66/SN+명/NNB+을/JKO
태울	태우/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.425.4.3
이들을 은밀히 북한 해안에 침투시킬 수 있는 특수 잠수정(ASDS)도 탑재해 유사시 북 수뇌부 제거 작전도 벌일 수 있다.

이들을	이/NP+들/XSN+을/JKO
은밀히	은밀히/MAG
북한	북한/NNP
해안에	해안/NNG+에/JKB
침투시킬	침투/NNG+시키/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
특수	특수/NNG
잠수정(ASDS)도	잠수정/NNG+(/SS+ASDS/SL+)/SS+도/JX
탑재해	탑재/NNG+하/XSV+아/EC
유사시	유사시/NNG
북	북/NNP
수뇌부	수뇌부/NNG
제거	제거/NNG
작전도	작전/NNG+도/JX
벌일	벌이/VV+ㄹ/ETM
있다.	있/VA+다/EF+./SF


# id : NWRW1800000054.425.5.1
송 장관은 "북한의 위협이 계속되고 있는 상황에서 지금이야말로 긴밀한 한·미 공조의 힘을 보여줄 때"라며 "미 전략 자산의 정례적 순환 배치 강화는 한반도 방어에 대한 한·미의 강력한 의지를 나타내는 것이며, 향후에도 이 같은 대북 확장 억제 실행력을 지속적으로 강화해 나갈 것"이라고 말했다.

송	송/NNP
장관은	장관/NNG+은/JX
"북한의	"/SS+북한/NNP+의/JKG
위협이	위협/NNG+이/JKS
계속되고	계속/NNG+되/XSV+고/EC
있는	있/VX+는/ETM
상황에서	상황/NNG+에서/JKB
지금이야말로	지금/NNG+이야말로/JX
긴밀한	긴밀하/VA+ㄴ/ETM
한·미	한·미/NNP
공조의	공조/NNG+의/JKG
힘을	힘/NNG+을/JKO
보여줄	보이/VV+어/EC+주/VX+ㄹ/ETM
때"라며	때/NNG+"/SS+이/VCP+라며/EC
"미	"/SS+미/NNP
전략	전략/NNG
자산의	자산/NNG+의/JKG
정례적	정례/NNG+적/XSN
순환	순환/NNG
배치	배치/NNG
강화는	강화/NNG+는/JX
한반도	한반도/NNP
방어에	방어/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
한·미의	한/NNP+·/SP+미/NNP+의/JKG
강력한	강력/NNG+하/XSA+ㄴ/ETM
의지를	의지/NNG+를/JKO
나타내는	나타내/VV+는/ETM
것이며,	것/NNB+이/VCP+며/EC+,/SP
향후에도	향후/NNG+에/JKB+도/JX
이	이/NP
같은	같/VA+은/ETM
대북	대북/NNG
확장	확장/NNG
억제	억제/NNG
실행력을	실행력/NNG+을/JKO
지속적으로	지속/NNG+적/XSN+으로/JKB
강화해	강화/NNG+하/XSV+아/EC
나갈	나가/VX+ㄹ/ETM
것"이라고	것/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.425.6.1
송 장관 일행은 부산 기지 해군작전사령부도 방문하고 연합 해양 작전 현황을 보고받았다.

송	송/NNP
장관	장관/NNG
일행은	일행/NNG+은/JX
부산	부산/NNP
기지	기지/NNG
해군작전사령부도	해군/NNG+작전/NNG+사령부/NNG+도/JX
방문하고	방문/NNG+하/XSV+고/EC
연합	연합/NNG
해양	해양/NNG
작전	작전/NNG
현황을	현황/NNG+을/JKO
보고받았다.	보고/NNG+받/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.425.6.2
송 장관의 이날 방문에는 마크 내퍼 주한 미국 대사 대리, 빈센트 브룩스 한미연합사령관, 엄현성 해군참모총장, 미 7공군사령관 등이 함께했다.

송	송/NNP
장관의	장관/NNG+의/JKG
이날	이날/NNG
방문에는	방문/NNG+에/JKB+는/JX
마크	마크/NNP
내퍼	내퍼/NNP
주한	주한/NNG
미국	미국/NNP
대사	대사/NNG
대리,	대리/NNG+,/SP
빈센트	빈센트/NNP
브룩스	브룩스/NNP
한미연합사령관,	한미/NNP+연합/NNG+사령관/NNG+,/SP
엄현성	엄현성/NNP
해군참모총장,	해군/NNG+참모/NNG+총장/NNG+,/SP
미	미/NNP
7공군사령관	7/SN+공군/NNG+사령관/NNG
등이	등/NNB+이/JKS
함께했다.	함께/MAG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.425.6.3
송 장관은 이어 이날 오후 취임 후 처음으로 경북 성주 사드(THAAD·고고도 미사일 방어체계) 기지를 방문, 사드 체계를 둘러보고 한·미 장병들을 격려했다.

송	송/NNP
장관은	장관/NNG+은/JX
이어	잇/VV+어/EC
이날	이날/NNG
오후	오후/NNG
취임	취임/NNG
후	후/NNG
처음으로	처음/NNG+으로/JKB
경북	경북/NNP
성주	성주/NNP
사드(THAAD·고고도	사드/NNG+(/SS+THAAD/SL+·/SP+고/XPN+고도/NNG
미사일	미사일/NNG
방어체계)	방어/NNG+체계/NNG+)/SS
기지를	기지/NNG+를/JKO
방문,	방문/NNG+,/SP
사드	사드/NNG
체계를	체계/NNG+를/JKO
둘러보고	둘러보/VV+고/EC
한·미	한·미/NNP
장병들을	장병/NNG+들/XSN+을/JKO
격려했다.	격려/NNG+하/XSV+았/EP+다/EF+./SF


