# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000037.119
metadata : {}


# id : NWRW1800000037.119.1.1
“신앙활동과 체조 모두 행복한 기적 체험 원해”

“신앙활동과	“/SS+신앙/NNG+활동/NNG+과/JC
“국제대회 참가를 위해 일본과 중국을 몇 차례 방문했는데 공교롭게도 한국은 그런 경험이 없었습니다.

“국제대회	“/SS+국제/NNG+대회/NNG
참가를	참가/NNG+를/JKO
위해	위하/VV+아/EC
일본과	일본/NNP+과/JC
중국을	중국/NNP+을/JKO
몇	몇/NR
차례	차례/NNG
방문했는데	방문/NNG+하/XSV+았/EP+는데/EC
공교롭게도	공교롭/VA+게/EC+도/JX
한국은	한국/NNP+은/JX
그런	그런/MMD
경험이	경험/NNG+이/JKS
없었습니다.	없/VA+었/EP+습니다/EF+./SF


# id : NWRW1800000037.119.9.3
그때부터 기초적인 한국어를 배우기 시작했죠.

그때부터	그때/NNG+부터/JX
기초적인	기초/NNG+적/XSN+이/VCP+ㄴ/ETM
한국어를	한국어/NNP+를/JKO
배우기	배우/VV+기/ETN
시작했죠.	시작/NNG+하/XSV+았/EP+죠/EF+./SF


# id : NWRW1800000037.119.9.4
근데 어려워요.

근데	근데/MAJ
어려워요.	어렵/VA+어요/EF+./SF


# id : NWRW1800000037.119.9.5
(웃음)”

(웃음)”	(/SS+웃음/NNG+)/SS+”/SS


# id : NWRW1800000037.119.10.1
거리 선교 중 한국 여성들과도 대화했냐고 물었더니 젊은 선교사의 눈이 동그래졌다.

거리	거리/NNG
선교	선교/NNG
중	중/NNB
한국	한국/NNP
여성들과도	여성/NNG+들/XSN+과/JKB+도/JX
대화했냐고	대화/NNG+하/XSV+았/EP+냐고/EC
물었더니	묻/VV+었/EP+더니/EC
젊은	젊/VA+은/ETM
선교사의	선교사/NNG+의/JKG
눈이	눈/NNG+이/JKS
동그래졌다.	동그래지/VV+었/EP+다/EF+./SF


# id : NWRW1800000037.119.10.2
“아뇨.

“아뇨.	“/SS+아뇨/IC+./SF


# id : NWRW1800000037.119.10.3
남성 선교사의 경우 여성이 물으면 대답하지만 먼저 묻지 않도록 돼 있습니다.

남성	남성/NNG
선교사의	선교사/NNG+의/JKG
경우	경우/NNG
여성이	여성/NNG+이/JKS
물으면	묻/VV+으면/EC
대답하지만	대답/NNG+하/XSV+지만/EC
먼저	먼저/MAG
묻지	묻/VV+지/EC
않도록	않/VX+도록/EC
돼	되/VV+어/EC
있습니다.	있/VX+습니다/EF+./SF


# id : NWRW1800000037.119.10.4
여성이 질문하면 동행하는 여성 선교사가 응대합니다.”

여성이	여성/NNG+이/JKS
질문하면	질문/NNG+하/XSV+면/EC
동행하는	동행/NNG+하/XSV+는/ETM
여성	여성/NNG
선교사가	선교사/NNG+가/JKS
응대합니다.”	응대/NNG+하/XSV+ㅂ니다/EF+./SF+”/SS


# id : NWRW1800000037.119.11.1
선교사로 활동하면서 주 2, 3차례 한국체대에서 체조 훈련도 하고 있는 그는 “내가 한국에 온 것은 운명”이라며 “신앙 활동과 체조에서 모두 행복한 기적을 경험하고 싶다”고 말했다.

선교사로	선교사/NNG+로/JKB
활동하면서	활동/NNG+하/XSV+면서/EC
주	주/NNG
2,	2/SN+,/SP
3차례	3/SN+차례/NNG
한국체대에서	한국체대/NNP+에서/JKB
체조	체조/NNG
훈련도	훈련/NNG+도/JX
하고	하/VV+고/EC
있는	있/VX+는/ETM
그는	그/NP+는/JX
“내가	“/SS+내/NP+가/JKS
한국에	한국/NNP+에/JKB
온	오/VV+ㄴ/ETM
것은	것/NNB+은/JX
운명”이라며	운명/NNG+”/SS+이/VCP+라며/EC
“신앙	“/SS+신앙/NNG
활동과	활동/NNG+과/JC
체조에서	체조/NNG+에서/JKB
모두	모두/MAG
행복한	행복/NNG+하/XSA+ㄴ/ETM
기적을	기적/NNG+을/JKO
경험하고	경험/NNG+하/XSV+고/EC
싶다”고	싶/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


