# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.201
metadata : {}


# id : NWRW1800000024.201.1.1
온국민 바보 만드는 법 막아야죠

온국민	온/MMN+국민/NNG
알려왔다.	알리/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.201.7.1
그는 이명박 정부의 언론정책 비판 활동도 적극 벌여왔다.

그는	그/NP+는/JX
이명박	이명박/NNP
정부의	정부/NNG+의/JKG
언론정책	언론/NNG+정책/NNG
비판	비판/NNG
활동도	활동/NNG+도/JX
적극	적극/NNG
벌여왔다.	벌이/VV+어/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.201.7.2
지난해 8월 정연주 당시 <한국방송>(KBS) 사장 강제 퇴임을 반대하는 뜻에서 ‘국민방송 케이비에스 지키기 전국일주’를 진행했고, 9월엔 포항 이명박 대통령 생가 앞에서 언론 장악에 항의하는 1인시위를 벌이기도 했다.

지난해	지난해/NNG
8월	8/SN+월/NNB
정연주	정연주/NNP
당시	당시/NNG
<한국방송>(KBS)	</SS+한국방송/NNP+>/SS+(/SS+KBS/SL+)/SS
사장	사장/NNG
강제	강제/NNG
퇴임을	퇴임/NNG+을/JKO
반대하는	반대/NNG+하/XSV+는/ETM
뜻에서	뜻/NNG+에서/JKB
‘국민방송	‘/SS+국민/NNG+방송/NNG
케이비에스	케이비에스/NNP
지키기	지키/VV+기/ETN
전국일주’를	전국/NNG+일주/NNG+’/SS+를/JKO
진행했고,	진행/NNG+하/XSV+았/EP+고/EC+,/SP
9월엔	9/SN+월/NNB+에/JKB+ㄴ/JX
포항	포항/NNP
이명박	이명박/NNP
대통령	대통령/NNG
생가	생가/NNG
앞에서	앞/NNG+에서/JKB
언론	언론/NNG
장악에	장악/NNG+에/JKB
항의하는	항의/NNG+하/XSV+는/ETM
1인시위를	1/SN+인/NNG+시위/NNG+를/JKO
벌이기도	벌이/VV+기/ETN+도/JX
했다.	하/VX+았/EP+다/EF+./SF


# id : NWRW1800000024.201.7.3
최씨는 “이명박 정권은 언론악법을 강행처리해 언론의 정신을 말살시키고, 방송을 국가 권력의 앵무새로 만들어 국민을 보지 못하는 시각장애인, 바른 소리 듣지 못하는 청각장애인, 사실을 사실대로 말할 수 없는 언어장애인, 올바른 생각을 하지 못하는 지적장애인으로 만들려 하고 있다”고 지적했다.

최씨는	최/NNP+씨/NNB+는/JX
“이명박	“/SS+이명박/NNP
정권은	정권/NNG+은/JX
언론악법을	언론/NNG+악법/NNG+을/JKO
강행처리해	강행/NNG+처리/NNG+하/XSV+아/EC
언론의	언론/NNG+의/JKG
정신을	정신/NNG+을/JKO
말살시키고,	말살/NNG+시키/XSV+고/EC+,/SP
방송을	방송/NNG+을/JKO
국가	국가/NNG
권력의	권력/NNG+의/JKG
앵무새로	앵무새/NNG+로/JKB
만들어	만들/VV+어/EC
국민을	국민/NNG+을/JKO
보지	보/VV+지/EC
못하는	못하/VX+는/ETM
시각장애인,	시각/NNG+장애인/NNG+,/SP
바른	바르/VA+ㄴ/ETM
소리	소리/NNG
듣지	듣/VV+지/EC
청각장애인,	청각/NNG+장애인/NNG+,/SP
사실을	사실/NNG+을/JKO
사실대로	사실/NNG+대로/JX
말할	말/NNG+하/XSV+ㄹ/ETM
수	수/NNB
없는	없/VA+는/ETM
언어장애인,	언어/NNG+장애인/NNG+,/SP
올바른	올바르/VA+ㄴ/ETM
생각을	생각/NNG+을/JKO
하지	하/VV+지/EC
지적장애인으로	지/NNG+적/XSN+장애인/NNG+으로/JKB
만들려	만들/VV+려/EC
하고	하/VX+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.201.7.4
‘재벌·조중동 방송’에 대한 우려도 크다.

‘재벌·조중동	‘/SS+재벌/NNG+·/SP+조중동/NNP
방송’에	방송/NNG+’/SS+에/JKB
대한	대하/VV+ㄴ/ETM
우려도	우려/NNG+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000024.201.7.5
그는 “사회 어두운 곳에 숨겨진 진실을 파헤쳐 시청자와 독자에게 알려 주는 것이 언론의 임무인데, 사익을 추구하는 재벌과 정부의 눈치만 보는 조중동이 만든 방송에서 공정한 뉴스를 기대하는 것이 가능하냐”고 반문했다.

그는	그/NP+는/JX
“사회	“/SS+사회/NNG
어두운	어둡/VA+ㄴ/ETM
곳에	곳/NNG+에/JKB
숨겨진	숨기/VV+어/EC+지/VX+ㄴ/ETM
진실을	진실/NNG+을/JKO
파헤쳐	파헤치/VV+어/EC
시청자와	시청자/NNG+와/JKB
독자에게	독자/NNG+에게/JKB
알려	알리/VV+어/EC
주는	주/VX+는/ETM
것이	것/NNB+이/JKS
언론의	언론/NNG+의/JKG
임무인데,	임무/NNG+이/VCP+ㄴ데/EC+,/SP
사익을	사익/NNG+을/JKO
추구하는	추구/NNG+하/XSV+는/ETM
재벌과	재벌/NNG+과/JC
정부의	정부/NNG+의/JKG
눈치만	눈치/NNG+만/JX
보는	보/VV+는/ETM
조중동이	조중동/NNP+이/JKS
만든	만들/VV+ㄴ/ETM
방송에서	방송/NNG+에서/JKB
공정한	공정/NNG+하/XSA+ㄴ/ETM
뉴스를	뉴스/NNG+를/JKO
기대하는	기대/NNG+하/XSV+는/ETM
가능하냐”고	가능/NNG+하/XSA+냐/EF+”/SS+고/JKQ
반문했다.	반문/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.201.8.1
‘휠체어 순회투쟁’엔 대구지역 동료 장애인 4명이 함께한다.

‘휠체어	‘/SS+휠체어/NNG
순회투쟁’엔	순회/NNG+투쟁/NNG+’/SS+에/JKB+ㄴ/JX
대구지역	대구/NNP+지역/NNG
동료	동료/NNG
장애인	장애인/NNG
4명이	4/SN+명/NNB+이/JKS
함께한다.	함께/MAG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.201.8.2
자원봉사자 없이 모든 것을 자신들끼리 해결할 예정이다.

자원봉사자	자원봉사자/NNG
없이	없이/MAG
모든	모든/MMN
것을	것/NNB+을/JKO
자신들끼리	자신/NNG+들/XSN+끼리/XSN
해결할	해결/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000024.201.8.3
뇌병변 2급 장애인인 이환석씨가 휠체어를 타고 옆을 지키고, 간질을 앓는 정재훈씨는 자전거를 타고 동행한다.

뇌병변	뇌/NNG+병변/NNG
2급	2/SN+급/NNG
장애인인	장애인/NNG+이/VCP+ㄴ/ETM
이환석씨가	이환석/NNP+씨/NNB+가/JKS
휠체어를	휠체어/NNG+를/JKO
타고	타/VV+고/EC
옆을	옆/NNG+을/JKO
지키고,	지키/VV+고/EC+,/SP
간질을	간질/NNG+을/JKO
앓는	앓/VV+는/ETM
정재훈씨는	정재훈/NNP+씨/NNB+는/JX
자전거를	자전거/NNG+를/JKO
동행한다.	동행/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000024.201.8.4
뒤를 따르는 지원차량 운전은 뇌병변 2급 장애를 가진 조홍준씨와 이진우씨가 맡는다.

뒤를	뒤/NNG+를/JKO
따르는	따르/VV+는/ETM
지원차량	지원/NNG+차량/NNG
운전은	운전/NNG+은/JX
뇌병변	뇌/NNG+병변/NNG
2급	2/SN+급/NNG
장애를	장애/NNG+를/JKO
가진	가지/VV+ㄴ/ETM
조홍준씨와	조홍준/NNP+씨/NNB+와/JC
이진우씨가	이진우/NNP+씨/NNB+가/JKS
맡는다.	맡/VV+는다/EF+./SF


# id : NWRW1800000024.201.9.1
최씨는 “많이 힘들겠지만 정부·여당 언론법의 문제를 한 사람에게라도 더 알리는 게 중요하다”고 강조했다.

최씨는	최/NNP+씨/NNB+는/JX
“많이	“/SS+많이/MAG
힘들겠지만	힘들/VA+겠/EP+지만/EC
정부·여당	정부/NNG+·/SP+여당/NNG
언론법의	언론/NNG+법/NNG+의/JKG
문제를	문제/NNG+를/JKO
한	한/MMN
사람에게라도	사람/NNG+에게/JKB+이/VCP+라도/EC
더	더/MAG
알리는	알리/VV+는/ETM
게	거/NNB+이/JKS
중요하다”고	중요/NNG+하/XSA+다/EF+”/SS+고/JKQ
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


