# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.73
metadata : {}


# id : NWRW1800000033.73.1.1
WSJ, 충칭 영국인 사망사건 관련 ‘부적절 관계’ 의혹 보도

WSJ,	WSJ/SL+,/SP
월스트리트저널(WSJ)은 헤이우드 씨가 보 전 서기의 부인 구카이라이(谷開來·52) 씨와의 관계가 틀어지면서 자신의 신변이 위협받고 있다는 얘기를 친구들에게 자주 했다고 3월 31일 보도했다.

월스트리트저널(WSJ)은	월스트리트저널/NNP+(/SS+WSJ/SL+)/SS+은/JX
헤이우드	헤이우드/NNP
씨가	씨/NNB+가/JKS
보	보/NNP
전	전/MMD
서기의	서기/NNG+의/JKG
부인	부인/NNG
구카이라이(谷開來·52)	구카이라이/NNP+(/SS+谷開來/SH+·/SP+52/SN+)/SS
씨와의	씨/NNB+와/JKB+의/JKG
관계가	관계/NNG+가/JKS
틀어지면서	틀어지/VV+면서/EC
자신의	자신/NNG+의/JKG
신변이	신변/NNG+이/JKS
위협받고	위협/NNG+받/XSV+고/EC
있다는	있/VX+다는/ETM
얘기를	얘기/NNG+를/JKO
친구들에게	친구/NNG+들/XSN+에게/JKB
자주	자주/MAG
했다고	하/VV+았/EP+다고/EC
3월	3/SN+월/NNB
31일	31/SN+일/NNB
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.73.4.2
숨지기 몇 달 전부터 자신과 구 씨의 관계가 매우 악화돼 두렵다는 말을 자주 했다는 것.

숨지기	숨지/VV+기/ETN
몇	몇/NR
달	달/NNB
전부터	전/NNG+부터/JX
자신과	자신/NNG+과/JC
구	구/NNP
씨의	씨/NNB+의/JKG
관계가	관계/NNG+가/JKS
매우	매우/MAG
악화돼	악화/NNG+되/XSV+어/EC
두렵다는	두렵/VA+다는/ETM
말을	말/NNG+을/JKO
자주	자주/MAG
했다는	하/VV+았/EP+다는/ETM
것.	것/NNB+./SF


# id : NWRW1800000033.73.4.3
또 헤이우드 씨는 구 씨로부터 중국인 부인과 이혼할 것과 보 전 서기 가족에 대한 충성 맹세를 강요받았다고 친구들에게 말했다.

또	또/MAG
헤이우드	헤이우드/NNP
씨는	씨/NNB+는/JX
구	구/NNP
씨로부터	씨/NNB+로부터/JKB
중국인	중국인/NNG
부인과	부인/NNG+과/JKB
이혼할	이혼/NNG+하/XSV+ㄹ/ETM
것과	것/NNB+과/JC
보	보/NNP
전	전/MMD
서기	서기/NNG
가족에	가족/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
충성	충성/NNG
맹세를	맹세/NNG+를/JKO
강요받았다고	강요/NNG+받/XSV+았/EP+다고/EC
친구들에게	친구/NNG+들/XSN+에게/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.73.4.4
헤이우드 씨 사망사건이 보 전 서기 부인과의 부적절한 관계에서 비롯된 것이 아니냐는 의혹을 낳는 대목이다.

헤이우드	헤이우드/NNP
씨	씨/NNB
사망사건이	사망/NNG+사건/NNG+이/JKS
보	보/NNP
전	전/MMD
서기	서기/NNG
부인과의	부인/NNG+과/JKB+의/JKG
부적절한	부적절하/VA+ㄴ/ETM
관계에서	관계/NNG+에서/JKB
비롯된	비롯되/VV+ㄴ/ETM
것이	것/NNB+이/JKC
아니냐는	아니/VCN+냐는/ETM
의혹을	의혹/NNG+을/JKO
낳는	낳/VV+는/ETM
대목이다.	대목/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.73.5.1
헤이우드 씨는 보 전 서기의 아들 보과과(薄瓜瓜·24)의 영국 유학 당시부터 보 전 서기 가족과 인연이 깊어졌고 그 뒤 중국에서 사업을 해온 것으로 알려졌다.

헤이우드	헤이우드/NNP
씨는	씨/NNB+는/JX
보	보/NNP
전	전/MMD
서기의	서기/NNG+의/JKG
아들	아들/NNG
보과과(薄瓜瓜·24)의	보과과/NNP+(/SS+薄瓜瓜/SH+·/SP+24/SN+)/SS+의/JKG
영국	영국/NNP
유학	유학/NNG
당시부터	당시/NNG+부터/JX
서기	서기/NNG
가족과	가족/NNG+과/JKB
인연이	인연/NNG+이/JKS
깊어졌고	깊어지/VV+었/EP+고/EC
그	그/MMD
뒤	뒤/NNG
중국에서	중국/NNP+에서/JKB
사업을	사업/NNG+을/JKO
해온	하/VV+아/EC+오/VX+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.73.5.2
또 영국 전략정보회사의 정보원으로 활동했다는 말도 나왔다.

또	또/MAG
영국	영국/NNP
전략정보회사의	전략/NNG+정보/NNG+회사/NNG+의/JKG
정보원으로	정보원/NNG+으로/JKB
활동했다는	활동/NNG+하/XSV+았/EP+다는/ETM
말도	말/NNG+도/JX
나왔다.	나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.73.6.1
충칭 공안은 헤이우드 씨가 음주과다로 사망했다고 발표한 뒤 화장했고 영국 외교부는 최근 정식 조사를 중국 정부에 요구한 바 있다.

충칭	충칭/NNP
공안은	공안/NNG+은/JX
헤이우드	헤이우드/NNP
씨가	씨/NNB+가/JKS
음주과다로	음주/NNG+과다/NNG+로/JKB
사망했다고	사망/NNG+하/XSV+았/EP+다고/EC
발표한	발표/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
화장했고	화장/NNG+하/XSV+았/EP+고/EC
영국	영국/NNP
외교부는	외교부/NNG+는/JX
최근	최근/MAG
정식	정식/NNG
조사를	조사/NNG+를/JKO
중국	중국/NNP
정부에	정부/NNG+에/JKB
요구한	요구/NNG+하/XSV+ㄴ/ETM
바	바/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.73.6.2
왕리쥔(王立軍) 전 충칭 시 공안국장이 헤이우드 씨가 독살 당했을 가능성을 제기하고 구 씨와 갈등이 있다는 것을 알아채자 보 전 서기가 그를 배척했다는 설도 있다.

왕리쥔(王立軍)	왕리쥔/NNP+(/SS+王立軍/SH+)/SS
전	전/MMD
충칭	충칭/NNP
시	시/NNG
공안국장이	공안국장/NNG+이/JKS
헤이우드	헤이우드/NNP
씨가	씨/NNB+가/JKS
독살	독살/NNG
당했을	당하/VV+았/EP+을/ETM
가능성을	가능/NNG+성/XSN+을/JKO
제기하고	제기/NNG+하/XSV+고/EC
구	구/NNP
씨와	씨/NNB+와/JKB
갈등이	갈등/NNG+이/JKS
있다는	있/VA+다는/ETM
것을	것/NNB+을/JKO
알아채자	알아채/VV+자/EC
보	보/NNP
서기가	서기/NNG+가/JKS
그를	그/NP+를/JKO
배척했다는	배척/NNG+하/XSV+았/EP+다는/ETM
설도	설/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.73.7.1
한편 영국 더타임스는 보 전 서기의 아들 보과과가 옥스퍼드대 재학 시절 샴페인 파티를 즐겼으며 베이징에서는 고급 스포츠카인 페라리를 몰고 다녔다고 보도했다.

한편	한편/MAG
영국	영국/NNP
더타임스는	더타임스/NNP+는/JX
보	보/NNP
전	전/MMD
서기의	서기/NNG+의/JKG
아들	아들/NNG
보과과가	보과과/NNP+가/JKS
옥스퍼드대	옥스퍼드대/NNP
재학	재학/NNG
시절	시절/NNG
샴페인	샴페인/NNG
파티를	파티/NNG+를/JKO
즐겼으며	즐기/VV+었/EP+으며/EC
베이징에서는	베이징/NNP+에서/JKB+는/JX
고급	고급/NNG
스포츠카인	스포츠카/NNG+이/VCP+ㄴ/ETM
페라리를	페라리/NNP+를/JKO
몰고	몰/VV+고/EC
다녔다고	다니/VV+었/EP+다고/EC
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


