# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.82
metadata : {}


# id : NWRW1800000052.82.1.1
“백악관행 ‘쩐 전쟁’을 반대한다”

“백악관행	“/SS+백악관행/NNG
리아(66)는	리아/NNP+(/SS+66/SN+)/SS+는/JX
“미국은	“/SS+미국/NNP+은/JX
민주주의가	민주주의/NNG+가/JKC
아니라	아니/VCN+라/EC
대기업과	대/XPN+기업/NNG+과/JC
몇몇	몇몇/NR
엘리트들이	엘리트/NNG+들/XSN+이/JKS
지배하는	지배/NNG+하/XSV+는/ETM
‘과두	‘/SS+과두/NNG
정치’”라고	정치/NNG+’/SS+”/SS+라고/JKQ
잘라	자르/VV+아/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.82.3.4
그의 깃발은 미국 금권정치와 과두 정치에 대한 항의였다.

그의	그/NP+의/JKG
깃발은	깃발/NNG+은/JX
미국	미국/NNP
금권정치와	금권/NNG+정치/NNG+와/JC
과두	과두/NNG
정치에	정치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
항의였다.	항의/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.82.4.1
미국 독립과 민주주의의 성지로 불리는 펜실베니아주 필라델피아 자유의 종 앞에서 2일 오전 11시부터 40여분간 ‘민주주의의 봄’(Democracy Spring)을 위한 출정식을 마친 200여명의 시위대가 워싱턴을 향해 걷기 시작했다.

미국	미국/NNP
독립과	독립/NNG+과/JC
민주주의의	민주주의/NNG+의/JKG
성지로	성지/NNG+로/JKB
불리는	불리/VV+는/ETM
펜실베니아주	펜실베니아주/NNP
필라델피아	필라델피아/NNP
자유의	자유/NNG+의/JKG
종	종/NNG
앞에서	앞/NNG+에서/JKB
2일	2/SN+일/NNB
오전	오전/NNG
11시부터	11/SN+시/NNB+부터/JX
40여분간	40/SN+여/XSN+분/NNB+간/XSN
‘민주주의의	‘/SS+민주주의/NNG+의/JKG
봄’(Democracy	봄/NNG+’/SS+(/SS+Democracy/SL
Spring)을	Spring/SL+)/SS+을/JKO
위한	위하/VV+ㄴ/ETM
출정식을	출정식/NNG+을/JKO
마친	마치/VV+ㄴ/ETM
200여명의	200/SN+여/XSN+명/NNB+의/JKG
시위대가	시위대/NNG+가/JKS
워싱턴을	워싱턴/NNP+을/JKO
향해	향하/VV+아/EC
걷기	걷/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.82.4.2
이들은 열흘동안 220㎞를 걸어 11일 워싱턴 의사당에 도착할 예정이다.

이들은	이/NP+들/XSN+은/JX
열흘동안	열흘/NNG+동안/NNG
220㎞를	220/SN+㎞/SW+를/JKO
걸어	걷/VV+어/EC
11일	11/SN+일/NNB
워싱턴	워싱턴/NNP
의사당에	의사당/NNG+에/JKB
도착할	도착/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.82.4.3
이어 18일까지 의회 앞에서 연좌농성을 벌이며 “돈 경선”을 막기 위한 입법을 요구할 예정이다.

이어	이어/MAG
18일까지	18/SN+일/NNB+까지/JX
의회	의회/NNG
앞에서	앞/NNG+에서/JKB
연좌농성을	연좌/NNG+농성/NNG+을/JKO
벌이며	벌이/VV+며/EC
“돈	“/SS+돈/NNG
경선”을	경선/NNG+”/SS+을/JKO
막기	막/VV+기/ETN
위한	위하/VV+ㄴ/ETM
입법을	입법/NNG+을/JKO
요구할	요구/NNG+하/XSV+ㄹ/ETM
예정이다.	예정/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.82.4.4
체포 위험을 무릅쓴 ‘대규모 시민불복종’ 운동도 선언했다.

체포	체포/NNG
위험을	위험/NNG+을/JKO
무릅쓴	무릅쓰/VV+ㄴ/ETM
‘대규모	‘/SS+대/XPN+규모/NNG
시민불복종’	시민/NNG+불/XPN+복종/NNG+’/SS
운동도	운동/NNG+도/JX
선언했다.	선언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.82.5.1
필라델피아 ‘자유의 종’서 출정식

필라델피아	필라델피아/NNP
‘자유의	‘/SS+자유/NNG+의/JKG
종’서	종/NNG+’/SS+서/JKB
출정식	출정식/NNG


# id : NWRW1800000052.82.6.1
200여명의 시위대 워싱턴으로

200여명의	200/SN+여/XSN+명/NNB+의/JKG
시위대	시위대/NNG
워싱턴으로	워싱턴/NNP+으로/JKB


# id : NWRW1800000052.82.7.1
220㎞ 걸어 11일 의사당 도착

220㎞	220/SN+㎞/SW
걸어	걷/VV+어/EC
11일	11/SN+일/NNB
의사당	의사당/NNG
도착	도착/NNG


# id : NWRW1800000052.82.8.1
‘돈 경선’ 저지 입법요구 주장키로

‘돈	‘/SS+돈/NNG
경선’	경선/NNG+’/SS
저지	저지/NNG
입법요구	입법/NNG+요구/NNG
주장키로	주장/NNG+하/XSV+기/ETN+로/JKB


# id : NWRW1800000052.82.9.1
“미국 민주주의는 과두정치다”

“미국	“/SS+미국/NNP
민주주의는	민주주의/NNG+는/JX
과두정치다”	과두/NNG+정치/NNG+이/VCP+다/EF+”/SS


# id : NWRW1800000052.82.10.1
슈퍼팩 반대·1인1표 주장

슈퍼팩	슈퍼팩/NNP
반대·1인1표	반대/NNG+·/SP+1/SN+인/NNG+1/SN+표/NNG
주장	주장/NNG


# id : NWRW1800000052.82.11.1
‘오큐파이’ 계승 풀뿌리운동 규정

‘오큐파이’	‘/SS+오큐파이/NNG+’/SS
계승	계승/NNG
풀뿌리운동	풀뿌리/NNG+운동/NNG
규정	규정/NNG


# id : NWRW1800000052.82.12.1
대규모 시민불복종 운동 선언도

대규모	대/XPN+규모/NNG
시민불복종	시민/NNG+불/XPN+복종/NNG
운동	운동/NNG
선언도	선언/NNG+도/JX


# id : NWRW1800000052.82.13.1
이들은 이번 ‘민주주의 봄’ 캠페인을 지난 2011년 월가의 ‘상위 1%’가 미국 사회와 정치를 주무르고 있는 현실을 비판하며 나온 ‘오큐파이 월스트리트’(Occupy Wallstreet) 정신을 계승하는 풀뿌리운동으로 규정했다.

이들은	이/NP+들/XSN+은/JX
이번	이번/NNG
‘민주주의	‘/SS+민주주의/NNG
봄’	봄/NNG+’/SS
캠페인을	캠페인/NNG+을/JKO
지난	지나/VV+ㄴ/ETM
2011년	2011/SN+년/NNB
월가의	월가/NNP+의/JKG
‘상위	‘/SS+상위/NNG
1%’가	1/SN+%/SW+’/SS+가/JKS
미국	미국/NNP
사회와	사회/NNG+와/JC
정치를	정치/NNG+를/JKO
주무르고	주무르/VV+고/EC
있는	있/VX+는/ETM
현실을	현실/NNG+을/JKO
비판하며	비판/NNG+하/XSV+며/EC
나온	나오/VV+ㄴ/ETM
‘오큐파이	‘/SS+오큐파이/NNG
월스트리트’(Occupy	월스트리트/NNP+’/SS+(/SS+Occupy/SL
Wallstreet)	Wallstreet/SL+)/SS
정신을	정신/NNG+을/JKO
계승하는	계승/NNG+하/XSV+는/ETM
풀뿌리운동으로	풀뿌리/NNG+운동/NNG+으로/JKB
규정했다.	규정/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.82.14.1
리아는 오랫동안 장애아동을 가르치는 특수 교사였다.

리아는	리아/NNP+는/JX
오랫동안	오랫동안/NNG
장애아동을	장애/NNG+아동/NNG+을/JKO
가르치는	가르치/VV+는/ETM
특수	특수/NNG
교사였다.	교사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.82.14.2
“16살짜리가 세살배기처럼 행동하는” 아이들을 가르쳐 취직을 시킨 뒤 “점심도 안 먹으며 일을 열심히 하고 있다”는 연락이 올 때 가장 기뻤다고 그는 말했다.

“16살짜리가	“/SS+16/SN+살/NNB+짜리/XSN+가/JKS
세살배기처럼	세/MMN+살/NNB+배기/XSN+처럼/JKB
행동하는”	행동/NNG+하/XSV+는/ETM+”/SS
아이들을	아이/NNG+들/XSN+을/JKO
가르쳐	가르치/VV+어/EC
취직을	취직/NNG+을/JKO
시킨	시키/VV+ㄴ/ETM
뒤	뒤/NNG
“점심도	“/SS+점심/NNG+도/JX
안	안/MAG
먹으며	먹/VV+으며/EC
일을	일/NNG+을/JKO
열심히	열심히/MAG
하고	하/VV+고/EC
있다”는	있/VX+다/EF+”/SS+는/ETM
연락이	연락/NNG+이/JKS
올	오/VV+ㄹ/ETM
때	때/NNG
가장	가장/MAG
기뻤다고	기쁘/VA+었/EP+다고/EC
그는	그/NP+는/JX
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.82.14.3
2011년 은퇴할 때까지도 정치적 시위와는 관계없는 그저 자신의 일에만 충실했던 사람이었다.

2011년	2011/SN+년/NNB
은퇴할	은퇴/NNG+하/XSV+ㄹ/ETM
때까지도	때/NNG+까지/JX+도/JX
정치적	정치/NNG+적/XSN
시위와는	시위/NNG+와/JKB+는/JX
관계없는	관계없/VA+는/ETM
그저	그저/MAG
자신의	자신/NNG+의/JKG
일에만	일/NNG+에/JKB+만/JX
충실했던	충실/NNG+하/XSA+았/EP+던/ETM
사람이었다.	사람/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000052.82.15.1
그런데 지난 2010년 미국 대법원이 기업의 정치자금 지출에 대한 총액 제한을 없애버린 이른바 ‘슈퍼팩’(슈퍼 정치활동위원회) 합법화 판결이 그를 거리로 불러냈다.

그런데	그런데/MAJ
지난	지나/VV+ㄴ/ETM
2010년	2010/SN+년/NNB
미국	미국/NNP
대법원이	대/XPN+법원/NNG+이/JKS
기업의	기업/NNG+의/JKG
정치자금	정치/NNG+자금/NNG
지출에	지출/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
총액	총액/NNG
제한을	제한/NNG+을/JKO
없애버린	없애/VV+어/EC+버리/VX+ㄴ/ETM
이른바	이른바/MAG
‘슈퍼팩’(슈퍼	‘/SS+슈퍼팩/NNP+’/SS+(/SS+슈퍼/NNG
정치활동위원회)	정치/NNG+활동/NNG+위원회/NNG+)/SS
합법화	합법/NNG+화/XSN
판결이	판결/NNG+이/JKS
그를	그/NP+를/JKO
거리로	거리/NNG+로/JKB
불러냈다.	불러내/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.82.15.2
대법원 판결에 항의해 평생 처음 2011년 시위에 참여했다.

대법원	대/XPN+법원/NNG
판결에	판결/NNG+에/JKB
항의해	항의/NNG+하/XSV+아/EC
평생	평생/NNG
처음	처음/NNG
2011년	2011/SN+년/NNB
시위에	시위/NNG+에/JKB
참여했다.	참여/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.82.15.3
대법원 판결이 “부패를 합법화한 것이나 마찬가지였다”고 생각했기 때문이다.

대법원	대/XPN+법원/NNG
판결이	판결/NNG+이/JKS
“부패를	“/SS+부패/NNG+를/JKO
합법화한	합법/NNG+화/XSN+하/XSV+ㄴ/ETM
것이나	것/NNB+이나/JX
마찬가지였다”고	마찬가지/NNG+이/VCP+었/EP+다/EF+”/SS+고/JKQ
생각했기	생각/NNG+하/XSV+았/EP+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.82.15.4
또 그가 살고 있는 플로리다주 플로럴에도 2008년 금융위기로 “많은 가게들이 문을 닫았고, 많은 이웃들이 집을 잃었다”고 한다.

또	또/MAG
그가	그/NP+가/JKS
살고	살/VV+고/EC
있는	있/VX+는/ETM
플로리다주	플로리다주/NNP
플로럴에도	플로럴/NNP+에/JKB+도/JX
2008년	2008/SN+년/NNB
금융위기로	금융/NNG+위기/NNG+로/JKB
“많은	“/SS+많/VA+은/ETM
가게들이	가게/NNG+들/XSN+이/JKS
문을	문/NNG+을/JKO
닫았고,	닫/VV+았/EP+고/EC+,/SP
많은	많/VA+은/ETM
이웃들이	이웃/NNG+들/XSN+이/JKS
집을	집/NNG+을/JKO
잃었다”고	잃/VV+었/EP+다/EF+”/SS+고/JKQ
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.82.15.5
연금을 받을 수 있는 그는 행복한 편이다.

연금을	연금/NNG+을/JKO
받을	받/VV+을/ETM
수	수/NNB
있는	있/VA+는/ETM
그는	그/NP+는/JX
행복한	행복/NNG+하/XSA+ㄴ/ETM
편이다.	편/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000052.82.15.6
리아는 “많은 사람들은 시간당 7달러의 저임금을 받으며 힘들게 산다.

리아는	리아/NNP+는/JX
“많은	“/SS+많/VA+은/ETM
사람들은	사람/NNG+들/XSN+은/JX
시간당	시간/NNG+당/XSN
7달러의	7/SN+달러/NNB+의/JKG
저임금을	저/XPN+임금/NNG+을/JKO
받으며	받/VV+으며/EC
힘들게	힘들/VA+게/EC
산다.	살/VV+ㄴ다/EF+./SF


# id : NWRW1800000052.82.15.7
정치와 금융자본의 결탁으로 많은 사람들이 그들의 돈을 도둑맞고 있다”고 말했다.

정치와	정치/NNG+와/JC
금융자본의	금융/NNG+자본/NNG+의/JKG
결탁으로	결탁/NNG+으로/JKB
많은	많/VA+은/ETM
사람들이	사람/NNG+들/XSN+이/JKS
그들의	그/NP+들/XSN+의/JKG
돈을	돈/NNG+을/JKO
도둑맞고	도둑맞/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.82.16.1
행진대열이 펜실베니아 주립대학 앞을 지나면서 시위대들이 외치는 “이것이 민주주의다”,“1인1표” 등의 구호 소리가 커졌다.

행진대열이	행진/NNG+대열/NNG+이/JKS
펜실베니아	펜실베니아/NNP
주립대학	주립/NNG+대학/NNG
앞을	앞/NNG+을/JKO
지나면서	지나/VV+면서/EC
시위대들이	시위대/NNG+들/XSN+이/JKS
외치는	외치/VV+는/ETM
“이것이	“/SS+이것/NP+이/JKS
민주주의다”,“1인1표”	민주주의/NNG+이/VCP+다/EF+”/SS+,/SP+“/SS+1/SN+인/NNG+1/SN+표/NNG+”/SS
등의	등/NNB+의/JKG
구호	구호/NNG
소리가	소리/NNG+가/JKS
커졌다.	커지/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.82.16.2
슈퍽팩이 존재하는 한, 모든 사람이 ‘1인1표’의 동등한 목소리를 낼 수 없다는 게 이들의 주장이다.

슈퍽팩이	슈퍽팩/NNP+이/JKS
존재하는	존재/NNG+하/XSV+는/ETM
한,	한/NNG+,/SP
모든	모든/MMN
사람이	사람/NNG+이/JKS
‘1인1표’의	‘/SS+1/SN+인/NNG+1/SN+표/NNG+’/SS+의/JKG
동등한	동등/NNG+하/XSA+ㄴ/ETM
목소리를	목소리/NNG+를/JKO
낼	내/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
게	거/NNB+이/JKS
이들의	이/NP+들/XSN+의/JKG
주장이다.	주장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000052.82.17.1
이번 캠페인에는 퍼블릭 시티즌, 무브온 등 미국의 내로라 하는 시민단체와 미국 최대 노조인 산별노조총연맹(AFL-CIO) 등 120여곳이 지지선언을 했다.

이번	이번/NNG
캠페인에는	캠페인/NNG+에/JKB+는/JX
퍼블릭	퍼블릭/NNG
시티즌,	시티즌/NNG+,/SP
무브온	무브온/NNP
등	등/NNB
미국의	미국/NNP+의/JKG
내로라	내로라/XR
하는	하/VV+는/ETM
시민단체와	시민/NNG+단체/NNG+와/JC
미국	미국/NNP
최대	최대/NNG
노조인	노조/NNG+이/VCP+ㄴ/ETM
산별노조총연맹(AFL-CIO)	산별노조총연맹/NNP+(/SS+AFL/SL+-/SO+CIO/SL+)/SS
120여곳이	120/SN+여/XSN+곳/NNG+이/JKS
지지선언을	지지/NNG+선언/NNG+을/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.82.18.1
이번 캠페인의 현장 책임자인 헨리 자크즈는 “우리는 초당파를 지향한다”며 “도널드 트럼프 지지자라도 돈선거에 반대한다면 참여를 환영한다”고 말했다.

이번	이번/NNG
캠페인의	캠페인/NNG+의/JKG
현장	현장/NNG
책임자인	책임자/NNG+이/VCP+ㄴ/ETM
헨리	헨리/NNP
자크즈는	자크즈/NNP+는/JX
“우리는	“/SS+우리/NP+는/JX
초당파를	초/XPN+당파/NNG+를/JKO
지향한다”며	지향/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“도널드	“/SS+도널드/NNP
트럼프	트럼프/NNP
지지자라도	지지자/NNG+이/VCP+라도/EC
돈선거에	돈선거/NNG+에/JKB
반대한다면	반대/NNG+하/XSV+ㄴ다면/EC
참여를	참여/NNG+를/JKO
환영한다”고	환영/NNG+하/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


