# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.71
metadata : {}


# id : NWRW1800000033.71.1.1
유대인 앞에 선 오바마“이란공격 주저 않을 것”

유대인	유대인/NNP
이란에	이란/NNP+에/JKB
대한	대하/VV+ㄴ/ETM
군사공격	군사/NNG+공격/NNG
가능성을	가능/NNG+성/XSN+을/JKO
거듭	거듭/MAG
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.71.4.2
이에 앞서 5분 동안 상영된 동영상 다큐멘터리에서 폴란드에서 태어난 페레스 대통령이 11세 때 팔레스타인에서 할아버지와 할머니를 만나는 장면이 나오자 장내에선 참석자들이 감정에 북받쳐 흐느끼는 소리도 들렸다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
5분	5/SN+분/NNB
동안	동안/NNG
상영된	상영/NNG+되/XSV+ㄴ/ETM
동영상	동영상/NNG
다큐멘터리에서	다큐멘터리/NNG+에서/JKB
폴란드에서	폴란드/NNP+에서/JKB
태어난	태어나/VV+ㄴ/ETM
페레스	페레스/NNP
대통령이	대통령/NNG+이/JKS
11세	11/SN+세/NNB
때	때/NNG
팔레스타인에서	팔레스타인/NNP+에서/JKB
할아버지와	할아버지/NNG+와/JC
할머니를	할머니/NNG+를/JKO
만나는	만나/VV+는/ETM
장면이	장면/NNG+이/JKS
나오자	나오/VV+자/EC
장내에선	장내/NNG+에서/JKB+ㄴ/JX
참석자들이	참석자/NNG+들/XSN+이/JKS
감정에	감정/NNG+에/JKB
북받쳐	북받치/VV+어/EC
흐느끼는	흐느끼/VV+는/ETM
소리도	소리/NNG+도/JX
들렸다.	들리/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.71.4.3
페레스 대통령은 “이란은 중동을 지배하려는 사악하고 잔인하며 도덕적으로 부패한 정권이다.

페레스	페레스/NNP
대통령은	대통령/NNG+은/JX
“이란은	“/SS+이란/NNP+은/JX
중동을	중동/NNP+을/JKO
지배하려는	지배/NNG+하/XSV+려는/ETM
사악하고	사악/NNG+하/XSA+고/EC
잔인하며	잔인/NNG+하/XSA+며/EC
도덕적으로	도덕/NNG+적/XSN+으로/JKB
부패한	부패/NNG+하/XSV+ㄴ/ETM
정권이다.	정권/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.71.4.4
이란은 테러의 중심이자 자금지원 세력으로 전 세계에 위험한 존재다.

이란은	이란/NNP+은/JX
테러의	테러/NNG+의/JKG
중심이자	중심/NNG+이/VCP+자/EC
자금지원	자금/NNG+지원/NNG
세력으로	세력/NNG+으로/JKB
전	전/MMN
세계에	세계/NNG+에/JKB
위험한	위험/NNG+하/XSA+ㄴ/ETM
존재다.	존재/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.71.4.5
이스라엘뿐 아니라 베를린과 마드리드 뉴델리 방콕까지 위협하고 있다”고 맹비난했다.

이스라엘뿐	이스라엘/NNP+뿐/JX
아니라	아니/VCN+라/EC
베를린과	베를린/NNP+과/JC
마드리드	마드리드/NNP
뉴델리	뉴델리/NNP
방콕까지	방콕/NNP+까지/JX
위협하고	위협/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
맹비난했다.	맹비난/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.71.4.6
그러면서 “미국과 이스라엘은 이란의 핵 개발 저지라는 목표에서 한 치의 의견차도 없다”고 미국과의 빈틈없는 동맹을 강조했다.

그러면서	그러/VV+면서/EC
“미국과	“/SS+미국/NNP+과/JC
이스라엘은	이스라엘/NNP+은/JX
이란의	이란/NNP+의/JKG
핵	핵/NNG
개발	개발/NNG
저지라는	저지/NNG+이/VCP+라는/ETM
목표에서	목표/NNG+에서/JKB
한	한/MMN
치의	치/NNB+의/JKG
의견차도	의견/NNG+차/NNG+도/JX
없다”고	없/VA+다/EF+”/SS+고/JKQ
미국과의	미국/NNP+과/JKB+의/JKG
빈틈없는	빈틈없/VA+는/ETM
동맹을	동맹/NNG+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.71.5.1
이어 연단에 오른 오바마 대통령은 “미국의 국익과 이스라엘의 국익은 동일하다”고 화답했다.

이어	이어/MAG
연단에	연단/NNG+에/JKB
오른	오르/VV+ㄴ/ETM
오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
“미국의	“/SS+미국/NNP+의/JKG
국익과	국익/NNG+과/JC
이스라엘의	이스라엘/NNP+의/JKG
국익은	국익/NNG+은/JX
동일하다”고	동일/NNG+하/XSA+다/EF+”/SS+고/JKQ
화답했다.	화답/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.71.5.2
그러면서 “미국과 미국의 이익을 지키기 위해 필요하다면 무력 사용을 주저하지 않겠다”고 말했다.

그러면서	그러/VV+면서/EC
“미국과	“/SS+미국/NNP+과/JC
미국의	미국/NNP+의/JKG
이익을	이익/NNG+을/JKO
지키기	지키/VV+기/ETN
위해	위하/VV+아/EC
필요하다면	필요/NNG+하/XSA+다면/EC
무력	무력/NNG
사용을	사용/NNG+을/JKO
주저하지	주저/NNG+하/XSV+지/EC
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.71.5.3
이어 “이란 핵무기 보유를 막기 위해서라면 어떤 수단도 (정책을 고려하는) 테이블에서 내려놓지 않을 것”이라고도 했다.

이어	이어/MAG
“이란	“/SS+이란/NNP
핵무기	핵무기/NNG
보유를	보유/NNG+를/JKO
막기	막/VV+기/ETN
위해서라면	위하/VV+아서/EC+이/VCP+라면/EC
어떤	어떤/MMD
수단도	수단/NNG+도/JX
(정책을	(/SS+정책/NNG+을/JKO
고려하는)	고려/NNG+하/XSV+는/ETM+)/SS
테이블에서	테이블/NNG+에서/JKB
내려놓지	내려놓/VV+지/EC
않을	않/VX+을/ETM
것”이라고도	것/NNB+”/SS+이라고/JKQ+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.71.5.4
군사적인 대응뿐 아니라 이란을 고립시키는 정치적인 노력과 국제연대, 이란 핵무기 프로그램을 감시하는 외교적인 노력과 경제 제재까지 모두 병행하겠다는 뜻이다.

군사적인	군사/NNG+적/XSN+이/VCP+ㄴ/ETM
대응뿐	대응/NNG+뿐/JX
아니라	아니/VCN+라/EC
이란을	이란/NNP+을/JKO
고립시키는	고립/NNG+시키/XSV+는/ETM
정치적인	정치/NNG+적/XSN+이/VCP+ㄴ/ETM
노력과	노력/NNG+과/JC
국제연대,	국제/NNG+연대/NNG+,/SP
이란	이란/NNP
핵무기	핵무기/NNG
프로그램을	프로그램/NNG+을/JKO
감시하는	감시/NNG+하/XSV+는/ETM
외교적인	외교/NNG+적/XSN+이/VCP+ㄴ/ETM
경제	경제/NNG
제재까지	제재/NNG+까지/JX
모두	모두/MAG
병행하겠다는	병행/NNG+하/XSV+겠/EP+다는/ETM
뜻이다.	뜻/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000033.71.5.5
오바마 대통령은 이날 “나는 이스라엘을 지지한다”는 말을 수차례 반복해 참석자들의 환호와 박수를 받았다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
이날	이날/NNG
“나는	“/SS+나/NP+는/JX
이스라엘을	이스라엘/NNP+을/JKO
지지한다”는	지지/NNG+하/XSV+ㄴ다/EF+”/SS+는/ETM
말을	말/NNG+을/JKO
수차례	수차례/NNG
반복해	반복/NNG+하/XSV+아/EC
참석자들의	참석자/NNG+들/XSN+의/JKG
환호와	환호/NNG+와/JC
박수를	박수/NNG+를/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.71.5.6
중동 해법과 친이스라엘 정책이 예전만 같지 못하다는 유대인들의 우려를 달래는 데 신경을 쓰는 게 역력했다.

중동	중동/NNP
해법과	해법/NNG+과/JKB
친이스라엘	친/XPN+이스라엘/NNP
정책이	정책/NNG+이/JKS
예전만	예전/NNG+만/JX
같지	같/VA+지/EC
못하다는	못하/VX+다는/ETM
유대인들의	유대인/NNP+들/XSN+의/JKG
우려를	우려/NNG+를/JKO
달래는	달래/VV+는/ETM
데	데/NNB
신경을	신경/NNG+을/JKO
쓰는	쓰/VV+는/ETM
게	거/NNB+이/JKS
역력했다.	역력하/VA+았/EP+다/EF+./SF


# id : NWRW1800000033.71.5.7
오바마 대통령은 이튿날인 5일 베냐민 네타냐후 이스라엘 총리와 정상회담을 가졌다.

오바마	오바마/NNP
대통령은	대통령/NNG+은/JX
이튿날인	이튿날/NNG+이/VCP+ㄴ/ETM
5일	5/SN+일/NNB
베냐민	베냐민/NNP
네타냐후	네타냐후/NNP
이스라엘	이스라엘/NNP
총리와	총리/NNG+와/JKB
정상회담을	정상/NNG+회담/NNG+을/JKO
가졌다.	가지/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.71.6.1
미국 내 한국동포의 정치적 위상을 강화하기 위한 네트워크를 구축하려고 AIPAC 총회에 매년 참가하고 있는 김동석 뉴욕한인유권자센터 상임이사는 “페레스 대통령은 오바마 대통령을 앉혀놓고 ‘이란 핵 개발은 이스라엘의 이슈가 아닌 미국의 이슈’라며 압박했다.

미국	미국/NNP
내	내/NNB
한국동포의	한국/NNP+동포/NNG+의/JKG
정치적	정치/NNG+적/XSN
위상을	위상/NNG+을/JKO
강화하기	강화/NNG+하/XSV+기/ETN
위한	위하/VV+ㄴ/ETM
네트워크를	네트워크/NNG+를/JKO
구축하려고	구축/NNG+하/XSV+려고/EC
AIPAC	AIPAC/SL
총회에	총회/NNG+에/JKB
매년	매년/MAG
참가하고	참가/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
김동석	김동석/NNP
뉴욕한인유권자센터	뉴욕한인유권자센터/NNP
상임이사는	상임/NNG+이사/NNG+는/JX
“페레스	“/SS+페레스/NNP
대통령은	대통령/NNG+은/JX
오바마	오바마/NNP
대통령을	대통령/NNG+을/JKO
앉혀놓고	앉히/VV+어/EC+놓/VX+고/EC
‘이란	‘/SS+이란/NNP
핵	핵/NNG
개발은	개발/NNG+은/JX
이스라엘의	이스라엘/NNP+의/JKG
이슈가	이슈/NNG+가/JKC
아닌	아니/VCN+ㄴ/ETM
미국의	미국/NNP+의/JKG
이슈’라며	이슈/NNG+’/SS+이/VCP+라며/EC
압박했다.	압박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.71.6.2
그는 이번 회의를 미국 대통령과 국방장관이 주도적으로 미국과 이스라엘의 관계를 개선해야 한다는 메시지를 던지는 기회로 활용했다”고 말했다.

그는	그/NP+는/JX
이번	이번/NNG
회의를	회의/NNG+를/JKO
미국	미국/NNP
대통령과	대통령/NNG+과/JC
국방장관이	국방/NNG+장관/NNG+이/JKS
주도적으로	주도/NNG+적/XSN+으로/JKB
미국과	미국/NNP+과/JC
이스라엘의	이스라엘/NNP+의/JKG
관계를	관계/NNG+를/JKO
개선해야	개선/NNG+하/XSV+아야/EC
한다는	하/VX+ㄴ다는/ETM
메시지를	메시지/NNG+를/JKO
던지는	던지/VV+는/ETM
기회로	기회/NNG+로/JKB
활용했다”고	활용/NNG+하/XSV+았/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.71.7.1
이번 총회에서 AIPAC는 총 3억 달러(약 3360억 원)의 로비자금을 만든다는 목표를 세웠다.

이번	이번/NNG
총회에서	총회/NNG+에서/JKB
AIPAC는	AIPAC/SL+는/JX
총	총/MMA
3억	3/SN+억/NR
달러(약	달러/NNB+(/SS+약/MMA
3360억	3360/SN+억/NR
원)의	원/NNB+)/SS+의/JKG
로비자금을	로비/NNG+자금/NNG+을/JKO
만든다는	만들/VV+ㄴ다는/ETM
목표를	목표/NNG+를/JKO
세웠다.	세우/VV+었/EP+다/EF+./SF


# id : NWRW1800000033.71.7.2
총회 기간에 미 상하원 의원 350여 명이 참석하고 미치 매코넬 공화당 상원 원내대표와 낸시 펠로시 민주당 하원 원내대표, 조지프 리버먼 상원 국토안보위원장이 연설한다.

총회	총회/NNG
기간에	기간/NNG+에/JKB
미	미/NNP
상하원	상하원/NNG
의원	의원/NNG
350여	350/SN+여/XSN
명이	명/NNB+이/JKS
참석하고	참석/NNG+하/XSV+고/EC
미치	미치/NNP
매코넬	매코넬/NNP
공화당	공화당/NNP
상원	상원/NNG
원내대표와	원내/NNG+대표/NNG+와/JC
낸시	낸시/NNP
펠로시	펠로시/NNP
민주당	민주당/NNP
하원	하원/NNG
원내대표,	원내/NNG+대표/NNG+,/SP
조지프	조지프/NNP
리버먼	리버먼/NNP
국토안보위원장이	국토/NNG+안보/NNG+위원장/NNG+이/JKS
연설한다.	연설/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.71.8.1
마지막 날인 6일엔 패네타 장관과 칼 레빈 상원 군사위원장이 연설하기로 돼있다.

마지막	마지막/NNG
날인	날/NNG+이/VCP+ㄴ/ETM
6일엔	6/SN+일/NNB+에/JKB+ㄴ/JX
패네타	패네타/NNP
장관과	장관/NNG+과/JC
칼	칼/NNP
레빈	레빈/NNP
상원	상원/NNG
군사위원장이	군사/NNG+위원장/NNG+이/JKS
연설하기로	연설/NNG+하/XSV+기/ETN+로/JKB
돼있다.	되/VV+어/EC+있/VX+다/EF+./SF


# id : NWRW1800000033.71.8.2
공화당 후보들이 10개 주에서 경선을 치르는 ‘슈퍼 화요일’에는 밋 롬니 전 매사추세츠 주지사와 릭 샌토럼 전 상원의원, 뉴트 깅리치 전 하원의장이 영상 메시지를 보낸다.

공화당	공화당/NNP
후보들이	후보/NNG+들/XSN+이/JKS
10개	10/SN+개/NNB
주에서	주/NNG+에서/JKB
경선을	경선/NNG+을/JKO
치르는	치르/VV+는/ETM
‘슈퍼	‘/SS+슈퍼/NNG
화요일’에는	화요일/NNG+’/SS+에/JKB+는/JX
밋	밋/NNP
롬니	롬니/NNP
전	전/MMD
매사추세츠	매사추세츠/NNP
주지사와	주지사/NNG+와/JC
릭	릭/NNP
샌토럼	샌토럼/NNP
상원의원,	상원/NNG+의원/NNG+,/SP
뉴트	뉴트/NNP
깅리치	깅리치/NNP
하원의장이	하원/NNG+의장/NNG+이/JKS
영상	영상/NNG
메시지를	메시지/NNG+를/JKO
보낸다.	보내/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.71.9.1
미국의 거물들이 이처럼 AIPAC에 한꺼번에 모이는 것은 유대인이 미국 전체 인구의 2.5%인 650만 명에 불과하지만 AIPAC의 막강한 조직력과 자금력이 미국 선거에 미치는 영향력이 워낙 크기 때문이다.

미국의	미국/NNP+의/JKG
거물들이	거물/NNG+들/XSN+이/JKS
이처럼	이/NP+처럼/JKB
AIPAC에	AIPAC/SL+에/JKB
한꺼번에	한꺼번에/MAG
모이는	모이/VV+는/ETM
것은	것/NNB+은/JX
유대인이	유대인/NNP+이/JKS
미국	미국/NNP
전체	전체/NNG
인구의	인구/NNG+의/JKG
2.5%인	2/SN+./SP+5/SN+%/SW+이/VCP+ㄴ/ETM
650만	650/SN+만/NR
명에	명/NNB+에/JKB
불과하지만	불과/MAG+하/XSA+지만/EC
AIPAC의	AIPAC/SL+의/JKG
막강한	막강/NNG+하/XSA+ㄴ/ETM
조직력과	조직력/NNG+과/JC
자금력이	자금력/NNG+이/JKS
선거에	선거/NNG+에/JKB
미치는	미치/VV+는/ETM
영향력이	영향력/NNG+이/JKS
워낙	워낙/MAG
크기	크/VA+기/ETN
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.71.9.2
‘로비 데이’로 정해진 행사 마지막 날은 의사당을 찾아 유력 의원들을 직접 만나 친이스라엘 정책을 주장한다.

‘로비	‘/SS+로비/NNG
데이’로	데이/NNG+’/SS+로/JKB
정해진	정하/VV+아/EC+지/VX+ㄴ/ETM
행사	행사/NNG
마지막	마지막/NNG
날은	날/NNG+은/JX
의사당을	의사당/NNG+을/JKO
찾아	찾/VV+아/EC
유력	유력/NNG
의원들을	의원/NNG+들/XSN+을/JKO
직접	직접/MAG
만나	만나/VV+아/EC
친이스라엘	친/XPN+이스라엘/NNP
정책을	정책/NNG+을/JKO
주장한다.	주장/NNG+하/XSV+ㄴ다/EF+./SF


