# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000041.104
metadata : {}


# id : NWRW1800000041.104.1.1
㈜씨크릿우먼, 업계 최초 ‘헤어패션’ 굿 디자인 어워드 수상

㈜씨크릿우먼,	㈜/SW+씨크릿우먼/NNP+,/SP
일종의	일종/NNG+의/JKG
미래패션이다.	미래/NNG+패션/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000041.104.4.3
몸매가 예뻐야 스타일리시한 패션이듯 두상이 먼저 갖춰지면 헤어웨어 패션도 스타일리시할 수밖에 없다는 역발상으로 고안해낸 콘셉트의 디자인이라고 김 대표는 설명했다.

몸매가	몸매/NNG+가/JKS
예뻐야	예쁘/VA+어야/EC
스타일리시한	스타일리시/NNG+하/XSA+ㄴ/ETM
패션이듯	패션/NNG+이/VCP+듯/EC
두상이	두상/NNG+이/JKS
먼저	먼저/MAG
갖춰지면	갖추/VV+어/EC+지/VX+면/EC
헤어웨어	헤어웨어/NNG
패션도	패션/NNG+도/JX
스타일리시할	스타일리시/NNG+하/XSA+ㄹ/ETM
수밖에	수/NNB+밖에/JX
없다는	없/VA+다는/ETM
역발상으로	역발상/NNG+으로/JKB
고안해낸	고안/NNG+하/XSV+아/EC+내/VX+ㄴ/ETM
콘셉트의	콘셉트/NNG+의/JKG
디자인이라고	디자인/NNG+이/VCP+라고/EC
김	김/NNP
대표는	대표/NNG+는/JX
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.104.5.1
씨크릿우먼에서 출품한 헤어웨어는 그간 가발 장르에서는 생각해 볼 수 없었던 차별화된 시도로 ‘굿 디자인 어워드’에서 제품의 기능이 인체공학과 미학을 디자인적으로 융합해 그 가치를 인정받았다는 것에 큰 의미가 있다.

씨크릿우먼에서	씨크릿우먼/NNP+에서/JKB
출품한	출품/NNG+하/XSV+ㄴ/ETM
헤어웨어는	헤어웨어/NNG+는/JX
그간	그/NP+간/XSN
가발	가발/NNG
장르에서는	장르/NNG+에서/JKB+는/JX
생각해	생각/NNG+하/XSV+아/EC
볼	보/VX+ㄹ/ETM
수	수/NNB
없었던	없/VA+었/EP+던/ETM
차별화된	차별/NNG+화/XSN+되/XSV+ㄴ/ETM
시도로	시도/NNG+로/JKB
‘굿	‘/SS+굿/NNG
디자인	디자인/NNG
어워드’에서	어워드/NNG+’/SS+에서/JKB
제품의	제품/NNG+의/JKG
기능이	기능/NNG+이/JKS
인체공학과	인체/NNG+공학/NNG+과/JC
미학을	미학/NNG+을/JKO
디자인적으로	디자인/NNG+적/XSN+으로/JKB
융합해	융합/NNG+하/XSV+아/EC
그	그/MMD
가치를	가치/NNG+를/JKO
인정받았다는	인정/NNG+받/XSV+았/EP+다는/ETM
것에	것/NNB+에/JKB
큰	크/VA+ㄴ/ETM
의미가	의미/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000041.104.6.1
김 대표는 “이번 디자인 어워드에 출품한 두상성형 볼륨디자인은 가발이 초가집 이미지라면 헤어웨어는 기와집 형태의 이미지를 연출한 것으로, 입으면 격이 다른 이미지를 연출하기 위해 그동아 기울인 개발의 시간과 노력에 대한 보상이다”며 “굿 디자인 선정을 통해 헤어웨어 디자인 전문기업임을 인정받는 기회”라며 굿 디자인 선정을 진심으로 환영한다고 밝혔다.

김	김/NNP
대표는	대표/NNG+는/JX
“이번	“/SS+이번/NNG
디자인	디자인/NNG
어워드에	어워드/NNG+에/JKB
출품한	출품/NNG+하/XSV+ㄴ/ETM
두상성형	두상/NNG+성형/NNG
볼륨디자인은	볼륨/NNG+디자인/NNG+은/JX
가발이	가발/NNG+이/JKS
초가집	초가집/NNG
이미지라면	이미지/NNG+이/VCP+라면/EC
헤어웨어는	헤어웨어/NNG+는/JX
기와집	기와집/NNG
형태의	형태/NNG+의/JKG
이미지를	이미지/NNG+를/JKO
연출한	연출/NNG+하/XSV+ㄴ/ETM
것으로,	것/NNB+으로/JKB+,/SP
입으면	입/VV+으면/EC
격이	격/NNG+이/JKS
다른	다른/MMD
연출하기	연출/NNG+하/XSV+기/ETN
위해	위하/VV+아/EC
그동아	그동아/NNG
기울인	기울이/VV+ㄴ/ETM
개발의	개발/NNG+의/JKG
시간과	시간/NNG+과/JC
노력에	노력/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
보상이다”며	보상/NNG+이/VCP+다/EF+”/SS+며/EC
“굿	“/SS+굿/NNG
선정을	선정/NNG+을/JKO
통해	통하/VV+아/EC
헤어웨어	헤어웨어/NNG
전문기업임을	전문/NNG+기업/NNG+이/VCP+ㅁ/ETN+을/JKO
인정받는	인정/NNG+받/XSV+는/ETM
기회”라며	기회/NNG+”/SS+이/VCP+라며/EC
굿	굿/NNG
진심으로	진심/NNG+으로/JKB
환영한다고	환영/NNG+하/XSV+ㄴ다고/EC
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000041.104.7.1
씨크릿우먼 헤어웨어는 이미 유통채널에서 그 가치를 인정받아 ‘빅3’ 백화점에 30개 매장이 운영되고 있으며 매장마다 마니아 고객들이 유통사 신규 고객 창출을 하며 매출 성장세를 이어가고 있다.

씨크릿우먼	씨크릿우먼/NNP
헤어웨어는	헤어웨어/NNG+는/JX
이미	이미/MAG
유통채널에서	유통/NNG+채널/NNG+에서/JKB
그	그/MMD
가치를	가치/NNG+를/JKO
인정받아	인정/NNG+받/XSV+아/EC
‘빅3’	‘/SS+빅/NNG+3/SN+’/SS
백화점에	백화점/NNG+에/JKB
30개	30/SN+개/NNB
매장이	매장/NNG+이/JKS
운영되고	운영/NNG+되/XSV+고/EC
있으며	있/VX+으며/EC
매장마다	매장/NNG+마다/JX
마니아	마니아/NNG
고객들이	고객/NNG+들/XSN+이/JKS
유통사	유통사/NNG
신규	신규/NNG
고객	고객/NNG
창출을	창출/NNG+을/JKO
하며	하/VV+며/EC
매출	매출/NNG
성장세를	성장세/NNG+를/JKO
이어가고	잇/VV+어/EC+가/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000041.104.7.2
김 대표는 “우리 헤어웨어의 두상성형 볼륨 콘셉트 스타일이 가발에서는 느낄 수 없을 뿐 아니라 스타일 만족도가 뛰어나기 때문에 헤어웨어 스타일에 만족한 고객들 사이에 닉네임이 ‘마약스타일’이라고 한다.

김	김/NNP
대표는	대표/NNG+는/JX
“우리	“/SS+우리/NP
헤어웨어의	헤어웨어/NNG+의/JKG
두상성형	두상/NNG+성형/NNG
볼륨	볼륨/NNG
콘셉트	콘셉트/NNG
스타일이	스타일/NNG+이/JKS
가발에서는	가발/NNG+에서/JKB+는/JX
느낄	느끼/VV+ㄹ/ETM
수	수/NNB
없을	없/VA+을/ETM
뿐	뿐/NNB
아니라	아니/VCN+라/EC
스타일	스타일/NNG
만족도가	만족도/NNG+가/JKS
뛰어나기	뛰어나/VA+기/ETN
때문에	때문/NNB+에/JKB
헤어웨어	헤어웨어/NNG
스타일에	스타일/NNG+에/JKB
만족한	만족/NNG+하/XSA+ㄴ/ETM
고객들	고객/NNG+들/XSN
사이에	사이/NNG+에/JKB
닉네임이	닉네임/NNG+이/JKS
‘마약스타일’이라고	‘/SS+마약/NNG+스타일/NNG+’/SS+이라고/JKQ
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000041.104.7.3
한 번 맛을 들이면 도저히 헤어 나올 수 없다는 에피소드인 것”이라며 두꺼운 마니아 층을 강조했다.

한	한/MMN
번	번/NNB
맛을	맛/NNG+을/JKO
들이면	들이/VV+면/EC
도저히	도저히/MAG
헤어	헤/VV+어/EC
나올	나오/VV+ㄹ/ETM
수	수/NNB
없다는	없/VA+다는/ETM
에피소드인	에피소드/NNG+이/VCP+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
두꺼운	두껍/VA+ㄴ/ETM
마니아	마니아/NNG
층을	층/NNG+을/JKO
강조했다.	강조/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.104.8.1
김 대표는 ‘굿 디자인 어워드’ 수상을 통해 디자인 경영의 첫발을 내디뎠다며 앞으로 더욱 헤어웨어가 패션의 장르로서 건강한 진일보를 위해 디자인과 스타일 콘셉트 개발에 더욱 박차를 가할 예정이라고 말했다.

김	김/NNP
대표는	대표/NNG+는/JX
‘굿	‘/SS+굿/NNG
디자인	디자인/NNG
어워드’	어워드/NNG+’/SS
수상을	수상/NNG+을/JKO
통해	통하/VV+아/EC
경영의	경영/NNG+의/JKG
첫발을	첫발/NNG+을/JKO
내디뎠다며	내디디/VV+었/EP+다며/EC
앞으로	앞/NNG+으로/JKB
더욱	더욱/MAG
헤어웨어가	헤어웨어/NNG+가/JKS
패션의	패션/NNG+의/JKG
장르로서	장르/NNG+로서/JKB
건강한	건강/NNG+하/XSA+ㄴ/ETM
진일보를	진일보/NNG+를/JKO
위해	위하/VV+아/EC
디자인과	디자인/NNG+과/JC
스타일	스타일/NNG
콘셉트	콘셉트/NNG
개발에	개발/NNG+에/JKB
박차를	박차/NNG+를/JKO
가할	가하/VV+ㄹ/ETM
예정이라고	예정/NNG+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000041.104.8.2
두상성형 볼륨 콘셉트를 통한 디자인과 스타일의 차별화로 성공가도를 달리는 씨크릿우먼의 미래가 기대된다.

두상성형	두상/NNG+성형/NNG
볼륨	볼륨/NNG
콘셉트를	콘셉트/NNG+를/JKO
통한	통하/VV+ㄴ/ETM
디자인과	디자인/NNG+과/JC
스타일의	스타일/NNG+의/JKG
차별화로	차별/NNG+화/XSN+로/JKB
성공가도를	성공/NNG+가도/NNG+를/JKO
달리는	달리/VV+는/ETM
씨크릿우먼의	씨크릿우먼/NNP+의/JKG
미래가	미래/NNG+가/JKS
기대된다.	기대/NNG+되/XSV+ㄴ다/EF+./SF


