# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.21
metadata : {}


# id : NWRW1800000026.21.1.1
[기숙학원에서 합격을 꿈꾼다] 용인종로학원;3스텝(수업-자율학습-질문) 전략… 스스로 공부하는 힘 길러

[기숙학원에서	[/SS+기숙/NNG+학원/NNG+에서/JKB
독서실 자율학습은 생활지도강사가 직접 감독하며 오후 7시부터 10시 10분까지 교무실에서 영역별 강사와 1대 1로 대면하는 '질의응답 시간'을 따로 마련했다.

독서실	독서실/NNG
자율학습은	자율/NNG+학습/NNG+은/JX
생활지도강사가	생활/NNG+지도/NNG+강사/NNG+가/JKS
직접	직접/MAG
감독하며	감독/NNG+하/XSV+며/EC
오후	오후/NNG
7시부터	7/SN+시/NNB+부터/JX
10시	10/SN+시/NNB
10분까지	10/SN+분/NNB+까지/JX
교무실에서	교무실/NNG+에서/JKB
영역별	영역/NNG+별/XSN
강사와	강사/NNG+와/JKB
1대	1/SN+대/NNB
1로	1/SN+로/JKB
대면하는	대면/NNG+하/XSV+는/ETM
'질의응답	'/SS+질의응답/NNG
시간'을	시간/NNG+'/SS+을/JKO
따로	따로/MAG
마련했다.	마련/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.21.5.5
주말 자유시간에는 운동시설을 활용해 체력과 스트레스를 관리하며 3주 간격으로 정기외출을 실시한다.

주말	주말/NNG
자유시간에는	자유/NNG+시간/NNG+에/JKB+는/JX
운동시설을	운동/NNG+시설/NNG+을/JKO
활용해	활용/NNG+하/XSV+아/EC
체력과	체력/NNG+과/JC
스트레스를	스트레스/NNG+를/JKO
관리하며	관리/NNG+하/XSV+며/EC
3주	3/SN+주/NNB
간격으로	간격/NNG+으로/JKB
정기외출을	정기/NNG+외출/NNG+을/JKO
실시한다.	실시/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000026.21.6.1
●주소: 경기도 용인시 처인구 양지면 주북리 59-1

●주소:	●/SW+주소/NNG+:/SP
경기도	경기도/NNP
용인시	용인시/NNP
처인구	처인구/NNP
양지면	양지면/NNP
주북리	주북리/NNP
59-1	59/SN+-/SO+1/SN


# id : NWRW1800000026.21.7.1
●홈페이지: www.jongroedu.biz

●홈페이지:	●/SW+홈페이지/NNG+:/SP
www.jongroedu.biz	www/SL+./SP+jongroedu/SL+./SP+biz/SL


# id : NWRW1800000026.21.8.1
●문의: (031)323-1881, (080) 323-1881

●문의:	●/SW+문의/NNG+:/SP
(031)323-1881,	(/SS+031/SN+)/SS+323/SN+-/SO+1881/SN+,/SP
(080)	(/SS+080/SN+)/SS
323-1881	323/SN+-/SO+1881/SN


