# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000021.258
metadata : {}


# id : NWRW1800000021.258.1.1
[교육리딩기업이 뛴다]두산동아 “역시 두산…” 부동의 교과서 1위

[교육리딩기업이	[/SS+교육/NNG+리딩/NNG+기업/NNG+이/JKS
팔린	팔리/VV+ㄴ/ETM
초등학습	초등/NNG+학습/NNG
참고서인	참고서/NNG+이/VCP+ㄴ/ETM
동아전과는	동아전과/NNP+는/JX
1953년	1953/SN+년/NNB
첫	첫/MMN
출간된	출간/NNG+되/XSV+ㄴ/ETM
뒤	뒤/NNG
지금껏	지금껏/MAG
국내	국내/NNG
초등학생들의	초등학생/NNG+들/XSN+의/JKG
학습	학습/NNG
길잡이	길잡이/NNG
역할을	역할/NNG+을/JKO
해오고	하/VV+아/EC+오/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000021.258.6.4
매년 교육환경의 변화에 맞춰 발 빠르게 교재 내용을 업그레이드하고 서비스를 개선한 동아전과는 초등교육 현장에서 ‘제2의 교과서’로 불릴 정도다.

매년	매년/MAG
교육환경의	교육/NNG+환경/NNG+의/JKG
변화에	변화/NNG+에/JKB
맞춰	맞추/VV+어/EC
발	발/NNG
빠르게	빠르/VA+게/EC
교재	교재/NNG
내용을	내용/NNG+을/JKO
업그레이드하고	업그레이드/NNG+하/XSV+고/EC
서비스를	서비스/NNG+를/JKO
개선한	개선/NNG+하/XSV+ㄴ/ETM
동아전과는	동아전과/NNP+는/JX
초등교육	초등/NNG+교육/NNG
현장에서	현장/NNG+에서/JKB
‘제2의	‘/SS+제/XPN+2/SN+의/JKG
교과서’로	교과서/NNG+’/SS+로/JKB
불릴	불리/VV+ㄹ/ETM
정도다.	정도/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.258.7.1
2007년 처음 출시된 ‘백점맞는 시리즈’는 동아전과의 명성을 이은 초등교재.

2007년	2007/SN+년/NNB
처음	처음/NNG
출시된	출시/NNG+되/XSV+ㄴ/ETM
‘백점맞는	‘/SS+백/NR+점/NNB+맞/VV+는/ETM
시리즈’는	시리즈/NNG+’/SS+는/JX
동아전과의	동아전과/NNP+의/JKG
명성을	명성/NNG+을/JKO
이은	잇/VV+은/ETM
초등교재.	초등/NNG+교재/NNG+./SF


# id : NWRW1800000021.258.7.2
교과서의 개념과 유형을 한번에 공부할 수 있는 게 장점이다.

교과서의	교과서/NNG+의/JKG
개념과	개념/NNG+과/JC
유형을	유형/NNG+을/JKO
한번에	한번/NNG+에/JKB
공부할	공부/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있는	있/VA+는/ETM
게	거/NNB+이/JKS
장점이다.	장점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000021.258.7.3
백점맞는 시리즈는 출간 당시 교육인적자원부 후원 초등수학 부문 ‘교육산업대상’을 수상했고, 2008∼2009년 ‘학부모가 뽑은 올해의 교육브랜드’ 대상을 수상했다.

백점맞는	백/NR+점/NNB+맞/VV+는/ETM
시리즈는	시리즈/NNG+는/JX
출간	출간/NNG
당시	당시/NNG
교육인적자원부	교육/NNG+인/NNG+적/XSN+자원부/NNG
후원	후원/NNG
초등수학	초등/NNG+수학/NNG
부문	부문/NNG
‘교육산업대상’을	‘/SS+교육산업/NNG+대상/NNG+’/SS+을/JKO
수상했고,	수상/NNG+하/XSV+았/EP+고/EC+,/SP
2008∼2009년	2008/SN+∼/SO+2009/SN+년/NNB
‘학부모가	‘/SS+학부모/NNG+가/JKS
뽑은	뽑/VV+은/ETM
올해의	올해/NNG+의/JKG
교육브랜드’	교육/NNG+브랜드/NNG+’/SS
대상을	대상/NNG+을/JKO
수상했다.	수상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.258.7.4
또 ‘큐브수학’은 수준별 수학교재의 효시로 평가받는다.

또	또/MAG
‘큐브수학’은	‘/SS+큐브수학/NNP+’/SS+은/JX
수준별	수준/NNG+별/XSN
수학교재의	수학/NNG+교재/NNG+의/JKG
효시로	효시/NNG+로/JKB
평가받는다.	평가/NNG+받/XSV+는다/EF+./SF


# id : NWRW1800000021.258.8.1
두산동아는 1차 교육과정 때 검정 교과서 21종을 발행한 것을 시작으로 교육과정이 변할 때마다 그 핵심철학을 교과서에 구현해왔다.

두산동아는	두산동아/NNP+는/JX
1차	1/SN+차/NNB
교육과정	교육/NNG+과정/NNG
때	때/NNG
검정	검정/NNG
교과서	교과서/NNG
21종을	21/SN+종/NNG+을/JKO
발행한	발행/NNG+하/XSV+ㄴ/ETM
것을	것/NNB+을/JKO
시작으로	시작/NNG+으로/JKB
교육과정이	교육/NNG+과정/NNG+이/JKS
변할	변하/VV+ㄹ/ETM
때마다	때/NNG+마다/JX
그	그/MMD
핵심철학을	핵심/NNG+철학/NNG+을/JKO
교과서에	교과서/NNG+에/JKB
구현해왔다.	구현/NNG+하/XSV+아/EC+오/VX+았/EP+다/EF+./SF


# id : NWRW1800000021.258.8.2
올해도 국정교과서 발행부수 1위, 검정교과서 국내점유율 1위로 대한민국 교과서의 움직이지 않는 중심에 서있다.

올해도	올해/NNG+도/JX
국정교과서	국정/NNG+교과서/NNG
발행부수	발행/NNG+부수/NNG
1위,	1/SN+위/NNB+,/SP
검정교과서	검정/NNG+교과서/NNG
국내점유율	국내/NNG+점유/NNG+율/XSN
1위로	1/SN+위/NNB+로/JKB
대한민국	대한민국/NNP
교과서의	교과서/NNG+의/JKG
움직이지	움직이/VV+지/EC
않는	않/VX+는/ETM
중심에	중심/NNG+에/JKB
서있다.	서/VV+어/EC+있/VX+다/EF+./SF


# id : NWRW1800000021.258.8.3
성낙양 두산동아 대표는 “건강한 지식을 전달하는 교육문화기업의 면모를 갖추기 위해 노력을 계속할 것”이라며 “이를 위해 모든 임직원은 ‘열정, 창의력, 자기계발, 고객감동, 재미’라는 가치에 맞춰 변화를 선도하고 있다”고 말했다.

성낙양	성낙양/NNP
두산동아	두산동아/NNP
대표는	대표/NNG+는/JX
“건강한	“/SS+건강/NNG+하/XSA+ㄴ/ETM
지식을	지식/NNG+을/JKO
전달하는	전달/NNG+하/XSV+는/ETM
교육문화기업의	교육/NNG+문화/NNG+기업/NNG+의/JKG
면모를	면모/NNG+를/JKO
갖추기	갖추/VV+기/ETN
위해	위하/VV+아/EC
노력을	노력/NNG+을/JKO
계속할	계속/NNG+하/XSV+ㄹ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“이를	“/SS+이/NP+를/JKO
모든	모든/MMN
임직원은	임직원/NNG+은/JX
‘열정,	‘/SS+열정/NNG+,/SP
창의력,	창의력/NNG+,/SP
자기계발,	자기/NNG+계발/NNG+,/SP
고객감동,	고객/NNG+감동/NNG+,/SP
재미’라는	재미/NNG+’/SS+이/VCP+라는/ETM
가치에	가치/NNG+에/JKB
맞춰	맞추/VV+어/EC
변화를	변화/NNG+를/JKO
선도하고	선도/NNG+하/XSV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000021.258.9.1
○ 자녀와 부모가 행복한 사회를 만든다

○	○/SW
자녀와	자녀/NNG+와/JC
부모가	부모/NNG+가/JKS
행복한	행복/NNG+하/XSA+ㄴ/ETM
사회를	사회/NNG+를/JKO
만든다	만들/VV+ㄴ다/EF


# id : NWRW1800000021.258.10.1
교육기업의 사회적 책임을 인식하고 건강한 사회 만들기에 앞장선다는 두산동아의 가치 추구방향은 구체적인 행동으로 나타난다.

교육기업의	교육/NNG+기업/NNG+의/JKG
사회적	사회/NNG+적/XSN
책임을	책임/NNG+을/JKO
인식하고	인식/NNG+하/XSV+고/EC
건강한	건강/NNG+하/XSA+ㄴ/ETM
사회	사회/NNG
만들기에	만들/VV+기/ETN+에/JKB
앞장선다는	앞장서/VV+ㄴ다는/ETM
두산동아의	두산동아/NNP+의/JKG
가치	가치/NNG
추구방향은	추구/NNG+방향/NNG+은/JX
구체적인	구체/NNG+적/XSN+이/VCP+ㄴ/ETM
행동으로	행동/NNG+으로/JKB
나타난다.	나타나/VV+ㄴ다/EF+./SF


# id : NWRW1800000021.258.10.2
전 임직원의 급여에서 매달 일정액을 적립해 교육청이 선정한 모범 초등학생에게 장학금을 지원하고 있는 것.

전	전/MMN
임직원의	임직원/NNG+의/JKG
급여에서	급여/NNG+에서/JKB
매달	매달/MAG
일정액을	일정액/NNG+을/JKO
적립해	적립/NNG+하/XSV+아/EC
교육청이	교육청/NNG+이/JKS
선정한	선정/NNG+하/XSV+ㄴ/ETM
모범	모범/NNG
초등학생에게	초등학생/NNG+에게/JKB
장학금을	장학금/NNG+을/JKO
지원하고	지원/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것.	것/NNB+./SF


# id : NWRW1800000021.258.10.3
선정된 학생에게는 고등학교 졸업 때까지 매 학기 모든 참고서를 후원하기도 한다.

선정된	선정/NNG+되/XSV+ㄴ/ETM
학생에게는	학생/NNG+에게/JKB+는/JX
고등학교	고등학교/NNG
졸업	졸업/NNG
때까지	때/NNG+까지/JX
매	매/MMD
학기	학기/NNG
모든	모든/MMN
참고서를	참고서/NNG+를/JKO
후원하기도	후원/NNG+하/XSV+기/ETN+도/JX
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000021.258.10.4
이런 활동은 해외에까지 이어져, 베트남 하노이 한국학교에 매 학기 학습 참고서, 자습서, 국어사전, 아동전집류 등 도서 2000여 권을 무상 지원한다.

이런	이런/MMD
활동은	활동/NNG+은/JX
해외에까지	해외/NNG+에/JKB+까지/JX
이어져,	이어지/VV+어/EC+,/SP
베트남	베트남/NNP
하노이	하노이/NNP
한국학교에	한국/NNP+학교/NNG+에/JKB
매	매/MMD
학기	학기/NNG
학습	학습/NNG
참고서,	참고서/NNG+,/SP
자습서,	자습서/NNG+,/SP
국어사전,	국어사전/NNG+,/SP
아동전집류	아동/NNG+전집/NNG+류/XSN
등	등/NNB
도서	도서/NNG
2000여	2000/SN+여/XSN
권을	권/NNB+을/JKO
무상	무상/NNG
지원한다.	지원/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.258.10.5
모그룹인 두산그룹의 연강재단과 연계해 △저소득층자녀 방과후 학교 지원 △체육꿈나무 장학금 △두산어린이장학금 △초중고 교사 연수 프로그램 운영 등 활동에도 협력한다.

모그룹인	모그룹/NNG+이/VCP+ㄴ/ETM
두산그룹의	두산그룹/NNP+의/JKG
연강재단과	연강/NNP+재단/NNG+과/JKB
연계해	연계/NNG+하/XSV+아/EC
△저소득층자녀	△/SW+저/XPN+소득/NNG+층/XSN+자녀/NNG
방과후	방과/NNG+후/NNG
학교	학교/NNG
지원	지원/NNG
△체육꿈나무	△/SW+체육/NNG+꿈나무/NNG
장학금	장학금/NNG
△두산어린이장학금	△/SW+두산/NNP+어린이/NNG+장학금/NNG
△초중고	△/SW+초중고/NNG
교사	교사/NNG
연수	연수/NNG
프로그램	프로그램/NNG
운영	운영/NNG
등	등/NNB
활동에도	활동/NNG+에/JKB+도/JX
협력한다.	협력/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000021.258.11.1
한편, 두산동아는 ‘자녀를 행복하게 하는 법’을 모토로 지난해 ‘백점엄마 코칭 워크샵’을 열어 어머니들의 큰 호응을 얻었다.

한편,	한편/MAG+,/SP
두산동아는	두산동아/NNP+는/JX
‘자녀를	‘/SS+자녀/NNG+를/JKO
행복하게	행복/NNG+하/XSA+게/EC
하는	하/VX+는/ETM
법’을	법/NNB+’/SS+을/JKO
모토로	모토/NNG+로/JKB
지난해	지난해/NNG
‘백점엄마	‘/SS+백/NR+점/NNB+엄마/NNG
코칭	코칭/NNG
워크샵’을	워크샵/NNG+’/SS+을/JKO
열어	열/VV+어/EC
어머니들의	어머니/NNG+들/XSN+의/JKG
큰	크/VA+ㄴ/ETM
호응을	호응/NNG+을/JKO
얻었다.	얻/VV+었/EP+다/EF+./SF


# id : NWRW1800000021.258.11.2
올해는 블로그를 통해 학부모 교육을 더욱 강화하고 있다.

올해는	올해/NNG+는/JX
블로그를	블로그/NNG+를/JKO
통해	통하/VV+아/EC
학부모	학부모/NNG
교육을	교육/NNG+을/JKO
더욱	더욱/MAG
강화하고	강화/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


