# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.122
metadata : {}


# id : NWRW1800000028.122.1.1
“리움 관장님, 꼭 보러오세요”

“리움	“/SS+리움/NNP
전시장,	전시장/NNG+,/SP
스튜디오,	스튜디오/NNG+,/SP
카페가	카페/NNG+가/JKC
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.122.5.5
옛 삶의 흔적은 보존하고 그 위에 꿀 대신 ‘쿨’한 작품들이 뒤덮는다.

옛	옛/MMA
삶의	삶/NNG+의/JKG
흔적은	흔적/NNG+은/JX
보존하고	보존/NNG+하/XSV+고/EC
그	그/MMD
위에	위/NNG+에/JKB
꿀	꿀/NNG
대신	대신/NNG
‘쿨’한	‘/SS+쿨/NNG+’/SS+하/XSA+ㄴ/ETM
작품들이	작품/NNG+들/XSN+이/JKS
뒤덮는다.	뒤덮/VV+는다/EF+./SF


# id : NWRW1800000028.122.5.6
시큼 쌉쌀한 젊은 작가들의 패러디, 설치 작업들이다.

시큼	시큼/MAG
쌉쌀한	쌉쌀하/VA+ㄴ/ETM
젊은	젊/VA+은/ETM
작가들의	작가/NNG+들/XSN+의/JKG
패러디,	패러디/NNG+,/SP
설치	설치/NNG
작업들이다.	작업/NNG+들/XSN+이/VCP+다/EF+./SF


# id : NWRW1800000028.122.5.7
내·외벽에 대중문화 이미지와 숭례문이 불타는 모습 등을 담은 김형관씨의 테이프 그림이 붙고, 이탈리아 디자인 그룹 모토의 도로안전표시물 콘을 접붙인 점멸 타워가 테라스에 들어섰다.

내·외벽에	내·외/NNG+벽/NNG+에/JKB
대중문화	대중문화/NNG
이미지와	이미지/NNG+와/JC
숭례문이	숭례문/NNP+이/JKS
불타는	불타/VV+는/ETM
모습	모습/NNG
등을	등/NNB+을/JKO
담은	담/VV+은/ETM
김형관씨의	김형관/NNP+씨/NNB+의/JKG
테이프	테이프/NNG
그림이	그림/NNG+이/JKS
붙고,	붙/VV+고/EC+,/SP
이탈리아	이탈리아/NNP
디자인	디자인/NNG
그룹	그룹/NNG
모토의	모토/NNP+의/JKG
도로안전표시물	도로/NNG+안전/NNG+표시물/NNG
콘을	콘/NNG+을/JKO
접붙인	접붙이/VV+ㄴ/ETM
점멸	점멸/NNG
타워가	타워/NNG+가/JKS
테라스에	테라스/NNG+에/JKB
들어섰다.	들어서/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.122.6.1
안쪽 옛 서민들 지상 지하 쪽방에는 폐자재를 수석처럼 꾸민 신은경씨의 설치물 ‘수집가’, 한국화 산수에 팬티를 드러낸 섹시녀들의 미니 이미지를 넣은 작가 박병춘씨의 나무판 작업들이 이어진다.

안쪽	안쪽/NNG
옛	옛/MMA
서민들	서민/NNG+들/XSN
지상	지상/NNG
지하	지하/NNG
쪽방에는	쪽방/NNG+에/JKB+는/JX
폐자재를	폐/XPN+자재/NNG+를/JKO
수석처럼	수석/NNG+처럼/JKB
꾸민	꾸미/VV+ㄴ/ETM
신은경씨의	신은경/NNP+씨/NNB+의/JKG
설치물	설치물/NNG
‘수집가’,	‘/SS+수집가/NNG+’/SS+,/SP
한국화	한국화/NNG
산수에	산수/NNG+에/JKB
팬티를	팬티/NNG+를/JKO
드러낸	드러내/VV+ㄴ/ETM
섹시녀들의	섹시녀/NNG+들/XSN+의/JKG
미니	미니/NNG
이미지를	이미지/NNG+를/JKO
넣은	넣/VV+은/ETM
작가	작가/NNG
박병춘씨의	박병춘/NNP+씨/NNB+의/JKG
나무판	나무판/NNG
작업들이	작업/NNG+들/XSN+이/JKS
이어진다.	이어지/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.122.6.2
대안공간 풀의 실험공간 꿀풀의 윈도 전시장에는 이수성, 윤지원씨의 형광등 설치작품이 휘황찬란 빛을 내뿜는다.

대안공간	대안/NNG+공간/NNG
풀의	풀/NNP+의/JKG
실험공간	실험/NNG+공간/NNG
꿀풀의	꿀풀/NNP+의/JKG
윈도	윈도/NNG
전시장에는	전시장/NNG+에/JKB+는/JX
이수성,	이수성/NNP+,/SP
윤지원씨의	윤지원/NNP+씨/NNB+의/JKG
형광등	형광등/NNG
설치작품이	설치/NNG+작품/NNG+이/JKS
휘황찬란	휘황찬란/XR
빛을	빛/NNG+을/JKO
내뿜는다.	내뿜/VV+는다/EF+./SF


# id : NWRW1800000028.122.6.3
최씨는 “작품 창고 시설로 골랐던 곳인데, 대안공간 풀의 리모델링을 자문하며 만난 작가들 열성에 감동해 아예 같이 새 공간에서 놀기로 했다”고 했다.

최씨는	최/NNP+씨/NNB+는/JX
“작품	“/SS+작품/NNG
창고	창고/NNG
시설로	시설/NNG+로/JKB
골랐던	고르/VV+았/EP+던/ETM
곳인데,	곳/NNG+이/VCP+ㄴ데/EC+,/SP
대안공간	대안/NNG+공간/NNG
풀의	풀/NNP+의/JKG
리모델링을	리모델링/NNG+을/JKO
자문하며	자문/NNG+하/XSV+며/EC
만난	만나/VV+ㄴ/ETM
작가들	작가/NNG+들/XSN
열성에	열성/NNG+에/JKB
감동해	감동/NNG+하/XSV+아/EC
아예	아예/MAG
같이	같이/MAG
새	새/MMA
공간에서	공간/NNG+에서/JKB
놀기로	놀/VV+기/ETN+로/JKB
했다”고	하/VV+았/EP+다/EF+”/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.122.7.1
최고의 미술관 리움과 대적하려면 각 세우기가 우선이다.

최고의	최고/NNG+의/JKG
미술관	미술관/NNG
리움과	리움/NNP+과/JKB
대적하려면	대적/NNG+하/XSV+려면/EC
각	각/NNG
세우기가	세우/VV+기/ETN+가/JKS
우선이다.	우선/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.122.7.2
기획자, 화랑, 작가 따로따로 꿍꿍이속인 기존 미술 전시의 틀부터 깨부수기로 했다.

기획자,	기획자/NNG+,/SP
화랑,	화랑/NNG+,/SP
작가	작가/NNG
따로따로	따로따로/MAG
꿍꿍이속인	꿍꿍이속/NNG+이/VCP+ㄴ/ETM
기존	기존/NNG
미술	미술/NNG
전시의	전시/NNG+의/JKG
틀부터	틀/NNG+부터/JX
깨부수기로	깨부수/VV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.122.7.3
그래서 ‘꿀’은 작가, 기획자 가리지 않고 전시 기획부터 세부 준비까지 모두 다 같이 함께 만드는 협업 체제다.

그래서	그래서/MAJ
‘꿀’은	‘/SS+꿀/NNP+’/SS+은/JX
작가,	작가/NNG+,/SP
기획자	기획자/NNG
가리지	가리/VV+지/EC
않고	않/VX+고/EC
전시	전시/NNG
기획부터	기획/NNG+부터/JX
세부	세부/NNG
준비까지	준비/NNG+까지/JX
모두	모두/MAG
다	다/MAG
같이	같이/MAG
함께	함께/MAG
만드는	만들/VV+는/ETM
협업	협업/NNG
체제다.	체제/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.122.7.4
전시나 공연은 절대 기한이 없다.

전시나	전시/NNG+나/JC
공연은	공연/NNG+은/JX
절대	절대/MAG
기한이	기한/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000028.122.7.5
느낌이 좋으면 무조건 연장이다.

느낌이	느낌/NNG+이/JKS
좋으면	좋/VA+으면/EC
무조건	무/XPN+조건/NNG
연장이다.	연장/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.122.7.6
몸부림 같은 릴레이 문화 난장, 놀이판의 무한도전이다.

몸부림	몸부림/NNG
같은	같/VA+은/ETM
릴레이	릴레이/NNG
문화	문화/NNG
난장,	난장/NNG+,/SP
놀이판의	놀이판/NNG+의/JKG
무한도전이다.	무한/NNG+도전/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.122.7.7
‘지정학적’ 성격상 리움 전시 때마다 이를 뒤트는 패러디 아트 전시로 대응하지 않을 수 없게 됐다는 게 꿀 사람들의 이야기다.

‘지정학적’	‘/SS+지정학/NNG+적/XSN+’/SS
성격상	성격/NNG+상/XSN
리움	리움/NNP
전시	전시/NNG
때마다	때/NNG+마다/JX
이를	이/NP+를/JKO
뒤트는	뒤틀/VV+는/ETM
패러디	패러디/NNG
아트	아트/NNG
전시로	전시/NNG+로/JKB
대응하지	대응/NNG+하/XSV+지/EC
않을	않/VX+을/ETM
수	수/NNB
없게	없/VA+게/EC
됐다는	되/VV+었/EP+다는/ETM
게	거/NNB+이/JKS
꿀	꿀/NNP
사람들의	사람/NNG+들/XSN+의/JKG
이야기다.	이야기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000028.122.7.8
최씨의 허접스러운 쇼핑백 조명 등이 놓인 꿀의 가슴 라운지에서 말판은 쉬지 않고 돌아갔다.

최씨의	최/NNP+씨/NNB+의/JKG
허접스러운	허접/NNG+스럽/XSA+ㄴ/ETM
쇼핑백	쇼핑백/NNG
조명	조명/NNG
등이	등/NNB+이/JKS
놓인	놓이/VV+ㄴ/ETM
꿀의	꿀/NNP+의/JKG
가슴	가슴/NNG
라운지에서	라운지/NNG+에서/JKB
말판은	말판/NNG+은/JX
쉬지	쉬/VV+지/EC
않고	않/VX+고/EC
돌아갔다.	돌아가/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.122.7.9
16일 저녁 개막 이벤트는 젊은 춤꾼 박나훈과 친구들의 몸판, 인디밴드 푼돈들과 아니킨 등의 광란 무대로 수놓는다고 한다.

16일	16/SN+일/NNB
저녁	저녁/NNG
개막	개막/NNG
이벤트는	이벤트/NNG+는/JX
젊은	젊/VA+은/ETM
춤꾼	춤/NNG+꾼/XSN
박나훈과	박나훈/NNP+과/JC
친구들의	친구/NNG+들/XSN+의/JKG
몸판,	몸/NNG+판/NNG+,/SP
인디밴드	인디/NNG+밴드/NNG
푼돈들과	푼돈들/NNP+과/JC
아니킨	아니킨/NNP
등의	등/NNB+의/JKG
광란	광란/NNG
무대로	무대/NNG+로/JKB
수놓는다고	수놓/VV+는다고/EC
한다.	하/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.122.7.10
작별하면서 최씨와 친구들이 말한다.

작별하면서	작별/NNG+하/XSV+면서/EC
최씨와	최/NNP+씨/NNB+와/JC
친구들이	친구/NNG+들/XSN+이/JKS
말한다.	말/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000028.122.7.11
“리움의 홍라희 전 관장과 홍라영 부관장님도 꿀을 꼭 찾아주셨으면 좋겠어요.

“리움의	“/SS+리움/NNP+의/JKG
홍라희	홍라희/NNP
전	전/MMD
관장과	관장/NNG+과/JC
홍라영	홍라영/NNP
부관장님도	부관장/NNG+님/XSN+도/JX
꿀을	꿀/NNP+을/JKO
꼭	꼭/MAG
찾아주셨으면	찾/VV+아/EC+주/VX+시/EP+었/EP+으면/EC
좋겠어요.	좋/VA+겠/EP+어요/EF+./SF


# id : NWRW1800000028.122.7.12
제발!”(070)4127-6468.

제발!”(070)4127-6468.	제발/MAG+!/SF+”/SS+(/SS+070/SN+)/SS+4127/SN+-/SO+6468/SN+./SF


