# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000032.287
metadata : {}


# id : NWRW1800000032.287.1.1
‘서울학생인권조례’ 시의회 통과

‘서울학생인권조례’	‘/SS+서울/NNP+학생/NNG+인권/NNG+조례/NNG+’/SS
학생의	학생/NNG+의/JKG
전자기기(휴대전화)	전자/NNG+기기/NNG+(/SS+휴대/NNG+전화/NNG+)/SS
사용	사용/NNG
및	및/MAG
소지의	소지/NNG+의/JKG
시간과	시간/NNG+과/JC
장소를	장소/NNG+를/JKO
규제할	규제/NNG+하/XSV+ㄹ/ETM
‘학교	‘/SS+학교/NNG
내의	내/NNB+의/JKG
집회에	집회/NNG+에/JKB
학교	학교/NNG
규정으로	규정/NNG+으로/JKB
시간,	시간/NNG+,/SP
장소,	장소/NNG+,/SP
방법을	방법/NNG+을/JKO
있다’	있/VA+다/EF+’/SS
등	등/NNB
일부	일부/NNG
권리에	권리/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
제한	제한/NNG
규정을	규정/NNG+을/JKO
뒀다.	두/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.287.7.1
이에 앞서 시의회 교육위원회는 지난 16일에도 학생인권조례를 심의했으나 결론을 내리지 못하고 처리를 미뤘다.

이에	이/NP+에/JKB
앞서	앞서/VV+어/EC
시의회	시/NNG+의회/NNG
교육위원회는	교육/NNG+위원회/NNG+는/JX
지난	지나/VV+ㄴ/ETM
16일에도	16/SN+일/NNB+에/JKB+도/JX
학생인권조례를	학생/NNG+인권/NNG+조례/NNG+를/JKO
심의했으나	심의/NNG+하/XSV+았/EP+으나/EC
결론을	결론/NNG+을/JKO
내리지	내리/VV+지/EC
못하고	못하/VX+고/EC
처리를	처리/NNG+를/JKO
미뤘다.	미루/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.287.7.2
그러나 지난 주말 민주당 중앙당 쪽에서 ‘주민발의안 원안 통과’를 민주당 시의원들에게 요구했고, 이날 오전 시의회의 민주당 소속 의장단이 참여한 회의에서 당론으로 결정되면서 논의가 급진전했다.

그러나	그러나/MAJ
지난	지나/VV+ㄴ/ETM
주말	주말/NNG
민주당	민주당/NNP
중앙당	중앙당/NNG
쪽에서	쪽/NNB+에서/JKB
‘주민발의안	‘/SS+주민/NNG+발의안/NNG
원안	원안/NNG
통과’를	통과/NNG+’/SS+를/JKO
시의원들에게	시/NNG+의원/NNG+들/XSN+에게/JKB
요구했고,	요구/NNG+하/XSV+았/EP+고/EC+,/SP
이날	이날/NNG
오전	오전/NNG
시의회의	시/NNG+의회/NNG+의/JKG
소속	소속/NNG
의장단이	의장단/NNG+이/JKS
참여한	참여/NNG+하/XSV+ㄴ/ETM
회의에서	회의/NNG+에서/JKB
당론으로	당론/NNG+으로/JKB
결정되면서	결정/NNG+되/XSV+면서/EC
논의가	논의/NNG+가/JKS
급진전했다.	급진전/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.287.8.1
배경내 학생인권조례제정운동 서울본부 공동집행위원장은 “부분적으로 아쉬운 점이 있지만, 두발의 자유 전면 보장, 성적 지향 등에 따른 차별 금지, 집회의 자유 보장 등을 담고 있어 조례안 통과를 환영한다”며 “다른 지역의 인권조례 제정과 상위법 개정 운동으로 이어지길 바란다”고 말했다.

배경내	배경내/NNP
학생인권조례제정운동	학생/NNG+인권/NNG+조례/NNG+제정/NNG+운동/NNG
서울본부	서울/NNP+본부/NNG
공동집행위원장은	공동/NNG+집행/NNG+위원장/NNG+은/JX
“부분적으로	“/SS+부분/NNG+적/XSN+으로/JKB
아쉬운	아쉽/VA+ㄴ/ETM
점이	점/NNG+이/JKS
있지만,	있/VA+지만/EC+,/SP
두발의	두발/NNG+의/JKG
자유	자유/NNG
전면	전면/NNG
보장,	보장/NNG+,/SP
성적	성/NNG+적/XSN
지향	지향/NNG
등에	등/NNB+에/JKB
따른	따르/VV+ㄴ/ETM
차별	차별/NNG
금지,	금지/NNG+,/SP
집회의	집회/NNG+의/JKG
보장	보장/NNG
등을	등/NNB+을/JKO
담고	담/VV+고/EC
있어	있/VX+어/EC
조례안	조례안/NNG
통과를	통과/NNG+를/JKO
환영한다”며	환영/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“다른	“/SS+다른/MMD
지역의	지역/NNG+의/JKG
인권조례	인권/NNG+조례/NNG
제정과	제정/NNG+과/JC
상위법	상위법/NNG
개정	개정/NNG
운동으로	운동/NNG+으로/JKB
이어지길	이어지/VV+기/ETN+ㄹ/JKO
바란다”고	바라/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000032.287.9.1
반면 교육과학기술부는 이날 보도자료를 내어 “시의회에서 현장 여론을 고려하지 않고 조급하게 의결한 인권조례에 우려를 표명한다”며 “학생 학습권 침해, 교사 지도권 위축으로 학생지도의 혼란을 가중시키고, 학부모와 교육 현장에서 우려가 많아 재검토가 필요하다”는 뜻을 밝혔다.

반면	반면/NNG
교육과학기술부는	교육/NNG+과학/NNG+기술부/NNG+는/JX
이날	이날/NNG
보도자료를	보도/NNG+자료/NNG+를/JKO
내어	내/VV+어/EC
“시의회에서	“/SS+시/NNG+의회/NNG+에서/JKB
현장	현장/NNG
여론을	여론/NNG+을/JKO
고려하지	고려/NNG+하/XSV+지/EC
않고	않/VX+고/EC
조급하게	조급하/VA+게/EC
의결한	의결/NNG+하/XSV+ㄴ/ETM
인권조례에	인권/NNG+조례/NNG+에/JKB
우려를	우려/NNG+를/JKO
표명한다”며	표명/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“학생	“/SS+학생/NNG
학습권	학습/NNG+권/XSN
침해,	침해/NNG+,/SP
교사	교사/NNG
지도권	지도/NNG+권/XSN
위축으로	위축/NNG+으로/JKB
학생지도의	학생/NNG+지도/NNG+의/JKG
혼란을	혼란/NNG+을/JKO
가중시키고,	가중/NNG+시키/XSV+고/EC+,/SP
학부모와	학부모/NNG+와/JC
교육	교육/NNG
현장에서	현장/NNG+에서/JKB
우려가	우려/NNG+가/JKS
많아	많/VA+아/EC
재검토가	재/XPN+검토/NNG+가/JKS
필요하다”는	필요/NNG+하/XSA+다/EF+”/SS+는/ETM
뜻을	뜻/NNG+을/JKO
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000032.287.10.1
조례안이 시의회를 통과함에 따라 서울시교육청은 20일 안에 이를 공포해야 하며, 조례안이 공포되면 일선 학교들은 조례에 맞게 학칙과 생활규정을 고쳐야 한다.

조례안이	조례안/NNG+이/JKS
시의회를	시/NNG+의회/NNG+를/JKO
통과함에	통과/NNG+하/XSV+ㅁ/ETN+에/JKB
따라	따르/VV+아/EC
서울시교육청은	서울시교육청/NNP+은/JX
20일	20/SN+일/NNB
안에	안/NNG+에/JKB
이를	이/NP+를/JKO
공포해야	공포/NNG+하/XSV+아야/EC
하며,	하/VX+며/EC+,/SP
공포되면	공포/NNG+되/XSV+면/EC
일선	일선/NNG
학교들은	학교/NNG+들/XSN+은/JX
조례에	조례/NNG+에/JKB
맞게	맞/VV+게/EC
학칙과	학칙/NNG+과/JC
생활규정을	생활/NNG+규정/NNG+을/JKO
고쳐야	고치/VV+어야/EC
한다.	하/VX+ㄴ다/EF+./SF


