# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000022.158
metadata : {}


# id : NWRW1800000022.158.1.1
'경쟁' 대신 '여유' 선택한 포르투갈의 운명은…;관광객 의존하는 '유럽의 貧國' 전락 글로벌 금융위기에 국가경제 흔들려

'경쟁'	'/SS+경쟁/NNG+'/SS
1346만명에	1346/SN+만/NR+명/NNB+에/JKB
이르렀던	이르/VV+었/EP+던/ETM
관광객이	관광객/NNG+이/JKS
20%	20/SN+%/SW
이상	이상/NNG
감소할	감소/NNG+하/XSV+ㄹ/ETM
것을	것/NNB+을/JKO
우려하고	우려/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.158.6.3
연간 관광수익이 75억유로로 GDP의 15.7%를 차지할 정도로 기간 산업인 포르투갈의 관광업은 세계 15위 수준이다.

연간	연간/NNG
관광수익이	관광/NNG+수익/NNG+이/JKS
75억유로로	75/SN+억/NR+유로/NNB+로/JKB
GDP의	GDP/SL+의/JKG
15.7%를	15/SN+./SP+7/SN+%/SW+를/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
기간	기간/NNG
산업인	산업/NNG+이/VCP+ㄴ/ETM
포르투갈의	포르투갈/NNP+의/JKG
관광업은	관광업/NNG+은/JX
세계	세계/NNG
15위	15/SN+위/NNB
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.158.7.1
그런데 관광업과 더불어 국가 재정의 90%를 충당해온 서비스업도 관광객 감소로 타격을 입고 있다.

그런데	그런데/MAJ
관광업과	관광업/NNG+과/JKB
더불어	더불/VV+어/EC
국가	국가/NNG
재정의	재정/NNG+의/JKG
90%를	90/SN+%/SW+를/JKO
충당해온	충당/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
서비스업도	서비스업/NNG+도/JX
관광객	관광객/NNG
감소로	감소/NNG+로/JKB
타격을	타격/NNG+을/JKO
입고	입/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.158.7.2
포르투갈의 서비스업 종사자는 전체 고용의 57.7%를 차지할 정도로 비중이 높다.

포르투갈의	포르투갈/NNP+의/JKG
서비스업	서비스업/NNG
종사자는	종사자/NNG+는/JX
전체	전체/NNG
고용의	고용/NNG+의/JKG
57.7%를	57/SN+./SP+7/SN+%/SW+를/JKO
차지할	차지/NNG+하/XSV+ㄹ/ETM
정도로	정도/NNG+로/JKB
비중이	비중/NNG+이/JKS
높다.	높/VA+다/EF+./SF


# id : NWRW1800000022.158.8.1
한때 대양(大洋)을 지배했던 포르투갈이 관광객에 의존하고, 관광객이 줄면 국가 경제가 흔들릴 만큼 낙후된 요인은 농업노동력 비율이 높은 것도 있지만 근본적으로는 1970년대까지 집권했던 독재 정권 때문이다.

한때	한때/MAG
대양(大洋)을	대양/NNG+(/SS+大洋/SH+)/SS+을/JKO
지배했던	지배/NNG+하/XSV+았/EP+던/ETM
포르투갈이	포르투갈/NNP+이/JKS
관광객에	관광객/NNG+에/JKB
의존하고,	의존/NNG+하/XSV+고/EC+,/SP
관광객이	관광객/NNG+이/JKS
줄면	줄/VV+면/EC
국가	국가/NNG
경제가	경제/NNG+가/JKS
흔들릴	흔들리/VV+ㄹ/ETM
만큼	만큼/NNB
낙후된	낙후/NNG+되/XSV+ㄴ/ETM
요인은	요인/NNG+은/JX
농업노동력	농업/NNG+노동력/NNG
비율이	비율/NNG+이/JKS
높은	높/VA+은/ETM
것도	것/NNB+도/JX
있지만	있/VA+지만/EC
근본적으로는	근본/NNG+적/XSN+으로/JKB+는/JX
1970년대까지	1970/SN+년대/NNB+까지/JX
집권했던	집권/NNG+하/XSV+았/EP+던/ETM
독재	독재/NNG
정권	정권/NNG
때문이다.	때문/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.158.8.2
1933년 집권한 살라자르는 근 40년 동안 독재정책으로 외국 자본의 투자를 유보시키는 등 경제 정책을 뒤흔들었다.

1933년	1933/SN+년/NNB
집권한	집권/NNG+하/XSV+ㄴ/ETM
살라자르는	살라자르/NNP+는/JX
근	근/MMA
40년	40/SN+년/NNB
동안	동안/NNG
독재정책으로	독재/NNG+정책/NNG+으로/JKB
외국	외국/NNG
자본의	자본/NNG+의/JKG
투자를	투자/NNG+를/JKO
유보시키는	유보/NNG+시키/XSV+는/ETM
등	등/NNB
경제	경제/NNG
정책을	정책/NNG+을/JKO
뒤흔들었다.	뒤흔들/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.158.9.1
1974년 민주화 혁명으로 비로소 국가가 틀을 갖추기 시작했다.

1974년	1974/SN+년/NNB
민주화	민주/NNG+화/XSN
혁명으로	혁명/NNG+으로/JKB
비로소	비로소/MAG
국가가	국가/NNG+가/JKS
틀을	틀/NNG+을/JKO
갖추기	갖추/VV+기/ETN
시작했다.	시작/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.158.9.2
1986년 EU 가입과 더불어 시장 경제 체제로 전환하면서 변화가 시작됐지만 독재 정권이 남긴 후유증은 아직도 크다.

1986년	1986/SN+년/NNB
EU	EU/SL
가입과	가입/NNG+과/JKB
더불어	더불/VV+어/EC
시장	시장/NNG
경제	경제/NNG
체제로	체제/NNG+로/JKB
전환하면서	전환/NNG+하/XSV+면서/EC
변화가	변화/NNG+가/JKS
시작됐지만	시작/NNG+되/XSV+었/EP+지만/EC
독재	독재/NNG
정권이	정권/NNG+이/JKS
남긴	남기/VV+ㄴ/ETM
후유증은	후유증/NNG+은/JX
아직도	아직/MAG+도/JX
크다.	크/VA+다/EF+./SF


# id : NWRW1800000022.158.9.3
이 탓에 포르투갈은 스페인, 그리스와 함께 경제성장률, 재정 건전성, 평균 임금에서 EU국가 중 최하위다.

이	이/MMD
탓에	탓/NNG+에/JKB
포르투갈은	포르투갈/NNP+은/JX
스페인,	스페인/NNP+,/SP
그리스와	그리스/NNP+와/JKB
함께	함께/MAG
경제성장률,	경제/NNG+성장/NNG+률/XSN+,/SP
재정	재정/NNG
건전성,	건전/NNG+성/XSN+,/SP
평균	평균/NNG
임금에서	임금/NNG+에서/JKB
EU국가	EU/SL+국가/NNG
중	중/NNB
최하위다.	최/XPN+하위/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.158.10.1
포르투갈 주재 한국 대사관 김학유 서기관은 "바로 옆의 스페인에 비해 경제 규모도 작고 국내에 진출한 다국적 기업이 거의 없으며 경쟁력 있는 자국 기업도 없다"며 "그나마 유통과 서비스업이 이 나라를 유지시켰다"고 했다.

포르투갈	포르투갈/NNP
주재	주재/NNG
한국	한국/NNP
대사관	대사관/NNG
김학유	김학유/NNP
서기관은	서기관/NNG+은/JX
"바로	"/SS+바로/MAG
옆의	옆/NNG+의/JKG
스페인에	스페인/NNP+에/JKB
비해	비/NNG+하/XSV+아/EC
경제	경제/NNG
규모도	규모/NNG+도/JX
작고	작/VA+고/EC
국내에	국내/NNG+에/JKB
진출한	진출/NNG+하/XSV+ㄴ/ETM
다국적	다국적/NNG
기업이	기업/NNG+이/JKS
거의	거의/MAG
없으며	없/VA+으며/EC
경쟁력	경쟁력/NNG
있는	있/VA+는/ETM
자국	자국/NNG
기업도	기업/NNG+도/JX
없다"며	없/VA+다/EF+"/SS+며/EC
"그나마	"/SS+그나마/MAG
유통과	유통/NNG+과/JC
서비스업이	서비스업/NNG+이/JKS
이	이/MMD
나라를	나라/NNG+를/JKO
유지시켰다"고	유지/NNG+시키/XSV+었/EP+다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.158.11.1
포르투갈의 수출도 76.7%가 스페인, 독일, 프랑스, 영국 등 EU 몇 국가에 의존하는 경제 시스템으로 자생력이 없다.

포르투갈의	포르투갈/NNP+의/JKG
수출도	수출/NNG+도/JX
76.7%가	76/SN+./SP+7/SN+%/SW+가/JKS
스페인,	스페인/NNP+,/SP
독일,	독일/NNP+,/SP
프랑스,	프랑스/NNP+,/SP
영국	영국/NNP
등	등/NNB
EU	EU/SL
몇	몇/NR
국가에	국가/NNG+에/JKB
의존하는	의존/NNG+하/XSV+는/ETM
경제	경제/NNG
시스템으로	시스템/NNG+으로/JKB
자생력이	자생력/NNG+이/JKS
없다.	없/VA+다/EF+./SF


# id : NWRW1800000022.158.11.2
EU 보조금의 도움을 받았지만 이 역시 2004년 동유럽 국가가 EU에 가입하면서 40억유로 수준으로 감소해 어려움을 겪고 있다.

EU	EU/SL
보조금의	보조금/NNG+의/JKG
도움을	도움/NNG+을/JKO
받았지만	받/VV+았/EP+지만/EC
이	이/MMD
역시	역시/MAG
2004년	2004/SN+년/NNB
동유럽	동유럽/NNP
국가가	국가/NNG+가/JKS
EU에	EU/SL+에/JKB
가입하면서	가입/NNG+하/XSV+면서/EC
40억유로	40/SN+억/NR+유로/NNB
수준으로	수준/NNG+으로/JKB
감소해	감소/NNG+하/XSV+아/EC
어려움을	어려움/NNG+을/JKO
겪고	겪/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000022.158.12.1
포르투갈의 1인당 GDP는 2233억유로로 EU 27개국 중 15위지만 1인당 GDP는 19위로 서유럽 최저 수준이다.

포르투갈의	포르투갈/NNP+의/JKG
1인당	1/SN+인/NNG+당/XSN
GDP는	GDP/SL+는/JX
2233억유로로	2233/SN+억/NR+유로/NNB+로/JKB
EU	EU/SL
27개국	27/SN+개국/NNB
중	중/NNB
15위지만	15/SN+위/NNB+이/VCP+지만/EC
19위로	19/SN+위/NNB+로/JKB
서유럽	서유럽/NNP
최저	최저/NNG
수준이다.	수준/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000022.158.12.2
최근 수년 새 체코, 슬로바키아 등 동유럽 국가가 EU에 가입하면서 순위가 좋아 보일 뿐이다.

최근	최근/NNG
수년	수년/NNG
새	새/NNG
체코,	체코/NNP+,/SP
슬로바키아	슬로바키아/NNP
등	등/NNB
동유럽	동유럽/NNP
국가가	국가/NNG+가/JKS
EU에	EU/SL+에/JKB
가입하면서	가입/NNG+하/XSV+면서/EC
순위가	순위/NNG+가/JKS
좋아	좋/VA+아/EC
보일	보이/VV+ㄹ/ETM
뿐이다.	뿐/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000022.158.12.3
가장 큰 경쟁력이었던 노동력도 동유럽 국가의 EU 가입으로 지위를 상실했다.

가장	가장/MAG
큰	크/VA+ㄴ/ETM
경쟁력이었던	경쟁력/NNG+이/VCP+었/EP+던/ETM
노동력도	노동력/NNG+도/JX
동유럽	동유럽/NNP
국가의	국가/NNG+의/JKG
EU	EU/SL
가입으로	가입/NNG+으로/JKB
지위를	지위/NNG+를/JKO
상실했다.	상실/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000022.158.13.1
포르투를 방문하는 동안 볼사궁(宮)에서 열린 국제공항협의회(ACI) 유럽총회에서 세계공항서비스평가에 대한 시상식이 열렸다.

포르투를	포르투/NNP+를/JKO
방문하는	방문/NNG+하/XSV+는/ETM
동안	동안/NNG
볼사궁(宮)에서	볼사궁/NNP+(/SS+宮/SH+)/SS+에서/JKB
열린	열리/VV+ㄴ/ETM
국제공항협의회(ACI)	국제공항협의회/NNP+(/SS+ACI/SL+)/SS
유럽총회에서	유럽/NNP+총회/NNG+에서/JKB
세계공항서비스평가에	세계/NNG+공항/NNG+서비스/NNG+평가/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
시상식이	시상식/NNG+이/JKS
열렸다.	열리/VV+었/EP+다/EF+./SF


# id : NWRW1800000022.158.13.2
각국에서 500여명이 참석해 시상식장이 붐볐지만 오후 7시30분으로 예정됐던 공식행사가 1시간이 지난 뒤 시작됐고 진행도 더뎌 자정을 넘겨서야 겨우 끝났다.

각국에서	각국/NNG+에서/JKB
500여명이	500/SN+여/XSN+명/NNB+이/JKS
참석해	참석/NNG+하/XSV+아/EC
시상식장이	시상식장/NNG+이/JKS
붐볐지만	붐비/VV+었/EP+지만/EC
오후	오후/NNG
7시30분으로	7/SN+시/NNB+30/SN+분/NNB+으로/JKB
예정됐던	예정/NNG+되/XSV+었/EP+던/ETM
공식행사가	공식/NNG+행사/NNG+가/JKS
1시간이	1/SN+시간/NNB+이/JKS
지난	지나/VV+ㄴ/ETM
뒤	뒤/NNG
시작됐고	시작/NNG+되/XSV+었/EP+고/EC
진행도	진행/NNG+도/JX
더뎌	더디/VA+어/EC
자정을	자정/NNG+을/JKO
넘겨서야	넘기/VV+어서/EC+야/JX
겨우	겨우/MAG
끝났다.	끝나/VV+았/EP+다/EF+./SF


# id : NWRW1800000022.158.14.1
'게으른 포르투갈'의 단면을 보여주는 행사였다.

'게으른	'/SS+게으르/VA+ㄴ/ETM
포르투갈'의	포르투갈/NNP+'/SS+의/JKG
단면을	단면/NNG+을/JKO
보여주는	보이/VV+어/EC+주/VX+는/ETM
행사였다.	행사/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000022.158.14.2
행사 진행자인 마리아나(36)는 "서두르지 않고 여유롭게 시간을 보내는 것이 포르투갈의 국민성이지만 경쟁보다 여유를 즐기는 이러한 문화가 포르투갈의 경제 성장을 가로막는 요인"이라고 말했다.

행사	행사/NNG
진행자인	진행자/NNG+이/VCP+ㄴ/ETM
마리아나(36)는	마리아나/NNP+(/SS+36/SN+)/SS+는/JX
"서두르지	"/SS+서두르/VV+지/EC
않고	않/VX+고/EC
여유롭게	여유/NNG+롭/XSA+게/EC
시간을	시간/NNG+을/JKO
보내는	보내/VV+는/ETM
것이	것/NNB+이/JKS
포르투갈의	포르투갈/NNP+의/JKG
국민성이지만	국민/NNG+성/XSN+이/VCP+지만/EC
경쟁보다	경쟁/NNG+보다/JKB
여유를	여유/NNG+를/JKO
즐기는	즐기/VV+는/ETM
이러한	이러하/VA+ㄴ/ETM
문화가	문화/NNG+가/JKS
경제	경제/NNG
성장을	성장/NNG+을/JKO
가로막는	가로막/VV+는/ETM
요인"이라고	요인/NNG+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


