# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000045.190
metadata : {}


# id : NWRW1800000045.190.1.1
불 속 노모보다 개 먼저 구한 딸

불	불/NNG
이때까지도 집 안에는 A 씨의 외할머니이자 B 씨의 어머니 C 씨(90)가 남아 있었다.

이때까지도	이때/NNG+까지/JX+도/JX
집	집/NNG
안에는	안/NNG+에/JKB+는/JX
A	A/SL
씨의	씨/NNB+의/JKG
외할머니이자	외할머니/NNG+이/VCP+자/EC
B	B/SL
어머니	어머니/NNG
C	C/SL
씨(90)가	씨/NNB+(/SS+90/SN+)/SS+가/JKS
남아	남/VV+아/EC
있었다.	있/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.190.6.4
연기를 뚫고 간신히 빌라 2층으로 올라간 김 경장은 계단에서 연신 기침을 하고 있는 C 씨를 발견했다.

연기를	연기/NNG+를/JKO
뚫고	뚫/VV+고/EC
간신히	간신히/MAG
빌라	빌라/NNG
2층으로	2/SN+층/NNG+으로/JKB
올라간	올라가/VV+ㄴ/ETM
김	김/NNP
경장은	경장/NNG+은/JX
계단에서	계단/NNG+에서/JKB
연신	연신/MAG
기침을	기침/NNG+을/JKO
하고	하/VV+고/EC
있는	있/VX+는/ETM
C	C/SL
씨를	씨/NNB+를/JKO
발견했다.	발견/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.190.6.5
김 경장은 할머니를 들쳐 업고 곧장 건물 밖으로 뛰쳐나왔다.

김	김/NNP
경장은	경장/NNG+은/JX
할머니를	할머니/NNG+를/JKO
들쳐	들치/VV+어/EC
업고	업/VV+고/EC
곧장	곧장/MAG
건물	건물/NNG
밖으로	밖/NNG+으로/JKB
뛰쳐나왔다.	뛰쳐나오/VV+았/EP+다/EF+./SF


# id : NWRW1800000045.190.7.1
C 씨는 연기를 많이 마시긴 했지만 다행히 큰 화를 입지는 않았다.

C	C/SL
씨는	씨/NNB+는/JX
연기를	연기/NNG+를/JKO
많이	많이/MAG
마시긴	마시/VV+기/ETN+ㄴ/JX
했지만	하/VX+았/EP+지만/EC
다행히	다행히/MAG
큰	크/VA+ㄴ/ETM
화를	화/NNG+를/JKO
입지는	입/VV+지/EC+는/JX
않았다.	않/VX+았/EP+다/EF+./SF


# id : NWRW1800000045.190.7.2
할머니보다 개를 먼저 구출한 손자 A 씨와 딸 B 씨도 무사했다.

할머니보다	할머니/NNG+보다/JKB
개를	개/NNG+를/JKO
먼저	먼저/MAG
구출한	구출/NNG+하/XSV+ㄴ/ETM
손자	손자/NNG
A	A/SL
씨와	씨/NNB+와/JC
딸	딸/NNG
B	B/SL
씨도	씨/NNB+도/JX
무사했다.	무사/NNG+하/XSA+았/EP+다/EF+./SF


# id : NWRW1800000045.190.7.3
그런데 B 씨는 거친 숨을 내쉬고 있는 김 경장에게 “집 안에 개 한 마리가 더 남아 있다.

그런데	그런데/MAJ
B	B/SL
씨는	씨/NNB+는/JX
거친	거칠/VA+ㄴ/ETM
숨을	숨/NNG+을/JKO
내쉬고	내쉬/VV+고/EC
있는	있/VX+는/ETM
김	김/NNP
경장에게	경장/NNG+에게/JKB
“집	“/SS+집/NNG
안에	안/NNG+에/JKB
개	개/NNG
한	한/MMN
마리가	마리/NNB+가/JKS
더	더/MAG
남아	남/VV+아/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000045.190.7.4
꼭 구해 달라”고 요청했다.

꼭	꼭/MAG
구해	구하/VV+아/EC
달라”고	달/VX+라/EF+”/SS+고/JKQ
요청했다.	요청/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000045.190.7.5
김 경장은 다시 한번 빌라로 들어가 마지막 남은 개 한 마리도 구해냈다.

김	김/NNP
경장은	경장/NNG+은/JX
다시	다시/MAG
한번	한번/NNG
빌라로	빌라/NNG+로/JKB
들어가	들어가/VV+아/EC
마지막	마지막/NNG
남은	남/VV+은/ETM
개	개/NNG
한	한/MMN
마리도	마리/NNB+도/JX
구해냈다.	구하/VV+아/EC+내/VX+었/EP+다/EF+./SF


# id : NWRW1800000045.190.7.6
현장에 출동했던 반포지구대 경찰관들은 김한곤 지구대장의 일사불란한 지휘로 인근 건물을 일일이 뒤지며 추가 피해를 막았다.

현장에	현장/NNG+에/JKB
출동했던	출동/NNG+하/XSV+았/EP+던/ETM
반포지구대	반포지구대/NNP
경찰관들은	경찰관/NNG+들/XSN+은/JX
김한곤	김한곤/NNP
지구대장의	지구대장/NNG+의/JKG
일사불란한	일사불란/NNG+하/XSA+ㄴ/ETM
지휘로	지휘/NNG+로/JKB
인근	인근/NNG
건물을	건물/NNG+을/JKO
일일이	일일이/MAG
뒤지며	뒤지/VV+며/EC
추가	추가/NNG
피해를	피해/NNG+를/JKO
막았다.	막/VV+았/EP+다/EF+./SF


