# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000046.330
metadata : {}


# id : NWRW1800000046.330.1.1
[與黨은 '사드 의총' 갈등] "부족한 정보·전략으로 갑론을박해봐야 도움 안돼"

[與黨은	[/SS+與黨/SH+은/JX
부족한	부족/NNG+하/XSA+ㄴ/ETM
상황에서	상황/NNG+에서/JKB
의원들이	의원/NNG+들/XSN+이/JKS
모여	모이/VV+어/EC
논의한다고	논의/NNG+하/XSV+ㄴ다고/EC
해서	하/VV+아서/EC
제대로	제대로/MAG
된	되/VV+ㄴ/ETM
결론에	결론/NNG+에/JKB
이를	이르/VV+ㄹ/ETM
수	수/NNB
없고,	없/VA+고/EC+,/SP
결과적으로	결과/NNG+적/XSN+으로/JKB
국가	국가/NNG
전략에	전략/NNG+에/JKB
도움이	도움/NNG+이/JKC
안	안/MAG
된다"고	되/VV+ㄴ다/EF+"/SS+고/JKQ
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000046.330.3.2
윤 의원은 본지 통화에서 "사드 배치는 고도의 전략적 판단이 필요한 문제로 정부가 알아서 결정하도록 놔둬야 한다"며 이같이 말했다.

윤	윤/NNP
의원은	의원/NNG+은/JX
본지	본지/NNG
통화에서	통화/NNG+에서/JKB
"사드	"/SS+사드/NNG
배치는	배치/NNG+는/JX
고도의	고도/NNG+의/JKG
전략적	전략/NNG+적/XSN
판단이	판단/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
문제로	문제/NNG+로/JKB
정부가	정부/NNG+가/JKS
알아서	알/VV+아서/EC
결정하도록	결정/NNG+하/XSV+도록/EC
놔둬야	놔두/VV+어야/EC
한다"며	하/VX+ㄴ다/EF+"/SS+며/EC
이같이	이/NP+같이/JKB
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000046.330.4.1
―중요한 국가 안보 현안인데 의총에서 논의할 수 있지 않나.

―중요한	―/SS+중요/NNG+하/XSA+ㄴ/ETM
국가	국가/NNG
안보	안보/NNG
현안인데	현안/NNG+이/VCP+ㄴ데/EC
의총에서	의총/NNG+에서/JKB
논의할	논의/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있지	있/VA+지/EC
않나.	않/VX+나/EF+./SF


# id : NWRW1800000046.330.5.1
"백가쟁명식 얘기가 나오고 갑론을박이 벌어지면 오히려 다른 나라가 논란의 빈틈을 비집고 들어올 수 있다.

"백가쟁명식	"/SS+백가쟁명식/NNG
얘기가	얘기/NNG+가/JKS
나오고	나오/VV+고/EC
갑론을박이	갑론을박/NNG+이/JKS
벌어지면	벌어지/VV+면/EC
오히려	오히려/MAG
다른	다른/MMD
나라가	나라/NNG+가/JKS
논란의	논란/NNG+의/JKG
빈틈을	빈틈/NNG+을/JKO
비집고	비집/VV+고/EC
들어올	들어오/VV+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.330.5.2
고차원적인 토론이 필요한 주제인데 의원들은 준비가 안 돼 있다.

고차원적인	고/XPN+차원/NNG+적/XSN+이/VCP+ㄴ/ETM
토론이	토론/NNG+이/JKS
필요한	필요/NNG+하/XSA+ㄴ/ETM
주제인데	주제/NNG+이/VCP+ㄴ데/EC
의원들은	의원/NNG+들/XSN+은/JX
준비가	준비/NNG+가/JKC
안	안/MAG
돼	되/VV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000046.330.5.3
'브레인스토밍'을 하자는 취지라면 몇 명이서 하면 되지 의총까지 열 필요가 있나."

'브레인스토밍'을	'/SS+브레인스토밍/NNG+'/SS+을/JKO
하자는	하/VV+자는/ETM
취지라면	취지/NNG+이/VCP+라면/EC
몇	몇/NR
명이서	명/NNB+이서/JKS
하면	하/VV+면/EC
되지	되/VV+지/EC
의총까지	의총/NNG+까지/JX
열	열/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있나."	있/VA+나/EF+./SF+"/SS


# id : NWRW1800000046.330.6.1
―개인적으로 사드 배치에 대한 입장은 뭔가.

―개인적으로	―/SS+개인/NNG+적/XSN+으로/JKB
사드	사드/NNG
배치에	배치/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
입장은	입장/NNG+은/JX
뭔가.	뭐/NP+이/VCP+ㄴ가/EF+./SF


# id : NWRW1800000046.330.7.1
"사드는 아직 실전에서 사용된 적이 없는 진화 중인 무기 체계다.

"사드는	"/SS+사드/NNG+는/JX
아직	아직/MAG
실전에서	실전/NNG+에서/JKB
사용된	사용/NNG+되/XSV+ㄴ/ETM
적이	적/NNB+이/JKS
없는	없/VA+는/ETM
진화	진화/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
무기	무기/NNG
체계다.	체계/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000046.330.7.2
아직 찬반을 얘기할 단계가 아니다.

아직	아직/MAG
찬반을	찬반/NNG+을/JKO
얘기할	얘기/NNG+하/XSV+ㄹ/ETM
단계가	단계/NNG+가/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000046.330.7.3
사드 배치는 곧 미국 주도의 미사일 방어 체제(MD)로의 편입을 의미한다.

사드	사드/NNG
배치는	배치/NNG+는/JX
곧	곧/MAG
미국	미국/NNP
주도의	주도/NNG+의/JKG
미사일	미사일/NNG
방어	방어/NNG
체제(MD)로의	체제/NNG+(/SS+MD/SL+)/SS+로/JKB+의/JKG
편입을	편입/NNG+을/JKO
의미한다.	의미/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000046.330.7.4
중국이 경제 보복을 넘어 북한 쪽으로 가버릴 수 있다.

중국이	중국/NNP+이/JKS
경제	경제/NNG
보복을	보복/NNG+을/JKO
넘어	넘/VV+어/EC
북한	북한/NNP
쪽으로	쪽/NNB+으로/JKB
가버릴	가/VV+아/EC+버리/VX+ㄹ/ETM
수	수/NNB
있다.	있/VA+다/EF+./SF


# id : NWRW1800000046.330.7.5
통일 한반도를 열어야 하는 우리 입장에선 전략적 판단을 잘해야 한다."

통일	통일/NNG
한반도를	한반도/NNP+를/JKO
열어야	열/VV+어야/EC
하는	하/VX+는/ETM
우리	우리/NP
입장에선	입장/NNG+에서/JKB+ㄴ/JX
전략적	전략/NNG+적/XSN
판단을	판단/NNG+을/JKO
잘해야	잘/MAG+하/XSV+아야/EC
한다."	하/VX+ㄴ다/EF+./SF+"/SS


# id : NWRW1800000046.330.8.1
―사드 의총 반대와 관련해 청와대와 교감이 있었나.

―사드	―/SS+사드/NNG
의총	의총/NNG
반대와	반대/NNG+와/JKB
관련해	관련/NNG+하/XSV+아/EC
청와대와	청와대/NNP+와/JKB
교감이	교감/NNG+이/JKS
있었나.	있/VA+었/EP+나/EF+./SF


# id : NWRW1800000046.330.9.1
"절대 교감이 없었다.

"절대	"/SS+절대/MAG
교감이	교감/NNG+이/JKS
없었다.	없/VA+었/EP+다/EF+./SF


# id : NWRW1800000046.330.9.2
나는 국회 외교통일위원으로서 알고 있는 정보를 가지고 우려를 담아 얘기하는 것이다."

나는	나/NP+는/JX
국회	국회/NNG
외교통일위원으로서	외교/NNG+통일/NNG+위원/NNG+으로서/JKB
알고	알/VV+고/EC
있는	있/VX+는/ETM
정보를	정보/NNG+를/JKO
가지고	가지/VV+고/EC
우려를	우려/NNG+를/JKO
담아	담/VV+아/EC
얘기하는	얘기/NNG+하/XSV+는/ETM
것이다."	것/NNB+이/VCP+다/EF+./SF+"/SS


