# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.8
metadata : {}


# id : NWRW1800000033.8.1.1
“年 주택수요 2016년엔 40만채 밑돈다”

“年	“/SS+年/SH
수도권은 2011년 대비 2020년 수요가 13% 정도 감소하는 반면 강원·제주(20.0%), 대구·경북(18.7%), 광주·전남북(19.7%) 등지는 20%에 육박한 수준까지 떨어질 것으로 나타났다.

수도권은	수도/NNG+권/XSN+은/JX
2011년	2011/SN+년/NNB
대비	대비/NNG
2020년	2020/SN+년/NNB
수요가	수요/NNG+가/JKS
13%	13/SN+%/SW
정도	정도/NNG
감소하는	감소/NNG+하/XSV+는/ETM
반면	반면/NNG
강원·제주(20.0%),	강원/NNP+·/SP+제주/NNP+(/SS+20/SN+./SP+0/SN+%/SW+)/SS+,/SP
대구·경북(18.7%),	대구/NNP+·/SP+경북/NNP+(/SS+18/SN+./SP+7/SN+%/SW+)/SS+,/SP
광주·전남북(19.7%)	광주/NNP+·/SP+전남북/NNP+(/SS+19/SN+./SP+7/SN+%/SW+)/SS
등지는	등지/NNB+는/JX
20%에	20/SN+%/SW+에/JKB
육박한	육박/NNG+하/XSV+ㄴ/ETM
수준까지	수준/NNG+까지/JX
떨어질	떨어지/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
나타났다.	나타나/VV+았/EP+다/EF+./SF


# id : NWRW1800000033.8.6.1
주택 유형별 수요에도 변화가 보인다.

주택	주택/NNG
유형별	유형/NNG+별/XSN
수요에도	수요/NNG+에/JKB+도/JX
변화가	변화/NNG+가/JKS
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.8.6.2
지난해 15만9000채인 아파트 수요는 2015년 13만8000채, 2020년 11만4000채로 크게 줄어든다.

지난해	지난해/NNG
15만9000채인	15/SN+만/NR+9000/SN+채/NNB+이/VCP+ㄴ/ETM
아파트	아파트/NNG
수요는	수요/NNG+는/JX
2015년	2015/SN+년/NNB
13만8000채,	13/SN+만/NR+8000/SN+채/NNB+,/SP
2020년	2020/SN+년/NNB
11만4000채로	11/SN+만/NR+4000/SN+채/NNB+로/JKB
크게	크/VA+게/EC
줄어든다.	줄어들/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.8.6.3
반면 단독주택은 2011년 4만1000채에서 2020년 5만4000채로 수요가 오히려 늘어날 것으로 전망됐다.

반면	반면/NNG
단독주택은	단독/NNG+주택/NNG+은/JX
2011년	2011/SN+년/NNB
4만1000채에서	4/SN+만/NR+1000/SN+채/NNB+에서/JKB
2020년	2020/SN+년/NNB
5만4000채로	5/SN+만/NR+4000/SN+채/NNB+로/JKB
수요가	수요/NNG+가/JKS
오히려	오히려/MAG
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
전망됐다.	전망/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.8.6.4
연립·다세대는 2011년 4만9000채에서 4만8000채로 거의 제자리에 머물 것으로 예상됐다.

연립·다세대는	연립/NNG+·/SP+다세대/NNG+는/JX
2011년	2011/SN+년/NNB
4만9000채에서	4/SN+만/NR+9000/SN+채/NNB+에서/JKB
4만8000채로	4/SN+만/NR+8000/SN+채/NNB+로/JKB
거의	거의/MAG
제자리에	제자리/NNG+에/JKB
머물	머물/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상됐다.	예상/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000033.8.7.1
연구원은 인구구조 변화를 정밀 분석한 결과, 35∼54세의 주택 핵심소비층 감소 등 주택시장 구조변화가 늦어도 2013년부터는 본격화할 것으로 예상했다.

연구원은	연구원/NNG+은/JX
인구구조	인구/NNG+구조/NNG
변화를	변화/NNG+를/JKO
정밀	정밀/NNG
분석한	분석/NNG+하/XSV+ㄴ/ETM
결과,	결과/NNG+,/SP
35∼54세의	35/SN+∼/SO+54/SN+세/NNB+의/JKG
주택	주택/NNG
핵심소비층	핵심/NNG+소비/NNG+층/XSN
감소	감소/NNG
등	등/NNB
주택시장	주택/NNG+시장/NNG
구조변화가	구조/NNG+변화/NNG+가/JKS
늦어도	늦/VA+어도/EC
2013년부터는	2013/SN+년/NNB+부터/JX+는/JX
본격화할	본격/NNG+화/XSN+하/XSV+ㄹ/ETM
것으로	것/NNB+으로/JKB
예상했다.	예상/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.8.8.1
이에 따라 연구원은 정부의 장기주택종합계획도 전면 수정해야 한다고 조언했다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
연구원은	연구원/NNG+은/JX
정부의	정부/NNG+의/JKG
장기주택종합계획도	장기/NNG+주택/NNG+종합/NNG+계획/NNG+도/JX
전면	전면/NNG
수정해야	수정/NNG+하/XSV+아야/EC
한다고	하/VX+ㄴ다고/EC
조언했다.	조언/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000033.8.8.2
또 △수요 변화에 대응한 맞춤형 주택 공급 △고령자 주거지원 정책 및 주택 공급 △서민·중산층의 자가 소유 기회 확대 및 가계부채 위험 완화 △주택 장수명화 및 주택관리 선진화 △커뮤니티 보존 및 정비사업의 공공성 강화 △녹색주택 공급 활성화 등에 대한 정책도 마련해야 할 것이라고 주장했다.

또	또/MAG
△수요	△/SW+수요/NNG
변화에	변화/NNG+에/JKB
대응한	대응/NNG+하/XSV+ㄴ/ETM
맞춤형	맞춤/NNG+형/XSN
주택	주택/NNG
공급	공급/NNG
△고령자	△/SW+고령자/NNG
주거지원	주거/NNG+지원/NNG
정책	정책/NNG
및	및/MAG
△서민·중산층의	△/SW+서민/NNG+·/SP+중산/NNG+층/XSN+의/JKG
자가	자가/NNG
소유	소유/NNG
기회	기회/NNG
확대	확대/NNG
가계부채	가계/NNG+부채/NNG
위험	위험/NNG
완화	완화/NNG
△주택	△/SW+주택/NNG
장수명화	장수명/NNG+화/XSN
주택관리	주택/NNG+관리/NNG
선진화	선진/NNG+화/XSN
△커뮤니티	△/SW+커뮤니티/NNG
보존	보존/NNG
정비사업의	정비/NNG+사업/NNG+의/JKG
공공성	공공/NNG+성/XSN
강화	강화/NNG
△녹색주택	△/SW+녹색/NNG+주택/NNG
활성화	활성/NNG+화/XSN
등에	등/NNB+에/JKB
대한	대하/VV+ㄴ/ETM
정책도	정책/NNG+도/JX
마련해야	마련/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
것이라고	것/NNB+이/VCP+라고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


