# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000033.247
metadata : {}


# id : NWRW1800000033.247.1.1
[IN&OUT]제주 유나이티드-울산 현대를 서울로 보내자!

[IN&OUT]제주	[/SS+IN/SL+&/SW+OUT/SL+]/SS+제주/NNP
퀸스파크레인저스,	퀸스파크레인저스/NNP+,/SP
웨스트햄	웨스트햄/NNP
유나이티드)을	유나이티드/NNG+)/SS+을/JKO
포함해	포함/NNG+하/XSV+아/EC
총	총/MMA
14개의	14/SN+개/NNB+의/JKG
팀이	팀/NNG+이/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.247.5.6
스페인 마드리드와 이탈리아 로마, 가까운 일본 도쿄 등 각국 유명 수도에도 2개 이상의 프로팀이 존재한다.

스페인	스페인/NNP
마드리드와	마드리드/NNP+와/JC
이탈리아	이탈리아/NNP
로마,	로마/NNP+,/SP
가까운	가깝/VA+ㄴ/ETM
일본	일본/NNP
도쿄	도쿄/NNP
등	등/NNB
각국	각국/NNG
유명	유명/NNG
수도에도	수도/NNG+에/JKB+도/JX
2개	2/SN+개/NNB
이상의	이상/NNG+의/JKG
프로팀이	프로/NNG+팀/NNG+이/JKS
존재한다.	존재/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000033.247.6.1
현재 안양 FC와 고양 H FC가 내년부터 2부에 참가하고 부천 FC도 창단을 선언해 서울을 제외한 수도권 팀은 수원과 성남, 인천 등을 합쳐 총 6개가 될 것으로 보인다.

현재	현재/MAG
안양	안양/NNP
FC와	FC/SL+와/JC
고양	고양/NNP
H	H/SL
FC가	FC/SL+가/JKS
내년부터	내년/NNG+부터/JX
2부에	2부/NNG+에/JKB
참가하고	참가/NNG+하/XSV+고/EC
부천	부천/NNP
FC도	FC/SL+도/JX
창단을	창단/NNG+을/JKO
선언해	선언/NNG+하/XSV+아/EC
서울을	서울/NNP+을/JKO
제외한	제외/NNG+하/XSV+ㄴ/ETM
수도권	수도/NNG+권/XSN
팀은	팀/NNG+은/JX
수원과	수원/NNP+과/JC
성남,	성남/NNP+,/SP
인천	인천/NNP
등을	등/NNB+을/JKO
합쳐	합치/VV+어/EC
총	총/MMA
6개가	6/SN+개/NNB+가/JKC
될	되/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다.	보이/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.247.6.2
하지만 아직 서울에는 새로운 팀이 나서지 않고 있다.

하지만	하지만/MAJ
아직	아직/MAG
서울에는	서울/NNP+에/JKB+는/JX
새로운	새롭/VA+ㄴ/ETM
팀이	팀/NNG+이/JKS
나서지	나서/VV+지/EC
않고	않/VX+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.247.6.3
신생팀은 내년부터 1, 2부로 나뉘어 승강제로 열리는 새로운 시스템에 따라 2부부터 시작해야 한다.

신생팀은	신생/NNG+팀/NNG+은/JX
내년부터	내년/NNG+부터/JX
1,	1/SN+,/SP
2부로	2부/NNG+로/JKB
나뉘어	나뉘/VV+어/EC
승강제로	승강/NNG+제/XSN+로/JKB
열리는	열리/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
시스템에	시스템/NNG+에/JKB
따라	따르/VV+아/EC
2부부터	2부/NNG+부터/JX
시작해야	시작/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


# id : NWRW1800000033.247.6.4
그래서 요즘 서울의 큰 시장을 감안해 기존 1부 팀을 입성시키자는 얘기도 나온다.

그래서	그래서/MAJ
요즘	요즘/NNG
서울의	서울/NNP+의/JKG
큰	크/VA+ㄴ/ETM
시장을	시장/NNG+을/JKO
감안해	감안/NNG+하/XSV+아/EC
기존	기존/NNG
1부	1/SN+부/NNB
팀을	팀/NNG+을/JKO
입성시키자는	입성/NNG+시키/XSV+자는/ETM
얘기도	얘기/NNG+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000033.247.6.5
지역 지지 기반이 약한 팀을 서울로 이전시켜 리노베이션 중인 잠실종합운동장을 사용하게 해 강남 팬들을 확보하자는 것이다.

지역	지역/NNG
지지	지지/NNG
기반이	기반/NNG+이/JKS
약한	약하/VA+ㄴ/ETM
팀을	팀/NNG+을/JKO
서울로	서울/NNP+로/JKB
이전시켜	이전/NNG+시키/XSV+어/EC
리노베이션	리노베이션/NNG
중인	중/NNB+이/VCP+ㄴ/ETM
잠실종합운동장을	잠실종합운동장/NNP+을/JKO
사용하게	사용/NNG+하/XSV+게/EC
해	하/VX+아/EC
강남	강남/NNP
팬들을	팬/NNG+들/XSN+을/JKO
확보하자는	확보/NNG+하/XSV+자는/ETM
것이다.	것/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000033.247.7.1
부천을 떠나 아직 자리를 못 잡은 제주 유나이티드와 팬 몰이를 전혀 하지 못하는 울산 현대가 전문가들이 보는 이적 ‘0순위’다.

부천을	부천/NNP+을/JKO
떠나	떠나/VV+아/EC
아직	아직/MAG
자리를	자리/NNG+를/JKO
못	못/MAG
잡은	잡/VV+은/ETM
제주	제주/NNP
유나이티드와	유나이티드/NNG+와/JC
팬	팬/NNG
몰이를	몰이/NNG+를/JKO
전혀	전혀/MAG
하지	하/VV+지/EC
못하는	못하/VX+는/ETM
울산	울산/NNP
현대가	현대/NNP+가/JKS
전문가들이	전문가/NNG+들/XSN+이/JKS
보는	보/VV+는/ETM
이적	이적/NNG
‘0순위’다.	‘/SS+0/SN+순위/NNG+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000033.247.7.2
글로벌 기업 현대자동차가 모기업인 전북 현대를 서울로 보내야 한다는 의견도 있다.

글로벌	글로벌/NNG
기업	기업/NNG
현대자동차가	현대자동차/NNP+가/JKS
모기업인	모기업/NNG+이/VCP+ㄴ/ETM
전북	전북/NNP
현대를	현대/NNP+를/JKO
서울로	서울/NNP+로/JKB
보내야	보내/VV+어야/EC
한다는	하/VX+ㄴ다는/ETM
의견도	의견/NNG+도/JX
있다.	있/VA+다/EF+./SF


# id : NWRW1800000033.247.8.1
FC 서울도 안양에서 연고를 옮겨 축구 붐을 선도하고 있다.

FC	FC/SL
서울도	서울/NNP+도/JX
안양에서	안양/NNP+에서/JKB
연고를	연고/NNG+를/JKO
옮겨	옮기/VV+어/EC
축구	축구/NNG
붐을	붐/NNG+을/JKO
선도하고	선도/NNG+하/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000033.247.8.2
기존 팀의 서울 입성, 이젠 본격적으로 논의해야 할 때다.

기존	기존/NNG
팀의	팀/NNG+의/JKG
서울	서울/NNP
입성,	입성/NNG+,/SP
이젠	이제/NNG+ㄴ/JX
본격적으로	본격/NNG+적/XSN+으로/JKB
논의해야	논의/NNG+하/XSV+아야/EC
할	하/VX+ㄹ/ETM
때다.	때/NNG+이/VCP+다/EF+./SF


