# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000054.334
metadata : {}


# id : NWRW1800000054.334.1.1
[창의 교육 프런티어들] (5) 서울대 권오남 교수 '플립 러닝'

[창의	[/SS+창의/NNG
이해할	이해/NNG+하/XSV+ㄹ/ETM
수	수/NNB
있나요?"	있/VA+나/EF+요/JX+?/SF+"/SS
"또	"/SS+또/MAG
다른	다른/MMD
방식으로	방식/NNG+으로/JKB
푼	풀/VV+ㄴ/ETM
사람	사람/NNG
같은	같/VA+은/ETM
질문을	질문/NNG+을/JKO
던졌다.	던지/VV+었/EP+다/EF+./SF


# id : NWRW1800000054.334.4.1
권 교수의 수업 방식은, 교수는 지식을 강의하고 학생은 듣고 받아 적기만 하는 전통적인 수업 방식과 정반대다.

권	권/NNP
교수의	교수/NNG+의/JKG
수업	수업/NNG
방식은,	방식/NNG+은/JX+,/SP
교수는	교수/NNG+는/JX
지식을	지식/NNG+을/JKO
강의하고	강의/NNG+하/XSV+고/EC
학생은	학생/NNG+은/JX
듣고	듣/VV+고/EC
받아	받/VV+아/EC
적기만	적/VV+기/ETN+만/JX
하는	하/VX+는/ETM
전통적인	전통/NNG+적/XSN+이/VCP+ㄴ/ETM
방식과	방식/NNG+과/JKB
정반대다.	정반대/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000054.334.4.2
학생은 문제를 미리 집에서 풀어오고, 강의실에서는 예습한 내용으로 교수, 학생이 함께 토론한다.

학생은	학생/NNG+은/JX
문제를	문제/NNG+를/JKO
미리	미리/MAG
집에서	집/NNG+에서/JKB
풀어오고,	풀/VV+어/EC+오/VX+고/EC+,/SP
강의실에서는	강의실/NNG+에서/JKB+는/JX
예습한	예습/NNG+하/XSV+ㄴ/ETM
내용으로	내용/NNG+으로/JKB
교수,	교수/NNG+,/SP
학생이	학생/NNG+이/JKS
함께	함께/MAG
토론한다.	토론/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.334.4.3
교수와 학생의 역할도 뒤바뀐다.

교수와	교수/NNG+와/JC
학생의	학생/NNG+의/JKG
역할도	역할/NNG+도/JX
뒤바뀐다.	뒤바뀌/VV+ㄴ다/EF+./SF


# id : NWRW1800000054.334.4.4
이른바 '플립러닝(flipped learning)'이다.

이른바	이른바/MAG
'플립러닝(flipped	'/SS+플립/NNG+러닝/NNG+(/SS+flipped/SL
learning)'이다.	learning/SL+)/SS+'/SS+이/VCP+다/EF+./SF


# id : NWRW1800000054.334.4.5
이 수업 방식은 미국에서 1990년대 개발된 후 학생들의 문제 해결력과 창의성을 키우는 새로운 교육 방식으로 주목받고 있다.

이	이/MMD
수업	수업/NNG
방식은	방식/NNG+은/JX
미국에서	미국/NNP+에서/JKB
1990년대	1990/SN+년대/NNB
개발된	개발/NNG+되/XSV+ㄴ/ETM
후	후/NNG
학생들의	학생/NNG+들/XSN+의/JKG
문제	문제/NNG
해결력과	해결력/NNG+과/JC
창의성을	창의/NNG+성/XSN+을/JKO
키우는	키우/VV+는/ETM
새로운	새롭/VA+ㄴ/ETM
교육	교육/NNG
방식으로	방식/NNG+으로/JKB
주목받고	주목/NNG+받/XSV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000054.334.5.1
권 교수 수업을 듣는 학생들은 "교수가 내준 20개 증명 문제를 혼자 푸느라12시간 정도 걸린다"고 말했다.

권	권/NNP
교수	교수/NNG
수업을	수업/NNG+을/JKO
듣는	듣/VV+는/ETM
학생들은	학생/NNG+들/XSN+은/JX
"교수가	"/SS+교수/NNG+가/JKS
내준	내주/VV+ㄴ/ETM
20개	20/SN+개/NNB
증명	증명/NNG
문제를	문제/NNG+를/JKO
혼자	혼자/NNG
푸느라12시간	풀/VV+느라/EC+12/SN+시간/NNB
정도	정도/NNG
걸린다"고	걸리/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.334.5.2
매주 정수론 수업을 위해 혼자 12시간씩 공부하는 셈이다.

매주	매주/MAG
정수론	정수/NNG+론/XSN
수업을	수업/NNG+을/JKO
위해	위하/VV+아/EC
혼자	혼자/NNG
12시간씩	12/SN+시간/NNB+씩/XSN
공부하는	공부/NNG+하/XSV+는/ETM
셈이다.	셈/NNB+이/VCP+다/EF+./SF


# id : NWRW1800000054.334.5.3
이때 권 교수는 기존 수학자가 만들어 놓은 공식을 적용해 문제를 풀지 않고, 자신만의 증명을 시도한 학생을 높이 평가한다.

이때	이때/NNG
권	권/NNP
교수는	교수/NNG+는/JX
기존	기존/NNG
수학자가	수학자/NNG+가/JKS
만들어	만들/VV+어/EC
놓은	놓/VX+은/ETM
공식을	공식/NNG+을/JKO
적용해	적용/NNG+하/XSV+아/EC
문제를	문제/NNG+를/JKO
풀지	풀/VV+지/EC
않고,	않/VX+고/EC+,/SP
자신만의	자신/NNG+만/JX+의/JKG
증명을	증명/NNG+을/JKO
시도한	시도/NNG+하/XSV+ㄴ/ETM
학생을	학생/NNG+을/JKO
높이	높이/MAG
평가한다.	평가/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000054.334.5.4
권 교수는 "수학적 창의성은 한 가지 수학 문제를 다양한 방법으로 풀 때 발현된다"고 말했다.

권	권/NNP
교수는	교수/NNG+는/JX
"수학적	"/SS+수학/NNG+적/XSN
창의성은	창의/NNG+성/XSN+은/JX
한	한/MMN
가지	가지/NNB
수학	수학/NNG
문제를	문제/NNG+를/JKO
다양한	다양/NNG+하/XSA+ㄴ/ETM
방법으로	방법/NNG+으로/JKB
풀	풀/VV+ㄹ/ETM
때	때/NNG
발현된다"고	발현/NNG+되/XSV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.334.6.1
권 교수도 1993년 대학 강단에 선 이후 6년간은 다른 교수들처럼 일방적인 강의를 했다.

권	권/NNP
교수도	교수/NNG+도/JX
1993년	1993/SN+년/NNB
대학	대학/NNG
강단에	강단/NNG+에/JKB
선	서/VV+ㄴ/ETM
이후	이후/NNG
6년간은	6/SN+년/NNB+간/XSN+은/JX
다른	다른/MMD
교수들처럼	교수/NNG+들/XSN+처럼/JKB
일방적인	일방/NNG+적/XSN+이/VCP+ㄴ/ETM
강의를	강의/NNG+를/JKO
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000054.334.6.2
그런데 자기가 가르친 학생들이 교사가 돼 다시 대학원에 왔는데, 창의적인 논문을 쓰지 못하는 걸 보고 "교육 방식을 바꿔야겠다"고 결심했다.

그런데	그런데/MAJ
자기가	자기/NP+가/JKS
가르친	가르치/VV+ㄴ/ETM
학생들이	학생/NNG+들/XSN+이/JKS
교사가	교사/NNG+가/JKC
돼	되/VV+어/EC
다시	다시/MAG
대학원에	대학원/NNG+에/JKB
왔는데,	오/VV+았/EP+는데/EC+,/SP
창의적인	창의/NNG+적/XSN+이/VCP+ㄴ/ETM
논문을	논문/NNG+을/JKO
쓰지	쓰/VV+지/EC
못하는	못하/VX+는/ETM
걸	거/NNB+ㄹ/JKO
보고	보/VV+고/EC
"교육	"/SS+교육/NNG
방식을	방식/NNG+을/JKO
바꿔야겠다"고	바꾸/VV+어야/EC+하/VX+겠/EP+다/EF+"/SS+고/JKQ
결심했다.	결심/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.334.6.3
권 교수는 "대학 교육은 지식이 많은 사람이 아니라 새로운 지식을 만들 줄 아는 사람을 키워야 하는데, 주입식 교육을 하면 절대 지식 창출자를 키울 수 없다"고 말했다.

권	권/NNP
교수는	교수/NNG+는/JX
"대학	"/SS+대학/NNG
교육은	교육/NNG+은/JX
지식이	지식/NNG+이/JKS
많은	많/VA+은/ETM
사람이	사람/NNG+이/JKC
아니라	아니/VCN+라/EC
새로운	새롭/VA+ㄴ/ETM
지식을	지식/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
줄	줄/NNB
아는	알/VV+는/ETM
사람을	사람/NNG+을/JKO
키워야	키우/VV+어야/EC
하는데,	하/VX+는데/EC+,/SP
주입식	주입식/NNG
교육을	교육/NNG+을/JKO
하면	하/VV+면/EC
절대	절대/MAG
지식	지식/NNG
창출자를	창출자/NNG+를/JKO
키울	키우/VV+ㄹ/ETM
수	수/NNB
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.334.7.1
플립러닝 방식에 대해 학생들은 "시간은 많이 들지만 더 재미있고, 많이 배운다"고 말했다.

플립러닝	플립/NNG+러닝/NNG
방식에	방식/NNG+에/JKB
대해	대하/VV+아/EC
학생들은	학생/NNG+들/XSN+은/JX
"시간은	"/SS+시간/NNG+은/JX
많이	많이/MAG
들지만	들/VV+지만/EC
더	더/MAG
재미있고,	재미있/VA+고/EC+,/SP
배운다"고	배우/VV+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.334.7.2
이보경(수학교육과 2년)씨는 "다른 수업에서 내 방식대로 풀었더니 학점이 B학점 이하로 낮게 나와 '진로를 바꿔야 하나' 고민까지 했다"며 "이 수업에서는 내 생각대로 풀이 과정을 썼는데 자꾸 칭찬을 받으니까 너무 재밌어서, 새벽 2시까지 수학 문제를 풀기도 한다"고 말했다.

이보경(수학교육과	이보경/NNP+(/SS+수학/NNG+교육/NNG+과/NNG
2년)씨는	2/SN+년/NNB+)/SS+씨/NNB+는/JX
"다른	"/SS+다른/MMD
수업에서	수업/NNG+에서/JKB
내	나/NP+의/JKG
방식대로	방식/NNG+대로/JX
풀었더니	풀/VV+었/EP+더니/EC
학점이	학점/NNG+이/JKS
B학점	B/SL+학점/NNG
이하로	이하/NNG+로/JKB
낮게	낮/VA+게/EC
나와	나오/VV+아/EC
'진로를	'/SS+진로/NNG+를/JKO
바꿔야	바꾸/VV+어야/EC
하나'	하/VX+나/EC+'/SS
고민까지	고민/NNG+까지/JX
했다"며	하/VV+았/EP+다/EF+"/SS+며/EC
"이	"/SS+이/MMD
수업에서는	수업/NNG+에서/JKB+는/JX
생각대로	생각/NNG+대로/JX
풀이	풀이/NNG
과정을	과정/NNG+을/JKO
썼는데	쓰/VV+었/EP+는데/EC
자꾸	자꾸/MAG
칭찬을	칭찬/NNG+을/JKO
받으니까	받/VV+으니까/EC
너무	너무/MAG
재밌어서,	재밌/VA+어서/EC+,/SP
새벽	새벽/NNG
2시까지	2/SN+시/NNB+까지/JX
수학	수학/NNG
문제를	문제/NNG+를/JKO
풀기도	풀/VV+기/ETN+도/JX
한다"고	하/VX+ㄴ다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.334.7.3
배지용(지리학과 2년)씨는 "남들이 풀어온 여러 방식을 보면서 제 생각도 점점 발전시키고, 시야도 넓어지는 것 같다"고 말했다.

배지용(지리학과	배지용/NNP+(/SS+지리학/NNG+과/NNG
2년)씨는	2/SN+년/NNB+)/SS+씨/NNB+는/JX
"남들이	"/SS+남/NNG+들/XSN+이/JKS
풀어온	풀/VV+어/EC+오/VX+ㄴ/ETM
여러	여러/MMN
방식을	방식/NNG+을/JKO
보면서	보/VV+면서/EC
제	저/NP+의/JKG
생각도	생각/NNG+도/JX
점점	점점/MAG
발전시키고,	발전/NNG+시키/XSV+고/EC+,/SP
시야도	시야/NNG+도/JX
넓어지는	넓어지/VV+는/ETM
것	것/NNB
같다"고	같/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000054.334.8.1
권 교수는 "사범대 교수인 내가 옛날 방식대로 가르치면 변하지 않은 교사들을 배출하지 않겠느냐"며 "내가 변해야 학교 교사들이 창의적일 수 있다는 책임감을 느끼고 있다"고 말했다.

권	권/NNP
교수는	교수/NNG+는/JX
"사범대	"/SS+사범대/NNG
교수인	교수/NNG+이/VCP+ㄴ/ETM
내가	내/NP+가/JKS
옛날	옛날/NNG
방식대로	방식/NNG+대로/JX
가르치면	가르치/VV+면/EC
변하지	변하/VV+지/EC
않은	않/VX+은/ETM
교사들을	교사/NNG+들/XSN+을/JKO
배출하지	배출/NNG+하/XSV+지/EC
않겠느냐"며	않/VX+겠/EP+느냐/EF+"/SS+며/EC
"내가	"/SS+내/NP+가/JKS
변해야	변하/VV+아야/EC
학교	학교/NNG
교사들이	교사/NNG+들/XSN+이/JKS
창의적일	창의/NNG+적/XSN+이/VCP+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
책임감을	책임감/NNG+을/JKO
느끼고	느끼/VV+고/EC
있다"고	있/VX+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


