# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000048.364
metadata : {}


# id : NWRW1800000048.364.1.1
[특파원 칼럼] ‘재팬 핸들러’의 한-일 과거사 인식

[특파원	[/SS+특파원/NNG
내놓고	내놓/VV+고/EC
있다고	있/VX+다고/EC
주장했다.	주장/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.364.4.2
아베 신조 총리가 지난달 일본군 위안부 피해자들을 ‘인신매매’의 희생자로 표현하며 “가슴이 아프다”고 말한 데 대해 긍정적인 태도라고 평가했다.

아베	아베/NNP
신조	신조/NNP
총리가	총리/NNG+가/JKS
지난달	지난달/NNG
일본군	일본군/NNG
위안부	위안부/NNG
피해자들을	피해자/NNG+들/XSN+을/JKO
‘인신매매’의	‘/SS+인신매매/NNG+’/SS+의/JKG
희생자로	희생자/NNG+로/JKB
표현하며	표현/NNG+하/XSV+며/EC
“가슴이	“/SS+가슴/NNG+이/JKS
아프다”고	아프/VA+다/EF+”/SS+고/JKQ
말한	말/NNG+하/XSV+ㄴ/ETM
데	데/NNB
대해	대하/VV+아/EC
긍정적인	긍정/NNG+적/XSN+이/VCP+ㄴ/ETM
태도라고	태도/NNG+이/VCP+라고/EC
평가했다.	평가/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.364.4.3
인신매매에 대해 그는 국제조약이나 미국 연방법에선 국가기관의 개입도 포함하는 개념이라고 말했다.

인신매매에	인신매매/NNG+에/JKB
대해	대하/VV+아/EC
그는	그/NP+는/JX
국제조약이나	국제/NNG+조약/NNG+이나/JC
미국	미국/NNP
연방법에선	연방/NNG+법/NNG+에서/JKB+ㄴ/JX
국가기관의	국가/NNG+기관/NNG+의/JKG
개입도	개입/NNG+도/JX
포함하는	포함/NNG+하/XSV+는/ETM
개념이라고	개념/NNG+이/VCP+라고/EC
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.364.4.4
그러면서 그는 한국 언론들이 문제를 긍정적으로 바라보려는 의지가 없어 보인다면서, “한국이 끊임없이 골대를 움직이고 있다”고 말했다.

그러면서	그러/VV+면서/EC
그는	그/NP+는/JX
한국	한국/NNP
언론들이	언론/NNG+들/XSN+이/JKS
문제를	문제/NNG+를/JKO
긍정적으로	긍정/NNG+적/XSN+으로/JKB
바라보려는	바라보/VV+려는/ETM
의지가	의지/NNG+가/JKS
없어	없/VA+어/EC
보인다면서,	보이/VV+ㄴ다면서/EC+,/SP
“한국이	“/SS+한국/NNP+이/JKS
끊임없이	끊임없이/MAG
골대를	골대/NNG+를/JKO
움직이고	움직이/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.364.4.5
일본 정부가 사과를 여러 차례 했는데도 한국이 골대를 옮기면서 받아들이지 않고 있다고 주장해온 바로 그 ‘골대론’이다.

일본	일본/NNP
정부가	정부/NNG+가/JKS
사과를	사과/NNG+를/JKO
여러	여러/MMN
차례	차례/NNG
했는데도	하/VV+았/EP+는데/EC+도/JX
한국이	한국/NNP+이/JKS
골대를	골대/NNG+를/JKO
옮기면서	옮기/VV+면서/EC
받아들이지	받아들이/VV+지/EC
않고	않/VX+고/EC
있다고	있/VX+다고/EC
주장해온	주장/NNG+하/XSV+아/EC+오/VX+ㄴ/ETM
바로	바로/MAG
그	그/MMD
‘골대론’이다.	‘/SS+골대/NNG+론/XSN+’/SS+이/VCP+다/EF+./SF


# id : NWRW1800000048.364.5.1
‘한국과 일본에선 인신매매를 민간업자들의 범죄로 받아들이며, 아베 총리가 그런 단어를 선택한 것은 일본군의 개입을 부인하려는 숨은 의도가 있다’는 나의 반론에 대해, 그는 “그게(그런 간극이) 바로 현실”이라고 말했다.

‘한국과	‘/SS+한국/NNP+과/JC
일본에선	일본/NNP+에서/JKB+ㄴ/JX
인신매매를	인신매매/NNG+를/JKO
민간업자들의	민간/NNG+업자/NNG+들/XSN+의/JKG
범죄로	범죄/NNG+로/JKB
받아들이며,	받아들이/VV+며/EC+,/SP
아베	아베/NNP
총리가	총리/NNG+가/JKS
그런	그런/MMD
단어를	단어/NNG+를/JKO
선택한	선택/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
일본군의	일본군/NNG+의/JKG
개입을	개입/NNG+을/JKO
부인하려는	부인/NNG+하/XSV+려는/ETM
숨은	숨/VV+은/ETM
의도가	의도/NNG+가/JKS
있다’는	있/VA+다/EF+’/SS+는/ETM
나의	나/NP+의/JKG
반론에	반론/NNG+에/JKB
대해,	대하/VV+아/EC+,/SP
그는	그/NP+는/JX
“그게(그런	“/SS+그거/NP+이/JKS+(/SS+그런/MMD
간극이)	간극/NNG+이/JKS+)/SS
바로	바로/MAG
현실”이라고	현실/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.364.5.2
그러면서 그는 “또 다른 현실은 아베 총리가 최소 2~3년 이상 재직할 것이라는 점”이라고 말했다.

그러면서	그러/VV+면서/EC
그는	그/NP+는/JX
“또	“/SS+또/MAG
다른	다른/MMD
현실은	현실/NNG+은/JX
아베	아베/NNP
총리가	총리/NNG+가/JKS
최소	최소/NNG
2~3년	2/SN+~/SO+3/SN+년/NNB
이상	이상/NNG
재직할	재직/NNG+하/XSV+ㄹ/ETM
것이라는	것/NNB+이/VCP+라는/ETM
점”이라고	점/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000048.364.5.3
그는 미국인들이 보기에 박근혜 대통령이 인권침해가 심한 북한에는 정상회담을 제안하면서 민주국가인 일본에는 하지 않는 게 이상해 보인다거나, 중국이 역사 문제를 갖고 아시아에서 미·일을 고립시키려 하고 있으니 한국이 신중해야 한다고도 했다.

그는	그/NP+는/JX
미국인들이	미국인/NNG+들/XSN+이/JKS
보기에	보/VV+기/ETN+에/JKB
박근혜	박근혜/NNP
대통령이	대통령/NNG+이/JKS
인권침해가	인권/NNG+침해/NNG+가/JKS
심한	심하/VA+ㄴ/ETM
북한에는	북한/NNP+에/JKB+는/JX
정상회담을	정상/NNG+회담/NNG+을/JKO
제안하면서	제안/NNG+하/XSV+면서/EC
민주국가인	민주/NNG+국가/NNG+이/VCP+ㄴ/ETM
일본에는	일본/NNP+에/JKB+는/JX
하지	하/VV+지/EC
않는	않/VX+는/ETM
게	거/NNB+이/JKS
이상해	이상/NNG+하/XSA+아/EC
보인다거나,	보이/VV+ㄴ다/EF+거나/JX+,/SP
중국이	중국/NNP+이/JKS
역사	역사/NNG
문제를	문제/NNG+를/JKO
갖고	갖/VV+고/EC
아시아에서	아시아/NNP+에서/JKB
미·일을	미/NNP+·/SP+일/NNP+을/JKO
고립시키려	고립/NNG+시키/XSV+려/EC
하고	하/VX+고/EC
있으니	있/VX+으니/EC
한국이	한국/NNP+이/JKS
신중해야	신중/NNG+하/XSA+아야/EC
한다고도	하/VX+ㄴ다고/EC+도/JX
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000048.364.5.4
한마디로, 과거사 문제를 갖고 더 이상 일본과 다투지 말고 ‘타협’하라는 얘기다.

한마디로,	한마디/NNG+로/JKB+,/SP
과거사	과거사/NNG
문제를	문제/NNG+를/JKO
갖고	갖/VV+고/EC
더	더/MAG
이상	이상/NNG
일본과	일본/NNP+과/JKB
다투지	다투/VV+지/EC
말고	말/VX+고/EC
‘타협’하라는	‘/SS+타협/NNG+’/SS+하/XSV+라는/ETM
얘기다.	얘기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.364.6.1
그린 부소장의 말을 장황하게 소개하는 것은 그의 인식이 워싱턴 내 일본 전문가 그룹에 광범위하게 퍼져 있다는 점을 말하고 싶어서다.

그린	그린/NNP
부소장의	부소장/NNG+의/JKG
말을	말/NNG+을/JKO
장황하게	장황하/VA+게/EC
소개하는	소개/NNG+하/XSV+는/ETM
것은	것/NNB+은/JX
그의	그/NP+의/JKG
인식이	인식/NNG+이/JKS
워싱턴	워싱턴/NNP
내	내/NNB
일본	일본/NNP
전문가	전문가/NNG
그룹에	그룹/NNG+에/JKB
광범위하게	광범위/NNG+하/XSA+게/EC
퍼져	퍼지/VV+어/EC
있다는	있/VX+다는/ETM
점을	점/NNG+을/JKO
말하고	말/NNG+하/XSV+고/EC
싶어서다.	싶/VX+어서/EC+이/VCP+다/EF+./SF


# id : NWRW1800000048.364.6.2
한국 언론들이 일부 미국 의원·언론의 일본 비판을 부각시키는 경우가 많기 때문에 워싱턴에 반일 정서가 팽배한 것으로 받아들일 수 있으나 그건 큰 그림을 보는 게 아니다.

한국	한국/NNP
언론들이	언론/NNG+들/XSN+이/JKS
일부	일부/NNG
미국	미국/NNP
의원·언론의	의원/NNG+·/SP+언론/NNG+의/JKG
일본	일본/NNP
비판을	비판/NNG+을/JKO
부각시키는	부각/NNG+시키/XSV+는/ETM
경우가	경우/NNG+가/JKS
많기	많/VA+기/ETN
때문에	때문/NNB+에/JKB
워싱턴에	워싱턴/NNP+에/JKB
반일	반일/NNG
정서가	정서/NNG+가/JKS
팽배한	팽배/NNG+하/XSV+ㄴ/ETM
것으로	것/NNB+으로/JKB
받아들일	받아들이/VV+ㄹ/ETM
수	수/NNB
있으나	있/VA+으나/EC
그건	그거/NP+ㄴ/JX
큰	크/VA+ㄴ/ETM
그림을	그림/NNG+을/JKO
보는	보/VV+는/ETM
게	거/NNB+이/JKC
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000048.364.7.1
더 큰 문제는 이런 분위기가 싱크탱크뿐만 아니라 미국 행정부 쪽에도 점차 확산되고 있다는 점이다.

더	더/MAG
큰	크/VA+ㄴ/ETM
문제는	문제/NNG+는/JX
이런	이런/MMD
분위기가	분위기/NNG+가/JKS
싱크탱크뿐만	싱크탱크/NNG+뿐/JX+만/JX
아니라	아니/VCN+라/EC
미국	미국/NNP
행정부	행정부/NNG
쪽에도	쪽/NNB+에/JKB+도/JX
점차	점차/MAG
확산되고	확산/NNG+되/XSV+고/EC
있다는	있/VX+다는/ETM
점이다.	점/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.364.7.2
올해 들어 백악관과 국무부 관리들이 잇따라 아베 총리의 발언들을 긍정적이며 건설적인 태도라고 평가하고 있는 것이 예사롭지 않다.

올해	올해/NNG
들어	들/VV+어/EC
백악관과	백악관/NNP+과/JC
국무부	국무부/NNG
관리들이	관리/NNG+들/XSN+이/JKS
잇따라	잇따르/VV+아/EC
아베	아베/NNP
총리의	총리/NNG+의/JKG
발언들을	발언/NNG+들/XSN+을/JKO
긍정적이며	긍정/NNG+적/XSN+이/VCP+며/EC
건설적인	건설/NNG+적/XSN+이/VCP+ㄴ/ETM
태도라고	태도/NNG+이/VCP+라고/EC
평가하고	평가/NNG+하/XSV+고/EC
있는	있/VX+는/ETM
것이	것/NNB+이/JKS
예사롭지	예사/NNG+롭/XSA+지/EC
않다.	않/VX+다/EF+./SF


# id : NWRW1800000048.364.8.1
최근 몇년 동안 한-일 과거사 문제에 대한 워싱턴의 기류는 몇차례 굴곡이 있었다는 게 내 판단이다.

최근	최근/NNG
몇년	몇/NR+년/NNB
동안	동안/NNG
한-일	한-일/NNP
과거사	과거사/NNG
문제에	문제/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
워싱턴의	워싱턴/NNP+의/JKG
기류는	기류/NNG+는/JX
몇차례	몇/NR+차례/NNG
굴곡이	굴곡/NNG+이/JKS
있었다는	있/VA+었/EP+다는/ETM
게	거/NNB+이/JKS
내	나/NP+의/JKG
판단이다.	판단/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.364.8.2
2013년 중반까지만 해도 한국이 사과를 받아주지 않는다는 일본 쪽 논리가 먹혀드는 분위기였으나 그해 말 아베 총리가 전격적으로 야스쿠니신사에 참배하면서 급격히 한국 쪽으로 쏠렸다.

2013년	2013/SN+년/NNB
중반까지만	중반/NNG+까지/JX+만/JX
해도	하/VV+아도/EC
한국이	한국/NNP+이/JKS
사과를	사과/NNG+를/JKO
받아주지	받/VV+아/EC+주/VX+지/EC
않는다는	않/VX+는다는/ETM
일본	일본/NNP
쪽	쪽/NNB
논리가	논리/NNG+가/JKS
먹혀드는	먹혀들/VV+는/ETM
분위기였으나	분위기/NNG+이/VCP+었/EP+으나/EC
그해	그해/NNG
말	말/NNB
아베	아베/NNP
총리가	총리/NNG+가/JKS
전격적으로	전격/NNG+적/XSN+으로/JKB
야스쿠니신사에	야스쿠니신사/NNP+에/JKB
참배하면서	참배/NNG+하/XSV+면서/EC
급격히	급격히/MAG
한국	한국/NNP
쪽으로	쪽/NNB+으로/JKB
쏠렸다.	쏠리/VV+었/EP+다/EF+./SF


# id : NWRW1800000048.364.8.3
그러나 아베 총리가 한동안 신사 참배를 자제하고, ‘인신매매’ 표현 같은 교묘한 방법을 동원하는 등 로비전을 펼치면서 다시 일본 쪽으로 기우는 분위기다.

그러나	그러나/MAJ
아베	아베/NNP
총리가	총리/NNG+가/JKS
한동안	한/XPN+동안/NNG
신사	신사/NNG
참배를	참배/NNG+를/JKO
자제하고,	자제/NNG+하/XSV+고/EC+,/SP
‘인신매매’	‘/SS+인신매매/NNG+’/SS
표현	표현/NNG
같은	같/VA+은/ETM
교묘한	교묘하/VA+ㄴ/ETM
방법을	방법/NNG+을/JKO
동원하는	동원/NNG+하/XSV+는/ETM
등	등/NNB
로비전을	로비전/NNG+을/JKO
펼치면서	펼치/VV+면서/EC
다시	다시/MAG
일본	일본/NNP
쪽으로	쪽/NNB+으로/JKB
기우는	기울/VV+는/ETM
분위기다.	분위기/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000048.364.9.1
대미 외교의 최전선에 뛰는 우리 외교관들의 노고를 모르는 바 아니다.

대미	대미/NNG
외교의	외교/NNG+의/JKG
최전선에	최/XPN+전선/NNG+에/JKB
뛰는	뛰/VV+는/ETM
우리	우리/NP
외교관들의	외교관/NNG+들/XSN+의/JKG
노고를	노고/NNG+를/JKO
모르는	모르/VV+는/ETM
바	바/NNB
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000048.364.9.2
그러나 지금 나타나는 결과를 보면, 기대에 미치지 못하고 있는 건 분명하다.

그러나	그러나/MAJ
지금	지금/MAG
나타나는	나타나/VV+는/ETM
결과를	결과/NNG+를/JKO
보면,	보/VV+면/EC+,/SP
기대에	기대/NNG+에/JKB
미치지	미치/VV+지/EC
못하고	못하/VX+고/EC
있는	있/VX+는/ETM
건	거/NNB+ㄴ/JX
분명하다.	분명/MAG+하/XSA+다/EF+./SF


# id : NWRW1800000048.364.9.3
일본처럼 미국의 각종 요구를 들어주면서 환심을 사라는 건 아니다.

일본처럼	일본/NNP+처럼/JKB
미국의	미국/NNP+의/JKG
각종	각종/NNG
요구를	요구/NNG+를/JKO
들어주면서	들어주/VV+면서/EC
환심을	환심/NNG+을/JKO
사라는	사/VV+라는/ETM
건	거/NNB+ㄴ/JX
아니다.	아니/VCN+다/EF+./SF


# id : NWRW1800000048.364.9.4
과거사 문제에 관한 한 잘잘못을 좀 더 분명히 전달할 필요가 있다.

과거사	과거사/NNG
문제에	문제/NNG+에/JKB
관한	관하/VV+ㄴ/ETM
한	한/NNG
잘잘못을	잘잘못/NNG+을/JKO
좀	좀/MAG
더	더/MAG
분명히	분명히/MAG
전달할	전달/NNG+하/XSV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있다.	있/VA+다/EF+./SF


# id : NWRW1800000048.364.9.5
미국도 역사적 진실을 교묘히 회피하려는 일본을 묵인해선 안 된다.

미국도	미국/NNP+도/JX
역사적	역사/NNG+적/XSN
진실을	진실/NNG+을/JKO
교묘히	교묘히/MAG
회피하려는	회피/NNG+하/XSV+려는/ETM
일본을	일본/NNP+을/JKO
묵인해선	묵인/NNG+하/XSV+아서/EC+ㄴ/JX
안	안/MAG
된다.	되/VV+ㄴ다/EF+./SF


# id : NWRW1800000048.364.9.6
자칫 한국 내 반미 감정이 생길 수 있다는 점을 유념해야 한다.

자칫	자칫/MAG
한국	한국/NNP
내	내/NNB
반미	반미/NNG
감정이	감정/NNG+이/JKS
생길	생기/VV+ㄹ/ETM
수	수/NNB
있다는	있/VA+다는/ETM
점을	점/NNG+을/JKO
유념해야	유념/NNG+하/XSV+아야/EC
한다.	하/VX+ㄴ다/EF+./SF


