# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000024.336
metadata : {}


# id : NWRW1800000024.336.1.1
“군수선거전 받은 후원금, 공천대가 아니냐

“군수선거전	“/SS+군수/NNG+선거전/NNG
신고한	신고/NNG+하/XSV+ㄴ/ETM
합법적인	합법/NNG+적/XSN+이/VCP+ㄴ/ETM
후원금이고,	후원금/NNG+이/VCP+고/EC+,/SP
공천권도	공천/NNG+권/XSN+도/JX
중앙당에	중앙당/NNG+에/JKB
있었기	있/VA+었/EP+기/ETN
때문에	때문/NNB+에/JKB
후원금	후원금/NNG
수수와	수수/NNG+와/JC
공천과는	공천/NNG+과/JKB+는/JX
전혀	전혀/MAG
관계가	관계/NNG+가/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
반박했다.	반박/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.336.3.3
그러자 조승수 진보신당 의원이 “선거를 앞두고 예비후보들에게 거액을 받은 것은 적법 절차를 거쳤더라도 시기와 대상이 적절치 않다”고 지적했다.

그러자	그러/VV+자/EC
조승수	조승수/NNP
진보신당	진보신당/NNP
의원이	의원/NNG+이/JKS
“선거를	“/SS+선거/NNG+를/JKO
앞두고	앞두/VV+고/EC
예비후보들에게	예비/NNG+후보/NNG+들/XSN+에게/JKB
거액을	거액/NNG+을/JKO
받은	받/VV+은/ETM
것은	것/NNB+은/JX
적법	적법/NNG
절차를	절차/NNG+를/JKO
거쳤더라도	거치/VV+었/EP+더라도/EC
시기와	시기/NNG+와/JC
대상이	대상/NNG+이/JKS
적절치	적절하/VA+지/EC
않다”고	않/VX+다/EF+”/SS+고/JKQ
지적했다.	지적/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.336.3.4
최 후보자는 “2005년에 한차례 시비가 불거져 그 이후로는 (예비후보들에게) 후원금을 받지 않는다”며 “장관에 취임하면 후원모집 활동을 하지 않겠다”고 약속했다.

최	최/NNP
후보자는	후보자/NNG+는/JX
“2005년에	“/SS+2005/SN+년/NNB+에/JKB
한차례	한차례/NNG
시비가	시비/NNG+가/JKS
불거져	불거지/VV+어/EC
그	그/MMD
이후로는	이후/NNG+로/JKB+는/JX
(예비후보들에게)	(/SS+예비/NNG+후보/NNG+들/XSN+에게/JKB+)/SS
후원금을	후원금/NNG+을/JKO
받지	받/VV+지/EC
않는다”며	않/VX+는다/EF+”/SS+며/EC
“장관에	“/SS+장관/NNG+에/JKB
취임하면	취임/NNG+하/XSV+면/EC
후원모집	후원/NNG+모집/NNG
활동을	활동/NNG+을/JKO
하지	하/VV+지/EC
않겠다”고	않/VX+겠/EP+다/EF+”/SS+고/JKQ
약속했다.	약속/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.336.4.1
2005년 국정감사에서 론스타의 외환은행 인수문제를 지적한 뒤 관련 기관 3곳에서 후원금 1740만원을 받았다는 주장에 대해선 “후원금을 낸 3명은 모두 절친한 친구이거나 대학선배일 뿐 직무와는 관련이 없다”고 해명했다.

2005년	2005/SN+년/NNB
국정감사에서	국정/NNG+감사/NNG+에서/JKB
론스타의	론스타/NNP+의/JKG
외환은행	외환은행/NNP
인수문제를	인수/NNG+문제/NNG+를/JKO
지적한	지적/NNG+하/XSV+ㄴ/ETM
뒤	뒤/NNG
관련	관련/NNG
기관	기관/NNG
3곳에서	3/SN+곳/NNG+에서/JKB
후원금	후원금/NNG
1740만원을	1740/SN+만/NR+원/NNB+을/JKO
받았다는	받/VV+았/EP+다는/ETM
주장에	주장/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“후원금을	“/SS+후원금/NNG+을/JKO
낸	내/VV+ㄴ/ETM
3명은	3/SN+명/NNB+은/JX
모두	모두/MAG
절친한	절친하/VA+ㄴ/ETM
친구이거나	친구/NNG+이/VCP+거나/EC
대학선배일	대학/NNG+선배/NNG+이/VCP+ㄹ/ETM
뿐	뿐/NNB
직무와는	직무/NNG+와/JKB+는/JX
관련이	관련/NNG+이/JKS
없다”고	없/VA+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.336.5.1
강남 아파트 투기 논란도 제기됐다.

강남	강남/NNP
아파트	아파트/NNG
투기	투기/NNG
논란도	논란/NNG+도/JX
제기됐다.	제기/NNG+되/XSV+었/EP+다/EF+./SF


# id : NWRW1800000024.336.5.2
주 의원은 “최 후보자는 1999년부터 서울 압구정동의 아파트를 2년 동안 소유했지만, 거주 흔적이 없다”며 “살지도 않을 아파트를 사서 2년 뒤에 되판 것은 투기목적 아닌가”라고 따져물었다.

주	주/NNP
의원은	의원/NNG+은/JX
“최	“/SS+최/NNP
후보자는	후보자/NNG+는/JX
1999년부터	1999/SN+년/NNB+부터/JX
서울	서울/NNP
압구정동의	압구정동/NNP+의/JKG
아파트를	아파트/NNG+를/JKO
2년	2/SN+년/NNB
동안	동안/NNG
소유했지만,	소유/NNG+하/XSV+았/EP+지만/EC+,/SP
거주	거주/NNG
흔적이	흔적/NNG+이/JKS
없다”며	없/VA+다/EF+”/SS+며/EC
“살지도	“/SS+살/VV+지/EC+도/JX
않을	않/VX+을/ETM
사서	사/VV+아서/EC
뒤에	뒤/NNG+에/JKB
되판	되팔/VV+ㄴ/ETM
것은	것/NNB+은/JX
투기목적	투기/NNG+목적/NNG
아닌가”라고	아니/VCN+ㄴ가/EF+”/SS+라고/JKQ
따져물었다.	따지/VV+어/EC+묻/VV+었/EP+다/EF+./SF


# id : NWRW1800000024.336.5.3
이에 최 후보자는 “전세 만기 불일치 탓인데, 당시 옆동에서 전세로 살다가 아파트를 샀고 이후 서울 우면동에 아파트를 분양받아서 (압구정동 아파트를) 판 것”이라며 “당시는 경제위기 직후라서 양도차익도 거의 없었고 과세대상도 아니었다”고 해명했다.

이에	이/NP+에/JKB
최	최/NNP
후보자는	후보자/NNG+는/JX
“전세	“/SS+전세/NNG
만기	만기/NNG
불일치	불/XPN+일치/NNG
탓인데,	탓/NNG+이/VCP+ㄴ데/EC+,/SP
당시	당시/NNG
옆동에서	옆/NNG+동/NNB+에서/JKB
전세로	전세/NNG+로/JKB
살다가	살/VV+다가/EC
아파트를	아파트/NNG+를/JKO
샀고	사/VV+았/EP+고/EC
이후	이후/NNG
서울	서울/NNP
우면동에	우면동/NNP+에/JKB
분양받아서	분양/NNG+받/XSV+아서/EC
(압구정동	(/SS+압구정동/NNP
아파트를)	아파트/NNG+를/JKO+)/SS
판	팔/VV+ㄴ/ETM
것”이라며	것/NNB+”/SS+이/VCP+라며/EC
“당시는	“/SS+당시/NNG+는/JX
경제위기	경제/NNG+위기/NNG
직후라서	직후/NNG+이/VCP+라서/EC
양도차익도	양도/NNG+차익/NNG+도/JX
거의	거의/MAG
없었고	없/VA+었/EP+고/EC
과세대상도	과세/NNG+대상/NNG+도/JX
아니었다”고	아니/VCN+었/EP+다/EF+”/SS+고/JKQ
해명했다.	해명/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.336.5.4
최철국 의원이 제기한 배우자 이중공제 지적에 대해선 “좀 더 주의를 기울였어야 하는데 그렇지 못했던 점을 인정한다”며 “앞으로 그런 일이 없도록 하겠다”고 말했다.

최철국	최철국/NNP
의원이	의원/NNG+이/JKS
제기한	제기/NNG+하/XSV+ㄴ/ETM
배우자	배우자/NNG
이중공제	이중/NNG+공제/NNG
지적에	지적/NNG+에/JKB
대해선	대하/VV+아서/EC+ㄴ/JX
“좀	“/SS+좀/MAG
더	더/MAG
주의를	주의/NNG+를/JKO
기울였어야	기울이/VV+었/EP+어야/EC
하는데	하/VX+는데/EC
그렇지	그렇/VA+지/EC
못했던	못하/VX+았/EP+던/ETM
점을	점/NNG+을/JKO
인정한다”며	인정/NNG+하/XSV+ㄴ다/EF+”/SS+며/EC
“앞으로	“/SS+앞/NNG+으로/JKB
그런	그런/MMD
일이	일/NNG+이/JKS
없도록	없/VA+도록/EC
하겠다”고	하/VV+겠/EP+다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.336.6.1
일부 한나라당 의원들은 ‘노골적인 후보 감싸기’에 나서 눈총을 받았다.

일부	일부/NNG
한나라당	한나라당/NNP
의원들은	의원/NNG+들/XSN+은/JX
‘노골적인	‘/SS+노골/NNG+적/XSN+이/VCP+ㄴ/ETM
후보	후보/NNG
감싸기’에	감싸/VV+기/ETN+’/SS+에/JKB
나서	나서/VV+어/EC
눈총을	눈총/NNG+을/JKO
받았다.	받/VV+았/EP+다/EF+./SF


# id : NWRW1800000024.336.6.2
김정훈 의원은 “최근 일부 언론에서 증거도 없는 묻지마식 허위폭로 기사가 실린 적이 있다”며 “여긴 장관 후보자 검증 자리이지 인신공격의 장이 돼선 안된다”고 말했다.

김정훈	김정훈/NNP
의원은	의원/NNG+은/JX
“최근	“/SS+최근/NNG
일부	일부/NNG
언론에서	언론/NNG+에서/JKB
증거도	증거/NNG+도/JX
없는	없/VA+는/ETM
묻지마식	묻/VV+지/EC+말/VX+아/EF+식/NNB
허위폭로	허위/NNG+폭로/NNG
기사가	기사/NNG+가/JKS
실린	실리/VV+ㄴ/ETM
적이	적/NNB+이/JKS
있다”며	있/VA+다/EF+”/SS+며/EC
“여긴	“/SS+여기/NP+ㄴ/JX
장관	장관/NNG
후보자	후보자/NNG
검증	검증/NNG
자리이지	자리/NNG+이/VCP+지/EC
인신공격의	인신공격/NNG+의/JKG
장이	장/NNG+이/JKC
돼선	되/VV+어서/EC+ㄴ/JX
안된다”고	안/MAG+되/XSV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000024.336.6.3
이종혁 의원도 “동료의원이 입각했으면 이는 인간적으로라도 축하해야 한다”며 청문회 취지와 동떨어진 주장을 폈다.

이종혁	이종혁/NNP
의원도	의원/NNG+도/JX
“동료의원이	“/SS+동료/NNG+의원/NNG+이/JKS
입각했으면	입각/NNG+하/XSV+았/EP+으면/EC
이는	이/NP+는/JX
인간적으로라도	인간/NNG+적/XSN+으로/JKB+라도/JX
축하해야	축하/NNG+하/XSV+아야/EC
한다”며	하/VX+ㄴ다/EF+”/SS+며/EC
청문회	청문회/NNG
취지와	취지/NNG+와/JKB
동떨어진	동떨어지/VA+ㄴ/ETM
주장을	주장/NNG+을/JKO
폈다.	펴/VV+었/EP+다/EF+./SF


