# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000029.162
metadata : {}


# id : NWRW1800000029.162.1.1
[신나는 공부/SCHOOL DIARY]알쏭달쏭 대입 퀴즈

[신나는	[/SS+신나/VV+는/ETM
최근 주말에 서울 덕수궁미술관에서 열린 ‘이것이 미국미술이다’ 전시회를 관람했다.

최근	최근/NNG
주말에	주말/NNG+에/JKB
서울	서울/NNP
덕수궁미술관에서	덕수궁미술관/NNP+에서/JKB
열린	열리/VV+ㄴ/ETM
‘이것이	‘/SS+이것/NP+이/JKS
미국미술이다’	미국/NNP+미술/NNG+이/VCP+다/EF+’/SS
전시회를	전시회/NNG+를/JKO
관람했다.	관람/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.162.4.5
입학사정관전형에 대비한 비교과활동을 위해서였다.

입학사정관전형에	입학/NNG+사정관/NNG+전형/NNG+에/JKB
대비한	대비/NNG+하/XSV+ㄴ/ETM
비교과활동을	비/XPN+교과/NNG+활동/NNG+을/JKO
위해서였다.	위하/VV+아서/EC+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000029.162.4.6
관람을 마치고 집에 돌아온 이 양은 인상적이었던 미국의 팝 아티스트 웨인 티보의 ‘파이 진열대’라는 작품의 사진을 인터넷에서 출력해 노트에 붙인 뒤 관람하면서 느낀 점을 적고 포트폴리오를 만들었다.

관람을	관람/NNG+을/JKO
마치고	마치/VV+고/EC
집에	집/NNG+에/JKB
돌아온	돌아오/VV+ㄴ/ETM
이	이/NNP
양은	양/NNB+은/JX
인상적이었던	인상/NNG+적/XSN+이/VCP+었/EP+던/ETM
미국의	미국/NNP+의/JKG
팝	팝/NNG
아티스트	아티스트/NNG
웨인	웨인/NNP
티보의	티보/NNP+의/JKG
‘파이	‘/SS+파이/NNG
진열대’라는	진열대/NNG+’/SS+이/VCP+라는/ETM
작품의	작품/NNG+의/JKG
사진을	사진/NNG+을/JKO
인터넷에서	인터넷/NNG+에서/JKB
출력해	출력/NNG+하/XSV+아/EC
노트에	노트/NNG+에/JKB
붙인	붙이/VV+ㄴ/ETM
뒤	뒤/NNG
관람하면서	관람/NNG+하/XSV+면서/EC
느낀	느끼/VV+ㄴ/ETM
점을	점/NNG+을/JKO
적고	적/VV+고/EC
포트폴리오를	포트폴리오/NNG+를/JKO
만들었다.	만들/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.162.5.1
지문 B

지문	지문/NNG
B	B/SL


# id : NWRW1800000029.162.6.1
경기도에 사는 고2 노모 군(17)은 성적 최상위권 학생이다.

경기도에	경기도/NNP+에/JKB
사는	살/VV+는/ETM
고2	고/NNG+2/SN
노모	노/NNP+모/NP
군(17)은	군/NNB+(/SS+17/SN+)/SS+은/JX
성적	성적/NNG
최상위권	최/XPN+상위/NNG+권/XSN
학생이다.	학생/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.162.6.2
내신은 1.4등급.

내신은	내신/NNG+은/JX
1.4등급.	1/SN+./SP+4/SN+등급/NNG+./SF


# id : NWRW1800000029.162.6.3
노 군은 오후 4시10분까지 정규수업을 듣고 오후 5시 반까지 방과후수업으로 영어문법특강과 교육방송(EBS) 교재를 활용한 언어영역 수업을 듣는다.

노	노/NNP
군은	군/NNB+은/JX
오후	오후/NNG
4시10분까지	4/SN+시/NNB+10/SN+분/NNB+까지/JX
정규수업을	정규/NNG+수업/NNG+을/JKO
듣고	듣/VV+고/EC
5시	5/SN+시/NNB
반까지	반/NNG+까지/JX
방과후수업으로	방과/NNG+후/NNG+수업/NNG+으로/JKB
영어문법특강과	영어/NNP+문법/NNG+특강/NNG+과/JC
교육방송(EBS)	교육방송/NNP+(/SS+EBS/SL+)/SS
교재를	교재/NNG+를/JKO
활용한	활용/NNG+하/XSV+ㄴ/ETM
언어영역	언어/NNG+영역/NNG
수업을	수업/NNG+을/JKO
듣는다.	듣/VV+는다/EF+./SF


# id : NWRW1800000029.162.6.4
저녁을 먹고 오후 10시까지 학교에서 자율학습을 마치고 집에 간 노 군은 침대에서 로저 마틴의 ‘디자인 씽킹’이라는 책을 읽다가 잠이 들었다.

저녁을	저녁/NNG+을/JKO
먹고	먹/VV+고/EC
오후	오후/NNG
10시까지	10/SN+시/NNB+까지/JX
학교에서	학교/NNG+에서/JKB
자율학습을	자율/NNG+학습/NNG+을/JKO
마치고	마치/VV+고/EC
집에	집/NNG+에/JKB
간	가/VV+ㄴ/ETM
노	노/NNP
군은	군/NNB+은/JX
침대에서	침대/NNG+에서/JKB
로저	로저/NNP
마틴의	마틴/NNP+의/JKG
‘디자인	‘/SS+디자인/NNG
씽킹’이라는	씽킹/NNG+’/SS+이/VCP+라는/ETM
책을	책/NNG+을/JKO
읽다가	읽/VV+다가/EC
잠이	잠/NNG+이/JKS
들었다.	들/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.162.6.5
며칠 뒤 책을 다 읽은 노 군은 ‘논리의 비약이 탄생시킨 역사상 가장 유명한 의자’라는 챕터에서 읽은 내용을 바탕으로 고3 수험생을 위한 의자 디자인을 노트에 그렸다.

며칠	며칠/NNG
뒤	뒤/NNG
책을	책/NNG+을/JKO
다	다/MAG
읽은	읽/VV+은/ETM
노	노/NNP
군은	군/NNB+은/JX
‘논리의	‘/SS+논리/NNG+의/JKG
비약이	비약/NNG+이/JKS
탄생시킨	탄생/NNG+시키/XSV+ㄴ/ETM
역사상	역사/NNG+상/XSN
가장	가장/MAG
유명한	유명/NNG+하/XSA+ㄴ/ETM
의자’라는	의자/NNG+’/SS+이/VCP+라는/ETM
챕터에서	챕터/NNG+에서/JKB
내용을	내용/NNG+을/JKO
바탕으로	바탕/NNG+으로/JKB
고3	고/NNG+3/SN
수험생을	수험/NNG+생/XSN+을/JKO
위한	위하/VV+ㄴ/ETM
의자	의자/NNG
디자인을	디자인/NNG+을/JKO
노트에	노트/NNG+에/JKB
그렸다.	그리/VV+었/EP+다/EF+./SF


# id : NWRW1800000029.162.7.1
정답 : 미술대학

정답	정답/NNG
:	:/SP
미술대학	미술/NNG+대학/NNG


# id : NWRW1800000029.162.8.1
오잉?

오잉?	오잉/IC+?/SF


# id : NWRW1800000029.162.8.2
법대나 의대 지망생이 아니고 예체능계, 그것도 미술대 지망생이라고?

법대나	법대/NNG+나/JC
의대	의대/NNG
지망생이	지망/NNG+생/XSN+이/JKC
아니고	아니/VCN+고/EC
예체능계,	예체능/NNG+계/XSN+,/SP
그것도	그것/NP+도/JX
미술대	미술대/NNG
지망생이라고?	지망/NNG+생/XSN+이/VCP+라고/EF+?/SF


# id : NWRW1800000029.162.8.3
이 양과 노 군이 인문·자연계열 수험생 뺨칠 만큼 공부에 매달리는 이유인즉, 이렇다.

이	이/NNP
양과	양/NNB+과/JC
노	노/NNP
군이	군/NNB+이/JKS
인문·자연계열	인문/NNG+·/SP+자연/NNG+계열/NNG
수험생	수험/NNG+생/XSN
뺨칠	뺨치/VV+ㄹ/ETM
만큼	만큼/NNB
공부에	공부/NNG+에/JKB
매달리는	매달리/VV+는/ETM
이유인즉,	이유/NNG+이/VCP+ㄴ즉/EC+,/SP
이렇다.	이렇/VA+다/EF+./SF


# id : NWRW1800000029.162.9.1
이 양은 홍익대 회화과, 노 군은 서울대 디자인학부 디자인전공 지망이다.

이	이/NNP
양은	양/NNB+은/JX
홍익대	홍익대/NNP
회화과,	회화과/NNG+,/SP
노	노/NNP
군은	군/NNB+은/JX
서울대	서울대/NNP
디자인학부	디자인/NNG+학부/NNG
디자인전공	디자인/NNG+전공/NNG
지망이다.	지망/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.162.9.2
두 학생의 공통점은 미술대학에 지원한다는 점.

두	두/MMN
학생의	학생/NNG+의/JKG
공통점은	공통점/NNG+은/JX
미술대학에	미술/NNG+대학/NNG+에/JKB
지원한다는	지원/NNG+하/XSV+ㄴ다는/ETM
점.	점/NNG+./SF


# id : NWRW1800000029.162.9.3
각각 2012학년도 홍익대와 2013학년도 서울대 입학사정관전형을 준비한다.

각각	각각/MAG
2012학년도	2012/SN+학년도/NNG
홍익대와	홍익대/NNP+와/JC
2013학년도	2013/SN+학년도/NNG
서울대	서울대/NNP
입학사정관전형을	입학/NNG+사정관/NNG+전형/NNG+을/JKO
준비한다.	준비/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.162.9.4
특징은 최상위권 미술대학 입시를 준비하지만 실기고사는 별도로 준비하지 않는다는 점.

특징은	특징/NNG+은/JX
최상위권	최/XPN+상위/NNG+권/XSN
미술대학	미술/NNG+대학/NNG
입시를	입시/NNG+를/JKO
준비하지만	준비/NNG+하/XSV+지만/EC
실기고사는	실기/NNG+고사/NNG+는/JX
별도로	별도/NNG+로/JKB
준비하지	준비/NNG+하/XSV+지/EC
않는다는	않/VX+는다는/ETM
점.	점/NNG+./SF


# id : NWRW1800000029.162.10.1
이런 흐름이 나타나는 이유는 최근 일부 상위권 미술대학 학과의 선발에서 실기고사가 사라지고 내신 성적과 미술 관련 비교과활동이 중시되기 때문.

이런	이런/MMD
흐름이	흐름/NNG+이/JKS
나타나는	나타나/VV+는/ETM
이유는	이유/NNG+는/JX
최근	최근/NNG
일부	일부/NNG
상위권	상위/NNG+권/XSN
미술대학	미술/NNG+대학/NNG
학과의	학과/NNG+의/JKG
선발에서	선발/NNG+에서/JKB
실기고사가	실기/NNG+고사/NNG+가/JKS
사라지고	사라지/VV+고/EC
내신	내신/NNG
성적과	성적/NNG+과/JC
미술	미술/NNG
관련	관련/NNG
비교과활동이	비/XPN+교과/NNG+활동/NNG+이/JKS
중시되기	중시/NNG+되/XSV+기/ETN
때문.	때문/NNB+./SF


# id : NWRW1800000029.162.10.2
이에 따라 성적 상위권 학생은 미술대학에 가기위해 더 이상 학교를 마치고 밤늦게까지 미술학원에서 실기준비에 매달리지 않는다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
성적	성적/NNG
상위권	상위/NNG+권/XSN
학생은	학생/NNG+은/JX
미술대학에	미술/NNG+대학/NNG+에/JKB
가기위해	가/VV+기/ETN+위하/VV+아/EC
더	더/MAG
이상	이상/NNG
학교를	학교/NNG+를/JKO
마치고	마치/VV+고/EC
밤늦게까지	밤늦/VA+게/EC+까지/JX
미술학원에서	미술/NNG+학원/NNG+에서/JKB
실기준비에	실기/NNG+준비/NNG+에/JKB
매달리지	매달리/VV+지/EC
않는다.	않/VX+는다/EF+./SF


# id : NWRW1800000029.162.11.1
현재 입학사정관전형을 통해 모집정원의 50%를 비실기전형으로 뽑는 홍익대는 2013학년도에는 실기고사를 완전히 폐지한다.

현재	현재/MAG
입학사정관전형을	입학/NNG+사정관/NNG+전형/NNG+을/JKO
통해	통하/VV+아/EC
모집정원의	모집/NNG+정원/NNG+의/JKG
50%를	50/SN+%/SW+를/JKO
비실기전형으로	비/XPN+실기/NNG+전형/NNG+으로/JKB
뽑는	뽑/VV+는/ETM
홍익대는	홍익대/NNP+는/JX
2013학년도에는	2013/SN+학년도/NNG+에/JKB+는/JX
실기고사를	실기/NNG+고사/NNG+를/JKO
완전히	완전히/MAG
폐지한다.	폐지/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.162.11.2
서울대는 2013학년도부터 미술대학 선발인원의 100%를 수시 특기자전형으로 선발한다.

서울대는	서울대/NNP+는/JX
2013학년도부터	2013/SN+학년도/NNG+부터/JX
미술대학	미술/NNG+대학/NNG
선발인원의	선발/NNG+인원/NNG+의/JKG
100%를	100/SN+%/SW+를/JKO
수시	수시/NNG
특기자전형으로	특기자/NNG+전형/NNG+으로/JKB
선발한다.	선발/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.162.11.3
실기는 기초소양평가로 간소화된다.

실기는	실기/NNG+는/JX
기초소양평가로	기초/NNG+소양/NNG+평가/NNG+로/JKB
간소화된다.	간소/NNG+화/XSN+되/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.162.11.4
특히 디자인학부의 디자인전공 리더십전형은 실기평가없이 서류와 면접점수만으로 학생을 선발할 예정.

특히	특히/MAG
디자인학부의	디자인/NNG+학부/NNG+의/JKG
디자인전공	디자인/NNG+전공/NNG
리더십전형은	리더십/NNG+전형/NNG+은/JX
실기평가없이	실기/NNG+평가/NNG+없이/MAG
서류와	서류/NNG+와/JC
면접점수만으로	면접/NNG+점수/NNG+만/JX+으로/JKB
학생을	학생/NNG+을/JKO
선발할	선발/NNG+하/XSV+ㄹ/ETM
예정.	예정/NNG+./SF


# id : NWRW1800000029.162.11.5
창의적 작품을 만들 인재를 원하는 미술교육의 목적과 더불어 기획, 아이디어를 강조하는 최근 디자인분야의 트렌드가 반영되면서 나타난 현상이다.

창의적	창의/NNG+적/XSN
작품을	작품/NNG+을/JKO
만들	만들/VV+ㄹ/ETM
인재를	인재/NNG+를/JKO
원하는	원/NNG+하/XSV+는/ETM
미술교육의	미술/NNG+교육/NNG+의/JKG
목적과	목적/NNG+과/JKB
더불어	더불/VV+어/EC
기획,	기획/NNG+,/SP
아이디어를	아이디어/NNG+를/JKO
강조하는	강조/NNG+하/XSV+는/ETM
최근	최근/NNG
디자인분야의	디자인/NNG+분야/NNG+의/JKG
트렌드가	트렌드/NNG+가/JKS
반영되면서	반영/NNG+되/XSV+면서/EC
나타난	나타나/VV+ㄴ/ETM
현상이다.	현상/NNG+이/VCP+다/EF+./SF


# id : NWRW1800000029.162.12.1
이에 따라 교육현장도 변화한다.

이에	이/NP+에/JKB
따라	따르/VV+아/EC
교육현장도	교육/NNG+현장/NNG+도/JX
변화한다.	변화/NNG+하/XSV+ㄴ다/EF+./SF


# id : NWRW1800000029.162.12.2
서울 홍익대 앞에서 미술학원을 운영하는 S 원장은 “상위권 미술대학의 입시방식이 변하면서 실기학원에 오는 학생 숫자가 눈에 띄게 줄었다”면서 “중3 학부모님들로부터도 ‘실기고사가 비율이 줄어드는 추세라는데 꼭 예술고에 보낼 필요가 있겠느냐’는 문의전화가 많이 온다.

서울	서울/NNP
홍익대	홍익대/NNP
앞에서	앞/NNG+에서/JKB
미술학원을	미술/NNG+학원/NNG+을/JKO
운영하는	운영/NNG+하/XSV+는/ETM
S	S/SL
원장은	원장/NNG+은/JX
“상위권	“/SS+상위/NNG+권/XSN
미술대학의	미술/NNG+대학/NNG+의/JKG
입시방식이	입시/NNG+방식/NNG+이/JKS
변하면서	변하/VV+면서/EC
실기학원에	실기/NNG+학원/NNG+에/JKB
오는	오/VV+는/ETM
학생	학생/NNG
숫자가	숫자/NNG+가/JKS
눈에	눈/NNG+에/JKB
띄게	띄/VV+게/EC
줄었다”면서	줄/VV+었/EP+다/EF+”/SS+면서/EC
“중3	“/SS+중/NNG+3/SN
학부모님들로부터도	학부모/NNG+님/XSN+들/XSN+로부터/JKB+도/JX
‘실기고사가	‘/SS+실기/NNG+고사/NNG+가/JKS
비율이	비율/NNG+이/JKS
줄어드는	줄어들/VV+는/ETM
추세라는데	추세/NNG+이/VCP+라는데/EC
꼭	꼭/MAG
예술고에	예술/NNG+고/NNG+에/JKB
보낼	보내/VV+ㄹ/ETM
필요가	필요/NNG+가/JKS
있겠느냐’는	있/VA+겠/EP+느냐/EF+’/SS+는/ETM
문의전화가	문의/NNG+전화/NNG+가/JKS
많이	많이/MAG
온다.	오/VV+ㄴ다/EF+./SF


# id : NWRW1800000029.162.12.3
앞으로는 미술대학 입학사정관전형에 대비해 미술활동보고서와 면접에 대비하는 학원이 늘어날 것으로 보인다”고 말했다.

앞으로는	앞/NNG+으로/JKB+는/JX
미술대학	미술/NNG+대학/NNG
입학사정관전형에	입학/NNG+사정관/NNG+전형/NNG+에/JKB
대비해	대비/NNG+하/XSV+아/EC
미술활동보고서와	미술/NNG+활동/NNG+보고서/NNG+와/JC
면접에	면접/NNG+에/JKB
대비하는	대비/NNG+하/XSV+는/ETM
학원이	학원/NNG+이/JKS
늘어날	늘어나/VV+ㄹ/ETM
것으로	것/NNB+으로/JKB
보인다”고	보이/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000029.162.13.1
서울지역 한 예고 미술부장인 S 교사는 “2년 전부터 학교 교육방식이 최근 미술계의 변화된 경향에 맞춰 달라지고 있다”면서 “예고에서도 예전에는 실기위주 수업이 많았지만 이젠 창의성을 키우는 수업을 많이 한다”고 설명했다.

서울지역	서울지역/NNP
한	한/MMN
예고	예고/NNG
미술부장인	미술부장/NNG+이/VCP+ㄴ/ETM
S	S/SL
교사는	교사/NNG+는/JX
“2년	“/SS+2/SN+년/NNB
전부터	전/NNG+부터/JX
학교	학교/NNG
교육방식이	교육/NNG+방식/NNG+이/JKS
최근	최근/NNG
미술계의	미술/NNG+계/XSN+의/JKG
변화된	변화/NNG+되/XSV+ㄴ/ETM
경향에	경향/NNG+에/JKB
맞춰	맞추/VV+어/EC
달라지고	달라지/VV+고/EC
있다”면서	있/VX+다/EF+”/SS+면서/EC
“예고에서도	“/SS+예고/NNG+에서/JKB+도/JX
예전에는	예전/NNG+에/JKB+는/JX
실기위주	실기/NNG+위주/NNG
수업이	수업/NNG+이/JKS
많았지만	많/VA+았/EP+지만/EC
이젠	이제/NNG+ㄴ/JX
창의성을	창의/NNG+성/XSN+을/JKO
키우는	키우/VV+는/ETM
수업을	수업/NNG+을/JKO
많이	많이/MAG
한다”고	하/VV+ㄴ다/EF+”/SS+고/JKQ
설명했다.	설명/NNG+하/XSV+았/EP+다/EF+./SF


