# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000026.125
metadata : {}


# id : NWRW1800000026.125.1.1
김정일, 김일성 생일 앞두고 군사 훈련 참관 대남 공작 총책 오극렬도 나타나;北 천안함 관련說 속 '작전 성공' 격려 차원?

김정일,	김정일/NNP+,/SP
소식통에	소식통/NNG+에/JKB
따르면	따르/VV+면/EC
최근	최근/MAG
북한	북한/NNP
주민들	주민/NNG+들/XSN
사이에선	사이/NNG+에서/JKB+ㄴ/JX
"장군님이	"/SS+장군/NNG+님/XSN+이/JKS
한	한/MMN
건	건/NNB
하셨다"는	하/VV+시/EP+었/EP+다/EF+"/SS+는/ETM
말이	말/NNG+이/JKS
돈다.	돌/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.125.6.1
실제 오극렬은 간첩 남파 업무를 하는 노동당 작전부장을 20년간(1989~2009년) 맡았다.

실제	실제/MAG
오극렬은	오극렬/NNP+은/JX
간첩	간첩/NNG
남파	남파/NNG
업무를	업무/NNG+를/JKO
하는	하/VV+는/ETM
노동당	노동당/NNP
작전부장을	작전부장/NNG+을/JKO
20년간(1989~2009년)	20/SN+년/NNB+간/XSN+(/SS+1989/SN+~/SO+2009/SN+년/NNB+)/SS
맡았다.	맡/VV+았/EP+다/EF+./SF


# id : NWRW1800000026.125.6.2
작년 북한은 당과 군에 흩어져 있던 대남 공작부서들(당 작전부, 35호실, 군 정찰국)을 정찰총국으로 통합(총국장 김영철)한 뒤 국방위 부위원장인 오극렬에게 총지휘를 맡긴 것으로 알려졌다.

작년	작년/NNG
북한은	북한/NNP+은/JX
당과	당/NNG+과/JC
군에	군/NNG+에/JKB
흩어져	흩어지/VV+어/EC
있던	있/VX+던/ETM
대남	대남/NNG
공작부서들(당	공작/NNG+부서/NNG+들/XSN+(/SS+당/NNG
작전부,	작전부/NNG+,/SP
35호실,	35/SN+호실/NNG+,/SP
군	군/NNG
정찰국)을	정찰국/NNG+)/SS+을/JKO
정찰총국으로	정찰/NNG+총국/NNG+으로/JKB
통합(총국장	통합/NNG+(/SS+총국장/NNG
김영철)한	김영철/NNP+)/SS+하/XSV+ㄴ/ETM
뒤	뒤/NNG
국방위	국방위/NNG
부위원장인	부위원장/NNG+이/VCP+ㄴ/ETM
오극렬에게	오극렬/NNP+에게/JKB
총지휘를	총지휘/NNG+를/JKO
맡긴	맡기/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.125.6.3
국가정보원도 지난 6일 국회 정보위원회 전체회의에서 "(천안함 사건에)만일 북한이 연루됐다면 정찰총국에서 했을 것이란 이야기도 있다"고 밝힌 것으로 알려졌다.

국가정보원도	국가/NNG+정보원/NNG+도/JX
지난	지나/VV+ㄴ/ETM
6일	6/SN+일/NNB
국회	국회/NNG
정보위원회	정보/NNG+위원회/NNG
전체회의에서	전체/NNG+회의/NNG+에서/JKB
"(천안함	"/SS+(/SS+천안함/NNP
사건에)만일	사건/NNG+에/JKB+)/SS+만일/MAG
북한이	북한/NNP+이/JKS
연루됐다면	연루/NNG+되/XSV+었/EP+다면/EC
정찰총국에서	정찰/NNG+총국/NNG+에서/JKB
했을	하/VV+았/EP+을/ETM
것이란	것/NNB+이/VCP+란/ETM
이야기도	이야기/NNG+도/JX
있다"고	있/VA+다/EF+"/SS+고/JKQ
밝힌	밝히/VV+ㄴ/ETM
것으로	것/NNB+으로/JKB
알려졌다.	알려지/VV+었/EP+다/EF+./SF


# id : NWRW1800000026.125.6.4
김정일이 방문한 567대연합부대가 대남 공작과 관련이 있다는 관측(안보 부서 당국자)도 나온다.

김정일이	김정일/NNP+이/JKS
방문한	방문/NNG+하/XSV+ㄴ/ETM
567대연합부대가	567/SN+대/NNG+연합/NNG+부대/NNG+가/JKS
대남	대남/NNG
공작과	공작/NNG+과/JKB
관련이	관련/NNG+이/JKS
있다는	있/VA+다는/ETM
관측(안보	관측/NNG+(/SS+안보/NNG
부서	부서/NNG
당국자)도	당국자/NNG+)/SS+도/JX
나온다.	나오/VV+ㄴ다/EF+./SF


# id : NWRW1800000026.125.7.1
한편 김정일은 김일성 생일 전날인 14일 국가안전보위부(국가정보원에 해당) 수석부부장인 우동측 상장(중장에 해당)을 대장으로 승진시켰다고 조선중앙통신이 보도했다.

한편	한편/MAG
김정일은	김정일/NNP+은/JX
김일성	김일성/NNP
생일	생일/NNG
전날인	전날/NNG+이/VCP+ㄴ/ETM
14일	14/SN+일/NNB
국가안전보위부(국가정보원에	국가/NNG+안전/NNG+보위부/NNG+(/SS+국가/NNG+정보원/NNG+에/JKB
해당)	해당/NNG+)/SS
수석부부장인	수석/NNG+부부장/NNG+이/VCP+ㄴ/ETM
우동측	우동측/NNP
상장(중장에	상장/NNG+(/SS+중장/NNG+에/JKB
해당)을	해당/NNG+)/SS+을/JKO
대장으로	대장/NNG+으로/JKB
승진시켰다고	승진/NNG+시키/XSV+었/EP+다고/EC
조선중앙통신이	조선중앙통신/NNP+이/JKS
보도했다.	보도/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000026.125.7.2
리병철 공군사령관, 정명도 해군사령관, 정호균 전 포병사령관도 각각 대장으로 진급했다.

리병철	리병철/NNP
공군사령관,	공군/NNG+사령관/NNG+,/SP
정명도	정명도/NNP
해군사령관,	해군/NNG+사령관/NNG+,/SP
정호균	정호균/NNP
전	전/MMD
포병사령관도	포병/NNG+사령관/NNG+도/JX
각각	각각/MAG
대장으로	대장/NNG+으로/JKB
진급했다.	진급/NNG+하/XSV+았/EP+다/EF+./SF


