# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000052.135
metadata : {}


# id : NWRW1800000052.135.1.1
문인협회 ‘친일 문학상’ 논란

문인협회	문인협회/NNP
문인을	문인/NNG+을/JKO
기리는	기리/VV+는/ETM
문학상을	문학상/NNG+을/JKO
시행하기로	시행/NNG+하/XSV+기/ETN+로/JKB
했다.	하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.135.6.2
문 이사장은 “후원자가 따로 없이 협회 예산에서 상금을 마련해야 하기 때문에 두 상 모두 시와 기타 장르 한사람씩 두사람을 선정해 각각 100만원씩 상금을 줄 계획”이라고 말했다.

문	문/NNP
이사장은	이사장/NNG+은/JX
“후원자가	“/SS+후원자/NNG+가/JKS
따로	따로/MAG
없이	없이/MAG
협회	협회/NNG
예산에서	예산/NNG+에서/JKB
상금을	상금/NNG+을/JKO
마련해야	마련/NNG+하/XSV+아야/EC
하기	하/VX+기/ETN
때문에	때문/NNB+에/JKB
두	두/MMN
상	상/NNG
모두	모두/MAG
시와	시/NNG+와/JC
기타	기타/NNG
장르	장르/NNG
한사람씩	한/MMN+사람/NNG+씩/XSN
두사람을	두/MMN+사람/NNG+을/JKO
선정해	선정/NNG+하/XSV+아/EC
각각	각각/MAG
100만원씩	100/SN+만/NR+원/NNB+씩/XSN
줄	주/VV+ㄹ/ETM
계획”이라고	계획/NNG+”/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.135.6.3
그는 “역시 친일 행적으로 비판받는 미당 서정주 시인을 기리는 미당문학상도 있고, 육당문학상의 경우 몇년 전 중단되기 전까지 다른 단체에서 10여 차례 시행된 전례도 있다”며 “내년이 한국 현대소설의 효시로 꼽히는 이광수의 <무정>이 발표된 지 100년이 되는 해이기 때문에 연구자들과 함께 <무정> 관련 심포지엄을 열 생각도 하고 있다”고 소개했다.

그는	그/NP+는/JX
“역시	“/SS+역시/MAG
친일	친일/NNG
행적으로	행적/NNG+으로/JKB
비판받는	비판/NNG+받/XSV+는/ETM
미당	미당/NNP
서정주	서정주/NNP
시인을	시인/NNG+을/JKO
기리는	기리/VV+는/ETM
미당문학상도	미당/NNP+문학상/NNG+도/JX
있고,	있/VA+고/EC+,/SP
육당문학상의	육당/NNP+문학상/NNG+의/JKG
경우	경우/NNG
몇년	몇/NR+년/NNB
전	전/NNG
중단되기	중단/NNG+되/XSV+기/ETN
전까지	전/NNG+까지/JX
다른	다른/MMD
단체에서	단체/NNG+에서/JKB
10여	10/SN+여/XSN
차례	차례/NNG
시행된	시행/NNG+되/XSV+ㄴ/ETM
전례도	전례/NNG+도/JX
있다”며	있/VA+다/EF+”/SS+며/EC
“내년이	“/SS+내년/NNG+이/JKS
한국	한국/NNP
현대소설의	현대/NNG+소설/NNG+의/JKG
효시로	효시/NNG+로/JKB
꼽히는	꼽히/VV+는/ETM
이광수의	이광수/NNP+의/JKG
<무정>이	</SS+무정/NNP+>/SS+이/JKS
발표된	발표/NNG+되/XSV+ㄴ/ETM
지	지/NNB
100년이	100/SN+년/NNB+이/JKC
되는	되/VV+는/ETM
해이기	해/NNG+이/VCP+기/ETN
때문에	때문/NNB+에/JKB
연구자들과	연구자/NNG+들/XSN+과/JKB
함께	함께/MAG
<무정>	</SS+무정/NNP+>/SS
관련	관련/NNG
심포지엄을	심포지엄/NNG+을/JKO
열	열/VV+ㄹ/ETM
생각도	생각/NNG+도/JX
하고	하/VV+고/EC
있다”고	있/VX+다/EF+”/SS+고/JKQ
소개했다.	소개/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000052.135.7.1
한국문인협회는 1961년 창립됐으며 현재 1만3600여 문인이 회원으로 가입돼 있다.

한국문인협회는	한국문인협회/NNP+는/JX
1961년	1961/SN+년/NNB
창립됐으며	창립/NNG+되/XSV+었/EP+으며/EC
현재	현재/MAG
1만3600여	1/SN+만/NR+3600/SN+여/XSN
문인이	문인/NNG+이/JKS
회원으로	회원/NNG+으로/JKB
가입돼	가입/NNG+되/XSV+어/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000052.135.7.2
26일 이사회에는 협회 전체 이사 97명 중 89명(위임 33명 포함)이 참석했으며 육당·춘원 문학상 제정에 대해 별다른 이견은 없었다고 문 이사장은 전했다.

26일	26/SN+일/NNB
이사회에는	이사회/NNG+에/JKB+는/JX
협회	협회/NNG
전체	전체/NNG
이사	이사/NNG
97명	97/SN+명/NNB
중	중/NNB
89명(위임	89/SN+명/NNB+(/SS+위임/NNG
33명	33/SN+명/NNB
포함)이	포함/NNG+)/SS+이/JKS
참석했으며	참석/NNG+하/XSV+았/EP+으며/EC
육당·춘원	육당/NNP+·/SP+춘원/NNP
문학상	문학상/NNG
제정에	제정/NNG+에/JKB
대해	대하/VV+아/EC
별다른	별다르/VA+ㄴ/ETM
이견은	이견/NNG+은/JX
없었다고	없/VA+었/EP+다고/EC
문	문/NNP
이사장은	이사장/NNG+은/JX
전했다.	전하/VV+았/EP+다/EF+./SF


# id : NWRW1800000052.135.7.3
문 이사장은 “다른 문인 단체나 친일 관련 단체에서 육당·춘원 문학상 제정과 관련해 이의를 제기한다면 얼마든지 만나서 설명하고 이해를 구할 생각”이라고 밝혔다.

문	문/NNP
이사장은	이사장/NNG+은/JX
“다른	“/SS+다른/MMD
문인	문인/NNG
단체나	단체/NNG+나/JC
친일	친일/NNG
관련	관련/NNG
단체에서	단체/NNG+에서/JKB
육당·춘원	육당/NNP+·/SP+춘원/NNP
문학상	문학상/NNG
제정과	제정/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
이의를	이의/NNG+를/JKO
제기한다면	제기/NNG+하/XSV+ㄴ다면/EC
얼마든지	얼마/NNG+든지/JX
만나서	만나/VV+아서/EC
설명하고	설명/NNG+하/XSV+고/EC
이해를	이해/NNG+를/JKO
구할	구하/VV+ㄹ/ETM
생각”이라고	생각/NNG+”/SS+이라고/JKQ
밝혔다.	밝히/VV+었/EP+다/EF+./SF


# id : NWRW1800000052.135.8.1
한편 문협의 육당·춘원 문학상 제정 결정과 관련해 문학평론가인 임헌영 민족문제연구소장은 <한겨레>와 통화에서 “국민 의식은 친일 문제와 관련해 앞으로 나아가고 있는데 도리어 문학인들이 국민 의식을 따라가지 못하는 것 같아 안타깝고 서운하다”며 “상을 받는 사람도 과연 얼마나 영광스럽게 받을지 의문이고, 앞으로 누가 문협 이사장이 되느냐에 따라 두 상은 없어질 수도 있을 것으로 본다”고 말했다.

한편	한편/MAG
문협의	문협/NNP+의/JKG
육당·춘원	육당/NNP+·/SP+춘원/NNP
문학상	문학상/NNG
제정	제정/NNG
결정과	결정/NNG+과/JKB
관련해	관련/NNG+하/XSV+아/EC
문학평론가인	문학/NNG+평론가/NNG+이/VCP+ㄴ/ETM
임헌영	임헌영/NNP
민족문제연구소장은	민족/NNG+문제/NNG+연구소장/NNG+은/JX
<한겨레>와	</SS+한겨레/NNP+>/SS+와/JKB
통화에서	통화/NNG+에서/JKB
“국민	“/SS+국민/NNG
의식은	의식/NNG+은/JX
친일	친일/NNG
문제와	문제/NNG+와/JKB
앞으로	앞/NNG+으로/JKB
나아가고	나아가/VV+고/EC
있는데	있/VX+는데/EC
도리어	도리어/MAG
문학인들이	문학인/NNG+들/XSN+이/JKS
국민	국민/NNG
의식을	의식/NNG+을/JKO
따라가지	따라가/VV+지/EC
못하는	못하/VX+는/ETM
것	것/NNB
같아	같/VA+아/EC
안타깝고	안타깝/VA+고/EC
서운하다”며	서운하/VA+다/EF+”/SS+며/EC
“상을	“/SS+상/NNG+을/JKO
받는	받/VV+는/ETM
사람도	사람/NNG+도/JX
과연	과연/MAG
얼마나	얼마나/MAG
영광스럽게	영광/NNG+스럽/XSA+게/EC
받을지	받/VV+을지/EF
의문이고,	의문/NNG+이/VCP+고/EC+,/SP
누가	누구/NP+가/JKS
문협	문협/NNP
이사장이	이사장/NNG+이/JKS
되느냐에	되/VV+느냐/EF+에/JKB
따라	따르/VV+아/EC
두	두/MMN
상은	상/NNG+은/JX
없어질	없어지/VV+ㄹ/ETM
수도	수/NNB+도/JX
있을	있/VA+을/ETM
것으로	것/NNB+으로/JKB
본다”고	보/VV+ㄴ다/EF+”/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


