# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000028.91
metadata : {}


# id : NWRW1800000028.91.1.1
천재와 마법사 ‘지략 대결’ 승자는?

천재와	천재/NNG+와/JC
유 감독의 빠른 은퇴로 선수 시절에는 제대로 맞붙은 적인 없는 둘은 지난해 강 감독이 동부의 사령탑을 맡으며 올 시즌 벤치에서 대결을 벌였다.

유	유/NNP
감독의	감독/NNG+의/JKG
빠른	빠르/VA+ㄴ/ETM
은퇴로	은퇴/NNG+로/JKB
선수	선수/NNG
시절에는	시절/NNG+에/JKB+는/JX
제대로	제대로/MAG
맞붙은	맞붙/VV+은/ETM
적인	적/NNB+인/NA
없는	없/VA+는/ETM
둘은	둘/NR+은/JX
지난해	지난해/NNG
강	강/NNP
감독이	감독/NNG+이/JKS
동부의	동부/NNP+의/JKG
사령탑을	사령탑/NNG+을/JKO
맡으며	맡/VV+으며/EC
올	올/NNG
시즌	시즌/NNG
벤치에서	벤치/NNG+에서/JKB
대결을	대결/NNG+을/JKO
벌였다.	벌이/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.91.5.2
두 감독은 선수 시절 플레이처럼 치밀한 작전과 임기응변으로 팀을 이끌고 있다.

두	두/MMN
감독은	감독/NNG+은/JX
선수	선수/NNG
시절	시절/NNG
플레이처럼	플레이/NNG+처럼/JKB
치밀한	치밀하/VA+ㄴ/ETM
작전과	작전/NNG+과/JC
임기응변으로	임기응변/NNG+으로/JKB
팀을	팀/NNG+을/JKO
이끌고	이끌/VV+고/EC
있다.	있/VX+다/EF+./SF


# id : NWRW1800000028.91.6.1
98년 역대 최연소(35살)로 프로 감독을 시작한 유 감독은 2004년 모비스를 맡아 정규리그 우승 네 차례와 챔프전 우승 한 차례를 일궜다.

98년	98/SN+년/NNB
역대	역대/NNG
최연소(35살)로	최/XPN+연소/NNG+(/SS+35/SN+살/NNB+)/SS+로/JKB
프로	프로/NNG
감독을	감독/NNG+을/JKO
시작한	시작/NNG+하/XSV+ㄴ/ETM
유	유/NNP
감독은	감독/NNG+은/JX
2004년	2004/SN+년/NNB
모비스를	모비스/NNP+를/JKO
맡아	맡/VV+아/EC
정규리그	정규/NNG+리그/NNG
우승	우승/NNG
네	네/MMN
차례와	차례/NNG+와/JC
챔프전	챔프전/NNG
한	한/MMN
차례를	차례/NNG+를/JKO
일궜다.	일구/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.91.6.2
이번 시즌 골밑 높이에서 다른 팀에 뒤졌지만 유 감독은 강한 훈련이 바탕이 된 ‘많이 뛰는 농구’로 팀을 정규리그 우승으로 이끌었다.

이번	이번/NNG
시즌	시즌/NNG
골밑	골/NNG+밑/NNG
높이에서	높이/NNG+에서/JKB
다른	다른/MMD
팀에	팀/NNG+에/JKB
뒤졌지만	뒤지/VV+었/EP+지만/EC
유	유/NNP
감독은	감독/NNG+은/JX
강한	강하/VA+ㄴ/ETM
훈련이	훈련/NNG+이/JKS
바탕이	바탕/NNG+이/JKC
된	되/VV+ㄴ/ETM
‘많이	‘/SS+많이/MAG
뛰는	뛰/VV+는/ETM
농구’로	농구/NNG+’/SS+로/JKB
팀을	팀/NNG+을/JKO
정규리그	정규/NNG+리그/NNG
우승으로	우승/NNG+으로/JKB
이끌었다.	이끌/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.91.6.3
경기 중 다양한 작전과 임기응변에 상대 감독들마저 “유 감독은 정말 만수(만가지 수)다”고 감탄할 정도였다.

경기	경기/NNG
중	중/NNB
다양한	다양/NNG+하/XSA+ㄴ/ETM
작전과	작전/NNG+과/JC
임기응변에	임기응변/NNG+에/JKB
상대	상대/NNG
감독들마저	감독/NNG+들/XSN+마저/JX
“유	“/SS+유/NNP
감독은	감독/NNG+은/JX
정말	정말/MAG
만수(만가지	만/NR+수/NNG+(/SS+만/NR+가지/NNB
수)다”고	수/NNG+)/SS+이/VCP+다/EF+”/SS+고/JKQ
감탄할	감탄/NNG+하/XSV+ㄹ/ETM
정도였다.	정도/NNG+이/VCP+었/EP+다/EF+./SF


# id : NWRW1800000028.91.7.1
강 감독은 ‘새내기 감독’으로 팀을 6강 플레이오프(정규리그 5위)로 이끌고, 창원 엘지(LG)마저 꺾고 4강에 올랐다.

강	강/NNP
감독은	감독/NNG+은/JX
‘새내기	‘/SS+새내기/NNG
감독’으로	감독/NNG+’/SS+으로/JKB
팀을	팀/NNG+을/JKO
6강	6/SN+강/NNB
플레이오프(정규리그	플레이오프/NNG+(/SS+정규/NNG+리그/NNG
5위)로	5/SN+위/NNB+)/SS+로/JKB
이끌고,	이끌/VV+고/EC+,/SP
창원	창원/NNP
엘지(LG)마저	엘지/NNP+(/SS+LG/SL+)/SS+마저/JX
꺾고	꺾/VV+고/EC
4강에	4/SN+강/NNB+에/JKB
올랐다.	오르/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.91.7.2
이번 시즌 강 감독이 공을 들였던 드롭존(3-2 지역방어의 변형) 수비는 상대 공격을 꽁꽁 묶으며 빛났다.

이번	이번/NNG
시즌	시즌/NNG
강	강/NNP
감독이	감독/NNG+이/JKS
공을	공/NNG+을/JKO
들였던	들이/VV+었/EP+던/ETM
드롭존(3-2	드롭/NNG+존/NNG+(/SS+3/SN+-/SO+2/SN
지역방어의	지역/NNG+방어/NNG+의/JKG
변형)	변형/NNG+)/SS
수비는	수비/NNG+는/JX
상대	상대/NNG
공격을	공격/NNG+을/JKO
꽁꽁	꽁꽁/MAG
묶으며	묶/VV+으며/EC
빛났다.	빛나/VV+았/EP+다/EF+./SF


# id : NWRW1800000028.91.7.3
열세가 예상됐던 엘지와의 경기도 철저한 준비로 3전 전승을 거뒀다.

열세가	열세/NNG+가/JKS
예상됐던	예상/NNG+되/XSV+었/EP+던/ETM
엘지와의	엘지/NNP+와/JKB+의/JKG
경기도	경기/NNG+도/JX
철저한	철저/NNG+하/XSA+ㄴ/ETM
준비로	준비/NNG+로/JKB
3전	3/SN+전/NNB
전승을	전승/NNG+을/JKO
거뒀다.	거두/VV+었/EP+다/EF+./SF


# id : NWRW1800000028.91.7.4
상대 문태영, 크리스 알렉산더는 강 감독이 준비한 수비에 묶여 별다른 활약을 보이지 못했다.

상대	상대/NNG
문태영,	문태영/NNP+,/SP
크리스	크리스/NNP
알렉산더는	알렉산더/NNP+는/JX
강	강/NNP
감독이	감독/NNG+이/JKS
준비한	준비/NNG+하/XSV+ㄴ/ETM
수비에	수비/NNG+에/JKB
묶여	묶이/VV+어/EC
별다른	별다르/VA+ㄴ/ETM
활약을	활약/NNG+을/JKO
보이지	보이/VV+지/EC
못했다.	못하/VX+았/EP+다/EF+./SF


# id : NWRW1800000028.91.8.1
정규리그 성적은 4승2패로 유 감독이 앞선다.

정규리그	정규/NNG+리그/NNG
성적은	성적/NNG+은/JX
4승2패로	4/SN+승/NNB+2/SN+패/NNB+로/JKB
유	유/NNP
감독이	감독/NNG+이/JKS
앞선다.	앞서/VV+ㄴ다/EF+./SF


# id : NWRW1800000028.91.8.2
강 감독은 “모비스가 강팀이지만 못 넘을 팀은 아니다”라며 좋은 승부를 다짐했다.

강	강/NNP
감독은	감독/NNG+은/JX
“모비스가	“/SS+모비스/NNP+가/JKS
강팀이지만	강팀/NNG+이/VCP+지만/EC
못	못/MAG
넘을	넘/VV+을/ETM
팀은	팀/NNG+은/JX
아니다”라며	아니/VCN+다/EF+”/SS+라며/EC
좋은	좋/VA+은/ETM
승부를	승부/NNG+를/JKO
다짐했다.	다짐/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000028.91.8.3
4강 플레이오프에선 두 감독 중 누가 웃게 될까.

4강	4/SN+강/NNB
플레이오프에선	플레이오프/NNG+에서/JKB+ㄴ/JX
두	두/MMN
감독	감독/NNG
중	중/NNB
누가	누구/NP+가/JKS
웃게	웃/VV+게/EC
될까.	되/VV+ㄹ까/EF+./SF


