# FILE DATA
id : NXMP1902008040
metadata : {}

# SENTENCE DATA
id : NWRW1800000038.383
metadata : {}


# id : NWRW1800000038.383.1.1
"댓글 중간수사 발표 당일 국정원 간부(박원동 당시 국익정보국장)가 전화걸어와"

"댓글	"/SS+댓글/NNG
박	박/NNP
전	전/MMD
국장이	국장/NNG+이/JKS
경찰	경찰/NNG
수사에	수사/NNG+에/JKB
부당한	부당/NNG+하/XSA+ㄴ/ETM
압력을	압력/NNG+을/JKO
넣었다는	넣/VV+었/EP+다는/ETM
의혹을	의혹/NNG+을/JKO
제기했다.	제기/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.383.6.1
경찰은 작년 12월 16일 밤 11시'정치 관련 댓글 등은 찾지 못했다'는 중간 수사 결과를 발표했다.

경찰은	경찰/NNG+은/JX
작년	작년/NNG
12월	12/SN+월/NNB
16일	16/SN+일/NNB
밤	밤/NNG
11시'정치	11/SN+시/NNB+'/SS+정치/NNG
관련	관련/NNG
댓글	댓글/NNG
등은	등/NNB+은/JX
찾지	찾/VV+지/EC
못했다'는	못하/VX+았/EP+다/EF+'/SS+는/ETM
중간	중간/NNG
수사	수사/NNG
결과를	결과/NNG+를/JKO
발표했다.	발표/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.383.7.1
김 전 청장은 통화 내용과 관련, "박 전 국장이 '주변에서 (경찰의) 디지털 증거 분석은 2~3일이면 끝나는데 발표도 안 하고 미적거리는 것은 민주당 눈치 보기 아니냐면서, 김용판이 도대체 누구냐고 묻는 사람이 많다'고 하더라"고 말했다.

김	김/NNP
전	전/MMD
청장은	청장/NNG+은/JX
통화	통화/NNG
내용과	내용/NNG+과/JKB
관련,	관련/NNG+,/SP
"박	"/SS+박/NNP
국장이	국장/NNG+이/JKS
'주변에서	'/SS+주변/NNG+에서/JKB
(경찰의)	(/SS+경찰/NNG+의/JKG+)/SS
디지털	디지털/NNG
증거	증거/NNG
분석은	분석/NNG+은/JX
2~3일이면	2/SN+~/SO+3/SN+일/NNB+이/VCP+면/EC
끝나는데	끝나/VV+는데/EC
발표도	발표/NNG+도/JX
안	안/MAG
하고	하/VV+고/EC
미적거리는	미적거리/VV+는/ETM
것은	것/NNB+은/JX
민주당	민주당/NNP
눈치	눈치/NNG
보기	보/VV+기/ETN
아니냐면서,	아니/VCN+냐면서/EC+,/SP
김용판이	김용판/NNP+이/JKS
도대체	도대체/MAG
누구냐고	누구/NP+이/VCP+냐고/EC
묻는	묻/VV+는/ETM
사람이	사람/NNG+이/JKS
많다'고	많/VA+다/EF+'/SS+고/JKQ
하더라"고	하/VV+더라/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.383.8.1
김 전 청장은 그러나 "나는 '경찰은 누구 무서워서 뭘 하고 안 하는 조직이 아니다'며 박 전 국장에게 화를 냈지, 수사 내용은 알려준 일이 없다"고 말했다.

김	김/NNP
전	전/MMD
청장은	청장/NNG+은/JX
그러나	그러나/MAJ
"나는	"/SS+나/NP+는/JX
'경찰은	'/SS+경찰/NNG+은/JX
누구	누구/NP
무서워서	무섭/VA+어서/EC
뭘	뭐/NP+ㄹ/JKO
하고	하/VV+고/EC
안	안/MAG
하는	하/VV+는/ETM
조직이	조직/NNG+이/JKC
아니다'며	아니/VCN+다/EF+'/SS+며/EC
박	박/NNP
국장에게	국장/NNG+에게/JKB
화를	화/NNG+를/JKO
냈지,	내/VV+었/EP+지/EC+,/SP
수사	수사/NNG
내용은	내용/NNG+은/JX
알려준	알리/VV+어/EC+주/VX+ㄴ/ETM
일이	일/NNG+이/JKS
없다"고	없/VA+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.383.9.1
한편 김 전 청장은 "작년 12월 12일 수서경찰서가 국정원 직원 김씨의 오피스텔에 대한 압수 영장을 신청하려다 보류한 것은 본청(경찰청)에서 틀었기 때문"이라고 말했다.

한편	한편/MAG
김	김/NNP
전	전/MMD
청장은	청장/NNG+은/JX
"작년	"/SS+작년/NNG
12월	12/SN+월/NNB
12일	12/SN+일/NNB
수서경찰서가	수서경찰서/NNP+가/JKS
국정원	국정원/NNG
직원	직원/NNG
김씨의	김/NNP+씨/NNB+의/JKG
오피스텔에	오피스텔/NNG+에/JKB
대한	대하/VV+ㄴ/ETM
압수	압수/NNG
영장을	영장/NNG+을/JKO
신청하려다	신청/NNG+하/XSV+려다/EC
보류한	보류/NNG+하/XSV+ㄴ/ETM
것은	것/NNB+은/JX
본청(경찰청)에서	본청/NNG+(/SS+경찰청/NNG+)/SS+에서/JKB
틀었기	틀/VV+었/EP+기/ETN
때문"이라고	때문/NNB+"/SS+이라고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


# id : NWRW1800000038.383.9.2
김 전 청장은 "나는 김기용 경찰청장에게 영장을 신청하겠다고 했지만, 경찰청장은 '검찰과 수사권 문제로 다투는 상황에서 법적 요건도 맞지 않는 영장을 신청하면 문제 될 수 있다'는 취지로 보류시켰다"고 말했다.

김	김/NNP
전	전/MMD
청장은	청장/NNG+은/JX
"나는	"/SS+나/NP+는/JX
김기용	김기용/NNP
경찰청장에게	경찰청장/NNG+에게/JKB
영장을	영장/NNG+을/JKO
신청하겠다고	신청/NNG+하/XSV+겠/EP+다고/EC
했지만,	하/VV+았/EP+지만/EC+,/SP
경찰청장은	경찰청장/NNG+은/JX
'검찰과	'/SS+검찰/NNG+과/JKB
수사권	수사/NNG+권/XSN
문제로	문제/NNG+로/JKB
다투는	다투/VV+는/ETM
상황에서	상황/NNG+에서/JKB
법적	법/NNG+적/XSN
요건도	요건/NNG+도/JX
맞지	맞/VV+지/EC
않는	않/VX+는/ETM
신청하면	신청/NNG+하/XSV+면/EC
문제	문제/NNG
될	되/XSV+ㄹ/ETM
수	수/NNB
있다'는	있/VA+다/EF+'/SS+는/ETM
취지로	취지/NNG+로/JKB
보류시켰다"고	보류/NNG+시키/XSV+었/EP+다/EF+"/SS+고/JKQ
말했다.	말/NNG+하/XSV+았/EP+다/EF+./SF


